report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2025-12-31,2025年报,2025-4,2025四季度,pay_dividends_profits_interest_cash,12024842791.32,3513318967.0500,0.32252978,8.52943112,11.50490093
2025-12-31,2025年报,2025-4,2025四季度,invest_cash_flow_net,-7796324355.55,7813467518.0800,0.76164901,1.96133174,1.28275484
2025-12-31,2025年报,2025-4,2025四季度,convertible_corporate_bonds,,,,,
2025-12-31,2025年报,2025-4,2025四季度,financing_cash_flow_net_special,,,,,
2025-12-31,2025年报,2025-4,2025四季度,receive_obtain_load_cash,234471366426.25,81912465609.1200,0.07147234,0.56046320,0.49175476
2025-12-31,2025年报,2025-4,2025四季度,received_reinsurance_net_cash,,,,,
2025-12-31,2025年报,2025-4,2025四季度,operating_receivable_addition,-2282978001.32,,-1.87431967,,
2025-12-31,2025年报,2025-4,2025四季度,pay_invest_cash,36128466723.36,-954965193.9800,0.05471332,-1.10905164,-1.03213183
2025-12-31,2025年报,2025-4,2025四季度,receive_disposal_subsidiary_net_cash,,,,,
2025-12-31,2025年报,2025-4,2025四季度,receive_interest_fee_and_commission_cash,157981587.29,40630149.7700,-0.16935358,0.19685452,0.15427673
2025-12-31,2025年报,2025-4,2025四季度,financing_cash_flow_net,-13472893729.48,-8082771485.0000,-0.85120217,-4.40329679,-3.18249716
2025-12-31,2025年报,2025-4,2025四季度,inventory_decrease,-586135947.72,,-2.00138595,,
2025-12-31,2025年报,2025-4,2025四季度,pay_fixed_assets_etc_cash,3036644156.68,813633999.6100,-0.23670156,0.05626407,-0.20877428
2025-12-31,2025年报,2025-4,2025四季度,cash_net_profit,11513910754.0,,0.36038573,,
2025-12-31,2025年报,2025-4,2025四季度,deferred_income_tax_assets_addition,-71790645.09,,-3.81378471,,
2025-12-31,2025年报,2025-4,2025四季度,cash_ending_overage,17677587920.54,,-0.27983323,,
2025-12-31,2025年报,2025-4,2025四季度,operating_activity_cash_inflow,,,,,
2025-12-31,2025年报,2025-4,2025四季度,indirect_act_cash_flow_net,14343920490.32,,-0.34019817,,
2025-12-31,2025年报,2025-4,2025四季度,fixed_assets_net_cash,96659558.09,13575621.5500,-0.29196053,-0.78982717,-0.79596318
2025-12-31,2025年报,2025-4,2025四季度,financing_lease_fixed_assets,,,,,
2025-12-31,2025年报,2025-4,2025四季度,borrowed_fund_net_addition,,,,,
2025-12-31,2025年报,2025-4,2025四季度,paid_purchasing_cash,91266053698.35,23550993841.5700,0.00013484,0.05944641,0.00605546
2025-12-31,2025年报,2025-4,2025四季度,period_cash_and_equivalents_overage,17677587920.54,17677587920.5400,-0.27983323,0.35998326,-0.27983323
2025-12-31,2025年报,2025-4,2025四季度,received_invest_income_cash,1044935330.2,655456082.9800,4.62817683,3.43722541,7.44827586
2025-12-31,2025年报,2025-4,2025四季度,amortization_intangible_assets,357733033.9,,0.33137765,,
2025-12-31,2025年报,2025-4,2025四季度,fair_change_loss,-37778427.32,,-2.34189156,,
2025-12-31,2025年报,2025-4,2025四季度,invest_cash_outflow_special,,,,,
2025-12-31,2025年报,2025-4,2025四季度,deferred_income_tax_assets_decrease,102734155.9,,1.26423207,,
2025-12-31,2025年报,2025-4,2025四季度,cash_finance_fee,6372756.96,,-0.99378989,,
2025-12-31,2025年报,2025-4,2025四季度,indirect_operating_cash_flow_net_special,,,,,
2025-12-31,2025年报,2025-4,2025四季度,received_absorb_invest_cash,119148494.95,14700000.0000,,1.72222222,
2025-12-31,2025年报,2025-4,2025四季度,received_subsidiary_absorb_holder_cash,119148494.95,14700000.0000,,1.72222222,
