SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
688981.SH,688981,中芯国际,10004588,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-27 00:00:00,2026-03-27 00:00:00,CNY,65323603000.0,,,,,,,,,,,,3516849000.0,3827646000.0,,0.0,72668098000.0,41054969000.0,,,,,,7922233000.0,1111505000.0,2498412000.0,,0.0,52587119000.0,,0,20080979000.0,34518378000.0,4277589000.0,335977000.0,,,131016000.0,,0.0,39262960000.0,59950583000.0,21434202000.0,,,,16350000.0,,0.0,81401135000.0,,0,-42138175000.0,13913569000.0,13581597000.0,46207805000.0,,908732000.0,,0.0,61030106000.0,40781736000.0,1606273000.0,16605000.0,,1188479000.0,,,0.0,43576488000.0,,0,17453618000.0,164371000.0,,0,-4439207000.0,45751070000.0,,0,41311863000.0,7208910000.0,596455000.0,27013145000.0,27013145000.0,,172939000.0,,-1425226000.0,,,-163448000.0,15006000.0,-88900000.0,-128130000.0,56415000.0,-131886000.0,,,,-4810694000.0,-2274866000.0,-6310411000.0,,200679000.0,0.0,20080979000.0,,,,,41311863000.0,45751070000.0,,,,,-4439207000.0,16.359754756,,,,,,,,,,,,-53.9159557097,-44.4400269116,,,2.8420035454,9.3315558698,,,,,,14.1464697331,24.7939757846,-4.6168083435,,,9.5535057365,,,-11.376019264,2.252625738,193.4566866257,58.3303487276,,,-87.4558374935,,,7.6516512617,9.8815367584,73.4544800384,,,,-92.7329780567,,,21.238138395,,,-37.3953256764,483.5261775,570.3313554796,90.0968651451,,-11.0410193457,,,120.2186175664,206.14227533,-6.1902728955,-66.7674018332,,-55.67075602,,,,145.9938135304,,,74.5544558515,164.0547913176,,,-356.3527651487,3.9339004031,,,-9.7029577669,34.1662327163,13.7719239683,19.0637215586,19.0637215586,,-28.2309537445,,-19.075850568,,,-31.4197039503,-10.0790987536,-1980.505499649,87.8555633803,105.1299281728,-208.2603449267,,,,-96.0284897104,-307.7461457395,-207.2692940132,,-44.1249926912,,-11.376019264,,,,,-9.7029577669,3.9339004031,,,,,-356.3527651487,标准无保留意见,,,,120578000.0,-46.9001840777
688981.SH,688981,中芯国际,10004588,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-28 00:00:00,2026-03-27 00:00:00,CNY,56139344000.0,,,,,,,,,,,,7631381000.0,6889215000.0,,0.0,70659940000.0,37550887000.0,,,,,,6940410000.0,890672000.0,2619342000.0,,0.0,48001311000.0,,0,22658629000.0,33757938000.0,1457656000.0,212200000.0,,,1044438000.0,,0.0,36472232000.0,54559287000.0,12357249000.0,,,,224989000.0,,0.0,67141525000.0,,0,-30669293000.0,2384395000.0,2026102000.0,24307505000.0,,1021518000.0,,0.0,27713418000.0,13321171000.0,1712267000.0,49966000.0,,2681027000.0,,,0.0,17714465000.0,,0,9998953000.0,-256610000.0,,0,1731679000.0,44019391000.0,,0,45751070000.0,5373118000.0,524255000.0,22687973000.0,22687973000.0,,240966000.0,,-1196906000.0,,,-124371000.0,16688000.0,-4273000.0,-1055051000.0,-1099723000.0,121823000.0,,,,-2454079000.0,1095022000.0,-2053707000.0,,359157000.0,0.0,22658629000.0,,,,,45751070000.0,44019391000.0,,,,,1731679000.0,8.7256279816,,,,,,,,,,,,38.7844788831,70.9779189989,,,15.5291785326,26.5677284319,,,,,,9.522324665,-20.4111905009,164.70299331,,,25.9406717571,,,-1.6883722458,-47.6990701408,-33.9285698097,467.8199673544,,,-42.4795458451,,,-46.8372783868,1.2888092652,-77.8809515836,,,,-60.7584626333,,,-39.1312515268,,,26.4534413173,-56.6297237622,-60.2626767643,-25.702689044,,42.0722573862,,,-28.8182330246,-35.3735905271,2.3622136681,,,191.4017249156,,,,-23.6622465852,,,-36.4255031383,80.8283102376,,,140.6182197572,-8.8298837159,,,3.9339004031,-15.9945229569,-60.9793439978,24.2495783133,24.2495783133,,-5.7703287163,,-2.0289761181,,,-1665.5966767372,,98.8017218413,-103.0861833,-339.7221055999,104.6482327644,,,,66.8943517296,43.6799164443,-143.4338121463,,-41.3004999534,,-1.6883722458,,,,,3.9339004031,-8.8298837159,,,,,140.6182197572,标准无保留意见,,,,227078000.0,-34.0129313476
688981.SH,688981,中芯国际,10004588,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-29 00:00:00,2025-03-28 00:00:00,CNY,51633957000.0,,,,,,,,,,,,5498728000.0,4029301000.0,,0.0,61161986000.0,29668611000.0,,,,,,6336982000.0,1119092000.0,989540000.0,,0.0,38114225000.0,,0,23047761000.0,64545579000.0,2206182000.0,37371000.0,,,1815768000.0,,0.0,68604900000.0,53865069000.0,55867001000.0,,,,573344000.0,,0.0,110305414000.0,,0,-41700514000.0,5497763000.0,5098738000.0,32716534000.0,,719013000.0,,0.0,38933310000.0,20612581000.0,1672753000.0,,,920045000.0,,,0.0,23205379000.0,,0,15727931000.0,-1338484000.0,,0,-4263306000.0,48282697000.0,,0,44019391000.0,6396152000.0,1343532000.0,18260000000.0,18260000000.0,,255722000.0,,-1173104000.0,,,7944000.0,,-356595000.0,-519509000.0,-250095000.0,59528000.0,,,,-7412871000.0,762126000.0,4728360000.0,,611857000.0,0.0,23047761000.0,,,,8581000.0,44019391000.0,48282697000.0,,,,,-4263306000.0,-17.5920696801,,,,,,,,,,,,18.9499009892,-38.3452451194,,,-17.1409926628,1.0718856768,,,,,,1.1926296681,-4.7226114926,128.799607854,,,2.3934055318,,,-37.0128464463,-38.6406757194,161.2758589653,-92.2464552912,,,39.5513343227,,,-36.3710735699,27.6254528873,-58.5393867099,,,,70.6457133503,,,-37.782051409,,,39.9719964898,-32.2122304864,-37.1322342643,29.0042130331,,-15.2396176303,,,13.4441179913,133.3127668018,51.5203640649,,,-17.2393662285,,,,109.9955431538,,,-32.4080992368,-141.2151168448,,,32.9743797509,-11.6403995153,,,-8.8298837159,-56.3507769118,206.841944192,26.5054039146,26.5054039146,,-9.1163686637,,28.4648627751,,,102.5606725311,,-290.5621940133,-139.6403813651,69.931975897,41.0081485693,,,,-19.888105722,228.6664291852,-64.6665585621,,-40.1083196457,,-37.0128464463,,,,-34.1341725514,-8.8298837159,-11.6403995153,,,,,32.9743797509,标准无保留意见,,,,344125000.0,-48.8031885218
688981.SH,688981,中芯国际,10004588,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-03-29 00:00:00,2024-03-29 00:00:00,CNY,62656539000.0,,,,,,,,,,,,4622726000.0,6535264000.0,,0.0,73814529000.0,29353970000.0,,,,,,6262296000.0,1174562000.0,432492000.0,,0.0,37223320000.0,,0,36591209000.0,105192780000.0,844388000.0,481986000.0,,,1301147000.0,,0.0,107820301000.0,42205585000.0,134747165000.0,,,,335985000.0,,0.0,177288735000.0,,0,-69468434000.0,8110258000.0,8110258000.0,25360826000.0,,848289000.0,,0.0,34319373000.0,8834742000.0,1103979000.0,,,1111694000.0,,,0.0,11050415000.0,,0,23268958000.0,3247556000.0,,0,-6360711000.0,54643408000.0,,0,48282697000.0,14653530000.0,437858000.0,14434166000.0,14434166000.0,,281373000.0,,-1639899000.0,,,-310231000.0,,-91303000.0,1310555000.0,-831764000.0,42216000.0,,,,-6183158000.0,-592327000.0,13382110000.0,,1021606000.0,0.0,36591209000.0,,,,13028000.0,48282697000.0,54643408000.0,,,,,-6360711000.0,45.6550326361,,,,,,,,,,,,70.8676807708,103.678785818,,,50.853913397,39.0801633978,,,,,,30.7205488751,46.6651516022,-68.8608923733,,,32.5327059017,,,75.5395516065,167.2928558617,-5.1520127963,-68.7694953341,,,,,,145.2009161419,48.8108518823,132.3670202818,,,,-60.4817443384,,,103.3103470246,,,-60.6993789073,-36.0375522547,-36.0375522547,109.5373745574,,28.8415651955,,,34.8959737297,-7.4613083227,31.5759740562,,,45.9505942034,,,,-0.8737049255,,,62.7934365911,322.7140401036,,,33.3848425984,-14.8748535873,,,-11.6403995153,30.8058331596,214.2090285693,29.361506943,29.361506943,,-2.4064291685,,16.2177226779,,,-39.4027221705,,82.0094737796,284.1686270211,71.5819669219,-84.3603897307,,,,-186.1378257783,63.6858722841,83.8747990818,,103.0888568168,,75.5395516065,,,,-99.47489974,-11.6403995153,-14.8748535873,,,,,33.3848425984,标准无保留意见,,,,672161000.0,2.9300473028
688981.SH,688981,中芯国际,10004588,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-03-31 00:00:00,2023-03-29 00:00:00,CNY,43017078000.0,,,,,,,,,,,,2705442000.0,3208613000.0,,0.0,48931133000.0,21105792000.0,,,,,,4790598000.0,800846000.0,1388903000.0,,0.0,28086139000.0,,0,20844994000.0,39354879000.0,890254000.0,1543318000.0,2183775000.0,,,,0.0,43972226000.0,28361900000.0,57988937000.0,,,,850202000.0,,0.0,87201039000.0,,0,-43228813000.0,12679718000.0,12679718000.0,12103247000.0,,658397000.0,,0.0,25441362000.0,9547079000.0,839043000.0,,,761692000.0,,,0.0,11147814000.0,,0,14293548000.0,-1458173000.0,,0,-9548444000.0,64191852000.0,,0,54643408000.0,11202505000.0,-383383000.0,11158007000.0,11158007000.0,,288311000.0,,-1957334000.0,,,-222543000.0,,-507506000.0,-711606000.0,-2926888000.0,269930000.0,,,,-2160902000.0,-1631120000.0,7277838000.0,,503034000.0,0.0,20844994000.0,,,,2481050000.0,54643408000.0,64191852000.0,,,,,-9548444000.0,36.0060086996,,,,,,,,,,,,219.5670662276,-23.4873151038,,,33.4401511599,15.5460769295,,,,,,20.3811812669,15.4607278741,150.0617546235,,,19.5425322402,,,58.2247999702,25.1316907386,5.9662195136,456.4795050048,4404.4863861386,,,,,34.8150051285,-23.6930498657,32.1845964488,,,,936.8317073171,,,7.4965658523,,,10.8741639353,-82.1030771917,-30.836591486,-47.5871687104,,692.6477492987,,,-74.8681023858,-12.3941078161,33.7284415777,,,-72.7490835768,,,,-22.1537024954,,,-83.5538240334,51.6938602164,,,-119.6617168242,310.7432331221,,,-14.8748535873,178.5773896471,-355.8018348624,36.7579799543,36.7579799543,,-4.9933435267,,0.8116147668,,,-2054.9627190859,,-53.282934299,41.4541559301,-320.9435709807,947.8242304258,,,,-135.4808724412,-150.0475223968,44.4615106112,,449.1697507615,,58.2247999702,,,,282.009133545,-14.8748535873,310.7432331221,,,,,-119.6617168242,标准无保留意见,,,,653027000.0,-1.8132966063
688981.SH,688981,中芯国际,10004588,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-04-01 00:00:00,2022-03-31 00:00:00,CNY,31628807000.0,,,,,,,,,,,,846596000.0,4193570000.0,,0.0,36668973000.0,18266126000.0,,,,,,3979524000.0,693609000.0,555424000.0,,0.0,23494683000.0,,0,13174290000.0,31450769000.0,840130000.0,277336000.0,48480000.0,,,,0.0,32616715000.0,37168174000.0,43869663000.0,,,,82000000.0,,0.0,81119837000.0,,0,-48503122000.0,70848593000.0,18332986000.0,23092145000.0,7207560000.0,83063000.0,,0.0,101231361000.0,10897759000.0,627423000.0,,,2795106000.0,,,0.0,14320288000.0,,0,86911073000.0,-3018608000.0,,0,48563633000.0,15628219000.0,,0,64191852000.0,4021326000.0,149875000.0,8158944000.0,8158944000.0,,303464000.0,,-1973350000.0,,,-10327000.0,,-331091000.0,-1215468000.0,-695316000.0,25761000.0,25761000.0,,,-917655000.0,-652324000.0,5037908000.0,520404000.0,91599000.0,0.0,13174290000.0,,,,649474000.0,64191852000.0,15628219000.0,,,,,48563633000.0,30.7700999736,,,,,,,,,,,,-32.1817147709,17.1292405398,,,26.3785077868,18.4191227476,,,,,,-8.7140771013,318.1264128764,-39.9498775048,,,12.5482743762,,,61.8464735592,39.7345055994,0.0751638775,-47.2030581319,-95.0357420429,,,,,31.2602705811,192.1393518935,70.9813767228,,,,,,,111.2385460082,,,-257.8742428219,790.7435511589,130.4913670337,152.1450263745,-11.2035596635,70.4066141474,,,300.4747122193,-29.2966915401,-18.975805983,,,247.8200165006,,,,-15.7200637007,,,948.8267790615,-808.861330221,,,1371.9749479876,26.7597955812,,,310.7432331221,217.0072714201,-40.7189276207,19.6556287661,19.6556287661,,4.663691359,,-34.0926264175,,,62.595530443,,-70.2188587675,-139.9635158986,17.902373019,-74.4145164174,-74.4145164174,,,-82.9200470429,2.3984295747,25.2832602294,146.144556199,95.3820229512,,61.8464735592,,,,-85.4759982101,310.7432331221,26.7597955812,,,,,1371.9749479876,标准无保留意见,,,,665087000.0,-1.4809986891
688981.SH,688981,中芯国际,10004588,通用,2019-12-31 00:00:00,年报,2019年报,058001001,2020-04-29 00:00:00,2021-04-01 00:00:00,CNY,24186574000.0,,,,,,,,,,,,1248330000.0,3580293000.0,,0.0,29015197000.0,15424980000.0,,,,,,4359406000.0,165885000.0,924934000.0,,0.0,20875205000.0,,0,8139992000.0,22507518000.0,839499000.0,525288000.0,976581000.0,,,,0.0,24848886000.0,12722755000.0,25657568000.0,,21681653.48,,,21682000.0,0.0,38402005000.0,,0,-13553119000.0,7953871000.0,7953871000.0,9158279000.0,8116947000.0,48744000.0,,0.0,25277841000.0,15413365000.0,774365000.0,,,803607000.0,,,0.0,16991337000.0,,0,8286504000.0,425839000.0,,0,3299216000.0,12329003000.0,,0,15628219000.0,1268528000.0,252821000.0,6818688000.0,6818688000.0,,289942000.0,,-1471632000.0,,,-27609000.0,,-194509000.0,-506522000.0,-846938000.0,100686000.0,100686000.0,,,-501670000.0,-668354000.0,4021214000.0,-1127769000.0,46882000.0,0.0,8139992000.0,,,,4471729000.0,15628219000.0,12329003000.0,,,,,3299216000.0,-3.4360672562,,,,,,,,,,,,30.1112805862,234.2223073087,,,7.1546242653,-1.5203513354,,,,,,-6.1290234517,-42.3836949957,-27.3364608665,,,-4.5398032949,,,56.2405808533,-3.3677711072,247.334561446,-79.3505645382,,,,,,-4.7112916236,9.6512330199,-26.7664107841,,-36.4033994975,,,,,-17.7198644526,,,34.1915349451,-28.8314209857,,51.6573480941,144.787178219,-75.9448929868,,,21.9181572083,308.0883442245,22.8907598864,,,486.5418288413,,,,273.9208418803,,,-48.8150935458,187.3907293462,,,940.1644402416,2.6405870464,,,26.7597998784,252.1130399254,159.4890055233,3.8350989625,3.8350989625,,-25.4932217625,,-97.5147313027,,,87.1189254482,,-693.8881710059,-3336.8274244071,-413.1714428053,5351.1370284321,,,,-11.3714022544,18.4820055218,101.2849382478,51.3519963988,-39.2983906053,,56.2405808533,,,,,26.7597998784,2.6405870464,,,,,940.1644402416,标准无保留意见,,,,675085000.0,
688981.SH,688981,中芯国际,10004588,通用,2018-12-31 00:00:00,年报,2018年报,058001001,2019-05-05 00:00:00,2020-07-13 00:00:00,CNY,25047213087.49,,,,,,,,,,,,959432567.55,1071231010.53,,0.0,27077876665.57,15663114368.47,,,,,,4644040320.34,287913291.19,1272899739.03,,0.0,21867967719.03,,0,5209908946.54,23291937128.94,241697513.92,2543837098.95,,,,,0.0,26077471741.81,11602929259.99,35035245813.72,,34092472.41,,,,0.0,46672267546.12,,0,-20594795804.31,11176099214.24,,6038796744.83,3315920000.0,202634725.23,,0.0,20733450684.3,3776967712.54,630124673.91,,,137007620.0,,,0.0,4544100006.45,,0,16189350677.85,-487281663.84,,0,317182156.24,12011820425.8,,0,12329002582.04,360261579.71,97430332.16,6566843069.57,6566843069.57,,389148486.7,,-745074552.31,,,-214337708.31,,-24500805.92,15648718.13,270439089.98,1847064.19,,,,-450447771.91,-819885234.27,1997771932.17,-2318222571.36,77233537.08,0.0,5209908946.54,,,,,12329002582.04,12011820425.8,,,,,317182156.24,5.6707942881,,,,,,,,,,,,-6.2609736567,-46.853045793,,,1.2553165916,12.9511811836,,,,,,5.2890113716,103.8110640624,129.794830645,,,15.2577312622,,,-32.9404213068,1725.2278388052,263.7986478708,-45.8551355384,,,,,,331.6923263174,-26.7697039455,304.5067719365,,,,,,,90.455016612,,,-11.5347717809,172.4588188039,,-28.5545596664,682.1936884567,-16.5230665558,,,56.8229475818,-9.6935560163,14.9957407836,,,,,,,-3.9372355943,,,90.6741655322,8.2443644884,,,111.5915769167,-18.5536382188,,,2.6405835668,-60.08389834,-69.3020498979,8.0272241517,8.0272241517,,-12.357779171,,-11.1531018289,,,-91.045622113,,37.5745042225,-93.834105118,2192.4186174952,-88.3024755139,,,,60.2608717883,-225.2483220501,62.3443278938,-717.6848949993,-37.2992454723,,-32.9404213068,,,,,2.6405835668,-18.5536382188,,,,,111.5915769167,标准无保留意见,,,,,
688981.SH,688981,中芯国际,10004588,通用,2017-12-31 00:00:00,年报,2017年报,058001001,2018-05-09 00:00:00,2020-07-13 00:00:00,CNY,23703061244.34,,,,,,,,,,,,1023514543.49,2015601884.46,,0.0,26742177672.29,13867154114.14,,,,,,4410754987.48,141264799.59,553928796.16,,0.0,18973102697.37,,0,7769074974.92,1276111213.83,66437166.64,4698205682.56,,,,,0.0,6040754063.03,15844438552.25,8661226027.44,,,,,,0.0,24505664579.69,,0,-18464910516.66,4101940712.84,,8452319303.56,423925691.16,242743374.57,,0.0,13220929082.13,4182390033.23,547954793.47,,,,,,0.0,4730344826.7,,0,8490584255.43,-531064562.0,,0,-2736315848.31,14748136274.11,,0,12011820425.8,902547004.16,317383837.8,6078877913.54,6078877913.54,,444019426.96,,-670313774.47,,,-112191897.38,,-39248075.83,253794760.2,-12924712.47,15790214.35,,,,-1133511962.09,654607759.09,1230576982.94,-283510504.54,123178002.66,0.0,7769074974.92,,,,,12011820425.8,14748136274.11,,,,,-2736315848.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,695.0326518898,,,,,,,,,,,,,,,,,,,,100.0,-655.7263179706,,,,,,,,,,,,,,,,,,,-100.0,224.715301086,,,,-338.2207804756,1367.1828096182,,100.0,464.9933337974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,标准无保留意见,,,,,
688981.SH,688981,中芯国际,10004588,通用,2016-12-31 00:00:00,年报,2016年报,058001001,2018-05-09 00:00:00,2019-05-05 00:00:00,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977202000,977202000.0,,,,,,,,,,,,,,,,,,,,-2443333000,-2443333000.0,,,,,,,,,,,,,,,,,,,2614778000,2614778000.0,,-27837000.0,0,1148647000.0,1005201000.0,-27837000.0,-27837000,2126011000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0260580965,46.0260580965,,,,,,,,,,,,,,,,,,,,-209.4565806605,-209.4565806605,,,,,,,,,,,,,,,,,,,386.8525614529,386.8525614529,,,,175.6406595332,66.6900483553,-91.2670056342,,111.501082868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
