stock_code,report_year,source,em_field,em_value,ths_label,ths_value,abs_diff,rel_err_pct,class,color
000651,2020,em_yearly+ths_new_yearly,FA_SCRAP_LOSS,7920199.63,fixed_assets_scrapped_loss,7920199.63,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,FAIRVALUE_CHANGE_LOSS,-200153472.05,fair_change_loss,-200153472.05,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,FINANCE_EXPENSE,-3117118954.25,cash_finance_fee,-3117118954.25,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,INVEST_LOSS,-713010071.67,investment_loss,-713010071.67,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,DEFER_TAX,1283798240.06,receive_interest_fee_and_commission_cash,1137265615.92,146532624.13999987,11.413991666879951,large_error,red
000651,2020,em_yearly+ths_new_yearly,DT_ASSET_REDUCE,993661744.02,deferred_income_tax_assets_decrease,993661744.02,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,DT_LIAB_ADD,290136496.04,deferred_income_tax_assets_addition,290136496.04,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,INVENTORY_REDUCE,-3734232466.37,inventory_decrease,-3734232466.37,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,OPERATE_RECE_REDUCE,15242828006.57,operating_receivable_decrease,15242828006.57,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,OPERATE_PAYABLE_ADD,-18480942047.82,operating_receivable_addition,-18480942047.82,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,OTHER,2811099691.88,other,2811099691.88,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,NETCASH_OPERATENOTE,19238637309.16,act_cash_flow_net,19238637309.16,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,END_CASH,24225049638.15,cash_ending_overage,24225049638.15,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,BEGIN_CASH,26372571821.49,add_period_cash_and_equivalents_overage,26372571821.49,0.0,0.0,exact,green
000651,2020,em_yearly+ths_new_yearly,CCE_ADDNOTE,-2147522183.34,indirect_cash_net_addition,-2147522183.34,0.0,0.0,exact,green
