报告日,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,中间业务净收入,中间业务收入,中间业务支出,净交易收入,衍生金融工具交易净收入,投资收益,对联营公司的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,租赁收入,净敞口套期收益,公允价值变动收益/(损失),其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,折旧费,提取呆账准备,研发费用,其他业务支出,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,加:年初未分配利润,其他因素调整,可供分配的利润,一般风险准备转入,盈余公积转入,减:提取法定盈余公积,提取法定公益金,提取一般风险准备,提取信托赔偿准备金,盈余公积补亏,提取职工奖福基金,应付永续债利息,其他,可供股东分配的利润,减:应付优先股股利,提取任意盈余公积,应付普通股股利,转作股本的普通股股利,未分配利润,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能重分类进损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下重分类进损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,1145592000.0,759356000.0,1498432000.0,739076000.0,31747000.0,52144000.0,20397000.0,,,,-16293000.0,,353179000.0,,,-16293000.0,,,14627000.0,837000.0,477000.0,1662000.0,611780000.0,15321000.0,334016000.0,,261987000.0,,,,,456000.0,533812000.0,1718000.0,,2761000.0,,532769000.0,70865000.0,,461904000.0,461904000.0,,462080000.0,-176000.0,,,,,,,,,,,,,,,,,,,,26691000.0,26691000.0,,,,,,26691000.0,,,46333000.0,,14051000.0,,,,,,488595000.0,488771000.0,-176000.0,0.23,0.23,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T21:42:02
20251231,4212599000.0,2737725000.0,6154542000.0,3416817000.0,87492000.0,170586000.0,83094000.0,,,,2660000.0,,1562739000.0,113083000.0,574787000.0,2660000.0,,,-187475000.0,4087000.0,235000.0,5136000.0,1877285000.0,57221000.0,1445136000.0,,373103000.0,,,,,1825000.0,2335314000.0,26627000.0,,12318000.0,,2349623000.0,306244000.0,,2043379000.0,2043379000.0,,2043283000.0,96000.0,2597273000.0,,4640556000.0,,,204323000.0,,557397000.0,,,,,,3878836000.0,,,511976000.0,,3366860000.0,-695785000.0,-695785000.0,-60364000.0,,,-60364000.0,,-635421000.0,-77586000.0,,-434711000.0,,-5631000.0,,,,,0.0,1347594000.0,1347498000.0,96000.0,1.01,1.01,定期报告,是,20260430,CNY,合并期末,2026-04-29T21:42:02
20250930,3220961000.0,2058496000.0,4651141000.0,2592645000.0,67848000.0,128372000.0,60524000.0,,,,8448000.0,,1115616000.0,,,8448000.0,,,-36955000.0,2958000.0,50000.0,4500000.0,1111165000.0,39474000.0,961635000.0,,108579000.0,,,,,1477000.0,2109796000.0,21156000.0,,8020000.0,,2122932000.0,414752000.0,,1708180000.0,1708180000.0,,1708446000.0,-266000.0,,,,,,,,,,,,,,,,,,,,-550609000.0,-550609000.0,,,,,,-550609000.0,,,-386997000.0,,-72199000.0,,,,,,1157571000.0,1157837000.0,-266000.0,0.85,0.85,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T20:38:03
20250630,2280413000.0,1390336000.0,3133069000.0,1742733000.0,46303000.0,88808000.0,42505000.0,,,,7150000.0,,832457000.0,56747000.0,361121000.0,7150000.0,,,-2201000.0,1883000.0,-15000.0,4500000.0,894386000.0,24509000.0,572387000.0,,296577000.0,,,,,913000.0,1386027000.0,7007000.0,,5324000.0,,1387710000.0,209367000.0,,1178343000.0,1178343000.0,,1178293000.0,50000.0,2597273000.0,,3775566000.0,,,,,557367000.0,,,,,,3218199000.0,,,330307000.0,,2887892000.0,-334608000.0,-334608000.0,,,,,,-334608000.0,-40540000.0,,-198161000.0,,-2877000.0,,,,,,843735000.0,843685000.0,50000.0,0.58,0.58,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T19:54:04
20250331,1131735000.0,703412000.0,1579156000.0,875744000.0,28407000.0,46225000.0,17818000.0,,,,8125000.0,,454941000.0,,,8125000.0,,,-68390000.0,742000.0,,4498000.0,639604000.0,10729000.0,346494000.0,,281953000.0,,,,,428000.0,492131000.0,3599000.0,,3998000.0,,491732000.0,51904000.0,,439828000.0,439828000.0,,439861000.0,-33000.0,,,,,,,,,,,,,,,,,,,,-120255000.0,-120255000.0,,,,,,-120255000.0,,,-163780000.0,-7222000.0,50747000.0,,,,,,319573000.0,319606000.0,-33000.0,0.24,0.24,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T21:30:06
20241231,4174343000.0,2817872000.0,6608725000.0,3790853000.0,52710000.0,190501000.0,137791000.0,,,,-45239000.0,,1120166000.0,102489000.0,12780000.0,-45239000.0,,,184609000.0,3592000.0,4282000.0,36351000.0,2066020000.0,46244000.0,1470156000.0,,548404000.0,,,,,1216000.0,2108323000.0,54117000.0,,12854000.0,,2149586000.0,203932000.0,,1945654000.0,1945654000.0,,1944994000.0,660000.0,2224773000.0,,4169767000.0,,,194592000.0,,468817000.0,,,,,,3506358000.0,,584352000.0,324733000.0,,2597273000.0,471005000.0,471005000.0,56184000.0,,,56184000.0,,414821000.0,80059000.0,,324487000.0,,-12752000.0,,,,,0.0,2416659000.0,2415999000.0,660000.0,0.97,0.97,定期报告,是,20260430,CNY,合并期末,2025-04-29T21:30:06
20240930,3218293000.0,2140676000.0,5014319000.0,2873643000.0,55923000.0,147364000.0,91441000.0,,,,-62922000.0,,854878000.0,,,-62922000.0,,,187421000.0,2621000.0,3995000.0,35701000.0,1372363000.0,34646000.0,1056917000.0,,280040000.0,,,,,760000.0,1845930000.0,3236000.0,,11674000.0,,1837492000.0,211464000.0,,1626028000.0,1626028000.0,,1626903000.0,-875000.0,,,,,,,,,,,,,,,,,,,,-22929000.0,-22929000.0,,,,,,-22929000.0,,,205151000.0,,-176312000.0,,,,,,1603099000.0,1603974000.0,-875000.0,0.9,0.9,定期报告,未审计,20251030,CNY,合并期末,2024-10-29T18:10:03
20240630,2275538000.0,1432039000.0,3352505000.0,1920466000.0,27327000.0,94405000.0,67078000.0,,,,-36753000.0,,704236000.0,55875000.0,12780000.0,-36753000.0,,,134398000.0,1703000.0,-359000.0,12947000.0,1071235000.0,28094000.0,617119000.0,,426022000.0,,,,,0.0,1204303000.0,1429000.0,,4410000.0,,1201322000.0,81145000.0,,1120177000.0,1120177000.0,,1119784000.0,393000.0,2224773000.0,,3344557000.0,,,,,467482000.0,,,,,,2877075000.0,,584352000.0,324733000.0,,1967990000.0,27476000.0,27476000.0,,,,,,27476000.0,31575000.0,,137130000.0,,-10012000.0,,,,,,1147653000.0,1147260000.0,393000.0,0.55,0.51,定期报告,未审计,20250828,CNY,合并期末,2024-08-27T16:50:03
20240331,1095689000.0,724479000.0,1676314000.0,951835000.0,6369000.0,48652000.0,42283000.0,,,,-46509000.0,,300288000.0,,,-46509000.0,,,109132000.0,1081000.0,,849000.0,644985000.0,10348000.0,343553000.0,,291084000.0,,,,,,450704000.0,706000.0,,3116000.0,,448294000.0,36477000.0,,411817000.0,411817000.0,,414204000.0,-2387000.0,,,,,,,,,,,,,,,,,,,,59134000.0,59134000.0,,,,,,59134000.0,,,145692000.0,,-43696000.0,,,,,,470951000.0,473338000.0,-2387000.0,0.23,0.21,定期报告,未审计,20250430,CNY,合并期末,2024-04-26T19:35:06
20231231,4045965000.0,2965573000.0,6655570000.0,3689997000.0,88760000.0,203300000.0,114540000.0,,,,-54444000.0,,894449000.0,103621000.0,82580000.0,-54444000.0,,,46645000.0,2902000.0,216000.0,101864000.0,2144593000.0,48360000.0,1401904000.0,,694329000.0,,,,,,1901372000.0,16058000.0,,5401000.0,,1912029000.0,166694000.0,,1745335000.0,1745335000.0,,1742586000.0,2749000.0,1812876000.0,,3555462000.0,,,173018000.0,,396886000.0,,,,,,2985558000.0,,454263000.0,306522000.0,,2224773000.0,120708000.0,120708000.0,-83254000.0,,,-83254000.0,,203962000.0,16206000.0,,148385000.0,,-17407000.0,,,,,,1866043000.0,1863294000.0,2749000.0,0.97,0.87,定期报告,是,20250430,CNY,合并期末,2024-04-26T19:35:06
