报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,260902375.96,,,,,,308121746.88,51351831.83,256769915.05,21039619.36,176049591.14,,,,,,,,,,,8344187.75,1430171404.97,,,,1026001.15,51753918.83,2257408846.04,,,,,,,,,,16615349.37,,,,,,,,388292775.06,,,,,1954520004.34,,,,,2049030.88,77769776.16,18058888.66,,299897.54,,85593730.64,11739655.53,2554939108.18,4812347954.22,,760512146.82,,,,322858.09,,860101240.79,149775769.67,710325471.12,,192519681.82,,,66602555.61,22872355.26,,,,,,8735386.59,,,,,,,,,,,,,,734849432.26,50351632.0,2696867289.24,,327945036.49,,,,463094.61,,,667595896.65,,,49705890.4,14699067.53,,1060408985.68,3757276274.92,,139157835.0,,,,838128967.33,,-489700.92,2188643.46,19047234.49,,,-276356909.49,,,721676069.87,333395609.43,1055071679.3,4812347954.22,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T18:24:06
20251231,,129624129.73,,,,,,345098547.78,24304662.21,320793885.57,12389779.33,33867270.74,,,,,,,,,,9407491.32,9407491.32,1275394241.88,,,,4143325.13,57574833.0,1867499618.91,,,,,,,,,,14677464.14,,,,2546062745.67,534224341.26,2011838404.41,61923062.43,383154833.55,383154833.55,,1949915341.98,62985.27,1949978327.25,,,,,2600777.2,79016285.71,14441259.43,,344421.79,,83710100.97,10282745.0,2538206215.04,4405705833.95,,495596844.42,,,,322858.09,,1002566716.66,171870287.1,830696429.56,0.0,44734367.18,,,64834799.15,11928437.69,0.0,0.0,,,9341522.73,9341522.73,,,,,,,,,,,,,,823760579.11,28434241.8,2481520366.83,,196051807.81,,,,580053.54,,712438893.66,712438893.66,,,50443290.57,15095786.43,,974609832.01,3456130198.84,,137672835.0,,,,766408906.25,,-252516.41,1710220.16,19047234.49,,,-291739742.42,,,632846937.07,316728698.04,949575635.11,4405705833.95,定期报告,是,20260424,CNY,合并期末,2026-03-23T18:56:05
20250930,,119328094.15,,,,,,330088237.2,36092117.04,293996120.16,933873.71,46836794.68,,,,,,,,,,,6933177.65,1304724310.84,,,,2176899.53,49567444.11,1860588831.87,,,,,,,,,,15744755.22,,,,,,,,499369469.09,,,,,1772261949.55,,,,,3049240.7,75144060.15,34776490.4,,264560.7,,79689864.27,14111948.07,2494412338.15,4355001170.02,,502087102.46,,,,,,926171410.15,164083827.49,762087582.66,,73660617.22,,,46170629.41,6712650.99,,,,,,10348483.25,,,,,,,,,,,,,,685884479.53,34751833.35,2285787206.36,,438383092.2,,,,1000289.51,,,616566372.78,,,51311422.22,14669819.55,,1121930996.26,3407718202.62,,137672835.0,,,,744608210.26,,-303868.59,,19047234.49,,,-267534065.23,,,633490345.93,313792621.47,947282967.4,4355001170.02,定期报告,未审计,20251024,CNY,合并期末,2025-10-23T17:07:01
20250630,,61649138.38,,,,,,321149718.95,36110113.88,285039605.07,8381244.07,32328127.72,,,,,,,,,,6188044.92,6188044.92,1244665914.93,,,,1719200.65,48307570.74,1724388960.36,,,,,,,,,,16301265.5,,,,2313747015.58,466049159.84,1847697855.74,61923974.73,473243791.6,471517154.45,1726637.15,1785773881.01,34775.34,1785808656.35,,,,,3020845.87,74300753.21,27505418.32,,395105.18,,80581536.2,12380025.31,2473537397.54,4197926357.9,,491272911.48,,,,,,851477768.76,124128843.1,727348925.66,,71515242.32,,,44023472.82,12621369.19,,,,,16591428.99,16591428.99,,,,,,,,,,,,,,661968726.81,32414687.75,2181885608.12,,344513299.07,,,,684598.03,,632188680.14,632188680.14,,,60450907.67,14526011.08,,1052363495.99,3234249104.11,,137672835.0,,,,731550438.38,,-336130.19,,19047234.49,,,-234541237.0,,,653393140.68,310284113.11,963677253.79,4197926357.9,定期报告,未审计,20250730,CNY,合并期末,2025-07-29T18:52:06
20250331,,164931579.14,,,,,,283904855.89,29814974.35,254089881.54,3017929.66,77511795.24,,,,,,,,,,,7397127.73,1170514602.56,,,,1719200.65,43743098.54,1752740189.41,,,,,,,,,,16217384.43,,,,,,,,505300406.77,,,,,1720970696.37,,,,,3729006.64,78747555.0,10937947.3,,528032.58,,88598672.32,11584371.41,2436614072.82,4189354262.23,,346683638.9,,,,,,692589861.63,21195693.0,671394168.63,,79980446.13,,,55150991.46,14120001.11,,,,,,165716009.76,,,,,,,,,,,,,,558306889.91,25567381.04,1938115219.94,,581624158.16,,,,1155992.15,,,670359035.04,,,56764903.74,14693212.56,,1324597301.65,3262712521.59,,137672835.0,,,,718492666.49,,-326885.25,,19047234.49,,,-248974448.95,,,625911401.78,300730338.86,926641740.64,4189354262.23,定期报告,未审计,20250409,CNY,合并期末,2025-04-08T19:56:02
20241231,,62287764.89,,,,,,177075703.99,32398960.57,144676743.42,11967547.98,33735238.95,,,,,,,,,,6138281.4,6138281.4,1232352293.68,,,,269200.65,72264469.92,1596090501.46,,,,,,,,,,17597698.56,,,,2197330276.49,400648158.89,1796682117.6,61924435.41,511963447.3,511963447.3,,1734757682.19,104155.11,1734861837.3,,,,,4460295.64,64690357.74,16838251.1,,649656.03,,99678714.46,22413444.94,2473153703.07,4069244204.53,,286124212.92,,,,,,724324681.42,21821121.8,702503559.62,0.0,117664020.05,,,52428367.5,4266502.42,0.0,0.0,,,5646593.8,5646593.8,,,,,,,,,,,,,,496985069.86,26257514.84,1713696962.81,,646737866.37,,,,1675084.78,,727348601.65,727348601.65,,,56986761.87,15121601.89,,1447869916.56,3161566879.37,,137672835.0,,,,718492666.49,,-359912.11,0.0,19047234.49,,,-258540050.32,,,616312773.55,291364551.61,907677325.16,4069244204.53,定期报告,是,20260324,CNY,合并期末,2025-03-14T19:55:06
20240930,,164836442.65,,,,,,217071959.3,37330732.33,179741226.97,1190500.0,72730799.04,,,,,,,,,,,7354766.86,1038548930.26,,,,361129.53,41747196.38,1543841724.02,,,,,,,,,,14501275.99,,,,,,,,479610928.41,,,,,1575574021.18,,,,,6214582.85,61941043.94,20728477.95,,654446.66,,122919744.77,139779404.7,2421923926.45,3965765650.47,,267036151.46,,,,,,633246545.83,23374305.3,609872240.53,,94555900.58,,,36025981.87,17775264.42,,,,,,1178511.66,,,,,,,,,,,,,,474503868.26,46918778.79,1571241002.87,,776238451.47,,,,2806594.84,,,677727100.12,,,58495782.03,16268511.05,,1531536439.51,3102777442.38,,137672835.0,,,,725338238.75,,-187803.41,,19047234.49,,,-296101949.76,,,585768555.07,277219653.02,862988208.09,3965765650.47,定期报告,未审计,20241025,CNY,合并期末,2024-10-24T18:40:09
20240630,,59116468.99,,,,,,247369804.37,15943476.96,231426327.41,4837759.54,25999099.35,,,,,,,,,,5855445.62,5855445.62,867482648.93,,,,276158.88,35539501.33,1246476887.01,,,,,,,,,,3586726.16,,,,1987255505.24,339746450.68,1647509054.56,59731862.12,428229536.95,372689255.8,55540281.15,1587777192.44,31068.23,1587808260.67,,,,,6999470.06,54694439.65,11206102.78,,751673.81,,125907023.8,48338296.67,2267521530.55,3513998417.56,,272783793.86,,,,,,519120736.46,19067420.93,500053315.53,,10842951.17,,,34796151.43,4434882.68,,,,,49798925.63,49798925.63,,,,,,,,,,,,,,377270327.85,15083634.04,1284131403.12,,772172783.11,,,,3538795.71,,543015068.96,543015068.96,,,52485234.57,16597359.07,,1387809241.42,2671940644.54,,137672835.0,,,,721633771.61,,-300788.92,,19047234.49,,,-306208348.37,,,571844703.81,270213069.21,842057773.02,3513998417.56,定期报告,未审计,20240827,CNY,合并期末,2024-08-26T18:35:18
20240331,,64195457.92,,,,,,278729548.08,20756194.9,257973353.18,3318288.1,86995472.94,,,,,,,,,,,3918655.75,761386638.43,,,,91928.88,29022583.51,1227658573.61,,,,,,,,,,3951023.65,,,,,,,,300311990.19,,,,,1679198748.32,,,,,7848989.47,54217082.59,,,751172.67,,122809913.85,87794255.96,2256883176.7,3484541750.31,,180229238.41,,,,,,404242378.7,18526964.0,385715414.7,,10705293.41,,,39696344.95,2880371.24,,,,,,912338848.32,,,,,,,,,,,,,,338440043.76,19378380.79,1907910899.58,,918133087.7,,,,4484742.88,,,558147393.47,,,56212002.94,16716331.47,,1553693558.46,3461604458.04,,137672835.0,,,,178833730.83,,-267581.79,,19047234.49,,,-312348926.26,,,22937292.27,,22937292.27,3484541750.31,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T18:10:07
20231231,,124078506.58,,,,,,251326327.79,19836994.44,231489333.35,2756274.92,45866546.89,,,,,,,,,,2964104.14,2964104.14,676635269.39,,,,0.0,33871542.85,1137498572.56,,,,,,,,,,2703174.84,,,,1959706714.23,295762413.93,1663944300.3,59742349.21,363967690.21,340834443.96,23133246.25,1604201951.09,261854.8,1604463805.89,,,,,5963611.69,54686086.07,,,851065.5,,112104535.68,55253797.11,2199993766.99,3337492339.55,,255345504.46,,,,,,474508638.95,32414935.45,442093703.5,,8430922.71,,,37006741.55,14595265.52,,,,,746136399.97,746136399.97,,,,,,,,,,,,,,307673204.56,16428910.57,1860125588.29,,848316329.28,,,,2775199.21,,490230214.96,490230214.96,,,55247736.83,16293092.09,,1412862572.37,3272988160.66,,137672835.0,,,,178833730.83,,-252475.93,,19047234.49,,,-270797145.5,,,64504178.89,0.0,64504178.89,3337492339.55,定期报告,是,20250315,CNY,合并期末,2024-04-26T18:10:07
