报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,客户存款和同业存放款项净增加额,吸收的存款,同业及其他金融机构存放款净增加额,拆入资金收到的现金,卖出回购证券收到的现金,买入返售证券到期返售收到的现金,收回存放同业及其他金融机构净额,收回拆出资金收到的现金,汇兑净收益收到的现金,贵金属现金流入,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,利息收入收到的现金,手续费收入收到的现金,金融企业往来收入收到的现金,证券投资收到的现金,保证金流入的现金,收回的委托资金净额,收回的已于以前年度核销的贷款及应收款项,基金管理费收入收到的现金,销售商品、提供劳务收到的现金,其他营业及营业外净收入收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,偿还中央银行借款,拆出资金支付的现金,偿还同业及其他金融机构拆入净额,贵金属现金流出,卖出回购证券到期回购支付的现金,买入返售证券支付的现金,处置可供出售金融资产净减少额,为交易目的而持有的金融资产净增加额,支付利息、手续费及佣金的现金,利息支出支付的现金,手续费支出支付的现金,金融企业往来支出支付的现金,证券投资支付的现金,以现金支付的营业费用,委托资金减少支付的现金,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益所收到的现金,分得股利或利润收到的现金,处置固定资产、无形资产和其他长期资产而收到的现金净额,处置子公司及其他营业单位收到的现金,收到的其他与投资活动有关的现金,投资活动现金流入小计,投资所支付的现金,权益性投资支付的现金,债权性投资支付的现金,购建固定资产、无形资产和其他长期资产所支付的现金,购买子公司及其他营业单位支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资所收到的现金,借款所收到的现金,发行债券收到的现金,收到的其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,发生筹资费用支付的现金,分配股利、利润或偿付利息所支付的现金,偿付利息支付的现金,支付的其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金的影响额,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,,,,,,,,,,,,30992335.09,,,,,,,,,,,,644731016.25,675723351.34,,,,,,,,,,,1911145.85,,,,,,,,73893833.1,42994297.02,45011204.84,163810480.81,511912870.53,,7394081918.59,49524625.31,,,,,7443606543.9,6964384838.08,,,5637061.2,,,6970021899.28,473584644.62,,,,,1511208108.28,1511208108.28,,,1466666.67,,2162194529.2,2163661195.87,-652453087.59,,333044427.56,,,,,330598415.36,663642842.92,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T18:13:03
20251231,,,,,,,,,,,,,,,412354583.38,,,,,,,,,,,,41780802.87,454135386.25,101508555.72,,,,,,,,,,,,,,,,,,192983985.85,11083946.31,252827177.65,558403665.53,-104268279.28,,21675679197.26,254354786.03,,8110.0,,,21930042093.29,23076123840.6,,,30156059.47,,,23106279900.07,-1176237806.78,,,,,5221356639.81,5221356639.81,,,1571111.11,,3990991685.46,3992562796.57,1228793843.24,,-51712242.82,330598415.36,382310658.18,,,382310658.18,330598415.36,定期报告,是,20260423,CNY,合并期末,2026-04-22T20:58:04
20250930,,,,,,,,,,,,,,,154261823.0,,,,,,,,,,,,35614421.91,189876244.91,-10705204.68,,,,,,,,,,6654529.5,,,,,,,,151515313.3,8245317.49,130293479.08,286003434.69,-96127189.78,,16657599541.23,254391413.4,,2310.0,,23274756.52,16935268021.15,15771312850.56,,,18676614.96,,,15789989465.52,1145278555.63,,,,,2000000000.0,2000000000.0,,,,,3316299702.65,3316299702.65,-1316299702.65,,-267148336.8,,,,,382310658.18,115162321.38,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T18:03:03
20250630,,,,,,,,,,,,,,,128942280.99,,,,,,,,,,,,121175424.54,250117705.53,-51888393.48,,,,,,,,,,4454208.39,,,,,,,,114285704.33,4762365.15,52365854.26,123979738.65,126137966.88,,7938485959.82,137597047.59,,2310.0,,,8076085317.41,9135487703.9,,,9228188.5,,10994207.88,9155710100.28,-1079624782.87,,,,,2000000000.0,2000000000.0,,,,,1314085044.06,1314085044.06,685914955.94,,-267571860.05,114738798.13,382310658.18,,,382310658.18,114738798.13,定期报告,未审计,20250813,CNY,合并期末,2025-08-12T20:53:03
20250331,,,,,,,,,,,,,,,50701445.21,,,,,,,,,,,,3053938.75,53755383.96,-41183188.8,,,,,,,,,,2678762.82,,,,,,,,74353514.43,3420003.27,32370876.65,71639968.37,-17884584.41,,5979266798.84,34303887.68,,2310.0,,,6013572996.52,4844957134.53,,,3121827.06,,,4848078961.59,1165494034.93,,,,,92144269.45,92144269.45,,,,,1458464328.41,1458464328.41,-1366320058.96,,-218710608.44,,,,,382310658.18,163600049.74,定期报告,未审计,20260429,CNY,合并期末,2025-04-24T20:43:05
20241231,,,,,,,,,,,,,,,569032565.88,,,,,,,,,,,,86112241.23,655144807.11,-28088161.17,,,,,,,,,,,,,,,,,,168321369.93,20973585.17,230212252.4,391419046.33,263725760.78,,12880555174.01,59618895.16,,8000.0,,,12940182069.17,16902310660.47,,,24311253.11,,,16926621913.58,-3986439844.41,,,,,2147615461.39,2147615461.39,,,,,440568415.23,440568415.23,1707047046.16,,-2015667037.47,382310658.18,2397977695.65,,,2397977695.65,382310658.18,定期报告,是,20260423,CNY,合并期末,2025-02-27T19:43:12
20240930,,,,,,,,,,,,,,,505798944.11,,,,,,,,,,,,449139586.31,954938530.42,,,,,,,,,,,1129810.67,,,,,,,,132476798.96,18365394.68,240584880.85,392556885.16,562381645.26,,5950916856.13,56749393.95,,8000.0,,210768377.37,6218442627.45,9066818846.3,,,21246778.75,,,9088065625.05,-2869622997.6,,,,,,0.0,,,,,4631707.17,4631707.17,-4631707.17,,-2311873059.51,,,,,2397977695.65,86104636.14,定期报告,未审计,20251029,CNY,合并期末,2024-10-08T17:43:02
20240630,,,,,,,,,,,,,,,333031783.31,,,,,,,,,,,,231104727.07,564136510.38,,,,,,,,,,,44754.78,,,,,,,,95298830.26,18194323.61,122113247.08,235651155.73,328485354.65,,2965817649.74,10485641.91,,6200.0,,,2976309491.65,5608594710.02,,,14907736.8,,23174878.82,5646677325.64,-2670367833.99,,,,,,0.0,,,,,3843199.97,3843199.97,-3843199.97,,-2345725679.31,52252016.34,2397977695.65,,,2397977695.65,52252016.34,定期报告,未审计,20250813,CNY,合并期末,2024-08-08T17:38:04
20240331,,,,,,,,,,,,,,,76087705.13,,,,,,,,,,,,31460114.86,107547819.99,,,,,,,,,,,,,,,,,,,52914635.26,12298977.36,67826276.4,133039889.02,-25492069.03,,827668975.59,,,5400.0,,,827674375.59,3133779019.82,,,5091028.97,,7599350.54,3146469399.33,-2318795023.74,,,,,,0.0,,,,,2292565.77,2292565.77,-2292565.77,,-2346579658.54,,,,,2397977695.65,51398037.11,定期报告,未审计,20250425,CNY,合并期末,2024-04-24T20:38:02
20231231,,,,,,,,,,,,,,,118614353.86,,,,,,,,,,,,580109178.13,698723531.99,-2351568161.67,,,,,,,,,,,,,,,,,,170857786.3,17397.53,4910800405.73,2730107427.89,-2031383895.9,,12051530934.77,,,8300.0,,,12051539234.77,16908231849.05,,,11184578.61,,,16919416427.66,-4867877192.89,,9034159290.1,,,,9034159290.1,,,,,14138761.19,14138761.19,9020020528.91,,2120759440.12,2397977695.65,277218255.53,,,277218255.53,2397977695.65,定期报告,是,20250228,CNY,合并期末,2024-04-24T20:38:02
