报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,585489724.58,585489724.58,,,,,,579272744.03,428500069.0,,,,,,,,,5291523.13,42630341.1,55567761.21,46194371.6,1088677.99,1329519.69,,-1933975.21,-5447663.41,,,,86684.72,,,,15067950.42,-795185.01,9636933.9,,33642.66,28313032.03,265278.59,,285797.2,,28292513.42,3230243.85,,25062269.57,25062269.57,,27224666.19,,-2162396.62,-147143.15,-147143.15,,,,,,-147143.15,,,,,,,,,-147143.15,,,24915126.42,27077523.04,-2162396.62,0.04,0.04,定期报告,未审计,20260418,CNY,合并期末,2026-04-17T18:48:03
20251231,3062570118.43,3062570118.43,,,,,,3019748484.43,2369000170.22,,,,,,,,,19620871.34,183709001.04,252256365.23,190982175.06,4179901.54,6270122.31,,6074155.11,1065815.68,,,,857628.38,,,,55353335.72,-16486610.44,-1058321.13,,-243003.0,87318818.64,2597947.64,,1341183.01,,88575583.27,2911327.02,,85664256.25,85664256.25,,80772681.79,,4891574.46,1244193.14,1244193.14,826291.6,,,826291.6,,417901.54,,,,,,,,,417901.54,,0.0,86908449.39,82016874.93,4891574.46,0.1,0.1,定期报告,是,20260317,CNY,合并期末,2026-03-16T21:10:04
20250930,1935718318.83,1935718318.83,,,,,,1905582938.51,1456403239.26,,,,,,,,,12907463.18,128903644.68,171988114.14,132909854.29,2470622.96,4960170.61,,2281328.29,-1375207.48,,,,1481507.76,,,,41063362.64,-12186027.35,12122691.62,,-119276.81,74778966.47,2585698.53,,1166902.94,,76197762.06,2719688.17,,73478073.89,73478073.89,,71590023.53,,1888050.36,483088.75,483088.75,,,,,,483088.75,,,,,,,,,483088.75,,,73961162.64,72073112.28,1888050.36,0.09,0.09,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T19:52:09
20250630,1339777130.92,1339777130.92,,,,,,1296423520.77,994915187.1,,,,,,,,,9493307.39,84028327.3,122800648.28,84129809.78,1056240.92,3243604.91,,2725326.22,2078870.43,,,,502423.3,,,,30255944.36,-99396.22,7004084.71,,-3.36,83741989.16,1920873.54,,935772.5,,84727090.2,5441118.83,,79285971.37,79285971.37,,76805072.87,,2480898.5,524790.38,524790.38,,,,,,524790.38,,,,,,,,,524790.38,,,79810761.75,77329863.25,2480898.5,0.1,0.1,定期报告,未审计,20250826,CNY,合并期末,2025-08-25T20:24:05
20250331,648246694.64,648246694.64,,,,,,652465378.74,505578711.66,,,,,,,,,3840777.1,40646507.05,60924505.64,40701476.57,773400.72,1222804.02,,2671943.49,1060654.49,,,,258109.85,,,,8660077.29,-646681.97,14960667.96,,12018.6,21697451.12,730887.4,,825986.36,,21602352.16,1568587.09,,20033765.07,20033765.07,,21034531.23,,-1000766.16,184546.72,184546.72,,,,,,184546.72,,,,,,,,,184546.72,,,20218311.79,21219077.95,-1000766.16,0.03,0.03,定期报告,未审计,20260418,CNY,合并期末,2025-04-18T20:40:02
20241231,2738522971.5,2738522971.5,,,,,,2681209612.61,2039623487.91,,,,,,,,,20803486.66,194073023.62,233937615.6,183168626.05,9603372.77,15018471.47,,14644482.7,5164294.68,,,,-463596.1,,,,50001139.44,-27760149.33,-16946395.28,,-3282382.52,73506457.8,3215046.45,,1345969.36,,75375534.89,13807758.36,,61567776.53,61567776.53,,70035264.1,,-8467487.57,5500.95,5500.95,270884.02,,,270884.02,,-265383.07,,,,,,,,,-265383.07,,0.0,61573277.48,70040765.05,-8467487.57,0.09,0.09,定期报告,是,20260317,CNY,合并期末,2025-04-18T20:40:02
20240930,1914013395.45,1914013395.45,,,,,,1914579014.82,1422193813.62,,,,,,,,,13297143.26,150478777.1,192273277.76,129125423.44,7210579.64,11603890.01,,5926485.36,-5774277.44,,,,-199738.94,,,,28666856.36,-4169258.96,-2317528.42,,606567.08,27947763.11,1876002.08,,472428.64,,29351336.55,6964502.42,,22386834.13,22386834.13,,30255505.38,,-7868671.25,-40764.21,-40764.21,,,,,,-40764.21,,,,,,,,,-40764.21,,,22346069.92,30214741.17,-7868671.25,0.04,0.04,定期报告,未审计,20251028,CNY,合并期末,2024-10-24T18:57:04
20240630,1250095262.83,1250095262.83,0.0,0.0,0.0,,,1245672257.62,924383143.25,0.0,,0.0,0.0,0.0,0.0,0.0,,9080046.57,99647278.05,124815834.83,83988916.84,3757038.08,7524454.24,0.0,1330936.32,-9106179.51,,,,-247537.87,,,,17990179.52,-4180821.87,2731483.33,,315324.45,22362569.09,1366847.72,,406363.18,,23323053.63,4751851.78,,18571201.85,18571201.85,,24394232.0,,-5823030.15,-64266.89,-64266.89,,,,,,-64266.89,,,,,,,,,-64266.89,,0.0,18506934.96,24329965.11,-5823030.15,0.03,0.03,定期报告,未审计,20250826,CNY,合并期末,2024-08-23T18:27:03
20240331,505702220.43,505702220.43,,,,,,517966334.99,376206391.4,,,,,,,,,3157055.56,46629462.94,55184124.91,34371564.0,2417736.18,3654061.62,,9775094.9,-1072278.59,,,,-190280.33,,,,9584482.94,1352671.15,1338939.08,,314528.65,9911321.83,453483.85,,333396.71,,10031408.97,1453181.26,,8578227.71,8578227.71,,10647588.47,,-2069360.76,-137767.26,-137767.26,,,,,,-137767.26,,,,,,,,,-137767.26,,,8440460.45,10509821.21,-2069360.76,0.0136,0.0136,定期报告,未审计,20250419,CNY,合并期末,2025-04-18T20:40:02
20231231,3101933965.98,3101933965.98,,,,,,3208786614.92,2381351328.83,,,,,,,,,19594444.62,259731912.67,289979457.09,235631959.98,22497511.73,24434867.17,,-6267047.85,-2600713.25,,,,495975.96,,,,57060405.85,-82305554.34,-4128543.84,,-830679.42,-142828092.58,6112054.91,,3704751.29,,-140420788.96,30295975.95,,-170716764.91,-170716764.91,,-127829925.92,,-42886838.99,-2525140.07,-2525140.07,-2888377.06,,,-2888377.06,,363236.99,,,,,,,,,363236.99,,0.0,-173241904.98,-130355065.99,-42886838.99,-0.16,-0.16,定期报告,是,20250419,CNY,合并期末,2025-04-18T20:40:02
