报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,2144174120.62,,,,,,,,,,,9665607.67,20915472.71,2174755201.0,1789593453.08,,,,,,134175750.48,48089747.84,39617198.09,2011476149.49,163279051.51,,1990000000.0,30963500.0,2378847.0,,,,,2023342347.0,10409897.29,1680000000.0,,,,,1690409897.29,332932449.71,,,,,,,0.0,,1359282.0,,584826.95,1944108.95,-1944108.95,-2211053.29,492056338.98,1227286056.37,,,,,1719342395.35,定期报告,未审计,20260425,CNY,合并期末,2026-04-24T19:38:08
20251231,,8946888222.19,,,,,,,,,,,2233167.61,77245052.2,9026366442.0,7634171460.65,,,,,,586307478.93,199424496.53,171256054.9,8591159491.01,435206950.99,,5066000000.0,62212505.23,2007935.1,,,,,5130220440.33,228296321.56,5253000000.0,,,,1832.43,5481298153.99,-351077713.66,,,,350690000.0,,,350690000.0,403940000.0,18921455.06,12910800.0,124211951.91,547073406.97,-196383406.97,3361620.2,-108892549.44,1336178605.81,1227286056.37,1336178605.81,,,1227286056.37,定期报告,是,20260331,CNY,合并期末,2026-03-30T21:10:06
20250930,,6510671240.6,,,,,,,,,,,,54797068.91,6565468309.51,5566939799.51,,,,,,392865514.27,90458640.13,141116750.3,6191380704.21,374087605.3,,3652000000.0,46547317.74,2000000.0,,,,,3700547317.74,145857799.97,3693000000.0,,,,1832.43,3838859632.4,-138312314.66,,,,171000000.0,,,171000000.0,307940000.0,7151721.72,2410800.0,121874851.26,436966572.98,-265966572.98,4122738.98,-26068543.36,1336178605.81,,,,,1310110062.45,定期报告,未审计,20251027,CNY,合并期末,2025-10-26T15:48:21
20250630,,4299730520.91,,,,,,,,,,,,40380357.42,4340110878.33,3937375017.65,,,,,,267566177.83,52598078.92,85409781.79,4342949056.19,-2838177.86,,2946000000.0,24097317.74,500000.0,,,,,2970597317.74,78637350.3,2868000000.0,,,,1832.43,2946639182.73,23958135.01,,,,131000000.0,,,131000000.0,217090000.0,5767178.29,2410800.0,21838514.33,244695692.62,-113695692.62,3614520.27,-88961215.2,1336178605.81,1247217390.61,1336178605.81,,,1247217390.61,定期报告,未审计,20250826,CNY,合并期末,2025-08-25T19:38:17
20250331,,2223282293.38,,,,,,,,,,,,50267869.27,2273550162.65,2130807555.84,,,,,,126129804.82,20458344.52,40099873.99,2317495579.17,-43945416.52,,300000000.0,,500000.0,,1740974317.74,,,2041474317.74,40949868.01,,,,,1999001832.43,2039951700.44,1522617.3,,,,51000000.0,,,51000000.0,47250000.0,1699004.87,,180376.24,49129381.11,1870618.89,1332606.3,-39219574.03,1337479519.02,,,,,1298259944.99,定期报告,未审计,20260425,CNY,合并期末,2025-04-27T16:32:10
20241231,,10664107765.04,,,,,,,,,,,21110021.39,190756606.21,10875974392.64,9060640738.74,,,,,,576597580.13,292274937.47,287929423.07,10217442679.41,658531713.23,,6142010000.0,80230558.62,427779.64,,66418245.38,,,6289086583.64,505007050.44,6544000000.0,,,,,7049007050.44,-759920466.8,,,,126000000.0,,28166.84,126028166.84,68500000.0,30456285.55,24500000.0,242546528.18,341502813.73,-215474646.89,8989241.49,-307874158.97,1644052764.78,1336178605.81,1644052764.78,,,1336178605.81,定期报告,是,20260331,CNY,合并期末,2025-03-28T22:25:04
20240930,,7986593858.15,,,,,,,,,,,21375063.97,144075417.37,8152044339.49,6698411073.77,,,,,,402590589.62,226791090.74,161217093.88,7489009848.01,663034491.48,,3856022000.0,71507498.33,409875.23,,,,,3927939373.56,420735404.06,4074000000.0,,,,,4494735404.06,-566796030.5,,,,66000000.0,,,66000000.0,68300000.0,18448329.38,14000000.0,236898559.71,323646889.09,-257646889.09,6920118.87,-154488309.24,1644052764.78,,,,,1489564455.54,定期报告,未审计,20251027,CNY,合并期末,2024-10-17T19:20:10
20240630,,5348797511.6,,,,,,,,,,,21110021.39,72857150.96,5442764683.95,4503672635.06,,,,,,272280779.89,180489261.57,101658542.4,5058101218.92,384663465.03,,472000000.0,4582000.0,243988.39,,,,,476825988.39,177099113.43,981000000.0,,,,,1158099113.43,-681273125.04,,,,26000000.0,,,26000000.0,27250000.0,2992155.02,,236898559.71,267140714.73,-241140714.73,5431971.06,-532318403.68,1644052764.78,1111734361.1,1644052764.78,,,1111734361.1,定期报告,未审计,20250826,CNY,合并期末,2024-08-19T18:50:09
20240331,,2455236656.14,,,,,,,,,,,21110021.39,50210721.33,2526557398.86,2333032348.41,,,,,,134976678.66,71578921.14,43512008.77,2583099956.98,-56542558.12,,,,205128.98,,472000000.0,,,472205128.98,92941057.5,,,,,675448574.5,768389632.0,-296184503.02,,,,26000000.0,,,26000000.0,27050000.0,1488090.94,,222444233.71,250982324.65,-224982324.65,2779126.57,-574930259.22,1644052764.78,,,,,1069122505.56,定期报告,未审计,20250428,CNY,合并期末,2024-04-29T19:05:12
20231231,,9873135476.37,,,,,,,,,,,,136650427.68,10009785904.05,8368850260.55,,,,,,579335084.5,497267155.54,301573252.92,9747025753.51,262760150.54,,,4955882.0,1870228.56,1031600.12,,,,7857710.68,479373241.04,2671010000.0,,60427273.96,,1270000.0,3212080515.0,-3204222804.32,,2273226413.32,,68000000.0,,64966.17,2341291379.49,63200000.0,44183743.2,38500000.0,23729311.28,131113054.48,2210178325.01,5951038.39,-725333290.38,2369386055.16,1644052764.78,2369386055.16,,,1644052764.78,定期报告,是,20250517,CNY,合并期末,2024-03-25T18:50:10
