报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向央行借款净增加额,客户存款和同业存放款项净增加额,客户存款,同业及其他金融机构存放款,收回存放同业及其他金融机构净额,拆入资金现金流入,收回的拆出资金净额,吸收的卖出回购项净额,收回的买入返售项净额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,收到利息,收到的手续费,金融企业往来收入收到的现金,中间业务收入收到的现金,证券投资收益收到的现金,汇兑净收益收到的现金,存入保证金收到的现金,销售商品、提供劳务收到的现金,贵金属现金流入,收到的委托资金,贴现收到的现金,其他负债增加流入的现金,收回的已于以前年度核销的贷款及应收款项,已核销呆账贷款及利息收回,处置抵债资产收到的现金,其他营业及营业外净收入收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,存放中央银行,存放同业及其他机构存款,拆出资金净现金流出,偿还中央银行借款,支付的存款,减少同业及其他金融机构存放净额,偿还同业及其他金融机构拆入净额,偿还卖出回购款项净额,证券投资支出的现金,支付买入返售款项净额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,支付的利息,手续费支出支付的现金,支付给职工以及为职工支付的现金,以现金支付的营业费用,与金融机构往来支出的现金净额,贴现支付的现金,委托及代理业务减少额,贵金属现金流出,购买商品、接受劳务支付的现金,借入其他资金净减少额,其他资产减少支出的现金,为交易目的而持有的金融资产净增加额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,分得股利或利润所收到的现金,取得债券利息收入收到的现金,处置固定资产、无形资产及其他资产而收到的现金,处置股权投资所收到的现金,处置子公司及其他单位收到的现金,取得子公司及其他营业单位所收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,权益性投资增加支付的现金,债券投资所支付的现金,购买子公司、联营企业及合营企业投资所支付的现金净额,增加在建工程所支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资所收到的现金,发行证券化资产所吸收的现金,取得借款收到的现金,发行债券收到的现金,发行次级债券收到的现金,增加股本所收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,分配股利、利润或偿付利息支付的现金,偿付利息所支付的现金,支付新股发行费用,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20230930,,,2210505000.0,19698733000.0,,,342379000.0,,,,,2273140000.0,14892016000.0,14360752000.0,531264000.0,,,,,,,,,,,,,,,,1243829000.0,40660602000.0,34694356000.0,,,,1955811000.0,,,,,,,,,8017026000.0,7854953000.0,162073000.0,1672111000.0,,,,,,,,,,1955188000.0,1438366000.0,49732858000.0,-9072256000.0,,57114748000.0,7828591000.0,,,24050000.0,,,,,64967389000.0,83341867000.0,,,,,223606000.0,,,83565473000.0,-18598084000.0,,,,,126208475000.0,,,,126208475000.0,100460000000.0,1908363000.0,413174000.0,,,102422832000.0,23785643000.0,44729000.0,-3839968000.0,,,,,19486479000.0,15646511000.0,定期报告,未审计,20241031,CNY,合并期末,2023-10-27T18:30:03
20230630,,,,21163332000.0,,,,,,,,1201399000.0,9788537000.0,9442832000.0,345705000.0,,,,,,,,,,,,,,,,1694818000.0,33848086000.0,26366958000.0,187169000.0,,,2331577000.0,3105731000.0,,,,,,,,5569659000.0,5467030000.0,102629000.0,1216422000.0,,,,,,,,,,1145261000.0,722511000.0,40645288000.0,-6797202000.0,,39830390000.0,5105647000.0,,,1686000.0,,,,,44937723000.0,59136119000.0,,,,,143106000.0,,,59279225000.0,-14341502000.0,,,,,74180422000.0,,,,74180422000.0,58770000000.0,486338000.0,413174000.0,,,59289858000.0,14890564000.0,28445000.0,-6219695000.0,,,,,19486479000.0,13266784000.0,定期报告,未审计,20240831,CNY,合并期末,2023-08-30T20:10:03
20230331,,,,15964367000.0,,,,4804018000.0,,,,677953000.0,4990229000.0,4811687000.0,178542000.0,,,,,,,,,,,,,,,,317360000.0,26753927000.0,14990409000.0,1206665000.0,,,,1643202000.0,,,,,,,,2931679000.0,2882228000.0,49451000.0,803358000.0,,,,,,,,,,475392000.0,407570000.0,22458275000.0,4295652000.0,,15836426000.0,2489379000.0,,,1944000.0,,,,,18327749000.0,30050080000.0,,,,,47233000.0,,,30097313000.0,-11769564000.0,,,,,24628988000.0,,,,24628988000.0,24320000000.0,353893000.0,353893000.0,,,24688755000.0,-59767000.0,6193000.0,-7527486000.0,,,,,19486479000.0,11958993000.0,定期报告,未审计,20240427,CNY,合并期末,2023-04-27T22:30:05
20221231,,,,36773154000.0,,,,22199832000.0,,,,,20131238000.0,19169891000.0,961347000.0,,,,,,,,,,,,,,,,984952000.0,80089176000.0,39501177000.0,1027965000.0,,,,11055119000.0,,,,,,,,11365040000.0,11211080000.0,153960000.0,2006818000.0,,,,,,,,,5095692000.0,3065961000.0,1659747000.0,74777519000.0,5311657000.0,,67513686000.0,10693011000.0,,,9475000.0,,,,,78216172000.0,90771009000.0,,,,,338021000.0,,,91109030000.0,-12892858000.0,,,,,160242638000.0,,,,164742038000.0,147220000000.0,2299589000.0,555241000.0,,,154797437000.0,9944601000.0,94516000.0,2457916000.0,,,,,17028563000.0,19486479000.0,定期报告,是,20240328,CNY,合并期末,2023-03-30T19:20:04
20220930,,,,32339171000.0,,,,,,,,,15214176000.0,14372825000.0,841351000.0,,,,,,,,,,,,,,,,914007000.0,48467354000.0,28129225000.0,2250655000.0,,,8067610000.0,8326691000.0,,,,,,,,8393254000.0,8280645000.0,112609000.0,1549233000.0,,,,,,,,,98697000.0,2147604000.0,1120302000.0,60083271000.0,-11615917000.0,,54201916000.0,8047155000.0,,,9095000.0,,,,,62258166000.0,74623302000.0,,,,,220580000.0,,,74843882000.0,-12585716000.0,,,,,125980124000.0,,,,125980124000.0,105070000000.0,1864644000.0,479917000.0,,,106981924000.0,18998200000.0,348795000.0,-4854638000.0,,,,,17028563000.0,12173925000.0,定期报告,未审计,20231028,CNY,合并期末,2022-10-26T21:25:04
20220630,,,201019000.0,32886593000.0,,,,,,,,1000037000.0,10081976000.0,9511978000.0,569998000.0,,,,,,,,,,,,,,,,1158151000.0,45327776000.0,23308205000.0,982415000.0,,,17303296000.0,,,,,,,,,5056723000.0,4983709000.0,73014000.0,1111504000.0,,,,,,,,,,1351540000.0,454105000.0,49567788000.0,-4240012000.0,,34497560000.0,5161462000.0,,,8212000.0,,,,,39667234000.0,51088408000.0,,,,,160510000.0,,,51248918000.0,-11581684000.0,,,,,82273692000.0,,,,82273692000.0,72510000000.0,509586000.0,479916000.0,,,73051399000.0,9222293000.0,51484000.0,-6547919000.0,,,,,17028563000.0,10480644000.0,定期报告,未审计,20230831,CNY,合并期末,2022-08-30T21:35:04
20220331,,,,14215225000.0,,,,,,,,2000037000.0,4966982000.0,4630005000.0,336977000.0,,,,,,,,,,,,,,,,426046000.0,21608290000.0,11809361000.0,478198000.0,,,29343664000.0,832704000.0,,,,,,,,2530939000.0,2494319000.0,36620000.0,733657000.0,,,,,,,,,,633373000.0,585960000.0,46947856000.0,-25339566000.0,,26706120000.0,2695578000.0,,,13007000.0,,,,,29414705000.0,16316134000.0,,,,,79834000.0,,,16395968000.0,13018737000.0,,,,,48464545000.0,,,1651000.0,48466196000.0,36390000000.0,429399000.0,429399000.0,,,36834305000.0,11631891000.0,-4014000.0,-692952000.0,,,,,17028563000.0,16335611000.0,定期报告,未审计,20230428,CNY,合并期末,2022-04-29T19:55:04
20211231,,,22687576000.0,5366149000.0,,,1246713000.0,15491962000.0,,,,,20767092000.0,19226607000.0,1540485000.0,,,,,,,,,,,,,,,,767248000.0,66326740000.0,39025158000.0,,,,,,,,,,,,,11690551000.0,11555620000.0,134931000.0,1931856000.0,,,,,,,,,1685301000.0,3372691000.0,3535974000.0,61241531000.0,5085209000.0,,54820365000.0,9741725000.0,,,69918000.0,,,,,64632008000.0,80123830000.0,,,,,349659000.0,,,80473489000.0,-15841481000.0,,3714628000.0,,,125942895000.0,,,,129657523000.0,110940000000.0,2405829000.0,801499000.0,,,113383787000.0,16273736000.0,-13122000.0,5504342000.0,,,,,11524221000.0,17028563000.0,定期报告,是,20230331,CNY,合并期末,2022-03-31T18:25:04
20210930,,,9185459000.0,7769993000.0,,,750089000.0,4982792000.0,,,,116543000.0,15145746000.0,14312920000.0,832826000.0,,,,,,,,,,,,,,,,1102183000.0,39052805000.0,34656805000.0,,,,,,,,,,,,,8663671000.0,8565433000.0,98238000.0,1500603000.0,,,,,,,,,,2455560000.0,1885585000.0,49162224000.0,-10109419000.0,,42990628000.0,6855487000.0,,,68395000.0,,,,,49914510000.0,58011893000.0,,,,,195595000.0,,,58207488000.0,-8292978000.0,,,,,101942930000.0,,3705288000.0,,105648218000.0,82920000000.0,1804872000.0,489002000.0,,,84756603000.0,20891615000.0,-35373000.0,2453845000.0,,,,,11524221000.0,13978066000.0,定期报告,未审计,20221027,CNY,合并期末,2021-10-29T18:55:04
20210630,,,3839915000.0,11989253000.0,,,,,,,,26050000.0,9964339000.0,9483819000.0,480520000.0,,,,,,,,,,,,,,,,611675000.0,26431232000.0,30203353000.0,1424690000.0,,,6347536000.0,,,,,,,,,5276597000.0,5213586000.0,63011000.0,1088757000.0,,,,,,,,,,1592078000.0,1537853000.0,47470864000.0,-21039632000.0,,30405907000.0,4381306000.0,,,40594000.0,,,,,34827807000.0,34799965000.0,,,,,124189000.0,,,34924154000.0,-96347000.0,,3705288000.0,,,70979602000.0,,,,74684890000.0,49990000000.0,510427000.0,489002000.0,,,50518622000.0,24166268000.0,-42953000.0,2987336000.0,,,,,11524221000.0,14511557000.0,定期报告,未审计,20220831,CNY,合并期末,2021-08-30T20:35:05
