报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,292684296.4,,,158100000.0,,,215215062.84,7355110.6,207859952.24,123000.0,18285677.42,,,,,,,,,,,228523969.84,140143170.97,51672048.0,,,,9503886.19,1115839763.63,,,,,,,,64206126.78,,,,,,,,,,,,,,,162102201.13,,,53183194.6,1588651.97,16220812.92,55089185.45,15187369.63,,4975247.7,,30136874.32,9491699.4,410592711.93,1526432475.56,,41993830.13,,,,,,42802639.43,,42802639.43,12789784.91,4054733.73,,,30039833.03,12112322.75,,,,,,36290961.22,,,,,,,,,,,,,,13334502.16,7578171.65,200996779.01,,6049255.56,,,,8360802.52,3524073.77,,,,6946818.02,27428277.79,4883675.93,,57192903.59,258189682.6,,510247899.0,,,,1581159996.03,21386880.0,16829181.38,4623786.39,32322298.62,,,-860585699.92,,,1263210581.5,5032211.46,1268242792.96,1526432475.56,定期报告,未审计,20260429,CNY,合并期末,2026-04-29T01:00:05
20251231,,429181589.81,,,65000000.0,,,259191149.41,7487067.58,251704081.83,127460.0,6960366.3,,,,,,,,,,10984997.86,10984997.86,128317758.3,646967126.53,,,,9459170.2,1558495353.48,,,,,,,,65237968.25,,,,,,422171935.05,255835660.04,166336275.01,,0.0,0.0,,166336275.01,,166336275.01,,,54017736.37,2305735.07,16800191.9,56754256.75,14363638.25,,5414898.42,,30253265.35,9491699.4,418669929.7,1977165283.18,,220218319.44,,,,,,56215351.14,,56215351.14,63067851.66,2930108.7,,,34119687.78,14405385.17,,,,,28827949.26,28827949.26,,,,,,,,,,,,191879178.1,,13204982.21,7477742.62,632346556.08,,6013688.89,,,,8948866.64,3652707.26,,,,7017375.67,28455750.22,4076028.18,,58164416.86,690510972.94,,510247899.0,,,,1581159996.03,21386880.0,20355727.47,4623786.4,32322298.62,,,-848506442.64,,,1278816384.88,7837925.36,1286654310.24,1977165283.18,定期报告,是,20260429,CNY,合并期末,2026-04-29T00:56:04
20250930,,337537924.63,,,144211000.0,,,354022920.61,,354022920.61,13110278.23,30590835.59,,,,,,,,,,,43060013.73,402579273.23,,,,1059484.33,16412379.45,1347427043.62,,,,,,,,,,,,,,,,,,,,,,,258012690.65,,,49465385.19,4842933.82,8555602.0,153597891.17,53819875.82,,2436685.51,,75872424.35,54761871.94,656522426.63,2003949470.25,,249387835.66,,,,,,149484389.84,,149484389.84,4693257.28,29455341.81,,,23701741.29,17015795.04,,1474045.83,,,,89303213.77,,,,,,,,,,,,,,3134174.75,11750984.69,577926734.13,,35527611.11,,,,4441936.6,,,49937500.0,,21192868.86,38312769.47,11570716.55,,160983402.59,738910136.72,,510247899.0,,,,1581159996.03,21386880.0,21134099.46,3034892.38,32322298.62,,,-873283847.52,,,1253228457.97,11810875.56,1265039333.53,2003949470.25,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T19:38:29
20250630,,328842691.85,,,145747020.38,,,401587935.02,,401587935.02,12956214.12,23281753.07,,,,,,,,,,37487133.59,37487133.59,365602879.44,,,,1059484.33,16839666.23,1339066821.98,,,,,,,,,,,,,,698626523.43,410195914.97,288430608.46,10223879.07,,,,278206729.4,,278206729.4,,,58905429.34,5662043.95,9420016.52,162674336.34,57956937.05,,1611956.11,,65939822.3,44354089.11,679069316.17,2018136138.15,,279391284.92,,,,,,138857607.44,,138857607.44,7124141.56,19045602.99,,,25801824.05,11967877.64,,75764.8,,,48163276.08,48239040.88,,,,,,,,,,,,,,5585172.47,10170089.53,546182641.48,,33516859.59,,,,4954195.75,,49937500.0,49937500.0,,16601947.02,39320241.9,11986801.62,,156317545.88,702500187.36,,510247899.0,,,,1581159996.03,21386880.0,22784122.99,1528394.96,32322298.62,,,-825297799.75,,,1301358031.85,14277918.94,1315635950.79,2018136138.15,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T20:40:05
20250331,,257577739.48,,,367150000.0,,,387921649.38,,387921649.38,7436725.59,21994729.57,,,,,,,,,,,34508983.0,341973079.52,,,,,16775853.41,1441107965.62,,,,,,,,,,,,,,,,,,,,,,,284828194.84,,,61869950.74,5769205.67,9705053.65,167574932.54,54233021.21,,8662870.04,,67168771.1,42897616.12,696940410.24,2138048375.86,,327657006.48,,,,,,163475134.23,,163475134.23,7987829.12,11373952.06,,,24892502.08,13938351.32,,140031.1,,,,34917038.74,,,,,,,,,,,,,,17913155.36,1230460.08,603385429.47,,104503045.55,,,,5345327.15,,,50347500.0,,16614588.06,40167714.33,12137248.43,,229115423.52,832500852.99,,510247899.0,,,,1581159996.03,21386880.0,18416434.39,1528394.96,32322298.62,,,-831317568.94,,,1290970574.06,14576948.81,1305547522.87,2138048375.86,定期报告,未审计,20250429,CNY,合并期末,2025-04-29T01:32:06
20241231,,624242145.23,,,,,,522065594.79,17277810.34,504787784.45,5058812.7,11191813.43,,,,,,,,,,31478184.25,31478184.25,314089016.35,,,,2076547.61,13039363.2,1529010683.23,,,,,,,,,,,,,,723873484.49,424568082.38,299305402.11,10223879.07,1610021.1,1610021.1,,289081523.04,,289081523.04,,,62427850.08,5769205.67,7186685.78,171846103.44,51841403.21,,8904771.65,,66990221.55,45367178.0,705255757.85,2234266441.08,,332880932.43,,,,,,189361449.82,,189361449.82,1350623.16,6841799.27,,,27245468.79,26652719.43,,140031.1,,,33945447.37,34085478.47,,,,,,,,,,,,,,43030514.53,11911304.33,673360290.23,,100200000.0,,,,5265848.23,,61416758.41,61416758.41,,16621166.55,41685186.76,11409998.53,,236598958.48,909959248.71,,510334717.0,,,,1581347522.91,21661224.88,18456906.53,1528394.96,32322298.62,,,-812739718.79,,,1309588896.35,14718296.02,1324307192.37,2234266441.08,定期报告,是,20260429,CNY,合并期末,2025-04-29T01:32:06
20240930,,163502233.32,,,,,,421526084.83,,421526084.83,22863365.64,35574680.35,,,,,,,,,,,42258397.17,425010081.93,,,,3349617.16,17011783.36,1134017292.95,,,,,,,,,,,,,,,,,,1462230.16,,,,,295347654.99,,,77389892.24,2921049.19,6152080.1,179926603.43,89305774.74,67421341.85,8109133.18,,57265843.41,40536180.84,822916734.94,1956934027.89,,381022962.06,,,,,,166244130.8,,166244130.8,,16674791.47,,,15044836.75,14413452.41,,,,,,48845033.41,,,,,,,,,,,,,,49724357.11,9750584.55,701720148.56,,80971906.85,,,,3797546.35,,,64337500.0,,6347122.9,35332659.19,14005703.7,,204792438.99,906512587.55,,396073738.0,,,,1267932091.99,35733280.0,15141330.65,,32322298.62,,,-638892842.2,,,1036843337.06,13578103.28,1050421440.34,1956934027.89,定期报告,未审计,20241030,CNY,合并期末,2024-10-29T19:50:11
20240630,,124366731.9,,,,,,413603821.5,,413603821.5,34278057.72,35279262.26,,,,,,,,,,43554787.4,43554787.4,394379825.5,,,,3349617.16,21575217.85,1075122196.51,,,,,,,,,,,,,,723203848.37,426428629.47,296775218.9,,1462230.16,1462230.16,,296775218.9,,296775218.9,,,69237603.26,4734875.22,6825113.86,183907473.56,83789720.92,67421341.85,8455840.62,,57238774.28,40526180.84,815639498.25,1890761694.76,,384684208.72,,,,,,145946914.72,,145946914.72,482098.07,22314537.22,,,16081143.38,10922349.45,,,,,39786476.97,39786476.97,,,,,,,,,,,,,,45404995.13,9552956.16,675175679.82,,15018888.89,,,,4286825.17,,69763105.0,69763105.0,,6455272.35,36310131.62,13997245.68,,145831468.71,821007148.53,,393795738.0,,,,1256842520.93,28534800.0,23544123.27,,32322298.62,,,-621982781.16,,,1055987099.66,13767446.57,1069754546.23,1890761694.76,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T18:25:04
20240331,,205478544.55,,,,,,438914425.3,,438914425.3,50533854.77,31557167.75,,,,,,,,,,,31527002.42,370526274.62,,,,3406550.98,22089955.6,1159423763.89,,,,,,,,,,,,,,,,,,1708790.37,,,,,302040917.46,,,54960061.5,5389987.9,7381291.39,188580992.35,76316344.64,67421341.85,8889385.45,,54861991.4,45091663.04,807252779.45,1966676543.34,,392572142.72,,,,,,153980584.49,,153980584.49,1315623.16,16527474.05,,,15849050.42,10433236.01,,,,,,39045462.81,,,,,,,,,,,,,,100227778.7,19201535.21,749152887.57,,25000000.0,,,,5605877.6,,,58709926.0,,6426468.73,37288706.67,18533411.48,,151564390.48,900717278.05,,393795738.0,,,,1244504338.8,28534800.0,18345057.82,,32322298.62,,,-605480306.62,,,1054952326.62,11006938.67,1065959265.29,1966676543.34,定期报告,未审计,20240429,CNY,合并期末,2024-04-28T16:20:22
20231231,,214643857.26,,,,,,571700095.95,,571700095.95,41667960.33,17525171.72,,,,,,,,,,26099507.43,26099507.43,348892457.46,,,,3377120.98,17788980.62,1247085139.65,,,,,,,,,,,,,,723846363.43,412936753.89,310909609.54,,1637381.28,1637381.28,,310909609.54,,310909609.54,,,52816209.95,5389987.9,8031940.51,193200625.98,69724147.46,67421341.85,9325408.71,,53653854.88,45481663.04,812202183.2,2059287322.85,,417021766.07,,,,,,177532996.37,,177532996.37,1315623.16,13247954.21,,,17419943.49,30333108.86,,,,,41791548.2,41791548.2,,,,,,,,,,,,,,105469693.13,17775612.62,821908246.11,,26023657.45,,,,5591574.05,,59988946.2,59988946.2,,6415327.71,37149166.67,13707181.83,,148875853.91,970784100.02,,393795738.0,,,,1244504338.8,28534800.0,19635837.6,,32322298.62,,,-584305477.55,,,1077417935.47,11085287.36,1088503222.83,2059287322.85,定期报告,是,20250429,CNY,合并期末,2024-04-26T23:40:04
