报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,605293398.36,605293398.36,,,,,,528848790.25,442789130.26,,,,,,,,,22288259.94,808028.5,41602513.72,21709928.01,-349070.18,1218092.3,,524536.05,,,,,378000.0,,,,206989.96,-2581666.62,-336863.18,,14863.95,74650468.27,314819.7,,42255.94,,74923032.03,17642320.01,,57280712.02,57280712.02,,57129018.36,,151693.66,,,,,,,,,,,,,,,,,,,,57280712.02,57129018.36,151693.66,0.22,0.22,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T20:56:11
20251231,2738807969.31,2738807969.31,,,,,,2597875549.68,2329087524.1,,,,,,,,,40339661.11,2893246.48,151609356.34,78928899.96,-4983138.31,4080900.47,,4980770.89,,,,,151000.0,,,,15447857.23,-8996805.99,-1444479.24,,-38408.42,151032354.1,2143122.94,,739528.44,,152435948.6,36971831.65,,115464116.95,115464116.95,,114575634.05,,888482.9,,,,,,,,,,,,,,,,,,,,115464116.95,114575634.05,888482.9,0.44,0.44,定期报告,是,20260428,CNY,合并期末,2026-04-27T20:56:11
20250930,2163847532.23,2163847532.23,,,,,,2045177440.33,1858989397.33,,,,,,,,,25412505.48,1375833.59,109497506.64,54064124.65,-4161927.36,3286140.04,,3635180.39,,,,,,,,,11959157.23,-3817903.24,-637442.88,,-139037.36,129670046.04,1984425.85,,558383.2,,131096088.69,27908240.57,,103187848.12,103187848.12,,102193300.88,,994547.24,,,,,,,,,,,,,,,,,,,,103187848.12,102193300.88,994547.24,0.39,0.39,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T18:16:18
20250630,1555626040.11,1555626040.11,,,,,,1467472382.05,1345346083.69,,,,,,,,,14527294.26,959994.55,73046502.81,35537456.72,-1944949.98,2394641.54,,3342643.4,,,,,,,,,7541757.23,-2656281.69,-237414.07,,-13019.76,96131343.17,1829043.09,,136152.06,,97824234.2,20270311.04,,77553923.16,77553923.16,,76699735.81,,854187.35,,,,,,,,,,,,,,,,,,,,77553923.16,76699735.81,854187.35,0.29,0.29,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T19:40:04
20250331,714283122.25,714283122.25,,,,,,662413217.28,601591383.21,,,,,,,,,5290552.61,515702.23,39935756.59,15871676.83,-791854.19,1393144.06,,1416208.18,,,,,,,,,2498878.15,-323549.8,-634403.51,,27988.09,54855026.08,224526.35,,90854.24,,54988698.19,11990342.44,,42998355.75,42998355.75,,43014599.43,,-16243.68,,,,,,,,,,,,,,,,,,,,42998355.75,43014599.43,-16243.68,0.16,0.16,定期报告,未审计,20260428,CNY,合并期末,2025-04-25T19:26:07
20241231,2357202550.96,2357202550.96,,,,,,2253120306.38,2041764645.72,,,,,,,,,15075122.39,1600585.82,137313408.6,67958002.63,-10591458.78,2675060.87,,1526281.87,,,,,,,,,14483134.41,-6654131.47,-226279.28,,97698.92,113308949.03,3956100.37,,668287.97,,116596761.43,19682087.65,,96914673.78,96914673.78,,96125068.64,,789605.14,,,,,,,,,,,,,,,,,,,,96914673.78,96125068.64,789605.14,0.37,0.37,定期报告,是,20260428,CNY,合并期末,2025-04-25T19:26:07
20240930,1673466674.32,1673466674.32,,,,,,1585725196.63,1437016803.61,,,,,,,,,10957635.21,805423.99,101810157.24,44974046.28,-9838869.7,1792098.07,,385017.32,,,,,,,,,5645881.25,-1865639.51,-272321.69,,8394.39,91642809.45,2282308.19,,382303.95,,93542813.69,16427627.62,,77115186.07,77115186.07,,77080473.96,,34712.11,,,,,,,,,,,,,,,,,,,,77115186.07,77080473.96,34712.11,0.29,0.29,定期报告,未审计,20251030,CNY,合并期末,2024-10-29T19:12:04
20240630,1226959952.7,1226959952.7,,,,,,1162272492.35,1061728335.98,,,,,,,,,7172778.21,428692.86,69221269.99,30843269.21,-7121853.9,1098333.34,,220876.71,,,,,,,,,5645881.25,-1365191.14,130514.35,,97.17,69319638.69,209087.47,,246943.79,,69281782.37,12584198.49,,56697583.88,56697583.88,,56738885.82,,-41301.94,,,,,,,,,,,,,,,,,,,,56697583.88,56738885.82,-41301.94,0.22,0.22,定期报告,未审计,20250829,CNY,合并期末,2024-08-28T20:42:05
20240331,499970523.45,499970523.45,,,,,,460365218.08,414126536.21,,,,,,,,,3997030.85,200001.0,31998431.68,14233256.24,-4190037.9,767070.29,,220876.71,,,,,,,,,544468.33,-310228.24,-904636.09,,97.17,39155883.25,101556.5,,208737.86,,39048701.89,6845357.87,,32203344.02,32203344.02,,32216120.49,,-12776.47,,,,,,,,,,,,,,,,,,,,32203344.02,32216120.49,-12776.47,0.12,0.12,定期报告,未审计,20250426,CNY,合并期末,2024-04-26T20:07:04
20231231,1923394916.45,1923394916.45,,,,,,1834448419.96,1641721478.72,,,,,,,,,12175238.53,1017956.29,121276038.87,65989037.13,-7731329.58,941446.16,,448198.94,,,,,,,,,15588764.84,-1451998.78,-1054343.47,,202480.3,102679598.32,38509.44,,5602727.78,,97115379.98,17367711.17,,79747668.81,79747668.81,,80088659.82,,-340991.01,,,,,,,,,,,,,,,,,,,,79747668.81,80088659.82,-340991.01,0.35,0.35,定期报告,是,20250426,CNY,合并期末,2024-04-26T20:07:04
