报告日,经营活动产生的现金流量,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,拆出资金净减少额,融出资金净减少额,卖出回购金融资产收到的现金,证券投资收到的现金,买入返售金融资产收到的现金,代理买卖业务的现金净增加额,代理兑付证券净增加额,代理承销证券收到的现金净额,保证金现金流入,收到的资产管理业务,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,处置交易性金融资产的净减少额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,偿还拆入资金支付的现金,拆出资金净增加额,融出资金净增加额,回购金融资产支付的现金,买入返售金融资产支付的现金,证券投资支付的现金,代理买卖证券净减少额,代兑付债券支付的现金净额,保证金现金流出,为交易目的而持有的金融资产净增加额,以现金支付的营业费用,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产及其他长期资产收回的现金净额,处置子公司和其他营业单位收到的现金,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,吸收权益性投资所收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,1094304612.25,,,299074842.26,20032378117.46,,,2746119088.9,,,,,,,572169761.19,24744046422.06,,,224566719.04,300000000.0,,,,,,,,,2474138917.72,,,327884999.78,69699252.21,824763435.35,4221053324.1,20522993097.96,,10983108.65,26769837.33,44809.84,,301950.91,38099706.73,15990322072.84,17090505.28,,8778527.09,16016191105.21,-15978091398.48,,,,,89500000.0,1880000000.0,,1969500000.0,2939500000.0,87803737.36,,15739037.69,3043042775.05,-1073542775.05,-292717.08,3471066207.35,,,,,28922663755.67,32393729963.02,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T20:32:03
20251231,,,,3831112361.89,,,,1079651698.1,,,7750818319.75,,,,,,,1958764749.03,14620347128.77,,,751179632.38,1380000000.0,,2355910445.08,,,,,,,224797652.88,,,1435839959.53,540605204.97,3664372689.34,10352705584.18,4267641544.59,,6172467.74,200960960.38,48384.64,,8562969.2,215744781.96,1139718968.86,92639201.27,,227180.14,1232585350.27,-1016840568.31,,20000000.0,,20000000.0,20000000.0,9750000000.0,,9790000000.0,7764326000.0,605713302.74,40220732.47,66021703.97,8436061006.71,1353938993.29,-345002.48,4604394967.09,28922663755.67,24318268788.58,,,24318268788.58,28922663755.67,定期报告,是,20260328,CNY,合并期末,2026-03-27T21:38:20
20250930,,,,2842586449.2,,,,13193556086.73,,,3721164297.48,,,,,,,1439819120.42,21197125953.83,,,564517275.8,1800000000.0,,1774142008.31,,,,,,,2087293546.17,,,1128680710.01,401165567.42,2681115921.4,10436915029.11,10760210924.72,,5596512.57,191158023.37,35554.91,,,198971861.41,9391139045.19,52258470.84,,227180.14,9443624696.17,-9244652834.76,,20000000.0,,20000000.0,20000000.0,6580000000.0,,6620000000.0,6164326000.0,521512015.67,40220732.47,52882250.18,6738720265.85,-118720265.85,-187981.77,1396649842.34,,,,,24318268788.58,25714918630.92,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T20:56:04
20250630,,,,1794455044.79,,,144130084.55,9216534501.19,,,851348709.74,,,,,,,1073029308.01,13079497648.28,,,359659070.17,850000000.0,,,,,,,,,8351881816.07,,,817585959.87,303551608.16,1694392427.07,12377070881.34,702426766.94,,,175997091.45,27704.0,,,178206566.01,2356487447.31,33808960.03,,,2390296407.34,-2212089841.33,,20000000.0,,20000000.0,20000000.0,4000000000.0,,4040000000.0,2464326000.0,413477358.14,40220732.47,37212677.85,2915016035.99,1124983964.01,-152539.16,-384831649.54,23933437139.04,24318268788.58,,,24318268788.58,23933437139.04,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T21:50:03
20250331,,,,949590795.54,,,,15456079048.93,,,171256678.12,,,,,,,498550842.09,17075477364.68,,,184125132.56,1380000000.0,,308209652.86,,,,,,,3018255192.81,,,305591523.18,75086080.93,1463395511.55,6734663093.89,10340814270.79,,,127048877.97,17437.0,,2181770.56,129248085.53,13537354398.74,15470960.91,,,13552825359.65,-13423577274.12,,,,,20000000.0,1000000000.0,,1020000000.0,344326000.0,104374605.97,,18556137.04,467256743.01,552743256.99,-37692.25,-2530057438.59,,,,,24318268788.58,21788211349.99,定期报告,未审计,20260430,CNY,合并期末,2025-04-26T01:02:03
20241231,,6540616881.65,,3422848800.22,,,,,,,4099924957.15,,,,,,,2484431224.36,16547821863.38,,,829493956.55,1070000000.0,,1721962801.39,11139994883.74,,,,,,,,,1373137290.99,210673316.05,2446205326.28,18791467575.0,-2243645711.62,,6192250771.51,212950153.51,92571.5,,6198382.93,6411491879.45,103980901.0,100771445.26,,83837278.03,288589624.29,6122902255.16,,15000000.0,,15000000.0,28228675.11,886563000.0,,929791675.11,2061993675.11,639092450.14,40143509.1,81413783.91,2782499909.16,-1852708234.05,255495.33,2026803804.82,24318268788.58,22291464983.76,,,22291464983.76,24318268788.58,定期报告,是,20260328,CNY,合并期末,2025-03-28T22:27:02
20240930,,2183915022.04,,2421313331.12,,,806604224.88,,,,3396483164.02,,,,,,,2239485074.04,11047800816.1,,,618567397.14,790000000.0,,,6041836997.34,,,,,,,,,1077557211.36,152330516.53,2018756863.23,10699048985.6,348751830.5,,3995842075.71,203085222.01,70052.0,,,4198997349.72,44480900.0,71337125.72,,63493827.53,179311853.25,4019685496.47,,,,,28228675.11,860283000.0,,888511675.11,1748362675.11,635387396.2,40143509.1,63231898.09,2446981969.4,-1558470294.29,-91496.31,2809875536.37,,,,,22291464983.76,25101340520.13,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T20:12:02
20240630,,,,1651618465.36,1250000000.0,,792797068.74,,,,,,,,,,,1737174608.73,5431590142.83,,,458646921.95,,,,5993504545.9,,,492654134.94,,,3686015140.88,,,786894515.77,103323807.17,1410361816.55,12931400883.16,-7499810740.33,,8620696891.19,186735680.14,27848.56,,,8807460419.89,44480900.0,49869612.55,,23577733.05,117928245.6,8689532174.29,,,,,18228675.11,500834000.0,,519062675.11,1447515675.11,497972346.33,40143509.1,43341730.9,1988829752.34,-1469767077.23,90548.29,-279955094.98,22011509888.78,22291464983.76,,,22291464983.76,22011509888.78,定期报告,未审计,20250830,CNY,合并期末,2024-08-23T20:12:03
20240331,,4279436164.44,,774346908.11,,,440444639.26,10031874332.52,,,,,,,,,,1280321533.35,16806423577.68,,,170002473.37,1800000000.0,,,,,,730201613.09,,,,,,304262072.15,46356799.97,730260831.07,3781083789.65,13025339788.03,,4584596.6,140071359.98,82910.73,,,144738867.31,11093499600.97,19317977.84,,29297099.42,11142114678.23,-10997375810.92,,,,,10000000.0,44787000.0,,54787000.0,1182796000.0,123519827.99,,21987123.12,1328302951.11,-1273515951.11,13344.29,754461370.29,,,,,22291464983.76,23045926354.05,定期报告,未审计,20250426,CNY,合并期末,2024-04-29T22:22:09
20231231,,1564186868.26,,3437299246.47,,,,2068060053.98,,,,,,,,,,2054763828.29,9124309997.0,,,756949716.12,739000000.0,,874405050.77,,,,2074998355.82,,,,,,1497705795.31,291046994.96,2454054126.2,8688160039.18,436149957.82,,31071463.77,233503031.51,796868.82,,,268033717.84,3498130660.32,180175413.76,,13471737.6,3691777811.68,-3423744093.84,,3179575129.64,,,10000000.0,5324263000.0,,8513838129.64,8947787000.0,831938522.42,59919569.43,80408599.83,9860134122.25,-1346295992.61,191902.85,-4333698225.78,22291464983.76,26625163209.54,,,26625163209.54,22291464983.76,定期报告,是,20250329,CNY,合并期末,2024-03-08T21:07:10
