报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向中央银行借款净增加额,客户存款和同业存放款项净增加额,收回存放同业及其他金融机构净额,拆入资金收到的现金,收回拆出资金收到的现金,销售商品、提供劳务收到的现金,收到的税费返还,手续费收入收到的现金,利息收入收到的现金,卖出回购证券收到的现金,买入返售证券到期返售收到的现金,金融企业往来收入收到的现金,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,保证金流入的现金,吸收的存款,同业及其他金融机构存放款净增加额,处置抵债资产收到的现金,汇兑净收益收到的现金,证券投资收到的现金,中间业务收入收到的现金,其他营业及营业外净收入收到的现金,贴现收到的现金,收回的委托资金净额,受托资产管理收到的现金净额,收到的其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,证券投资支付的现金,手续费支出支付的现金,利息支出支付的现金,金融企业往来支出支付的现金,买入返售证券支付的现金,处置可供出售金融资产净减少额,为交易目的而持有的金融资产净增加额,卖出回购证券到期回购支付的现金,以现金支付的营业费用,拆出资金支付的现金,支付利息、手续费及佣金的现金,存放中央银行款项净增加额,贵金属现金流出,支付的存款,存放同业及其他机构存款净增加额,偿还中央银行借款,减少同业及其他金融机构存放净额,贴现支付的现金,偿还同业及其他金融机构拆入净额,委托资金减少支付的现金,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,处置子公司及其他营业单位收到的现金,取得投资收益所收到的现金,取得债权投资利息收入收到的现金,处置固定资产、无形资产和其他长期资产而收到的现金净额,分得股利或利润收到的现金,收到的其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,权益性投资支付的现金,债权性投资支付的现金,购买子公司及其他营业单位支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,发行债券收到的现金,吸收投资所收到的现金,借款所收到的现金,发行次级债所收到的现金,收到的其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,分配股利、利润或偿付利息所支付的现金,偿付利息支付的现金,发生筹资费用支付的现金,支付的其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金的影响额,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,,,18473272780.92,,,,,,,,,,,201613352.94,,,,,,,,,,,63637854.39,44109220982.6,,623349896.04,,196416278.6,407007401.56,,,,,,,,,,,941326673.55,,,,321162987.41,,,,,,51103615.51,46021092631.18,-1911871648.58,,,,,,,,,0.0,12583512.89,599684742.84,,,,,612268255.73,-612268255.73,,,,,,,0.0,,113900000.0,,,,114651440.84,-114651440.84,22081841.67,-2616709503.48,,,,,5720070982.78,3103361479.3,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T18:13:04
20251231,,,,,,17142784760.29,,,,,,,,,,,491858232.54,,,,,,,,,,,233795566.31,104206909644.81,,75601018.94,,388646878.79,1199981590.13,,,,,,,,,,,3260987964.98,,,,44463000.0,,,,,,213347177.03,105169863691.83,-962954047.02,,1006723826.89,,889217.07,,213590.21,,,1007826634.17,50649725.08,1006723826.89,,,,,1057373551.97,-49546917.8,,6000000000.0,,,,,6000000000.0,1500000000.0,2543874699.65,,,13456986.62,4060262426.69,1939737573.31,-12016871.17,915219737.32,5720070982.78,4804851245.46,,,4804851245.46,5720070982.78,定期报告,是,20260424,CNY,合并期末,2026-04-23T19:05:04
20250930,,,,,,17486286422.33,,,,,,,,,,,431073244.16,,,,,,,,,,,153120547.55,81991173569.81,,1293306763.67,,312197600.16,890607157.67,,,,,,,,,,,2368118421.33,,,,1111162888.97,,,,,,155299919.13,86272564302.39,-4281390732.58,,1006723826.89,,889217.07,,203190.21,,,1007816234.17,32865606.08,1006723826.89,,,,,1039589432.97,-31773198.8,,6000000000.0,,,,,6000000000.0,1500000000.0,1772753936.37,,,12246324.91,3287161316.06,2712838683.94,3643515.39,-1596681732.05,,,,,4804851245.46,3208169513.41,定期报告,未审计,20251025,CNY,合并期末,2025-10-24T21:15:04
20250630,,,,,,16485672085.55,,,,,,,,,,,334390678.48,,,,,,,,,,,94806761.11,57614273801.68,,1691307401.13,,239176460.53,620637665.37,,,,,,,,,,,1610700161.33,,,,1213462999.85,,,,,,96059181.14,62671323122.7,-5057049321.02,,1006723826.89,,889217.07,,,,,1007613043.96,17680409.22,1006723826.89,,,,,1024404236.11,-16791192.15,,4000000000.0,,,,,4000000000.0,,1688103936.37,,,8468593.53,1697858772.3,2302141227.7,-2523014.18,-2774222299.65,2030628945.81,4804851245.46,,,4804851245.46,2030628945.81,定期报告,未审计,20250816,CNY,合并期末,2025-08-15T18:17:02
20250331,,,,,,9763647981.11,,,,,,,,,,,189300820.64,,,,,,,,,,,45014024.32,30383662141.75,,316782005.5,,174603719.08,351863297.14,,,,,,,,,,,808418467.75,,,,253900056.93,,,,,,39447863.01,35361887866.96,-4978225725.21,,10169826.89,,6173.11,,,,,10176000.0,13036934.16,10169826.89,,,,,23206761.05,-13030761.05,,2000000000.0,,,,,2000000000.0,,78900000.0,,,3974982.83,83158908.01,1916841091.99,289121.58,-3074126272.69,,,,,4804851245.46,1730724972.77,定期报告,未审计,20260424,CNY,合并期末,2025-04-25T20:19:15
20241231,,,,,809466575.0,14109033965.42,,,,,,,,,,,397197781.93,,,,,,,,,,,276439229.9,91562383085.33,,762804881.06,,355471388.67,1156382853.4,,,,,,,,,,,3160762451.74,,,,,,,,,,187695803.35,90138606011.17,1423777074.16,,99980105.49,,19894.51,,36800.0,,,100036800.0,743890088.1,99980105.49,,,,,843870193.59,-743833393.59,,7000000000.0,450000000.0,,,,7450000000.0,4500000000.0,1650489981.12,,,19520843.51,6173136715.42,1276863284.58,6924679.38,1963731644.53,4804851245.46,2841119600.93,,,2841119600.93,4804851245.46,定期报告,是,20260424,CNY,合并期末,2025-04-25T20:53:03
20240930,,,,,374283526.14,9795052564.6,,,,,,,,,,,326054843.69,,,,,,,,,,,176956587.07,66905110581.51,,308527393.81,,289131970.8,868380119.31,,,,,,,,,,,2344819252.82,,,,,,,,,,122715635.55,68018466340.51,-1113355759.0,,,,,,36800.0,,,36800.0,724301312.69,,,,,,724301312.69,-724264512.69,,7000000000.0,450000000.0,,,,7450000000.0,4500000000.0,1608489981.12,,,10719234.47,6121352331.26,1328647668.74,-5066700.59,-514039303.54,,,,,2841119600.93,2327080297.39,定期报告,未审计,20251025,CNY,合并期末,2024-10-28T19:51:03
20240630,,,,,622294575.13,13218976873.74,,3944440495.55,,,,,,,,,231594960.96,,,,,,,,,,,133152076.56,50376095427.96,,450742248.18,46186754276.56,218672008.64,627739545.35,,,,,,,,,,,1512999859.43,,,,,,,,,,81212633.06,49161213576.78,1214881851.18,,,,,,,,,0.0,714003756.09,,,,,,714003756.09,-714003756.09,,5000000000.0,,,,,5000000000.0,4500000000.0,1565289981.12,,,10085526.4,6076865950.28,-1076865950.28,2098887.53,-573888967.66,2267230633.27,2841119600.93,,,2841119600.93,2267230633.27,定期报告,未审计,20250816,CNY,合并期末,2024-08-16T19:36:11
20240331,,,,,,4763792361.71,,1928709356.55,,,,,,,,,120847733.3,,,,,,,,,,,31176624.7,24006883274.58,,84699371.76,25563928607.62,158815359.62,262547235.21,,,,,,,,,,,722400668.56,,,,26999775.73,,,,,,36784160.2,26860949356.37,-2854066081.79,,,,,,,,,0.0,709229039.66,,,,,,709229039.66,-709229039.66,,3000000000.0,,,,,3000000000.0,,,,,6170000.0,6995882.38,2993004117.62,888358.3,-569402645.53,,,,,2841119600.93,2271716955.4,定期报告,未审计,20250426,CNY,合并期末,2024-04-26T23:26:03
20231231,,,,,75510671.93,10631869659.19,,7605595845.29,,,,,,,,,498698834.21,,,,,,,,,,,78111978.89,80176003619.81,,754841420.8,72581870492.52,320765163.47,1010824439.24,,,2338020066.23,,,,,,,,2455335699.18,,,,435200011.55,,,,,,154026603.82,77446357103.17,2729646516.64,,,,,,162400.0,,,162400.0,252759368.56,,,,,,252759368.56,-252596968.56,,1500000000.0,,,,,1500000000.0,3000000000.0,1404133234.7,,,6449991.6,4412632781.5,-2912632781.5,-3268812.57,-438852045.99,2841119600.93,3279971646.92,,,3279971646.92,2841119600.93,定期报告,是,20250426,CNY,合并期末,2024-04-26T23:01:03
