报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,1734938018.28,1734938018.28,,,,,,1894466333.65,1459171816.23,,,,,,,,,4807947.35,25964400.6,112879256.61,284039938.7,7602974.16,19197377.16,,78070065.33,57080542.08,,,,7307953.9,,,,4299289.61,-224291.71,2354746.79,,52317.84,-67668233.61,152331038.96,,336960.33,,84325845.02,1136536.91,,83189308.11,83189308.11,,63318431.13,,19870876.98,,,,,,,,,,,,,,,,,,,,83189308.11,63318431.13,19870876.98,0.0127,0.0127,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T16:14:04
20251231,7988358629.24,7988358629.24,,,,,,8178059821.36,6216159220.44,,,,,,,,,17336882.47,136827307.47,544347784.96,1267134381.19,-3745755.17,97917326.89,,309755939.68,210677532.77,,,,13084015.92,,,,21047506.21,-125679466.9,-78358434.34,,693974.52,-49157657.03,388791642.17,,19279227.21,,320354757.93,5693094.51,,314661663.42,314661663.42,,258399935.11,,56261728.31,-605884.7,-605884.7,,,,,,-605884.7,-605884.7,,,,,,,,,,,314055778.72,257794050.41,56261728.31,0.05,0.05,定期报告,是,20260410,CNY,合并期末,2026-04-09T19:48:06
20250930,5802820006.85,5802820006.85,,,,,,5874127073.91,4412841823.25,,,,,,,,,9228153.95,82026240.94,413467009.89,973947093.9,-17383248.02,81765627.63,,212242729.81,155368081.16,,,,8205424.91,,,,12032925.81,-43014987.69,-30727170.69,,211359.34,87643214.43,275631771.29,,2431270.84,,360843714.88,1156731.18,,359686983.7,359686983.7,,312787577.36,,46899406.34,4548810.0,4548810.0,,,,,,4548810.0,4548810.0,,,,,,,,,,,364235793.7,317336387.36,46899406.34,0.0625,0.0625,定期报告,未审计,20251024,CNY,合并期末,2025-10-23T17:14:02
20250630,4144081077.78,4144081077.78,,,,,,4151229690.99,3149729081.52,,,,,,,,,6674622.36,48673515.07,313764428.52,640971560.81,-8583517.29,55411522.79,,144327181.67,104815251.34,,,,5280311.77,,,,9322750.43,-43069828.76,-33214506.46,,254204.55,75751499.99,167255552.69,,1583531.49,,241423521.19,856851.14,,240566670.05,240566670.05,,202670637.62,,37896032.43,4548810.0,4548810.0,,,,,,4548810.0,4548810.0,,,,,,,,,,,245115480.05,207219447.62,37896032.43,0.04,0.04,定期报告,未审计,20250826,CNY,合并期末,2025-08-25T17:38:09
20250331,1889405046.89,1889405046.89,,,,,,1934125241.25,1454484878.55,,,,,,,,,4131695.7,29343655.76,162837842.56,284883101.88,-1555933.2,28030377.87,,70921404.47,50787934.68,,,,1752985.03,,,,5061854.57,-768813.73,-315190.13,,24182.14,31956227.99,88974546.18,,714413.11,,120216361.06,259420.92,,119956940.14,119956940.14,,104285204.93,,15671735.21,,,,,,,,,,,,,,,,,,,,119956940.14,104285204.93,15671735.21,0.0209,0.0209,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T16:50:13
20241231,7979733591.73,7979733591.73,,,,,,8061663629.6,6012163120.92,,,,,,,,,13499112.78,116815400.96,642019228.54,1311353582.75,-34186816.35,115713711.29,,310542683.3,203454274.51,,,,14220166.92,,,,38511986.89,-171846697.48,-96139638.34,,-297177.85,13061285.57,443554226.22,,12713350.92,,443902160.87,13173799.43,,430728361.44,430728361.44,,365414160.54,,65314200.9,4238470.85,4238470.85,,,,,,4238470.85,4238470.85,,,,,,,,,,,434966832.29,369652631.39,65314200.9,0.07,0.07,定期报告,是,20260410,CNY,合并期末,2025-04-09T19:52:09
20240930,5645227922.2,5645227922.2,,,,,,5816700002.32,4316790469.41,,,,,,,,,25183388.83,58098890.26,478925577.14,955323449.84,-17621773.16,86911866.6,,230270985.09,144372516.5,,,,7495659.2,,,,12321800.65,1480609.91,-40712890.46,,68390.39,39452474.66,307799817.44,,7098211.49,,340154080.61,76792309.41,,263361771.2,263361771.2,,222265754.76,,41096016.44,-1171241.33,-1171241.33,,,,,,-1171241.33,-1171241.33,,,,,,,,,,,262190529.87,221094513.43,41096016.44,0.0444,0.0444,定期报告,未审计,20251024,CNY,合并期末,2024-10-30T15:42:05
20240630,3975130214.75,3975130214.75,,,,,,4092041374.63,3046263410.48,,,,,,,,,14189546.19,38075462.61,362925103.61,643368527.19,-12780675.45,61550132.41,,156467379.16,92902973.11,,,,4532645.06,,,,10080559.45,385526.16,-33292679.32,,-1199.71,21261070.92,220396434.54,,5846851.93,,235810653.53,53181050.27,,182629603.26,182629603.26,,149854701.08,,32774902.18,-1171241.33,-1171241.33,,,,,,-1171241.33,-1171241.33,,,,,,,,,,,181458361.93,148683459.75,32774902.18,0.03,0.03,定期报告,未审计,20250826,CNY,合并期末,2024-08-30T21:32:03
20240331,1862000340.8,1862000340.8,,,,,,1919409184.74,1418092911.58,,,,,,,,,4669132.63,19453830.48,177680715.38,300795008.35,-1282413.68,34076201.77,,64622421.05,35627834.42,,,,2147839.68,,,,2339060.58,377793.75,-9752396.13,,-1199.71,2324675.28,119866908.62,,2211864.02,,119979719.88,34979402.66,,85000317.22,85000317.22,,69808877.14,,15191440.08,,,,,,,,,,,,,,,,,,,,85000317.22,69808877.14,15191440.08,0.014,0.014,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T16:27:03
20231231,7597096137.2,7597096137.2,,,,,,7828145452.82,5768530706.57,,,,,,,,,15440796.74,130472591.17,655666284.21,1273726981.04,-15691906.91,133779410.72,,318569670.89,175446173.14,,,,4327216.54,,,,57662598.96,-108770823.06,-62934217.26,,2016693.76,-20178175.79,450914140.04,,9156107.59,,421579856.66,-5439741.45,,427019598.11,427019598.11,,340048085.95,,86971512.16,1891397.02,1891397.02,,,,,,1891397.02,1891397.02,,,,,,,,,,,428910995.13,341939482.97,86971512.16,0.07,0.07,定期报告,是,20250410,CNY,合并期末,2024-04-09T16:17:03
20230930,5403994561.3,5403994561.3,,,,,,5601481527.06,4036457501.95,,,,,,,,,8736400.21,58579659.88,579806480.82,925679203.96,-7777719.76,86133102.94,,213919625.12,117474458.09,,,,11423294.13,,,,37730380.65,-1161881.5,-32071555.95,,93644.43,32446541.12,293645349.4,,5605780.34,,320486110.18,2410731.13,,318075379.05,318075379.05,,262660786.06,,55414592.99,4193812.3,4193812.3,,,,,,4193812.3,4193812.3,,,,,,,,,,,322269191.35,266854598.36,55414592.99,0.0525,0.0525,定期报告,未审计,20241031,CNY,合并期末,2023-10-30T16:17:09
20230630,3735433838.03,3735433838.03,,,,,,3853869279.05,2783589508.13,,,,,,,,,4914426.16,40683531.26,375652275.32,647405456.2,1624081.98,57091650.11,,149057766.65,84601105.08,,,,9083353.93,,,,23670024.52,-1176849.54,-25269146.36,,-25887.63,36903820.55,184359382.33,,1832696.43,,219430506.45,3888713.88,,215541792.57,215541792.57,,178253981.01,,37287811.56,4193812.3,4193812.3,,,,,,4193812.3,4193812.3,,,,,,,,,,,219735604.87,182447793.31,37287811.56,0.0356,0.0356,定期报告,未审计,20240831,CNY,合并期末,2023-08-28T15:42:03
20230331,1793687506.52,1793687506.52,,,,,,1856172733.69,1346922614.14,,,,,,,,,2477750.35,18969777.03,188906443.05,298436677.95,459471.17,26735718.9,,64036437.07,35916066.39,,,,7768413.31,,,,4139474.7,-1000249.52,-8786216.52,,,3672631.87,111984090.91,,1324769.73,,114331953.05,548226.31,,113783726.74,113783726.74,,93865848.56,,19917878.18,,,,,,,,,,,,,,,,,,,,113783726.74,93865848.56,19917878.18,0.0188,0.0188,定期报告,未审计,20240430,CNY,合并期末,2023-04-28T15:47:07
20221231,7505830863.97,7505830863.97,,,,,,7622445243.15,5455358780.24,,,,,,,,,3599797.9,99056767.74,759948821.5,1351342848.41,-46861772.64,85339266.71,,280505503.72,143777431.32,,,,376336.93,,,,63509286.81,-107870111.45,-34800897.22,,123466.88,85229206.49,334319402.03,,11233507.23,,408315101.29,2569123.19,,405745978.1,405745978.1,,326226804.77,,79519173.33,-5054443.17,-5054443.17,-5000000.0,,,-5000000.0,,-54443.17,-54443.17,,,,,,,,,,,400691534.93,321172361.6,79519173.33,0.07,0.07,定期报告,是,20240411,CNY,合并期末,2023-04-21T17:32:07
20220930,5396161625.02,5396161625.02,,,,,,5595678465.35,4004892995.97,,,,,,,,,-899081.96,64227503.75,590999313.62,965571255.38,-29113521.41,55673888.65,,202674326.38,108128840.03,,,,14160917.47,,,,26840734.3,-12693771.56,-16291422.73,,60532.97,15234476.5,306002926.94,,5053286.58,,316184116.86,754127.38,,315429989.48,315429989.48,,253823285.81,,61606703.67,,,,,,,,,,,,,,,,,,,,315429989.48,253823285.81,61606703.67,0.0508,0.0508,定期报告,未审计,20231031,CNY,合并期末,2022-10-28T17:07:05
20220630,3706210760.36,3706210760.36,,,,,,3833721656.89,2766239477.36,,,,,,,,,-3023422.08,38406217.33,384842684.86,651952905.85,-4696206.43,45909486.73,,126507001.79,66120795.62,,,,9055469.54,,,,18531795.75,-10235181.19,-15684249.89,,,663939.47,204627482.79,,3242769.14,,202048653.12,1623998.09,,200424655.03,200424655.03,,157173399.56,,43251255.47,,,,,,,,,,,,,,,,,,,,200424655.03,157173399.56,43251255.47,0.0314,0.0314,定期报告,未审计,20230829,CNY,合并期末,2022-08-29T15:52:18
20220331,1752257278.68,1752257278.68,,,,,,1784967273.37,1299030679.0,,,,,,,,,2637393.08,24188004.22,178760655.47,282297597.26,-1947055.66,20607381.3,,56290418.48,29529121.65,,,,3519329.14,,,,7363472.64,-2658831.56,-203610.26,,,31600783.75,83288525.14,,1777799.31,,113111509.58,1237348.65,,111874160.93,111874160.93,,91999976.64,,19874184.29,,,,,,,,,,,,,,,,,,,,111874160.93,91999976.64,19874184.29,0.0184,0.0184,定期报告,未审计,20230429,CNY,合并期末,2022-04-29T15:47:04
20211231,7458687599.62,7458687599.62,,,,,,7483751248.62,5294703119.02,,,,,,,,,7219662.15,96355700.95,749771416.29,1366120050.3,-30418700.09,82173630.6,,182467350.94,27291550.95,,,,5391775.58,,,,57445087.85,-72798793.15,-74865354.79,,2278996.29,74855413.72,314824150.93,,8052643.25,,381626921.4,1992051.93,,379634869.47,379634869.47,,315070953.26,,64563916.21,206919.66,206919.66,,,,,,206919.66,206919.66,,,,,,,,,,,379841789.13,315277872.92,64563916.21,0.06,0.06,定期报告,是,20230422,CNY,合并期末,2022-04-25T16:37:04
20210930,5461476741.51,5461476741.51,,,,,,5490190077.88,4024074475.76,,,,,,,,,7361849.91,14096503.02,572412202.55,891506931.23,-19261884.59,57859203.97,,117011510.36,8377684.74,,,,2647336.26,,,,15143939.97,-1500054.58,-31003063.42,,,73586332.22,221427078.81,,6561837.97,,288451573.06,-285609.57,,288737182.63,288737182.63,,241417448.9,,47319733.73,,,,,,,,,,,,,,,,,,,,288737182.63,241417448.9,47319733.73,0.0483,0.0483,定期报告,未审计,20221029,CNY,合并期末,2021-10-29T15:47:04
20210630,3669514250.01,3669514250.01,,,,,,3727686057.67,2757601547.91,,,,,,,,,10244002.55,9208228.46,386241332.68,578669269.69,-14278323.62,36786688.59,,78328107.15,5925185.18,,,,,,,,8367111.3,-1106777.61,-26972876.84,,0.0,443756.34,164257620.48,,4145764.9,,160555611.92,148566.09,,160407045.83,160407045.83,,128261348.28,,32145697.55,,,,,,,,,,,,,,,,,,,,160407045.83,128261348.28,32145697.55,0.0256,0.0256,定期报告,未审计,20220830,CNY,合并期末,2022-08-29T15:52:18
