报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,1011396691.82,,,,,,,,,,,7896379.61,2847507.4,1022140578.83,616908041.67,,,,,,159834124.51,100317291.35,160136337.87,1037195795.4,-15055216.57,,25000000.0,11322171.08,201127.66,,,,,36523298.74,61496631.29,,,,,277.4,61496908.69,-24973609.95,,,,211741427.9,,,211741427.9,181788167.85,20710976.66,3500000.0,2139141.58,204638286.09,7103141.81,-1312946.82,-34238631.53,426827323.89,,,,,392588692.36,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T16:28:04
20251231,,2411191919.86,,,,,,,,,,,26792050.05,89413154.0,2527397123.91,824321885.3,,,,,,430166549.54,215982919.9,652415326.43,2122886681.17,404510442.74,,130069874.56,18531196.07,652331.49,,,,,149253402.12,245759492.85,169691548.22,,,,,415451041.07,-266197638.95,,200065504.5,200065504.5,838311614.86,,32451343.0,1070828462.36,1044409453.42,122118800.45,5630140.36,12272561.81,1178800815.68,-107972353.32,-1525898.05,28814552.42,398012771.47,426827323.89,398012771.47,,,426827323.89,定期报告,是,20260331,CNY,合并期末,2026-03-30T20:56:05
20250930,,1754849502.41,,,,,,,,,,,22108860.23,79593049.84,1856551412.48,577242784.45,,,,,,329480078.06,163913893.23,499462694.66,1570099450.4,286451962.08,,91992518.74,18304714.57,396099.76,,2507000.0,,,113200333.07,192874309.22,99760000.0,,,,597684.99,293231994.21,-180031661.14,,100074640.86,100074640.86,453254298.06,,31660315.5,584989254.42,576522941.27,102453186.25,5630140.36,7911297.24,686887424.76,-101898170.34,1198427.29,5720557.89,398012771.47,,,,,403733329.36,定期报告,未审计,20251024,CNY,合并期末,2025-10-23T16:46:39
20250630,,1214988780.58,,,,,,,,,,,15573044.06,67123490.02,1297685314.66,386617422.56,,,,,,238460132.07,117432145.14,328440980.76,1070950680.53,226734634.13,,51992518.74,18231837.86,303362.62,,2507000.0,,,73034719.22,136660185.08,20000000.0,,,,597441.81,157257626.89,-84222907.67,,100000000.0,100000000.0,343015109.13,,,443015109.13,436716594.08,82076935.53,5630140.36,5463606.44,524257136.05,-81242026.92,1432547.09,62702246.63,398012771.47,460715018.1,398012771.47,,,460715018.1,定期报告,未审计,20250822,CNY,合并期末,2025-08-21T17:26:04
20250331,,543403515.75,,,,,,,,,,,11728100.69,12513439.82,567645056.26,166366097.61,,,,,,151006282.65,53554724.63,142446841.22,513373946.11,54271110.15,,20000000.0,13874984.82,191800.14,,,,,34066784.96,70487043.54,20000000.0,,,,414933.48,90901977.02,-56835192.06,,,,135897615.74,,,135897615.74,131426438.0,23688238.44,,2648195.51,157762871.95,-21865256.21,349272.26,-24080065.86,398012771.47,,,,,373932705.61,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T17:00:09
20241231,,3353893562.38,,,,,,,,,,,26681310.37,1323865730.61,4704440603.36,2705135705.59,,,,,,387973811.59,244392403.04,1079259635.96,4416761556.18,287679047.18,,11860714.29,20539166.53,30412477.71,1080000.0,,,,63892358.53,382118972.33,114283849.72,,,,,496402822.05,-432510463.52,,,,649002221.81,,438768.0,649440989.81,571888005.07,135976623.34,8119678.45,74890280.74,782754909.15,-133313919.34,-548351.09,-278693686.77,676706458.24,398012771.47,676706458.24,,,398012771.47,定期报告,是,20260331,CNY,合并期末,2025-03-28T20:15:12
20240930,,2664502269.8,,,,,,,,,,,23454991.21,381152482.12,3069109743.13,1575389276.3,,,,,,301766869.93,183443229.5,812567791.13,2873167166.86,195942576.27,,4100000.0,16591512.56,18344252.34,,,,,39035764.9,311409689.78,111811391.95,,,,2507000.0,425728081.73,-386692316.83,,,,495686585.67,,441005.67,496127591.34,382286058.19,118524005.18,8119678.45,57039423.61,557849486.98,-61721895.64,373086.59,-252098549.61,676706458.24,,,,,424607908.63,定期报告,未审计,20251024,CNY,合并期末,2024-10-30T16:55:05
20240630,,2045845007.24,,,,,,,,,,,18085439.24,376392728.69,2440323175.17,1384486304.85,,,,,,218635984.79,119591142.67,569872739.53,2292586171.84,147737003.33,,4100000.0,16591512.56,18312111.96,,,,,39003624.52,204155729.19,67806273.11,,,,,271962002.3,-232958377.78,,,,434846407.49,,396000.0,435242407.49,335975560.45,88739086.48,6264678.45,54243243.25,478957890.18,-43715482.69,939488.69,-127997368.45,676706458.24,548709089.79,676706458.24,,,548709089.79,定期报告,未审计,20250822,CNY,合并期末,2024-08-29T18:55:05
20240331,,591713387.28,,,,,,,,,,,13174111.44,274342683.84,879230182.56,283284848.71,,,,,,139621147.4,49218237.37,249675944.74,721800178.22,157430004.34,,4100000.0,15811512.56,18195491.96,0.0,0.0,,,38107004.52,131882681.07,67791052.34,,0.0,,0.0,199673733.41,-161566728.89,,0.0,0.0,318942675.72,,400610.0,319343285.72,159331847.24,26286149.69,1750000.0,33191074.44,218809071.37,100534214.35,183088.67,96580578.47,676706458.24,,,,,773287036.71,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T19:05:12
20231231,,2112286998.83,,,,,,,,,,,183726389.51,917460375.24,3213473763.58,742423530.15,,,,,,362086093.77,522527270.44,1605283324.91,3232320219.27,-18846455.69,,66083093.95,16424883.72,1252834.93,1080000.0,0.0,,,84840812.6,457190574.76,68490000.0,,,,658000.0,526338574.76,-441497762.16,,123445554.41,123445554.41,1038829548.5,,0.0,1162275102.91,647224404.49,180216246.54,56581444.66,23381411.08,850822062.11,311453040.8,898917.42,-147992259.63,824698717.87,676706458.24,824698717.87,,,676706458.24,定期报告,是,20250329,CNY,合并期末,2024-03-29T23:10:04
20230930,,1544887642.01,,,,,,,,,,,179985323.58,25048018.91,1749920984.5,454277775.85,,,,,,280947175.34,451219245.46,520694563.24,1707138759.89,42782224.61,,63912448.98,16426483.72,794107.2,0.0,0.0,,,81133039.9,348380044.4,74390000.0,,0.0,,358000.0,423128044.4,-341995004.5,,57000000.0,57000000.0,697698481.62,,0.0,754698481.62,439107252.35,130708773.32,29492706.27,10592530.75,580408556.42,174289925.2,1000688.93,-123922165.76,824698717.87,,,,,700776552.11,定期报告,未审计,20241031,CNY,合并期末,2023-10-30T18:40:09
20230630,,1015479479.29,,,,,,,,,,,179091654.03,18363618.07,1212934751.39,283472559.16,,,,,,202339332.87,369111282.87,330080062.19,1185003237.09,27931514.3,,58000000.0,16426483.72,662772.2,,,,,75089255.92,229913168.76,38670000.0,,,,358000.0,268941168.76,-193851912.84,,7000000.0,7000000.0,476452919.63,,,483452919.63,396737754.28,105576992.54,27742706.27,7738983.11,510053729.93,-26600810.3,1265088.38,-191256120.46,824698717.87,633442597.41,824698717.87,,,633442597.41,定期报告,未审计,20240830,CNY,合并期末,2023-08-29T18:45:02
20230331,,485251040.26,,,,,,,,,,,8452882.77,6638341.98,500342265.01,123300423.29,,,,,,124057911.06,282619047.81,105958303.73,635935685.89,-135593420.88,,8000000.0,15194883.72,211500.0,0.0,0.0,,,23406383.72,113486101.77,38670000.0,,0.0,,0.0,152156101.77,-128749718.05,,0.0,0.0,211335256.21,,0.0,211335256.21,187475329.44,49056269.62,27500000.0,3764530.92,240296129.98,-28960873.77,-635437.78,-293939450.48,824698717.87,,,,,530759267.39,定期报告,未审计,20240430,CNY,合并期末,2023-04-28T21:05:04
20221231,,2218558962.02,,,,,,,,,,,21234437.7,49317651.99,2289111051.71,1248186003.0,,,,,,335513088.75,93782511.09,239726396.17,1917207999.01,371903052.7,,74100395.12,28524512.89,737494.05,1080000.0,341047.95,,,104783450.01,643541482.65,182560000.0,,0.0,,0.0,826101482.65,-721318032.64,,106227504.17,106227504.17,1038568155.47,,0.0,1144795659.64,511132534.17,174865462.35,53831067.93,11451265.46,697449261.98,447346397.66,4703314.27,102634731.99,722063985.88,824698717.87,722063985.88,,,824698717.87,定期报告,是,20240330,CNY,合并期末,2023-03-29T21:10:02
20220930,,1502915960.57,,,,,,,,,,,19125943.9,38630274.02,1560672178.49,922630228.8,,,,,,254285978.42,62118701.26,142958940.43,1381993848.91,178678329.58,,8977921.63,26800765.96,434566.88,,,,,36213254.47,489728316.63,7991832.0,,-340961.45,,,497379187.18,-461165932.71,,,,630254331.22,,,630254331.22,332780349.07,105841963.9,5772627.0,8641427.29,447263740.26,182990590.96,7383251.72,-92113760.45,722063985.88,,,,,629950225.43,定期报告,未审计,20231031,CNY,合并期末,2022-10-27T20:55:02
20220630,,986577922.1,,,,,,,,,,,13781112.01,22386454.41,1022745488.52,412668719.73,,,,,,182902735.22,37906388.9,129661174.85,763139018.7,259606469.82,,8977921.63,26796765.96,225402.32,,,,,36000089.91,365242183.76,7991832.0,,-340961.45,,,372893054.31,-336892964.4,,,,492607381.07,,,492607381.07,265821043.25,85156213.53,5772627.0,6359122.86,357336379.64,135271001.43,2653303.82,60637810.67,722063985.88,782701796.55,722063985.88,,,782701796.55,定期报告,未审计,20230830,CNY,合并期末,2022-08-22T21:00:03
20220331,,360524306.06,,,,,,,,,,,7755850.66,5082460.61,373362617.33,188828473.59,,,,,,113516585.83,17172047.25,50602901.09,370120007.76,3242609.57,,8000000.0,15614768.16,115398.07,,,,,23730166.23,196174421.49,,,,,,196174421.49,-172444255.26,,,,121822098.66,,,121822098.66,65317608.01,18887984.32,,2841757.65,87047349.98,34774748.68,-1046749.14,-135473646.15,722063985.88,,,,,586590339.73,定期报告,未审计,20230429,CNY,合并期末,2022-04-18T20:55:04
20211231,,1520273176.95,,,,,,,,,,,17456371.13,33751077.82,1571480625.9,898835488.74,,,,,,307221163.66,93625743.73,203795966.89,1503478363.02,68002262.88,,437584816.29,34769627.15,1121319.05,59288638.83,,,,532764401.32,1131880537.84,505747150.0,,,,8770280.0,1646397967.84,-1113633566.52,,795117083.62,795117083.62,2123184669.86,,49907088.0,2968208841.48,1444933172.65,145361060.07,46014212.06,108318903.46,1698613136.18,1269595705.3,-116701.58,223847700.08,498216285.8,722063985.88,498216285.8,,,722063985.88,定期报告,是,20230330,CNY,合并期末,2022-03-28T19:20:03
