报告日,营业总收入,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入_中间业务,手续费及佣金收入_中间业务,手续费及佣金支出_中间业务,中间业务净收入,中间业务收入,中间业务支出,委托管理资产业务净收入,净交易收入,衍生产品业务收入,汇兑收益,租赁收益,投资收益,对联营公司的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,其他业务收入,资产处置收益,其他收益,营业总成本,营业成本,营业税金及附加,销售费用,管理费用,财务费用,研发费用,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,不良资产处置损失专项准备,其他业务成本,营业利润,加：营业外收入,非流动资产处置利得,加：营业外支出,非流动资产处置损失,利润总额,减：所得税,含少数股东损益的净利润,持续经营净利润,终止经营净利润,少数股东损益,归属于母公司所有者的净利润,加:年初未分配利润,其他因素调整,可供分配的利润,盈余公积转入,一般风险准备转入,减:提取法定盈余公积,提取法定公益金,提取一般风险准备,提取信托赔偿准备金,提取职工奖福基金,盈余公积补亏,应付永续债利息,其他,可供股东分配的利润,减:应付优先股股利,提取任意盈余公积,应付普通股股利,转作股本的普通股股利,未分配利润,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能重分类进损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下重分类进损益的其他综合收益,可供出售金融资产公允价值变动损益,持有至到期投资重分类为可供出售金融资产损益,其他债权投资公允价值变动,现金流量套期储备,金融资产重分类计入其他综合收益的金额,现金流量套期损益的有效部分,其他债权投资信用减值准备,外币财务报表折算差额,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,437372639.06,437372639.06,134831376.12,218577466.51,83746090.39,158413348.57,,83746090.39,,,,,,,5541997.94,,129684883.58,27327665.68,,,-10700662.71,18878556.69,81449.47,641689.4,232936194.99,232936194.99,5910074.94,,,,,255595771.41,,-38813491.95,,,5098800.98,204436444.07,26376.66,,1524496.65,,202938324.08,8951858.97,193986465.11,193986465.11,,,193986465.11,,,,,,,,,,,,,,,,,,,,-45198193.65,-45198193.65,,,,,,-45198193.65,-185629.45,,,,,,,,-45012564.2,,148788271.46,148788271.46,,0.13,0.13,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T19:23:31
20251231,1850594872.69,1850594872.69,451357963.61,635737550.95,184379587.34,546353090.53,,184379587.34,,,,,,,2198817.3,,615980826.23,70189810.55,,,165496115.66,60432252.16,145363.5,8630443.7,1029761179.26,1029761179.26,24536028.82,,,,,881967691.64,,77558215.71,600000.0,,26965794.0,820833693.43,668115.62,,6584666.22,,814917142.83,163116434.78,651800708.05,651800708.05,,,651800708.05,5931475772.52,,6583276480.57,,,27496453.52,,112895371.25,,,,,,6442884655.8,,,130973956.04,,6311910699.76,-44904171.27,-44904171.27,,,,,,-44904171.27,-283559.83,,,,,,,,-44620611.44,,606896536.78,606896536.78,,0.45,0.45,定期报告,是,20260424,CNY,合并期末,2026-04-23T19:27:04
20250930,8354795817.18,8354795817.18,326956039.05,451119880.33,124163841.28,395402245.69,,124163841.28,,,,,,,1199167.05,,490704306.29,51478232.81,,,220181445.41,6918358960.75,147876.14,1845776.8,7772457312.6,7772457312.6,17491224.64,,,,,634524563.66,,57071013.87,206327166.62,,6842187676.65,582338504.58,10332535.19,,1892641.51,,590778398.26,115912831.07,474865567.19,474865567.19,,,474865567.19,,,,,,,,,,,,,,,,,,,,-19254002.88,-19254002.88,,,,,,-19254002.88,-188896.5,,,,,,,,-19065106.38,,455611564.31,455611564.31,,0.33,0.33,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T18:45:21
20250630,5556498356.42,5556498356.42,214230780.82,295939031.57,81708250.75,238517158.07,,81708250.75,,,,,,,9471980.28,,263524072.28,6018792.08,,,-106342922.5,4936091801.4,591.3,1004894.77,5365980751.5,5365980751.5,10496933.44,,,,,338941093.93,,-7252030.65,135531440.03,,4880024858.56,190517604.92,3992023.85,,756868.34,,193752760.43,23602442.25,170150318.18,170150318.18,,,170150318.18,5919101951.99,,6089252270.17,,,,,,,,,,,6089252270.17,,,101888888.92,,5987363381.25,-15172211.89,-15172211.89,,,,,,-15172211.89,-53369.58,,,,,,,,-15118842.31,,154978106.29,154978106.29,,0.12,0.12,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T20:37:50
20250331,183130563.29,183130563.29,101659182.65,140953573.83,39294391.18,109114243.18,,39294391.18,,,,,,,2360473.31,,58569005.57,8927984.45,,,-101881833.29,12446848.65,591.3,862051.92,161505404.2,161505404.2,5014486.04,,,,,157565751.65,,-9684027.04,58226758.23,,4086337.3,21625159.09,900.0,,344366.19,,21281692.9,-10698108.2,31979801.1,31979801.1,,,31979801.1,,,,,,,,,,,,,,,,,,,,-3798741.98,-3798741.98,,,,,,-3798741.98,-27301.49,,,,,,,,-3771440.49,,28181059.12,28181059.12,,0.02,0.02,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T19:23:31
20241231,1577214894.14,1577214894.14,497683146.75,773056759.04,275373612.29,537928030.39,,275373612.29,,,,,,,-6015587.93,,733019648.79,87265720.41,,,-277829409.35,73433415.03,4567492.1,14428158.36,915097585.71,915097585.71,22602604.32,,,,,819445200.1,,-7347576.06,1131312.09,,61104044.9,662117308.43,1451958.28,,9640975.02,,653928291.69,87622318.46,566305973.23,566305973.23,,,566305973.23,5639337615.17,,6205643588.4,,,41745019.02,,41745019.02,,,,,,6122153550.36,,,190677777.84,,5931475772.52,26679920.41,26679920.41,,,,,,26679920.41,200926.68,,,,,,,,26478993.73,,592985893.64,592985893.64,,0.39,0.39,定期报告,是,20260424,CNY,合并期末,2025-04-23T20:29:03
20240930,18673144356.55,18673144356.55,370894009.83,591231135.42,220337125.59,379031762.35,,220337125.59,,,,,,,-5444355.41,,-160605258.31,74951513.72,,,730657659.86,17347125681.28,4536553.59,6948303.36,18190496341.56,18190496341.56,16964302.17,,,,,635465682.15,,13368705.15,346752086.56,,17163611265.48,482648014.99,1190807.79,,4018956.91,,479819865.87,60746826.5,419073039.37,419073039.37,,,419073039.37,,,,,,,,,,,,,,,,,,,,-8826359.25,-8826359.25,,,,,,-8826359.25,85682.94,,,,,,,,-8912042.19,,410246680.12,410246680.12,,0.29,0.29,定期报告,未审计,20251029,CNY,合并期末,2024-10-29T18:11:10
20240630,12110586834.85,12110586834.85,247542171.98,409835710.61,162293538.63,228288434.62,,162293538.63,,,,,,,-3074863.95,,-139472766.69,32513685.62,,,567372435.87,11198600722.31,4535546.62,6795154.09,11746741760.83,11746741760.83,11421047.64,,,,,437217852.07,,9316513.11,198037116.3,,11082393140.03,363845074.02,454137.2,,2053553.65,,362245657.57,54629337.3,307616320.27,307616320.27,,,307616320.27,5618167312.71,,5925783632.98,,,,,,,,,,,5925783632.98,,,117900000.04,,5807883632.94,12305893.68,12305893.68,,,,,,12305893.68,85682.94,,,,,,,,12220210.74,,319922213.95,319922213.95,,0.21,0.21,定期报告,未审计,20250828,CNY,合并期末,2024-08-27T17:56:09
20240331,4338090650.68,4338090650.68,128125038.58,212267731.41,84142692.83,111897532.48,,84142692.83,,,,,,,-563490.55,,139288855.17,13257996.16,,,45074086.94,3907654306.05,4157739.0,2456583.01,4251833841.18,4251833841.18,5126741.93,,,,,217547989.64,,2765662.4,126242158.96,,3896310377.98,86256809.5,0.37,,26732.32,,86230077.55,8266637.84,77963439.71,77963439.71,,,77963439.71,,,,,,,,,,,,,,,,,,,,80406.41,80406.41,,,,,,80406.41,,,,,,,,,80406.41,,78043846.12,78043846.12,,0.05,0.05,定期报告,未审计,20250424,CNY,合并期末,2024-04-25T19:41:19
20231231,23822683408.79,23822683408.79,675795667.18,1085702993.53,409907326.35,756665384.63,,409907326.35,,,,,,,-719767.89,,-29432464.98,49908279.52,,,206260305.93,22183480941.38,18911.22,30614431.32,22919193278.52,22919193278.52,31390404.7,,,,,792796620.94,,-57026340.15,179110881.96,,21950231706.58,903490130.27,4527048.25,,8490371.55,,899526806.97,170947740.98,728579065.99,728579065.99,,,728579065.99,5303610251.4,,6032189317.39,,,54177668.96,,54177668.96,,,,,,5923833979.47,,,305666666.76,,5618167312.71,20421383.12,20421383.12,,,,,,20421383.12,-451413.06,,,,,,,,20872796.18,,749000449.11,749000449.11,,0.5,0.5,定期报告,是,20250424,CNY,合并期末,2024-04-25T20:11:16
