报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,385266313.59,,,306366418.23,,0.0,1217794959.61,128857699.2,1088937260.41,71822112.27,80071934.25,,,,,,,,,,,36931519.08,1297959470.95,36047562.31,,,0.0,218247201.05,3650507491.34,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,307521417.09,,,,,2057815123.33,0.0,,0.0,0.0,113367027.44,142814800.99,0.0,0.0,120810352.02,,74259438.71,160416436.85,2977004596.43,6627512087.77,,1954351169.15,,,,0.0,0.0,1570139551.58,247786030.71,1322353520.87,0.0,12335994.92,,,36427608.2,26884546.3,,,,,,13357843.78,,,,,,,,,,,,0.0,,168770005.93,114304676.65,3896571396.51,,102420000.0,848354751.59,0.0,0.0,60463788.46,,,0.0,,0.0,110805926.13,29195108.05,0.0,1151239574.23,5047810970.74,,400396932.0,86518286.43,0.0,0.0,1061042227.52,160034677.74,-6398833.64,0.0,36495579.78,,,161681602.68,,,1579701117.03,0.0,1579701117.03,6627512087.77,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T20:54:09
20251231,,433264131.41,,,356366418.23,,0.0,1279799041.5,77166369.35,1202632672.15,56466298.94,56898405.94,,,,,,,,,,27495986.36,27495986.36,1180184870.54,36047562.31,,,0.0,239529341.72,3666052056.95,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,2863326492.54,832271545.65,2031054946.89,15728447.55,383532108.96,383532108.96,,2015326499.34,,2015326499.34,0.0,,0.0,0.0,106327649.94,142712811.58,0.0,0.0,101734843.41,,44711426.89,126124045.01,2920469385.13,6586521442.08,,1701249590.5,,,,0.0,0.0,1756008455.82,226869437.78,1529139018.04,0.0,7196657.77,,,72332714.82,22824458.4,,316991.28,,,8469732.97,8786724.25,,,,,,,,,,,,0.0,,295176751.91,34913739.18,3898489092.65,,53460000.0,840853503.38,0.0,0.0,79847862.11,,0.0,0.0,,0.0,112815068.84,,0.0,1086976434.33,4985465526.98,,400396880.0,86518427.11,0.0,0.0,1060665904.28,160034677.74,20838584.53,0.0,36495579.78,,,156175217.14,,,1601055915.1,0.0,1601055915.1,6586521442.08,定期报告,是,20260428,CNY,合并期末,2026-04-27T20:54:09
20250930,,398648678.5,,,460000000.0,,,1018011666.69,76436913.67,941574753.02,43194132.47,51341099.17,,,,,,,,,,,33606609.61,1195578101.32,,,,,221489577.49,3421869865.25,,,,,,,,,,,,,,,,,,265377938.16,,,,,1901402335.3,,,,,63919158.47,229937334.39,,,99762177.99,,92706255.42,237287421.68,2890392621.41,6312262486.66,,1606774760.53,,,,,,1312443403.54,244008086.95,1068435316.59,,18151833.05,,,57506243.56,41927017.69,1782811.39,316991.28,,,,69349634.18,,,,,,,,,,,,,,286060331.21,58644951.59,3450858175.35,,54000000.0,826104415.91,,,48854653.77,,,49629864.15,,,61076553.84,20370711.06,,1060036198.73,4510894374.08,,400396854.0,120354937.95,,,1055986813.42,160034677.74,-6288502.71,,36495579.78,,,354457107.88,,,1801368112.58,,1801368112.58,6312262486.66,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T16:02:06
20250630,,480239927.05,,,547000000.0,,,947202515.36,95330659.58,851871855.78,85894735.18,68960766.79,,,,,,,,,,46682395.43,46682395.43,1071155131.87,,,,,174585327.89,3421720799.57,,,,,,,,,,,,,,2679364427.17,779900253.24,1899464173.93,15621898.88,235177707.03,235177707.03,,1883842275.05,1391628.87,1885233903.92,,,,,67395211.18,231420267.02,,,99525171.05,,71902962.35,225434108.39,2816089330.94,6237810130.51,,1802806036.22,,,,,,1095324804.31,160955649.64,934369154.67,,8316109.8,,,64556858.84,26828995.2,,316991.28,,,41322198.32,41639189.6,,,,,,,,,,,,,,207141647.61,47908733.32,3294522374.9,,127210000.0,814837641.01,,,52890514.15,,58697983.69,58697983.69,,,45806024.06,20370711.06,,1119812873.97,4414335248.87,,400396854.0,120354937.95,,,1054774833.88,160050752.69,11688057.48,,36495579.78,,,359815371.24,,,1823474881.64,,1823474881.64,6237810130.51,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T21:02:10
20250331,,389602270.6,,,660000000.0,,,763271770.56,87938040.57,675333729.99,72470616.41,24609785.92,0.0,0.0,,,,,,,,,99770747.55,1004291708.46,,,,,186627517.69,3200644417.19,,,,,,,,,,,,,,,,,,145247122.23,,,,,1906448041.01,,,,,97313021.87,235683313.71,0.0,,92992572.18,,74794729.25,200314156.71,2752792956.96,5953437374.15,,1703678862.61,,,,,,921070329.99,158562333.62,762507996.37,,5805489.39,,,53392500.24,14138343.97,0.0,316991.28,,,,42881217.66,,,,,,,,,,,,,,106684891.95,11581051.11,2859232686.92,,200960000.0,806148181.37,0.0,0.0,66881910.87,,,101955396.58,,,46409210.95,20370711.06,,1242725410.83,4101958097.75,,400396802.0,120355078.63,,,1053561813.24,119324171.17,12414312.94,,36495579.78,,,347579860.98,,,1851479276.4,0.0,1851479276.4,5953437374.15,定期报告,未审计,20250429,CNY,合并期末,2025-04-28T23:34:11
20241231,,584008468.37,,,585000000.0,,,917024825.83,108975317.19,808049508.64,63726240.8,29877803.24,0.0,0.0,,,,,,,,67514612.4,67514612.4,983819573.89,,,,,190935614.83,3421907139.36,,,,,,,,,,,,,,2620856619.97,687960650.89,1932895969.08,15621898.88,179208548.75,179208548.75,,1917274070.2,,1917274070.2,,,,,70902242.12,206792147.22,0.0,,90234868.3,,72754227.46,144551610.41,2681717714.46,6103624853.82,,1625303516.13,,,,,,1060217022.9,139948070.47,920268952.43,,24129848.04,,,63506396.96,17884739.16,0.0,316991.28,,,31113324.64,31430315.92,,,,,,,,,,,,,,102613357.31,38713810.87,2963799007.29,,233000000.0,800452100.02,0.0,0.0,59935052.58,,75775874.16,75775874.16,,,46521113.4,20370711.06,,1236054851.22,4199853858.51,,400011282.0,121396363.43,0.0,0.0,1044744346.16,100028586.4,9601234.67,,36495579.78,,,391550775.67,,,1903770995.31,0.0,1903770995.31,6103624853.82,定期报告,是,20260428,CNY,合并期末,2025-04-28T23:34:11
20240930,,597253019.14,,,877717515.66,,,700233215.3,105353022.53,594880192.77,142628278.6,58753663.75,,,,,,,,,,,55669313.01,1000538293.11,,,,,121220676.11,3554013974.68,,,,,,,,,,,,,,,,,,303429755.11,,,,,1457053937.04,,,,,54256972.04,203232067.5,,,77659027.04,,70072166.29,334617438.6,2500321363.62,6054335338.3,,985705244.97,,,,,,1275390453.93,775431185.62,499959268.31,,7562287.72,,,45332762.19,1781978.41,,316991.28,,,,70725465.38,,,,,,,,,,,,,,13961205.81,60443328.65,2460902727.06,,286500000.0,787106363.64,,,44310459.31,,,59629864.15,,,37257545.44,23045205.68,,1237849438.22,3698752165.28,,400010727.0,121399289.49,,,1050142259.75,12251801.72,-4995379.46,,36495579.78,,,764782498.18,,,2355583173.02,,2355583173.02,6054335338.3,定期报告,未审计,20241029,CNY,合并期末,2024-10-28T18:55:03
20240630,,698151337.59,,,660024000.0,,,612775773.23,47921463.7,564854309.53,100834029.49,44118002.49,,,,,,,,,,34126905.5,34126905.5,991571548.65,,,,,129358889.09,3270960486.04,,,,,,,,,,,,,,2070865727.62,582858867.26,1488006860.36,,287299909.25,287299909.25,,1488006860.36,8088301.13,1496095161.49,,,,,56931669.9,156167284.46,,,77478706.6,,66078882.86,215161263.81,2355212878.37,5626173364.41,,589665851.01,,,,,,1182025117.74,574602038.74,607423079.0,,1770340.33,,,40678039.28,12891296.32,,316991.28,,,33262600.74,33579592.02,,,,,,,,,,,,,,58028783.65,20290034.52,1938929054.87,,249500000.0,901544856.02,,,45532822.94,,49629864.15,49629864.15,,,38176876.09,23192510.71,,1307576929.91,3246505984.78,,400010217.0,140674973.49,,,1037759316.22,,926442.36,,36495579.78,,,763800850.78,,,2379667379.63,,2379667379.63,5626173364.41,定期报告,未审计,20240829,CNY,合并期末,2024-08-28T21:35:08
20240331,,507666316.53,,,827000000.0,,,581355137.18,54160941.88,527194195.3,98484120.1,55681193.72,,,,,,,,,,,30323606.0,820552567.03,,,,,140059960.89,3061122901.45,,,,,,,,,,,,,,,,,,327823820.78,,,,,1433237553.97,,,,,66403661.05,157621870.19,,,83793152.95,,69229681.06,180259599.55,2318369339.55,5379492241.0,,449541217.34,,,,,,870767554.64,241667738.77,629099815.87,,5918794.49,,,52804110.45,21120563.82,26694.44,316991.28,,,,1771041.1,,,,,,,,,,,,,,60379423.68,59527010.38,1521829715.9,,248500000.0,887746157.95,,,53966340.42,,,49629864.15,,,36544475.08,21743194.54,,1298130032.14,2819959748.04,,400010000.0,140676141.1,,,1036538926.02,,4237784.26,,35495579.78,,,942574061.8,,,2559532492.96,,2559532492.96,5379492241.0,定期报告,未审计,20240426,CNY,合并期末,2024-04-25T23:30:05
20231231,,1116000808.39,,,327000000.0,,,913418654.39,99223260.57,814195393.82,58040096.77,20583992.72,0.0,0.0,,,,,,,,25641944.91,25641944.91,803529750.76,,,,,122543754.08,3386759002.02,,,,,,,,,,,,,,1972494309.94,512505629.95,1459988679.99,,281662066.91,281662066.91,,1459988679.99,,1459988679.99,,,,,76049858.61,159063315.48,,,80048825.51,,59009374.51,137021176.0,2252843297.01,5639602299.03,,453563869.06,,,,,,1158833209.52,349845775.86,808987433.66,,13955204.51,,,68914747.15,25840787.72,0.0,316991.28,,,28866656.45,29183647.73,,,,,,,,,,,,,,34988538.09,50220170.54,1835500174.32,,191500000.0,873939999.82,0.0,0.0,49374354.32,,49629864.15,49629864.15,,,37401058.24,23045205.68,,1224890482.21,3060390656.53,,400010000.0,140676141.1,0.0,0.0,1035326946.48,0.0,5812370.11,,36495579.78,,,960890605.03,,,2579211642.5,0.0,2579211642.5,5639602299.03,定期报告,是,20250429,CNY,合并期末,2024-04-25T23:30:05
