报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向中央银行借款净增加额,客户存款和同业存放款项净增加额,收回存放同业及其他金融机构净额,拆入资金收到的现金,收回拆出资金收到的现金,销售商品、提供劳务收到的现金,收到的税费返还,手续费收入收到的现金,利息收入收到的现金,卖出回购证券收到的现金,买入返售证券到期返售收到的现金,金融企业往来收入收到的现金,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,保证金流入的现金,吸收的存款,同业及其他金融机构存放款净增加额,处置抵债资产收到的现金,汇兑净收益收到的现金,证券投资收到的现金,中间业务收入收到的现金,其他营业及营业外净收入收到的现金,贴现收到的现金,收回的委托资金净额,受托资产管理收到的现金净额,收到的其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,证券投资支付的现金,手续费支出支付的现金,利息支出支付的现金,金融企业往来支出支付的现金,买入返售证券支付的现金,处置可供出售金融资产净减少额,为交易目的而持有的金融资产净增加额,卖出回购证券到期回购支付的现金,以现金支付的营业费用,拆出资金支付的现金,支付利息、手续费及佣金的现金,存放中央银行款项净增加额,贵金属现金流出,支付的存款,存放同业及其他机构存款净增加额,偿还中央银行借款,减少同业及其他金融机构存放净额,贴现支付的现金,偿还同业及其他金融机构拆入净额,委托资金减少支付的现金,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,处置子公司及其他营业单位收到的现金,取得投资收益所收到的现金,取得债权投资利息收入收到的现金,处置固定资产、无形资产和其他长期资产而收到的现金净额,分得股利或利润收到的现金,收到的其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,权益性投资支付的现金,债权性投资支付的现金,购买子公司及其他营业单位支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,发行债券收到的现金,吸收投资所收到的现金,借款所收到的现金,发行次级债所收到的现金,收到的其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,分配股利、利润或偿付利息所支付的现金,偿付利息支付的现金,发生筹资费用支付的现金,支付的其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金的影响额,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,,,,,,,,,,,,,185456504.22,,,,,,,,,,,,5486350361.75,5671806865.97,,,,95988511.49,115028289.99,,,,,,,,,27434988.5,,,,,,,,,,,,6304268054.85,6542719844.83,-870912978.86,,521069662.36,,159181.65,,640.0,,,521229484.01,10522775.13,244740322.04,,,,,255263097.17,265966386.84,,,,230603428.0,,504759586.37,735363014.37,52475000.0,4724882.21,,,51217209.42,108417091.63,626945922.74,-7997826.52,14001504.2,,,,,5689904369.94,5703905874.14,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T18:15:04
20251231,,,,,,,,,,,,,,,,705277699.5,,,,,,,,,,,,9545733579.78,10251011279.28,,,,227818984.2,202490273.34,,,,,,,,,110982283.91,,,,,,,,,,,,10809372399.36,11350663940.81,-1099652661.53,,1502678845.43,,10008918.64,,50742.18,,,1512738506.25,21089814.62,354336312.75,,,,,375426127.37,1137312378.88,,,,379100000.0,,1054715163.24,1433815163.24,116924516.37,188322124.17,,,431809817.03,737056457.57,696758705.67,-9645340.37,724773082.65,4901924205.69,4122729041.3,787980164.25,842402245.99,4965131287.29,5689904369.94,定期报告,是,20260401,CNY,合并期末,2026-03-31T19:53:03
20250930,,,,,,,,,,,,,,,,522927060.73,,,,,,,,,,,,5146070896.85,5668997957.58,,,,175790361.58,140960579.64,,,,,,,,,74141956.74,,,,,,,,,,,,7297469155.13,7688362053.09,-2019364095.51,,1080395266.25,,12251471.75,,48342.18,,,1092695080.18,14538128.48,263112439.09,,,,,277650567.57,815044512.61,,,,0.0,,705571497.36,705571497.36,2881413.52,186397249.89,,,225262963.1,414541626.51,291029870.85,-5438609.86,-918728321.91,,,,,4965131287.29,4046402965.38,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:49:04
20250630,,,,,,,,,,,,,,,,329589027.51,,,,,,,,,,,,4239642709.87,4569231737.38,,,,122624195.83,90272510.21,,,,,,,,,50016763.08,,,,,,,,,,,,1997633406.57,2260546875.69,2308684861.69,,362854603.62,,4793949.17,,43767.18,,,367692319.97,9716826.6,67275807.94,,,,,76992634.54,290699685.43,,,,0.0,,589140050.74,589140050.74,2881413.52,105229885.37,,,228034119.07,336145417.96,252994632.78,-4530387.83,2847848792.07,7074713607.29,4122729041.3,738266472.07,842402245.99,4965131287.29,7812980079.36,定期报告,未审计,20250820,CNY,合并期末,2025-08-19T19:29:03
20250331,,,,,,,,,,,,,,,,138824487.21,,,,,,,,,,,,3196507623.64,3335332110.85,,,,72436209.68,54585111.34,,,,,,,,,20579405.86,,,,,,,,,,,,1851024229.2,1998624956.08,1336707154.77,,185401033.45,,1607860.5,,0.0,,,187008893.95,6101820.6,131997004.98,,,,,138098825.58,48910068.37,,,,0.0,,150939364.07,150939364.07,0.0,1893853.08,,,105836293.01,107730146.09,43209217.98,-880036.11,1427946405.01,,,,,4965131287.29,6393077692.3,定期报告,未审计,20260428,CNY,合并期末,2025-04-29T19:25:03
20241231,,,,,,,,,,,,,,,,628816608.28,,,,,,,,,,,,5502365790.33,6131182398.61,,,,210831344.09,135768535.91,,,,,,,,,167756227.61,,,,,,,,,,,,2512568621.0,3026924728.61,3104257670.0,,1120949283.86,,4422146.8,,7645044.57,,,1133016475.23,16413046.51,655323516.69,,,,0.0,671736563.2,461279912.03,,,,2934516.37,,269050956.56,271985472.93,10010000.0,172955391.0,,,376435213.93,559400604.93,-287415132.0,5584026.84,3283706476.87,4122729041.3,1098438523.49,842402245.99,582986286.93,1681424810.42,4965131287.29,定期报告,是,20260401,CNY,合并期末,2025-04-22T19:51:13
20240930,,,,,,,,,,,,,,,,426082020.0,,,,,,,,,,,,3938245128.99,4364327148.99,,,,162964259.58,102574826.94,,,,,,,,,95936791.06,,,,,,,,,,,,2058283860.75,2419759738.33,1944567410.66,,782776161.61,,27559770.78,,7606706.46,,,817942638.85,10738509.68,591075483.36,,,,,601813993.04,216128645.81,,,,2934516.37,,267021108.62,269955624.99,5005000.0,112946507.56,,,382449685.3,500401192.86,-230445567.87,-2414697.97,1927835790.63,,,,,1681424810.42,3609260601.05,定期报告,未审计,20251028,CNY,合并期末,2024-10-27T15:51:03
20240630,,,,,,,,,,,,,,,,288332334.38,,,,,,,,,,,,2637899548.59,2926231882.97,,,,112128306.35,69197837.98,,,,,,,,,56906464.97,,,,,,,,,,,,1786272148.84,2024504758.14,901727124.83,,537990474.99,,16298182.5,,7601321.13,,,561889978.62,8623955.5,358500700.86,,,,0.0,367124656.36,194765322.26,,,,2934516.37,,291097889.47,294032405.84,5005000.0,111289363.62,,,299780739.25,416075102.87,-122042697.03,1154230.53,975603980.59,1904539543.55,1098438523.49,752489247.46,582986286.93,1681424810.42,2657028791.01,定期报告,未审计,20250820,CNY,合并期末,2024-08-26T19:26:03
20240331,,,,,,,,,,,,,,,,131771687.56,,,,,,,,,,,,571641755.79,703413443.35,,,,65688161.62,12491281.38,,,,,,,,,23929841.3,,,,,,,,,,,,759262599.86,861371884.16,-157958440.81,,408811096.02,,2081481.34,,7600461.13,,,418493038.49,5893017.21,524780389.42,,,,0.0,530673406.63,-112180368.14,,,,892915.74,,98768832.7,99661748.44,,1109075.35,,,89762769.75,90871845.1,8789903.34,296162.34,-261052743.27,,,,,1681424810.42,1420372067.15,定期报告,未审计,20250430,CNY,合并期末,2024-04-26T19:46:04
20231231,,,,,,,,,,,,,,,,660888457.74,,,,,,,,,,,,3818549985.33,4479438443.07,,,,171840204.77,131512346.63,,,,,,,,,127474400.08,,,,,,,,,,,,3578727889.81,4009554841.29,469883601.78,,744583652.16,,4521000.64,,412670.0,,,749517322.8,22894391.81,403516482.29,,,0.0,0.0,426410874.1,323106448.7,,,,124000000.0,,278716809.84,402716809.84,123000000.0,111662283.13,,,422932978.45,657595261.58,-254878451.74,-5038246.1,533073352.64,1098438523.49,742595892.45,582986286.93,405755565.33,1148351457.78,1681424810.42,定期报告,是,20250423,CNY,合并期末,2024-03-29T20:31:03
