报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,206734187.26,206734187.26,,,,,,231745751.68,175747526.66,,,,,,,,,2112448.38,12011836.63,8176065.14,26238401.47,7459473.4,1727941.66,,-642624.84,-951622.88,,,,8560.0,,,,1154264.26,-1469333.19,175461.95,,,-25785236.24,501.13,,1320272.82,,-27105007.93,455809.49,,-27560817.42,-27560817.42,,-27077649.24,,-483168.18,-4786782.41,-4786782.41,,,,,,-4786782.41,,,,,,,,,-4786782.41,,,-32347599.83,-31864431.65,-483168.18,-0.15,-0.15,定期报告,未审计,20260425,CNY,合并期末,2026-04-24T21:22:06
20251231,842863039.98,842863039.98,,,,,,894946191.67,686026429.63,,,,,,,,,10689081.18,45767243.23,33645351.48,110044947.88,8773138.27,5610872.79,,-534687.15,-3203236.94,,,,-697721.86,,,,8757304.81,-20849214.27,1165122.76,,-530285.39,-64772632.79,2254333.2,,2551260.48,,-65069560.07,5340936.46,,-70410496.53,-70410496.53,,-70286404.92,,-124091.61,-7376271.74,-7376271.74,,,,,,-7376271.74,,,,,,,,,-7376271.74,,,-77786768.27,-77662676.66,-124091.61,-0.38,-0.38,定期报告,是,20260425,CNY,合并期末,2026-04-24T21:22:06
20250930,630248641.13,630248641.13,,,,,,662650270.45,515753146.56,,,,,,,,,8115585.11,33133429.8,24492762.14,75956906.31,5198440.53,4515672.55,,138133.82,,,,,-712753.56,,,,7094633.63,-8241805.14,929117.17,,33689.25,-33160614.15,2257110.96,,1262986.39,,-32166489.58,3488157.7,,-35654647.28,-35654647.28,,-35654647.28,,,-5668784.96,-5668784.96,,,,,,-5668784.96,,,,,,,,,-5668784.96,,,-41323432.24,-41323432.24,,-0.19,-0.19,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T19:14:05
20250630,394596560.42,394596560.42,,,,,,419612559.62,324175832.14,,,,,,,,,5215575.28,21345050.63,17287105.99,50326597.38,1262398.2,3040636.03,,510232.07,-1446755.92,,,,-712753.56,,,,4848927.36,-6678430.79,1234953.8,,33172.31,-25779898.01,2087594.67,,540210.78,,-24232514.12,2263592.78,,-26496106.9,-26496106.9,,-26496106.9,,,-1662893.42,-1662893.42,,,,,,-1662893.42,,,,,,,,,-1662893.42,,,-28159000.32,-28159000.32,,-0.14,-0.14,定期报告,未审计,20250827,CNY,合并期末,2025-08-26T18:56:04
20250331,164238455.53,164238455.53,,,,,,184522624.88,139590132.27,,,,,,,,,2361944.62,10389656.92,7607192.36,23986305.89,587392.82,1726303.26,,577689.37,-669331.73,,,,-340770.0,,,,1403112.27,-1637232.49,1737432.41,,12714.84,-18531222.95,1946801.65,,244826.36,,-16829247.66,615634.16,,-17444881.82,-17444881.82,,-17444881.82,,,-342218.63,-342218.63,,,,,,-342218.63,,,,,,,,,-342218.63,,,-17787100.45,-17787100.45,,-0.09,-0.09,定期报告,未审计,20260425,CNY,合并期末,2025-04-25T00:54:17
20241231,815156160.34,815156160.34,,,,,,854407957.77,658583911.45,,,,,,,,,7873383.57,50801334.15,29308156.36,99310432.63,8530739.61,15592899.16,,71810223.93,-763444.53,,,,-194441.45,,,,8841024.4,-22653538.23,-4787394.68,,-417656.38,13346420.16,288575.17,,1055828.43,,12579166.9,1601218.47,,10977948.43,10977948.43,,10977948.43,,,-2679146.88,-2679146.88,,,,,,-2679146.88,,,,,,,,,-2679146.88,,,8298801.55,8298801.55,,0.07,0.07,定期报告,是,20260425,CNY,合并期末,2025-04-25T00:54:17
20240930,595971263.28,595971263.28,,,,,,623336800.57,487547756.51,,,,,,,,,5169676.69,37137194.03,18766128.15,66298677.22,8417367.97,11808680.19,,3184152.38,,,,,-430556.65,,,,5831282.63,-11595408.75,1491516.4,,160850.39,-28723700.89,151368.28,,882539.78,,-29454872.39,3284672.38,,-32739544.77,-32739544.77,,-32739544.77,,,-2479167.45,-2479167.45,,,,,,-2479167.45,,,,,,,,,-2479167.45,,,-35218712.22,-35218712.22,,-0.21,-0.21,定期报告,未审计,20251029,CNY,合并期末,2024-10-27T15:52:08
20240630,359345541.62,359345541.62,,,,,,378486448.03,295609942.74,,,,,,,,,2937088.31,23116201.48,11361561.35,42821503.63,2640150.52,8262709.0,,2700590.81,,,,,-697605.97,,,,4735094.28,-5780057.33,649633.49,,109115.05,-17424136.08,139193.18,,536722.48,,-17821665.38,1965540.47,,-19787205.85,-19787205.85,,-19787205.85,,,-1863170.13,-1863170.13,,,,,,-1863170.13,,,,,,,,,-1863170.13,,,-21650375.98,-21650375.98,,-0.13,-0.13,定期报告,未审计,20250827,CNY,合并期末,2024-08-25T15:37:08
20240331,161946180.25,161946180.25,,,,,,171485765.55,132239274.86,,,,,,,,,1491261.43,10594480.07,5208652.61,20263531.79,1688564.79,3904028.59,,1558488.25,,,,,-100135.01,,,,1501271.5,-526012.03,706408.87,,-2219.05,-6401782.77,1.69,,464113.49,,-6865894.57,1161949.47,,-8027844.04,-8027844.04,,-8027844.04,,,-914561.08,-914561.08,,,,,,-914561.08,,,,,,,,,-914561.08,,,-8942405.12,-8942405.12,,-0.05,-0.05,定期报告,未审计,20250425,CNY,合并期末,2024-04-26T00:57:08
20231231,754218559.9,754218559.9,,,,,,793584700.4,617397640.59,,,,,,,,,5900492.38,44129195.07,26984935.55,87853645.56,11318791.25,16281608.33,,6053219.73,,,,,907447.12,,,,7326940.23,-41371722.39,-3701759.48,,1032018.67,-69119996.62,1918.68,,2721394.75,,-71839472.69,5482645.33,,-77322118.02,-77322118.02,,-77322118.02,,,-241866.45,-241866.45,,,,,,-241866.45,,,,,,,,,-241866.45,,,-77563984.47,-77563984.47,,-0.5,-0.5,更正或补充,是,20260425,CNY,合并期末,2024-04-26T00:57:08
