报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,172246898.15,,,,,,,,,,,3359353.79,21229787.63,196836039.57,150523165.78,,,,,,30670998.42,7289499.48,36784746.55,225268410.23,-28432370.66,,545000000.0,1625876.11,,,10135027.78,,,556760903.89,9540804.89,450000000.0,,,,10007472.0,469548276.89,87212627.0,,159000.0,159000.0,,,,159000.0,,,,760830.0,760830.0,-601830.0,-48431.57,58129994.77,294028528.01,,,,,352158522.78,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T16:42:06
20251231,,1025022869.41,,,,,,,,,,,20134504.64,90029526.87,1135186900.92,639558372.49,,,,,,103078900.94,39123183.54,130535770.07,912296227.04,222890673.88,,2433400000.0,8708527.94,432781.1,,73786664.96,,,2516327974.0,21857432.13,2813400000.0,,,,31299156.0,2866556588.13,-350228614.13,,162000.0,162000.0,26338793.53,,,26500793.53,4000000.0,3300.0,,17323329.96,21326629.96,5174163.57,133230.85,-122030545.83,416059073.84,294028528.01,416059073.84,,,294028528.01,定期报告,是,20260425,CNY,合并期末,2026-04-24T19:02:05
20250930,,739882654.85,,,,,,,,,,,13169237.15,40711060.94,793762952.94,469096215.96,,,,,,79523982.62,27621139.38,67922907.59,644164245.55,149598707.39,,1530400000.0,5548713.6,88899.4,,70761630.24,,,1606799243.24,16906745.79,1879380000.0,,,,21299156.0,1917585901.79,-310786658.55,,162000.0,162000.0,20874163.99,,,21036163.99,3500000.0,3086.11,,17089234.96,20592321.07,443842.92,147728.63,-160596379.61,416059073.84,,,,,255462694.23,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:26:12
20250630,,497080134.0,,,,,,,,,,,7068408.37,21681821.09,525830363.46,315730273.12,,,,,,56252591.97,20472282.55,49575295.8,442030443.44,83799920.02,,875000000.0,2557972.19,8371.0,,66126527.18,,,943692870.37,14536084.22,1145400000.0,,,,15699156.0,1175635240.22,-231942369.85,,162000.0,162000.0,16503990.59,,,16665990.59,2500000.0,,,9883089.96,12383089.96,4282900.63,151005.68,-143708543.52,416059073.84,272350530.32,416059073.84,,,272350530.32,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T16:22:05
20250331,,267554427.52,,,,,,,,,,,3872376.29,9447717.6,280874521.41,178643558.44,,,,,,31345286.44,5903573.17,44597692.13,260490110.18,20384411.23,,345000000.0,1162833.72,8371.0,,11074398.22,,,357245602.94,8754809.74,335000000.0,,,,10117228.0,353872037.74,3373565.2,,100000.0,100000.0,13778634.16,,,13878634.16,2500000.0,,,1866935.06,4366935.06,9511699.1,42125.54,33311801.07,416059073.84,,,,,449370874.91,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T16:50:15
20241231,,1053471828.29,,,,,,,,,,,13954023.46,76999533.3,1144425385.05,1031534173.97,,,,,,113545352.43,35318825.71,66754509.14,1247152861.25,-102727476.2,,2387633300.0,15231160.0,31794.28,,12476250.16,,,2415372504.44,69940566.58,2204800000.0,,,,12700000.0,2287440566.58,127931937.86,,9000000.0,9000000.0,58639757.63,,53690000.0,121329757.63,,,,62309162.77,62309162.77,59020594.86,154067.85,84379124.37,331679949.47,416059073.84,331679949.47,,,416059073.84,定期报告,是,20260425,CNY,合并期末,2025-04-24T22:48:09
20240930,,736572898.75,,,,,,,,,,,12079480.05,39135605.56,787787984.36,641999378.21,,,,,,86128926.08,25838201.77,50397189.95,804363696.01,-16575711.65,,1676425077.03,9173990.22,25969.04,,12300000.0,,,1697925036.29,63518340.62,1719800000.0,,,,12423749.84,1795742090.46,-97817054.17,,,,25946527.53,,4890000.0,30836527.53,,,,61378662.52,61378662.52,-30542134.99,135909.24,-144798991.57,331679949.47,,,,,186880957.9,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T16:50:09
20240630,,497311918.97,,,,,,,,,,,5302983.54,32667016.9,535281919.41,428741516.79,,,,,,60074731.61,17516127.59,31024434.77,537356810.76,-2074891.35,,881625077.03,4876952.07,24099.04,,10138222.22,,,896664350.36,53361964.62,954800000.0,,,,10000000.0,1018161964.62,-121497614.26,,,,10807740.31,,2110000.0,12917740.31,,,,4698321.84,4698321.84,8219418.47,129524.32,-115223562.82,331679949.47,216456386.65,331679949.47,,,216456386.65,定期报告,未审计,20250830,CNY,合并期末,2024-08-30T17:55:05
20240331,,233959098.89,,,,,,,,,,,2506249.93,23568437.22,260033786.04,232228534.32,,,,,,37159452.34,6304626.08,17640670.58,293333283.32,-33299497.28,,491625077.03,2941267.13,10000.0,,10138222.22,,,504714566.38,41116490.92,390000000.0,,,,10000000.0,441116490.92,63598075.46,,,,,,1050000.0,1050000.0,,,,4370032.31,4370032.31,-3320032.31,3283.25,26981829.12,331679949.47,,,,,358661778.59,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T17:15:05
20231231,,1258537796.7,,,,,,,,,,,16777970.97,154790224.14,1430105991.81,1060820481.64,,,,,,106447543.67,38979398.02,99072848.5,1305320271.83,124785719.98,,3365000000.0,11101200.76,12225742.0,,40854861.11,,,3429181803.87,65706446.5,3471500000.0,,,,12300143.33,3549506589.83,-120324785.96,,,,,,63335863.01,63335863.01,,730000.0,730000.0,47248964.8,47978964.8,15356898.21,40649.42,19858481.65,311821467.82,331679949.47,311821467.82,,,331679949.47,定期报告,是,20250425,CNY,合并期末,2024-04-24T22:00:06
