报告日,经营活动产生的现金流量,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,拆出资金净减少额,融出资金净减少额,卖出回购金融资产收到的现金,证券投资收到的现金,买入返售金融资产收到的现金,代理买卖业务的现金净增加额,代理兑付证券净增加额,代理承销证券收到的现金净额,保证金现金流入,收到的资产管理业务,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,处置交易性金融资产的净减少额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,偿还拆入资金支付的现金,拆出资金净增加额,融出资金净增加额,回购金融资产支付的现金,买入返售金融资产支付的现金,证券投资支付的现金,代理买卖证券净减少额,代兑付债券支付的现金净额,保证金现金流出,为交易目的而持有的金融资产净增加额,以现金支付的营业费用,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产及其他长期资产收回的现金净额,处置子公司和其他营业单位收到的现金,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,吸收权益性投资所收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,823383710.3,,1417728575.98,500000000.0,,,,,36138033.45,3904881619.79,,,,,,,40663025.07,6722794964.59,,,349526285.53,,,310326208.38,1582659970.24,,,,,,,,,626310306.08,159864233.33,460316528.75,3489003532.3,3233791432.29,,2798729.52,1259620.41,303263.19,,,4361613.12,70000.0,24452151.94,,,24522151.94,-20160538.82,,,,,,3540740000.0,,3540740000.0,2718266000.0,121175471.29,,25965213.6,2865406684.89,675333315.11,-8172154.91,3880792053.67,,,,,36720535793.67,40601327847.34,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T18:10:03
20251231,,10943975070.45,,4671001229.38,,,,,,251773742.12,7356821894.63,,,,,,,26241666.9,23249813603.48,,,826254599.96,150000000.0,,2617670705.26,9345534555.67,,,,,,,,,1310294780.34,1071325220.74,1389686108.41,16710765970.38,6539047633.1,,181334875.83,12329137.74,103629.3,,,193767642.87,325730000.0,260865579.52,,,586595579.52,-392827936.65,,,,,,26636110000.0,,26636110000.0,23605190000.0,1332936236.9,,123485203.95,25061611440.85,1574498559.15,-8893209.41,7711825046.19,36720535793.67,29008710747.48,,,29008710747.48,36720535793.67,定期报告,是,20260327,CNY,合并期末,2026-03-26T19:50:05
20250930,,6414337803.86,,3529306280.38,160000000.0,,,,,204683542.47,5298438294.53,,,,,,,2966046.49,15609731967.73,,,903108042.61,,,1982888978.64,5152354001.57,,,,,,,,,1017023642.65,727957562.34,733877392.88,10517209620.7,5092522347.03,,95713730.3,11779875.87,672977.3,,,108166583.47,256700000.0,135322607.55,,,392022607.55,-283856024.08,,,,,,19069960000.0,,19069960000.0,18155100000.0,858893341.0,,91546788.82,19105540129.82,-35580129.82,-4641663.26,4768444529.87,,,,,29008710747.48,33777155277.35,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T18:50:03
20250630,,2032550955.22,,2030153632.76,50000000.0,,1170752443.62,,,223103685.77,1730730365.11,,,,,,,14977574.72,7252268657.2,,,405267427.31,,,,919015269.41,,,,,,,,,734361777.63,562626618.47,563034951.23,3184306044.05,4067962613.15,,83148169.04,514190.82,489848.5,,,84152208.36,254600000.0,99374989.62,,,353974989.62,-269822781.26,,,,,,10890090000.0,,10890090000.0,13071100000.0,710861024.99,,70839052.2,13852800077.19,-2962710077.19,-4067633.16,831362121.54,29840072869.02,29008710747.48,,,29008710747.48,29840072869.02,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T18:26:03
20250331,,2823170003.75,,1186660462.05,360000000.0,,163740398.42,,,22829412.15,906556190.72,,,,,,,5350251.7,5468306718.79,,,317802391.1,,,,1913388176.78,,,,,,,,,494269987.88,282107120.04,285034453.38,3292602129.18,2175704589.61,,3849541.13,514190.82,10377.18,,,4374109.13,12000000.0,37687410.55,,,49687410.55,-45313301.42,,,,,,4973000000.0,,4973000000.0,6204410000.0,185912385.43,,44479064.85,6434801450.28,-1461801450.28,-1060577.07,667529260.84,,,,,29008710747.48,29676240008.32,定期报告,未审计,20260429,CNY,合并期末,2025-04-28T17:40:03
20241231,,,,3929601443.19,50000000.0,,,6221645589.91,,,8232565222.49,,,,,,,162951565.21,18596763820.8,,,754507272.22,,,1331975148.09,,283891821.72,,,,,9288560406.1,,,1212386689.56,394227230.7,690295807.9,13955844376.29,4640919444.51,,41714167.04,19308790.26,764601.95,,,61787559.25,444670000.0,177990006.47,,,622660006.47,-560872447.22,,,,,,25322360000.0,,25322360000.0,18189120000.0,1091717209.48,,196183290.81,19477020500.29,5845339499.71,7816745.64,9933203242.64,29008710747.48,19075507504.84,,,19075507504.84,29008710747.48,定期报告,是,20260327,CNY,合并期末,2025-03-27T19:42:02
20240930,,,,3050871153.11,,,1731598293.14,2130585957.92,,305622559.2,5796479472.98,,,,,,,143079007.05,13158236443.4,,,803606516.04,100000000.0,,,,,,,,,5187286960.97,,,925511392.0,264456954.64,518190742.51,7799052566.16,5359183877.24,,34150630.06,18708925.74,244311.62,,,53103867.42,378170000.0,76200581.51,,,454370581.51,-401266714.09,,,,,,14587330000.0,,14587330000.0,11813920000.0,950236948.1,,64832498.64,12828989446.74,1758340553.26,-2472320.93,6713785395.48,,,,,19075507504.84,25789292900.32,定期报告,未审计,20251029,CNY,合并期末,2024-10-28T17:52:03
20240630,,,,1805990238.39,1200000000.0,,1173775684.43,,,239956586.58,1552218127.21,,,,,,,144837990.69,6116778627.3,,,397785064.11,,,,445213572.63,,,,,,2950416051.05,,,694099291.18,176214751.05,271971276.66,4935700006.68,1181078620.62,,26295267.28,2448925.74,346668.69,,,29090861.71,205670000.0,71098501.07,,,276768501.07,-247677639.36,,,,,,8706820000.0,,8706820000.0,6390550000.0,702497932.43,,49268201.15,7142316133.58,1564503866.42,2765291.26,2500670138.94,21576177643.78,19075507504.84,,,19075507504.84,21576177643.78,定期报告,未审计,20250828,CNY,合并期末,2024-08-30T17:32:03
20240331,,,,997413683.32,-100000000.0,,278465111.33,1401813251.81,,65285795.2,1759344921.18,,,,,,,177592691.18,4679915454.02,,,190976046.46,100000000.0,,-278465111.33,,-65285795.2,,,,,1487283130.56,,,464733674.46,89734163.12,174215896.62,2506942911.22,2172972542.8,,582890.12,2448925.74,104848.83,,,3136664.69,204820000.0,38801173.54,,,243621173.54,-240484508.85,,,,,,5288670000.0,,5288670000.0,3830210000.0,188610667.99,,19122385.32,4037943053.31,1250726946.69,337448.41,3183552429.05,,,,,19075507504.84,22259059933.89,定期报告,未审计,20250429,CNY,合并期末,2024-04-26T16:52:03
20231231,,,,3771583822.36,2000000.0,,,1516032675.84,,371843514.74,,,,,,,,312960847.09,5974420860.03,,,727818993.12,,,1363360509.69,,,,1470639491.77,,,5218427713.22,,,1137646293.77,442477636.48,586366343.92,10946736981.97,-4972316121.94,,187010508.42,29770931.19,45067013.85,,,261848453.46,392600000.0,327699248.72,,,720299248.72,-458450795.26,,,,,,14786020000.0,,14786020000.0,10276480000.0,919641646.8,,129080817.67,11325202464.47,3460817535.53,6033698.16,-1963915683.51,19075507504.84,21039423188.35,,,21039423188.35,19075507504.84,定期报告,是,20250328,CNY,合并期末,2024-03-28T19:22:02
