报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,1165670157.68,661825847.98,625851156.68,11636482.25,10556549.71,,,,313784838.17,525451348.13,211666509.96,158001311.03,-3704605.75,,,20052904.64,-676676.93,9937556.51,-462487.45,3206863.73,653215313.97,7844936.79,632134327.92,,12751005.66,0.0,,485043.6,512454843.71,11804.19,,900969.26,,511565678.64,118128917.27,393436761.37,393436761.37,,393609223.3,-172461.93,,,58365486.16,58365486.16,12519829.25,,,12519829.25,,45845656.91,,,33528549.45,,12317107.46,,,,,,,451802247.53,451974709.46,-172461.93,0.15,0.15,定期报告,未审计,20260423,CNY,合并期末,2026-04-22T21:13:29
20251231,4615484528.69,2341057934.11,2168830840.99,78101260.85,50881395.74,,,,1063921102.68,2004551907.89,940630805.21,1196093741.86,16828208.56,0.0,0.0,-11991660.01,-890940.46,18107401.14,-460258.89,9647208.26,2683795315.47,34468831.61,2595115567.85,,45698765.59,0.0,,8512150.42,1931689213.22,4188603.29,,27213200.68,,1908664615.83,440252471.04,1468412144.79,1468412144.79,0.0,1470328175.6,-1916030.81,8113029463.92,,88781426.46,88781426.46,5873537.15,0.0,0.0,5873537.15,0.0,82907889.31,0.0,,149490450.28,0.0,-66582560.97,,0.0,,0.0,,0.0,1557193571.25,1559109602.06,-1916030.81,0.56,0.56,定期报告,是,20260423,CNY,合并期末,2026-04-22T21:13:29
20250930,3493230644.78,1752818984.11,1632462781.72,55870574.4,32298530.66,,,,753457998.48,1464542020.47,711084021.99,663897266.19,7615795.94,,,303237002.93,-480620.19,15538461.29,-123058.94,4884610.91,2118945416.83,24442127.43,2046696703.53,,41015884.1,,,6790701.77,1374285227.95,4053136.96,,5409857.88,,1372928507.03,314996447.72,1057932059.31,1057932059.31,,1059349015.82,-1416956.51,,,28361884.26,28361884.26,4865019.8,,,4865019.8,,23496864.46,,,87581667.16,,-64084802.7,,,,,,,1086293943.57,1087710900.08,-1416956.51,0.4,0.4,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T19:28:13
20250630,2073360322.47,1001025601.93,918104721.74,41823855.5,22664336.67,,,,475421748.58,971054601.27,495632852.69,659956501.07,-1140927.08,,,-74240423.41,-304992.97,6769032.22,-45141.97,4777997.02,1421050544.63,16494091.1,1366874958.06,,34360543.1,,,3320952.37,652309777.84,3991862.42,,93651.02,,656207989.24,145054539.8,511153449.44,511153449.44,,512163360.08,-1009910.64,8113029463.92,,48159435.11,48159435.11,12585290.05,,,12585290.05,,35574145.06,,,15430977.57,,20143167.49,,,,,,,559312884.55,560322795.19,-1009910.64,0.2,0.2,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T21:23:09
20250331,1085232701.75,531881357.71,497113398.69,9092484.48,10135182.86,,,,245523589.37,497849737.41,252326148.04,328223192.68,-4864629.86,,,-27222822.41,-81331.43,3210564.72,-23397.39,3721548.5,695614152.77,7243592.0,682645001.28,,4215452.38,0.0,,1510107.11,389618548.98,2416448.1,,1787189.74,,390247807.34,89475263.7,300772543.64,300772543.64,,301009773.68,-237230.04,,,-903594.3,-903594.3,9349940.58,,,9349940.58,,-10253534.88,,,-15471611.72,,5218076.84,,,,,,,299868949.34,300106179.38,-237230.04,0.11,0.11,定期报告,未审计,20260423,CNY,合并期末,2025-04-25T00:53:06
20241231,3919594533.79,1858575130.86,1599053263.28,132127708.17,83603519.34,,,,968562641.77,1955892051.01,987329409.24,518218474.41,43593382.05,0.0,0.0,533771772.31,615366.7,21213244.97,-2738948.36,21376851.13,3035713229.78,29685694.19,2730100579.38,,255061982.02,0.0,,20864974.19,883881304.01,28994151.48,,22264699.36,,890610756.13,163904753.69,726706002.44,726706002.44,0.0,727965112.13,-1259109.69,7749657837.38,,165051592.33,165051592.33,1565327.16,0.0,0.0,1565327.16,0.0,163486265.17,0.0,,-27950074.56,0.0,191436339.73,,0.0,,0.0,,0.0,891757594.77,893016704.46,-1259109.69,0.28,0.28,定期报告,是,20260423,CNY,合并期末,2025-04-25T00:53:06
20240930,2231870089.79,1105510510.37,917280085.59,91754789.05,66732081.77,,,,681087088.36,1404085532.95,722998444.59,248160626.21,-8243967.46,,,174049240.05,-366035.47,18923945.45,-1014109.98,5518824.8,1939655979.04,17935533.87,1657580391.4,,244810323.3,,,19329730.47,292214110.75,426985.77,,9245136.53,,283395959.99,30041149.24,253354810.75,253354810.75,,254108003.53,-753192.78,,,67449854.57,67449854.57,2914092.84,,,2914092.84,,64535761.73,,,-101905796.78,,166441558.51,,,,,,,320804665.32,321557858.1,-753192.78,0.1,0.1,定期报告,未审计,20251030,CNY,合并期末,2024-10-30T19:38:22
20240630,1413115470.65,766481471.85,647495121.64,47894435.01,50722426.93,,,,468900891.21,964614701.87,495713810.66,255034007.24,-8253897.25,,,-93221171.92,250169.29,10928347.41,-569618.42,5311373.99,1393960243.76,12919624.18,1058653506.8,,311152629.04,,,11234483.74,19155226.89,151765.5,,8205899.11,,11101093.28,-26874441.62,37975534.9,37975534.9,,39548745.12,-1573210.22,7749657837.38,,160843265.08,160843265.08,-948939.15,,,-948939.15,,161792204.23,,,-4893239.26,,166685443.49,,,,,,,198818799.98,200392010.2,-1573210.22,0.02,0.02,定期报告,未审计,20250828,CNY,合并期末,2024-08-29T20:05:29
20240331,647567514.65,372773367.26,324274425.73,18545989.14,15358466.14,,,,226166654.49,486425543.67,260258889.18,84176743.58,-3804234.56,,,-44421446.53,49674.68,3891314.08,93090.57,4838116.52,512001683.11,4577537.07,499904462.74,,4697607.06,,,2822076.24,135565831.54,147183.16,,78571.34,,135634443.36,9746113.84,125888329.52,125888329.52,,126334550.14,-446220.62,,,-20100776.33,-20100776.33,,,,,,-20100776.33,,,-18754014.57,,-1346761.76,,,,,,,105787553.19,106233773.81,-446220.62,0.05,0.05,定期报告,未审计,20250425,CNY,合并期末,2024-04-26T23:03:02
20231231,3180917154.72,1804166129.8,1481098275.81,184634143.89,92256601.0,,,,972016979.73,2176838402.56,1204821422.83,353945676.5,-19288091.59,0.0,0.0,11284996.95,543749.05,16357588.33,-1342188.8,23944223.16,2696979784.24,30904385.04,2557677810.16,,87433430.71,0.0,,20964158.33,483937370.48,899504.7,,42556828.42,,442280046.76,22051365.78,420228680.98,420228680.98,0.0,424951566.18,-4722885.2,7523832106.64,,20272992.78,20272992.78,1025036.51,0.0,0.0,1025036.51,0.0,19247956.27,0.0,,-81498749.31,0.0,100746705.58,,0.0,,0.0,,0.0,440501673.76,445224558.96,-4722885.2,0.16,0.16,定期报告,是,20250425,CNY,合并期末,2024-04-26T23:03:02
