报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向央行借款净增加额,客户存款和同业存放款项净增加额,客户存款,同业及其他金融机构存放款,收回存放同业及其他金融机构净额,拆入资金现金流入,收回的拆出资金净额,吸收的卖出回购项净额,收回的买入返售项净额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,收到利息,收到的手续费,金融企业往来收入收到的现金,中间业务收入收到的现金,证券投资收益收到的现金,汇兑净收益收到的现金,存入保证金收到的现金,销售商品、提供劳务收到的现金,贵金属现金流入,收到的委托资金,贴现收到的现金,其他负债增加流入的现金,收回的已于以前年度核销的贷款及应收款项,已核销呆账贷款及利息收回,处置抵债资产收到的现金,其他营业及营业外净收入收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,存放中央银行,存放同业及其他机构存款,拆出资金净现金流出,偿还中央银行借款,支付的存款,减少同业及其他金融机构存放净额,偿还同业及其他金融机构拆入净额,偿还卖出回购款项净额,证券投资支出的现金,支付买入返售款项净额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,支付的利息,手续费支出支付的现金,支付给职工以及为职工支付的现金,以现金支付的营业费用,与金融机构往来支出的现金净额,贴现支付的现金,委托及代理业务减少额,贵金属现金流出,购买商品、接受劳务支付的现金,借入其他资金净减少额,其他资产减少支出的现金,为交易目的而持有的金融资产净增加额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,分得股利或利润所收到的现金,取得债券利息收入收到的现金,处置固定资产、无形资产及其他资产而收到的现金,处置股权投资所收到的现金,处置子公司及其他单位收到的现金,取得子公司及其他营业单位所收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,权益性投资增加支付的现金,债券投资所支付的现金,购买子公司、联营企业及合营企业投资所支付的现金净额,增加在建工程所支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资所收到的现金,发行证券化资产所吸收的现金,取得借款收到的现金,发行债券收到的现金,发行次级债券收到的现金,增加股本所收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,分配股利、利润或偿付利息支付的现金,偿付利息所支付的现金,支付新股发行费用,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,1120500000.0,11496187258.08,,,,455347464.0,,594045430.43,,,1500512964.64,,,,,,,,,,,,,,,,,,51335134.53,15569503006.08,7991812541.58,,,,,,,,,,,,,1514783849.43,,,372560236.18,,,,,,,,,,161877742.34,131396853.01,10172431222.54,5397071783.54,,169155543909.24,656888817.64,,,5642398.54,,,,,169818075125.42,170582827551.9,,,,,5868202.91,,,170588695754.81,-770620629.39,,,,,1752758890.0,,,,1752758890.0,2593808920.0,15561005.07,,,10981377.38,2620351302.45,-867592412.45,-8042407.25,3750816334.45,,,,,6236791287.27,9987607621.72,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:18:03
20251231,,,2608000000.0,10906590654.23,,,,,575072000.0,,,,5748785192.33,,,,,,,,,,,,,,,,,,100302109.29,19938749955.85,12184770947.85,330750773.45,,,829258464.0,,,,,4240064643.81,,,,3712201725.52,,,915293929.27,,,,,,,,,,518860786.97,447902475.4,23179103746.27,-3240353790.42,,506422186924.0,2295221585.4,,,360446.66,,,,,508717768956.06006,502512328231.46,,,,,67663904.82,,,502579992136.28,6137776819.78,,,,,16106507150.0,,,,16106507150.0,16496507150.0,1024275078.2,,,25455095.69,17546237323.89,-1439730173.89,2439766.34,1460132621.81,1676880419.82,1286319293.24,4559910867.45,3490339372.22,4776658665.46,6236791287.27,定期报告,是,20260331,CNY,合并期末,2026-03-30T18:56:04
20250930,,,629000000.0,8916653809.59,,,,,361907000.0,,,,4454560173.38,,,,,,,,,,,,,,,,,,87715877.26,14688738903.72,9915664629.91,,,,,,,,416920596.0,8272683721.22,,,,2884759052.93,,,751872797.74,,,,,,,,,,393341499.26,327555750.97,22962798048.03,-8274059144.31,,411852548137.46,1812453215.24,,,5083724.44,,,,,413670085077.14,403899819417.78,,,,,33555902.49,,,403933375320.27,9736709756.87,,,,,14519212930.0,,,,14519212930.0,13429212930.0,745175193.71,,,21094244.7,14195482368.41,323730561.59,-4716157.0,1781665017.15,,,,,4776658665.46,6558323682.61,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T16:16:06
20250630,,,2131000000.0,8636048140.43,,,,,360314000.0,,,,3082234620.58,,,,,,,,,,,,,,,,,,33972710.27,14374405889.16,9236219023.42,,,,,,,,247272300.0,6972604190.9,,,,2323398698.89,,,507386607.67,,,,,,,,,,260338150.62,190074929.91,19737293901.41,-5362888012.25,,263261159941.47,1169415148.37,,,681517.76,,,,,264431256607.6,258624836602.65,,,,,31015228.29,,,258655851830.94,5775404776.66,,,,,2060000000.0,,,,2060000000.0,480000000.0,706453644.31,,,14151607.55,1200605251.86,859394748.14,11568761.78,1283480274.33,1776121475.53,1286319293.24,4284017464.26,3490339372.22,4776658665.46,6060138939.79,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T18:30:03
20250331,,,,7961802203.32,,,,1114216200.0,816000.0,,,,1546657523.21,,,,,,,,,,,,,,,,,,21457902.63,10890653920.38,7135773006.79,,,,,,,,,4546942165.57,,,,1568182522.62,,,329928839.38,,,,,,,,,,165125528.14,61255616.54,13807207679.04,-2916553758.66,,154176682397.78,699213293.88,,,356586.92,,,,,154876252278.58,150058529249.11002,,,,,10151678.56,,,150068680927.67,4807571350.91,,,,,8877322050.0,,,,8877322050.0,8487322050.0,16077118.03,,,8912040.99,8512311209.02,365010840.98,3110040.58,2259138473.81,,,,,4776658665.46,7035797139.27,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T20:02:04
20241231,,,294967659.23,9442938616.66,,,,,,1542946863.66,,,6633152521.34,,,,,,,,,,,,,,,,,,303436700.7,18217442361.59,11350797806.19,47758644.01,,,575072000.0,,,,827790879.13,,,,,3756562000.96,,,884284054.47,,,,,,,,,,596397394.96,598563523.68,18637226303.4,-419783941.81,,988826644462.1101,2329568388.37,,,9979819.04,,,,,991166192669.52,988477295512.9901,,,,,79367276.71,,,988556662789.7,2609529879.82,,,,,25814418880.0,,,,25814418880.0,27429346015.46,886454958.61,,,31168914.5,28346969888.57,-2532551008.57,-2642552.98,-345447623.54,1286319293.24,2222623974.1,3490339372.22,2899482314.9,5122106289.0,4776658665.46,定期报告,是,20260331,CNY,合并期末,2025-03-28T21:00:02
20240930,,,,8102657089.66,,,,,,130711580.89,,,5145608914.14,,,,,,,,,,,,,,,,,,64111764.05,13990606887.11,9444192229.19,,,,420444000.0,12000000.0,,,243724300.0,,,,,3027102589.9,,,637634033.75,,,,,,,,,,485700782.33,334756933.12,14605554868.29,-614947981.18,,95310934668.96,1917610785.03,,,2694588.57,,,,,97231240042.56,92895893813.25,,,,,46635532.35,,,92942529345.6,4288710696.96,,,,,3023828151.4,,,,3023828151.4,3567667000.0,726760454.15,,,26305708.49,4320733162.64,-1296905011.24,-5808872.71,2371048831.83,,,,,5122106289.0,7493155120.83,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T19:15:02
20240630,,,5000000.0,9625279159.56,,,,,,,,,3638026232.42,,,,,,,,,,,,,,,,,,42697625.07,13812959531.05,9130935635.66,,,,641412000.0,,,,625865500.0,1704577514.24,,,,2388240093.69,,,466735792.83,,,,,,,,,,357284737.91,274399870.78,15589451145.11,-1776491614.06,,63380351239.5,1326649776.04,,,2837139.29,,,,2837139.29,64709838154.83,63507498946.69,,,,,37178486.5,,,63544677433.19,1165160721.64,,,,,2019400782.48,,,,2019400782.48,458910500.0,621471183.2,,,18075222.0,1098456905.2,920943877.28,-10013580.98,299599403.88,5421705692.88,5122106289.0,,,5122106289.0,5421705692.88,定期报告,未审计,20250828,CNY,合并期末,2024-08-26T17:20:13
20240331,,,,16649249553.8,,,751577340.07,,,,,,1661840721.02,,,,,,,,,,,,,,,,,,20207510.23,19082875125.12,6819521650.74,,,,,,,,960375500.0,1910834710.09,,5775152000.0,,1510865656.99,,,279137708.38,,,,,,,,,,144327058.18,-57232133.45,17342982150.93,1739892974.19,,65128276881.58,630683305.45,,,5032574.93,,,,,65763992761.96,63767193184.8,,,,,3834430.34,,,63771027615.14,1992965146.82,,420723974.78,,,493960946.84,,,,914684921.62,5311116668.43,413106435.35,,,10185981.68,5734409085.46,-4819724163.84,-10542480.97,-1097408523.8,,,,,5122106289.0,4024697765.2,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T21:10:03
20231231,,,628573724.82,10455529256.31,,,675695283.53,,,2539832171.67,,,6927477507.57,,,,,,,,,,,,,,,,,,117520286.78,21344628230.68,13203431925.84,0.0,,,0.0,,,,539624500.0,,,,,3775688197.62,,,996936334.94,,,,,,,,,,607464617.86,425994778.88,19549140355.14,1795487875.54,,287334671141.64,2038382232.87,,,25611076.23,,,,25611076.23,289398664450.74,294274915140.18,,,,,115954937.75,,,294390870077.93,-4992205627.19,,,,,21930806690.0,,,,21930806690.0,17495300674.76,823643257.95,,,27410729.48,18346354662.19,3584452027.81,-10052433.92,377681842.24,2222623974.1,2424566209.69,2899482314.9,2319858237.07,4744424446.76,5122106289.0,定期报告,是,20250329,CNY,合并期末,2024-04-29T20:35:03
