报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,304278071.25,,,,,,,,,,,,363651035.91,667929107.16,311300811.55,,,,,,29485826.34,1969367.18,543406467.54,886162472.61,-218233365.45,,,,,,,,,0.0,76000.0,,,,,,76000.0,-76000.0,,,,871315669.08,,772559000.0,1643874669.08,508900019.73,28142162.3,,815974544.45,1353016726.48,290857942.6,,72548577.15,43029558.33,,,,,115578135.48,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:48:07
20251231,,1754902117.0,,,,,,,,,,,,859965647.07,2614867764.07,1609051046.03,,,,,,158693274.9,59487091.99,989344697.25,2816576110.17,-201708346.1,,,,2377343.31,,,,,2377343.31,22870065.47,,,,,,22870065.47,-20492722.16,,,,4638514530.84,,4031785717.77,8670300248.61,4413847977.62,191142000.96,1000000.0,4063078799.35,8668068777.93,2231470.68,-9287.38,-219978884.96,263008443.29,43029558.33,263008443.29,,,43029558.33,定期报告,是,20260429,CNY,合并期末,2026-04-28T22:48:04
20250930,,1839665585.93,,,,,,,,,,,217184.2,1619472126.68,3459354896.81,2015743358.4,,,,,,108993786.54,41795021.54,1116410976.16,3282943142.64,176411754.17,,,,2468455.0,,,,,2468455.0,13692976.5,,,,,,13692976.5,-11224521.5,,,,5344454555.03,,148520000.0,5492974555.03,5350116772.37,88855956.37,,222546132.57,5661518861.31,-168544306.28,,-3357073.61,263008443.29,,,,,259651369.68,定期报告,未审计,20260429,CNY,合并期末,2025-10-30T19:18:20
20250630,,1597519416.08,,,,,,,,,,,134899.1,1024608162.7,2622262477.88,1606464572.23,,,,,,83006680.13,27661588.27,686696370.65,2403829211.28,218433266.6,,,,440855.0,,,,,440855.0,7640918.5,,,,,,7640918.5,-7200063.5,,,,3404056618.77,,110000000.0,3514056618.77,3469475048.81,61218275.6,,154985142.46,3685678466.87,-171621848.1,,39611355.0,263008443.29,302619798.29,263008443.29,,,302619798.29,定期报告,未审计,20260429,CNY,合并期末,2025-08-29T21:28:08
20250331,,946673233.69,,,,,,,,,,,,516227347.48,1462900581.17,1010718758.04,,,,,,59370426.38,8355554.56,423182014.9,1501626753.88,-38726172.71,,,,430000.0,,,,,430000.0,4438728.5,,,,,,4438728.5,-4008728.5,,,,1677295434.73,,,1677295434.73,1666967826.67,32088933.67,,70494501.88,1769551262.22,-92255827.49,,-134990728.7,263008443.29,,,,,128017714.59,定期报告,未审计,20260430,CNY,合并期末,2025-04-28T20:14:06
20241231,,3269026315.73,,,,,,,,,,,,1175287816.34,4444314132.07,2851679096.59,,,,,,249963704.43,90590916.65,1188772828.92,4381006546.59,63307585.48,,,,1014311.53,,,,,1014311.53,32724581.79,,,,,,32724581.79,-31710270.26,,,,4808089500.53,,280475112.03,5088564612.56,4848838811.27,170214477.63,1500000.0,218883167.41,5237936456.31,-149371843.75,9492.06,-117765036.47,380773479.76,263008443.29,380773479.76,,,263008443.29,定期报告,是,20260429,CNY,合并期末,2025-04-24T22:12:06
20240930,,2709115064.27,,,,,,,,,,,204840.57,1139391390.02,3848711294.86,2380633710.38,,,,,,108595591.2,49738175.65,1288434065.03,3827401542.26,21309752.6,,,,321057.0,,,,,321057.0,5864035.54,,,,,2610.0,5866645.54,-5545588.54,,,,3117321543.94,,219682800.0,3337004343.94,3312381922.88,114834338.44,,174906419.09,3602122680.41,-265118336.47,,-249354172.41,380773479.76,,,,,131419307.35,定期报告,未审计,20260429,CNY,合并期末,2024-10-29T18:55:04
20240630,,1673647681.46,,,,,,,,,,,146960.5,758906875.49,2432701517.45,1728281113.4,,,,,,124713072.03,36884892.56,656453843.02,2546332921.01,-113631403.56,,,,261576.0,,,,,261576.0,2828206.54,,,,,,2828206.54,-2566630.54,,,,1727642244.89,,219682800.0,1947325044.89,1860019464.0,57008266.25,,110207349.11,2027235079.36,-79910034.47,,-196108068.57,380773479.76,184665411.19,380773479.76,,,184665411.19,定期报告,未审计,20260429,CNY,合并期末,2024-08-28T19:05:32
20240331,,880055116.6,,,,,,,,,,,,575450798.67,1455505915.27,905580238.31,,,,,,58738808.28,17011064.66,541530935.79,1522861047.04,-67355131.77,,,,3368.0,,,,,3368.0,1416415.0,,,,,,1416415.0,-1413047.0,,,,960692319.09,,56340000.0,1017032319.09,1089653354.7,27505999.82,,35976445.1,1153135799.62,-136103480.53,,-204871659.3,380773479.76,,,,,175901820.46,定期报告,未审计,20250429,CNY,合并期末,2024-04-28T16:05:18
20231231,,5053267653.76,,,,,,,,,,,,918376834.58,5971644488.34,4424259592.03,,,,,,259887206.86,69164858.57,1198240481.66,5951552139.12,20092349.22,,,,453030.28,,,,,453030.28,38591740.31,15000000.0,,,,,53591740.31,-53138710.03,,,,3380493949.2,,99878250.0,3480372199.2,3179702282.41,167142413.97,1500000.0,145399256.51,3492243952.89,-11871753.69,5.01,-44918109.49,425691589.25,380773479.76,425691589.25,,,380773479.76,定期报告,是,20250425,CNY,合并期末,2024-04-25T20:50:07
20230930,,3791339864.44,,,,,,,,,,,373120.64,1658377027.0,5450090012.08,3624413346.12,,,,,,114032363.91,54224011.75,1560638455.47,5353308177.25,96781834.83,,,,221319.0,,,,,221319.0,6910989.19,15000000.0,,,,,21910989.19,-21689670.19,,,,1922747049.64,,,1922747049.64,1985234577.54,97438736.31,,54801367.43,2137474681.28,-214727631.64,,-139635467.0,425691589.25,,,,,286056122.25,定期报告,未审计,20241030,CNY,合并期末,2023-10-27T16:40:13
20230630,,2590070504.43,,,,,,,,,,,293756.94,716314224.05,3306678485.42,2351019013.4,,,,,,77153338.61,40936370.36,680775942.27,3149884664.64,156793820.78,,,,178840.0,,,,,178840.0,5136462.99,15000000.0,,,,,20136462.99,-19957622.99,,,,1050535794.45,,,1050535794.45,1156866666.66,61029318.24,,34548115.43,1252444100.33,-201908305.88,,-65072108.09,425691589.25,360619481.16,425691589.25,,,360619481.16,定期报告,未审计,20240829,CNY,合并期末,2023-08-28T19:05:06
20230331,,1409315562.48,,,,,,,,,,,,173095422.35,1582410984.83,1420552223.73,,,,,,43692750.55,19770496.63,87942616.03,1571958086.94,10452897.89,,,,95320.0,,,,,95320.0,2480898.47,1500000.0,,,,,3980898.47,-3885578.47,,,,621250625.01,,,621250625.01,657733333.33,31249659.17,,15041867.54,704024860.04,-82774235.03,,-76206915.61,425691589.25,,,,,349484673.64,定期报告,未审计,20240429,CNY,合并期末,2023-04-25T19:30:02
20221231,,3474043503.06,,,,,,,,,,,,1353408199.52,4827451702.58,4030293255.02,,,,,,294091346.63,101833517.03,1077982136.47,5504200255.15,-676748552.57,,,,5668567.09,,,,,5668567.09,20790200.01,,,,,,20790200.01,-15121632.92,,,,2656530206.84,,91000000.0,2747530206.84,1830560000.0,150449258.66,,69400989.81,2050410248.47,697119958.37,6.07,5249778.95,420441810.3,425691589.25,420441810.3,,,425691589.25,定期报告,是,20240426,CNY,合并期末,2023-04-25T19:30:02
20220930,,2448438889.14,,,,,,,,,,,1752010.28,1596695309.98,4046886209.4,3010010258.2,,,,,,105651468.44,65977405.85,1349266879.43,4530906011.92,-484019802.52,,,,165214.0,,,,,165214.0,7913117.86,,,,,,7913117.86,-7747903.86,,,,2198210062.4,,,2198210062.4,1613649627.15,106674116.88,,4418159.67,1724741903.7,473468158.7,,-18299547.68,420441810.3,,,,,402142262.62,定期报告,未审计,20231028,CNY,合并期末,2022-10-27T16:40:04
20220630,,1751920352.72,,,,,,,,,,,1656094.25,941931608.94,2695508055.91,1884547996.76,,,,,,70276519.29,49242388.12,480451462.43,2484518366.6,210989689.31,,,,152214.0,,,,,152214.0,7456387.98,,,,,,7456387.98,-7304173.98,,,,1191445045.73,,,1191445045.73,1224736335.49,50467984.95,,,1275204320.44,-83759274.71,,119926240.62,420441810.3,540368050.92,420441810.3,,,540368050.92,定期报告,未审计,20230830,CNY,合并期末,2022-08-25T16:40:05
20220331,,1118080574.67,,,,,,,,,,,,353003559.57,1471084134.24,1091511130.94,,,,,,40332533.15,11243670.59,245100289.16,1388187623.84,82896510.4,,,,,,,,,0.0,6350055.0,,,,,,6350055.0,-6350055.0,,,,516678727.78,,,516678727.78,510833002.16,21925718.4,,,532758720.56,-16079992.78,,60466462.62,420441810.3,,,,,480908272.92,定期报告,未审计,20230426,CNY,合并期末,2022-04-26T17:10:03
20211231,,3525466210.95,,,,,,,,,,,,1424020845.02,4949487055.97,3610384951.04,,,,,,317622052.46,82767774.04,1570323954.13,5581098731.67,-631611675.7,,,,1527934.27,,,,,1527934.27,104989339.22,,,,,,104989339.22,-103461404.95,,12000000.0,12000000.0,2087569111.26,,,2099569111.26,1789296012.37,127929809.54,,26139512.82,1943365334.73,156203776.53,,-578869304.12,999311114.42,420441810.3,999311114.42,,,420441810.3,定期报告,是,20230426,CNY,合并期末,2022-04-21T17:05:03
20210930,,2957455348.15,,,,,,,,,,,154510.24,1459672054.71,4417281913.1,3818335631.58,,,,,,133759850.16,61896890.41,1035667026.85,5049659399.0,-632377485.9,,,,6336.0,,,,,6336.0,25325498.71,,,,,,25325498.71,-25319162.71,,12000000.0,,1589799267.99,,,1601799267.99,1175048460.7,91153672.46,,,1266202133.16,335597134.83,,-322099513.78,999311114.42,,,,,677211600.64,定期报告,未审计,20221028,CNY,合并期末,2021-10-26T17:20:03
20210630,,1896726368.09,,,,,,,,,,,152521.29,654668293.43,2551547182.81,2076861113.88,,,,,,87408767.72,38693098.44,576801280.45,2779764260.49,-228217077.68,,,,6336.0,,,,,6336.0,15297749.71,12000000.0,,,,,27297749.71,-27291413.71,,,,1101321641.68,,,1101321641.68,916818405.14,38569514.64,,,955387919.78,145933721.9,,-109574769.49,999311114.42,889736344.93,999311114.42,,,889736344.93,定期报告,未审计,20220826,CNY,合并期末,2021-08-26T19:35:03
20210331,,1047236415.35,,,,,,,,,,,,296764083.97,1344000499.32,1234961677.02,,,,,,52040112.33,11528529.77,316564304.43,1615094623.55,-271094124.23,,,,6336.0,,,,,6336.0,13526755.61,,,,,,13526755.61,-13520419.61,,,,533516027.79,,,533516027.79,479973076.37,18234501.97,,,498207578.34,35308449.45,,-249306094.39,999311114.42,,,,,750005020.03,定期报告,未审计,20220427,CNY,合并期末,2021-04-29T16:30:03
20201231,,2974313827.89,,,,,,,,,,,,1293638229.42,4267952057.31,2279772655.45,,,,,,285906778.96,76282674.01,1412492567.37,4054454675.79,213497381.52,,,,34972.81,,,,,34972.81,80119980.61,,,,,,80119980.61,-80085007.8,,642199998.78,,1579219484.82,,,2221419483.6,1509499027.73,101409169.5,2100000.0,2627051.88,1613535249.11,607884234.49,-0.39,741296607.82,258014506.6,999311114.42,258014506.6,,,999311114.42,定期报告,是,20220422,CNY,合并期末,2021-04-27T23:20:04
20200930,,2251860853.94,,,,,,,,,,,214439.95,814845855.86,3066921149.75,2211694804.9,,,,,,106795921.98,54806843.59,567365521.73,2940663092.2,126258057.55,,,,61000.0,,,,,61000.0,17349464.43,13200000.0,,,,,30549464.43,-30488464.43,,,,1221299970.99,,,1221299970.99,1142848277.33,81397704.26,,,1224245981.59,-2946010.6,,92823582.52,258014506.6,,,,,350838089.12,定期报告,未审计,20211027,CNY,合并期末,2020-10-27T20:25:03
20200630,,1509973326.26,,,,,,,,,,,126015.86,462808464.67,1972907806.79,1435019517.43,,,,,,61534704.82,26638262.05,338848568.73,1862041053.03,110866753.76,,,,30000.0,,,,,30000.0,13888919.92,13200000.0,,,,,27088919.92,-27058919.92,,,,731815044.17,,,731815044.17,550526892.52,43568110.72,,,594095003.24,137720040.93,,221527874.77,258014506.6,479542381.37,258014506.6,,,479542381.37,定期报告,未审计,20210827,CNY,合并期末,2020-08-27T20:10:03
