报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,143691757.87,143691757.87,,,,,,144603464.37,103900684.78,,,,,,,,,399964.52,1348190.61,28847600.36,8495077.5,1611946.6,1066595.24,,10475.37,,,,,192150.54,,,,90734.74,1636097.19,-2581077.52,,,-1563326.18,17431.9,,90.99,,-1545985.27,-147184.73,,-1398800.54,-1398800.54,,-1398800.54,,0.0,-960354.13,-960354.13,,,,,,-960354.13,,,,,,,,,-960354.13,,,-2359154.67,-2359154.67,0.0,-0.002,-0.002,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T16:32:03
20251231,603471470.0,603471470.0,,,,,,625821941.3,442748050.1,,,,,,,,,1988456.5,7022621.6,123501774.58,49942302.99,618735.53,3781952.42,,6321302.56,,,,,1491143.59,,,,441941.48,-29637334.05,-879021.02,,89387.57,-44523051.17,5117537.17,,7019771.74,,-46425285.74,-1514007.54,,-44911278.2,-44911278.2,,-44911278.2,,,-1404768.08,-1404768.08,0.0,,,,,-1404768.08,,,,,,,,,-1404768.08,,,-46316046.28,-46316046.28,0.0,-0.063,-0.063,定期报告,是,20260428,CNY,合并期末,2026-04-27T19:02:07
20250930,398747894.15,398747894.15,,,,,,411237901.84,281079843.92,,,,,,,,,1183699.31,3826958.94,91916659.63,34618403.8,-1387663.76,1492935.44,,6314093.75,,,,,1222504.64,,,,358106.44,-22012729.23,-2928482.78,,81229.87,-29455285.0,253399.18,,6596402.36,,-35798288.18,-1199708.49,,-34598579.69,-34598579.69,,-34598579.69,,,-1680824.17,-1680824.17,,,,,,-1680824.17,,,,,,,,,-1680824.17,,,-36279403.86,-36279403.86,,-0.0486,-0.0486,定期报告,未审计,20260428,CNY,合并期末,2025-10-29T18:12:04
20250630,234948738.84,234948738.84,,,,,,237691086.03,150917475.08,,,,,,,,,817231.07,2170902.82,63207665.51,23889480.64,-3311669.09,1459587.21,,6321302.56,0.0,0.0,0.0,,855093.57,,,,211198.75,-16861067.87,-2127465.54,,106674.04,-14236611.68,205694.53,,6533848.89,,-20564766.04,208699.53,,-20773465.57,-20773465.57,,-20773465.57,,,-2065725.43,-2065725.43,0.0,,,,,-2065725.43,,,,,,,,,-2065725.43,,,-22839191.0,-22839191.0,0.0,-0.0292,-0.0292,定期报告,是,20250828,CNY,合并期末,2025-08-27T21:12:07
20250331,108274327.61,108274327.61,,,,,,99931933.17,54992003.01,0.0,,0.0,0.0,0.0,0.0,0.0,,272944.81,891896.36,31291563.59,13791499.76,-1307974.36,377494.4,0.0,0.0,0.0,0.0,0.0,0.0,437305.27,,,,53047.33,-2336775.22,-3085295.48,,27278.89,3437955.23,61449.33,,33685.05,,3465719.51,0.0,,3465719.51,3465719.51,,3465719.51,,0.0,-383869.36,-383869.36,,,,,,-383869.36,,,,,,,,,-383869.36,,,3081850.15,3081850.15,0.0,0.0049,0.0049,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T20:50:15
20241231,216494973.25,216494973.25,,,,,,301188418.61,68020035.52,,,,,,,,,616478.35,4879295.23,155050646.7,71645851.56,976111.25,2822859.6,,144110.14,,,,,-1058361.8,,,,95090.37,-32849933.98,58843783.43,,4835583.66,-54683173.54,1788590.77,,10327026.29,,-63221609.06,-182529.3,,-63039079.76,-63039079.76,,-62098314.49,,-940765.27,2184510.02,2184510.02,327231.48,,,327231.48,,1857278.54,,,,,,,,,1857278.54,,,-60854569.74,-59913804.47,-940765.27,-0.0872,-0.0872,定期报告,是,20260428,CNY,合并期末,2025-04-27T16:32:15
20240930,159359167.69,159359167.69,,,,,,216036309.89,53988028.72,,,,,,,,,421985.47,3311399.5,113850751.24,44376442.08,87702.88,2490862.43,,70487.99,,,,,474186.69,,,,80120.79,-14117561.99,58681317.83,,20103.03,-11468487.86,517003.21,,2328923.14,,-13280407.79,-201158.74,,-13079249.05,-13079249.05,,-13064654.66,,-14594.39,-1560748.73,-1560748.73,4538888.89,,4538888.89,,,-1560748.73,,,,,,,,,-1560748.73,,,-14639997.78,-14625403.39,-14594.39,-0.0183,-0.0183,定期报告,未审计,20260428,CNY,合并期末,2024-10-30T19:08:40
20240630,111662507.06,111662507.06,0.0,0.0,0.0,,,135866467.97,30228658.5,0.0,,0.0,0.0,0.0,0.0,0.0,,314754.88,2075714.95,74197612.81,28653236.16,396490.67,1814845.14,0.0,67209.92,0.0,0.0,0.0,0.0,228649.52,,,,80120.79,-10101132.52,-27323021.81,,7241.58,-61244893.43,358185.62,,1245774.24,,-62132482.05,-201158.74,,-61931323.31,-61931323.31,0.0,-61921625.6,,-9697.71,189028.37,189028.37,0.0,0.0,0.0,0.0,0.0,189028.37,0.0,,0.0,0.0,0.0,,0.0,,189028.37,,0.0,-61742294.94,-61732597.23,-9697.71,-0.0869,-0.0869,定期报告,未审计,20250828,CNY,合并期末,2024-08-29T20:27:03
20240331,63173640.27,63173640.27,0.0,0.0,0.0,,,73804727.87,17027280.71,0.0,,0.0,0.0,0.0,0.0,0.0,,161286.72,767999.04,39475008.07,14671057.98,1702095.35,909151.12,0.0,67209.92,0.0,0.0,0.0,0.0,0.0,,,,30120.79,-10938987.04,-32117846.11,,0.0,-53590590.04,92714.16,,426140.58,,-53924016.46,-201158.74,,-53722857.72,-53722857.72,0.0,-53718014.28,,-4843.44,1776633.27,1776633.27,0.0,0.0,0.0,0.0,0.0,1776633.27,0.0,,0.0,0.0,0.0,,0.0,,1776633.27,,0.0,-51946224.45,-51941381.01,-4843.44,-0.0754,-0.0754,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T20:02:04
20231231,289544438.84,289544438.84,,,,,,308427877.44,86141981.31,,,,,,,,,889316.92,5230053.88,156291178.68,57882856.3,1992490.35,4606151.29,,4542303.94,,,,,132563.61,,,,1439246.97,-22426975.41,-64321202.15,,-126.78,-99517628.42,32375928.51,,21406463.99,,-88548163.9,521763.62,,-89069927.52,-89069927.52,,-89050478.0,,-19449.52,-45419433.45,-45419433.45,-43542800.0,,,-43542800.0,,-1876633.45,,,,,,,,,-1876633.45,,,-134489360.97,-134469911.45,-19449.52,-0.125,-0.125,定期报告,是,20250428,CNY,合并期末,2024-04-28T16:22:09
20230930,214816201.88,214816201.88,,,,,,235868374.79,70583724.91,,,,,,,,,527508.45,3198289.4,114596117.58,40793557.59,6169176.86,3438864.67,,517335.44,,,,,4025471.58,,,,1414649.28,856985.85,-45283384.2,,-2427.66,-59523542.62,12473142.35,,8285413.16,,-55335813.43,-170148.48,,-55165664.95,-55165664.95,,-55151107.92,,-14557.03,6431619.1,6431619.1,,,,,,6431619.1,,,,,,,,,6431619.1,,,-48734045.85,-48719488.82,-14557.03,-0.0774,-0.0774,定期报告,未审计,20241031,CNY,合并期末,2023-10-30T19:07:15
20230630,157347602.08,157347602.08,0.0,0.0,0.0,,,153860458.98,49138746.26,0.0,,0.0,0.0,0.0,0.0,0.0,,364467.88,1813524.71,73615977.63,26327255.76,2600486.74,2451511.88,0.0,43756.87,0.0,0.0,0.0,0.0,3532569.84,,,,165682.93,-516443.98,-51803438.93,,-2427.66,-45093157.83,6478140.66,,697609.73,,-39312626.9,-170148.48,,-39142478.42,-39142478.42,0.0,-39132818.05,,-9660.37,4685243.14,4685243.14,0.0,0.0,0.0,0.0,0.0,4685243.14,0.0,,0.0,0.0,0.0,,0.0,,4685243.14,,0.0,-34457235.28,-34447574.91,-9660.37,-0.0549,-0.0549,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T20:27:03
20230331,90491706.98,90491706.98,,,,,,83802952.95,28817584.64,,,,,,,,,191196.48,803123.11,38537694.07,14631354.66,821999.99,,,,,,,,,,,,37903.93,-913842.57,-59806077.99,,,-53993262.6,775974.82,,446754.64,,-53664042.42,-107623.27,,-53556419.15,-53556419.15,0.0,-53551632.88,,-4786.27,-2589545.33,-2589545.33,0.0,0.0,0.0,0.0,0.0,-2589545.33,0.0,,0.0,0.0,0.0,,0.0,,-2589545.33,,0.0,-56145964.48,-56141178.21,-4786.27,-0.0752,-0.0752,定期报告,未审计,20240430,CNY,合并期末,2023-06-29T23:52:05
20221231,229891548.03,229891548.03,,,,,,276360430.47,74438191.72,,,,,,,,,2769457.06,6360832.56,138454914.67,56029807.05,-1692772.59,4047555.62,,640831.0,,,,,-880302.2,,,,1058870.85,-40849736.12,-19114779.56,,-1630.63,-105615629.1,107901643.42,,15487145.65,,-13201131.33,28228731.24,,-41429862.57,-41429862.57,,-41401197.35,,-28665.22,-25317365.53,-25317365.53,-32865600.0,,,-32865600.0,,7548234.47,,,,,,,,,7548234.47,,,-66747228.1,-66718562.88,-28665.22,-0.0551,-0.0551,定期报告,是,20240429,CNY,合并期末,2023-06-29T23:52:05
