报告日,资产,货币资金,现金,银行存款,存放中央银行款项,存放同业款项,存放联行款项,贵金属,结算备付金,应收保证金,融出资金,拆出资金,拆放同业,拆放金融性公司,交易性金融资产,买入返售金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付账款,应收股利,应收利息,应收手续费及佣金,应收租赁款,应收投资款项,其他应收款,其他应收款合计,发放贷款及垫款总额,贷款损失准备,发放贷款及垫款净额,代理证券,存货净额,待处理抵债资产总额,抵债资产减值准备,待处理抵债资产净额,待摊费用,划分为持有待售的资产,可供出售金融资产,衍生金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,长期股权投资,投资性房地产,债权投资,其他债权投资,其他权益工具投资,其他非流动金融资产,长期应收款,未确认的收益,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,固定资产净额,在建工程合计,在建工程,固定资产及清理合计,固定资产清理,固定资产合计,融资租赁资产,预付租赁资产款,合同资产,使用权资产,无形资产,商誉,长期待摊费用,递延税款借项,其他长期资产,一年内到期的非流动资产,其他流动资产,流动资产合计,非流通资产合计,资产总计,流动负债,短期借款,拆入资金,向中央银行借款,同业存放款项,联行存放款项,吸收存款,交易性金融负债,卖出回购金融资产款,应付票据及应付账款,应付票据,应付账款,预收账款,应付职工薪酬,应付工资,应付福利费,应交税金,应付股利,应付利息,其他应付款,其他应付款合计,应付手续费及佣金,应付代理证券款,应付保证金,其他应交款,委托资金,衍生金融负债,合同负债,预提费用,预计负债,递延收益,租赁负债,一年内到期的长期负债,其他流动负债,流动负债合计,长期借款,应付债券款,应付债券：优先股,应付债券：永续债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,递延税款贷项,其他负债,其他长期负债,长期负债合计,负债合计,所有者权益,实收资本净额,其他权益工具,优先股,永续债,资本公积,其他综合收益,库存股,盈余公积,一般风险准备,信托赔偿准备金,未分配利润,外币折算差额,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,2954152591.27,,,,,,,,,,,,,2969006095.25,90457202.09,,,94253587.76,,,,,,,,,,,,11622362129.83,,,,,,,1587184.69,,,,,150046256.61,,3658487888.27,,1367418774.08,,,,,,,,1014955196.37,,,,,1014955196.37,,,,635498.17,38954912.24,,,769866728.05,1519717642.41,,,,,26251901687.09,,,,,,,,,,,,,,693381984.44,,,107399692.97,,,,,,,,,,,6009175.41,,190446852.78,,202065.46,,,,,,,,,,,,108358.17,6662790484.8,,,7660338614.03,,5113970358.0,,,,6451671270.04,-501291494.35,,1025367320.94,285916345.9,506694614.26,5709234658.27,,18591563073.06,,18591563073.06,26251901687.09,定期报告,未审计,20260425,CNY,合并期末,2026-04-24T20:03:06
20251231,,2477404805.96,,,,,,,,,,,,,3779289680.8,32588141.58,,,138574028.36,,,,,,,,,,12699711912.64,274128690.58,12425583222.06,,,,,,,1587184.69,,,,,149722326.5,,6143442744.23,,1014334054.18,,,,1114743491.05,89753396.6,1024990094.45,,1024990094.45,,,,,1024990094.45,,,,1701447.22,39148936.42,,,693047405.4,1529593959.28,,,,,29451008031.13,,,,,,,,,,,,,,777352422.86,,,246066074.99,,,,,,,,,,,8492080.42,,214963317.97,,1541976.49,,,,,,,,,,,,39867.69,9259028970.5,,,10507484710.92,,5113970358.0,,,,6451671270.04,-166105035.99,,996359177.5,285916345.9,492190542.55,5769520662.21,,18943523320.21,,18943523320.21,29451008031.13,定期报告,是,20260425,CNY,合并期末,2026-02-09T20:13:02
20250930,,3812032087.17,,,,,,,,,,,,,3303704825.77,58894925.62,,,155585532.51,,,,,,,,,,,,10405402672.39,,,,,,,1587184.69,,,,,146520640.02,,5933043443.68,,1400196720.49,,,,,,,,944177123.42,,87664261.87,,,1031841385.29,,,,2733127.58,27536829.08,,,681239826.45,1330494768.23,,,,,28290813968.97,,,,,,,,,,,,,,691663902.48,,,160814793.05,,,,,,,,,,,10568157.28,,301924843.4,,2465347.01,,,,,,,,,,,,66945.15,8546583247.82,,,9714087236.19,,5113970358.0,,,,6451671270.04,-101708036.26,,942656245.74,285916345.9,465339076.67,5418881472.69,,18576726732.78,,18576726732.78,28290813968.97,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:53:05
20250630,,2867101313.66,,,,,,,,,,,,,3622802629.69,174223251.9,,,159997122.64,,,,,,,,,,10160255855.91,624728161.06,9535527694.85,,,,,,,1587184.69,,,,,144718673.92,,6169494944.78,,1400196720.49,,,,134836629.72,72847353.94,61989275.78,,61989275.78,,897756074.57,,,959745350.35,,,,3867391.04,22982858.37,,,634413264.04,1098455124.34,,,,,26795113524.76,,,,,,,,,,,,,,618522943.24,,,146181337.56,,,,,,,,,,,15029792.2,,160142226.52,,3728603.78,,,,,,,,,,,,5315176.36,7488770472.94,,,8437690552.6,,5113970358.0,,,,6451671270.04,-101708036.26,,915612366.98,275856396.21,451817137.28,5250203479.91,,18357422972.16,,18357422972.16,26795113524.76,定期报告,未审计,20250827,CNY,合并期末,2025-08-26T21:13:04
20250331,,3394178877.46,,,,,,,,,,,,,3200024494.23,81549569.54,,,100521376.87,,,,,,,,,,,,9386896803.59,,,,,,,1587184.69,,,,,148729324.66,,7267690085.67,,1400196720.49,,,,,,,,63003475.78,,895702933.68,,,958706409.46,,,,5001654.5,21408194.4,,,621785111.83,1028521514.22,,,,,27616797321.61,,,,,,,,,,,,,,535027294.94,,,57215013.97,,,,,,,,,,,20618839.63,,162871304.1,,3734220.37,,,,,,,,,,,,316858.54,8562517121.37,,,9342300652.92,,5113970358.0,,,,6451671270.04,-101708036.26,,881995603.85,275856396.21,435008755.72,5217702321.13,,18274496668.69,,18274496668.69,27616797321.61,定期报告,未审计,20250425,CNY,合并期末,2025-04-24T18:43:08
20241231,,2946101753.72,,,,,,,,,,,,,3113955125.39,49817797.55,,,155648181.6,,,,,,,,,,10563969917.88,636874543.42,9927095374.46,,,,,,,1587184.69,,,,,148456860.98,,5112026831.57,,1400196720.49,,,,134357366.31,69878590.95,64478775.36,,64478775.36,,721289137.62,,,785767912.98,,,,8328693.61,21848137.97,,,664095231.76,1116550033.39,,,,,25451475840.16,,,,,,,,,3000213.7,,,,,613919572.42,,,328402522.17,,,,,,,,,,,27043037.16,,211058668.21,,7835099.23,,,,,,,,,,,,123398.59,6372581202.37,,,7563963713.85,,5113970358.0,,,,6451671270.04,-101708036.26,,843296514.99,275856396.21,415659211.29,4888766412.04,,17887512126.31,,17887512126.31,25451475840.16,定期报告,是,20260210,CNY,合并期末,2025-03-17T20:28:08
20240930,,1291140869.05,,,,,,,,,,,,,2615998027.4,265116053.25,,,134885984.26,,,,,,,,,,,,10074210782.83,,,,,,,1587184.69,,,,,147335549.49,,7780165665.32,,1400196720.49,,,,,,,,56156024.09,,,,,56156024.09,,,,14441412.15,16163168.47,,,592046262.23,861214800.02,,,,,25250658503.74,,,,,,,,,,,,,,546063156.7,,,212237820.95,,,,,,,,,,,24412211.92,,99441358.9,,14833187.41,,,,,,,,,,,,,6739410689.71,,,7636398425.59,,5113970358.0,,,,6451671270.04,-101708036.26,,800629892.71,268159583.19,394325900.16,4687211110.31,,17614260078.15,,17614260078.15,25250658503.74,定期报告,未审计,20241029,CNY,合并期末,2024-10-28T19:33:03
20240630,,1535432089.45,,,,,,,,,,,,,2804859926.07,472242046.52,,,132913304.09,,,,,,,,,,10117130297.86,559889780.02,9557240517.84,,,,,,,1587184.69,,,,,146325789.74,,7586648305.17,,1400196720.49,,,,124743264.1,67683277.13,57059986.97,,57059986.97,,,,,57059986.97,,,,19225031.84,16776528.97,,,601854278.64,708033398.27,,,,,25040395108.75,,,,,,,,,,,,,,528158253.95,,,223786785.42,,,,,,,,,,,28930202.48,,47275030.46,,19895207.9,,,,,,,,,,,,,6775143074.18,,,7623188554.39,,5113970358.0,,,,6451671270.04,-101708036.26,,775810695.72,260429838.78,381916301.66,4535116126.42,,17417206554.36,,17417206554.36,25040395108.75,定期报告,未审计,20240827,CNY,合并期末,2024-08-26T19:58:03
20240331,,494112413.54,,,,,,,,,,,,,2690839932.96,505740573.53,,,100042034.56,,,,,,,,,,,,10416695301.15,,,,,,,1587184.69,,,,,145010873.99,,7772727635.01,,1400196720.49,,,,,,,,57968469.98,,,,,57968469.98,,,,16762784.1,14908711.15,,50021.47,550146968.1,811992145.74,,,,,24978781770.46,,,,,,,,,,,,,,467301484.62,,,188414440.67,,,,,,,,,,,44230124.56,,44685706.88,,17985223.16,,,,,,,,,,,,,6759572789.26,,,7522189769.15,,5113970358.0,,,,6451671270.04,-101708036.26,,707191206.96,255957767.05,347606557.28,4681902878.24,,17456592001.31,,17456592001.31,24978781770.46,定期报告,未审计,20240426,CNY,合并期末,2024-04-25T20:43:03
20231231,,1430730531.52,,,,,,,,,,,,,3301634780.04,745296387.37,,,121758355.39,,,,,,,,,,10255551151.59,517106042.14,9738445109.45,,,,,,,1587184.69,,,,,145109704.0,,5871788130.28,,1400196720.49,,,,124462617.53,65361590.66,59101026.87,,59101026.87,,,,,59101026.87,,,,20604180.44,13887199.9,,200085.88,544035451.08,639796101.58,,,,,24034170948.98,,,,,,,,,,,,,,564051978.42,,,197315325.08,,,,,,,,,,,66217856.29,,44577272.8,,21379405.85,,,,,,,,,,,,,6051634149.21,,,6945175987.65,,5113970358.0,,,,6451671270.04,-101708036.26,,707191206.96,255957767.05,347606557.28,4314305838.26,,17088994961.33,,17088994961.33,24034170948.98,定期报告,是,20250318,CNY,合并期末,2024-03-17T15:58:05
