报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,292225301.47,292225301.47,,,,,,245742508.82,193944031.31,,,,,,,,,4262687.07,11909283.11,14714338.91,23322042.05,-2409873.63,2262181.88,,885760.33,-304697.2,,,,1736087.87,,,,3028378.05,-2490709.55,2597247.66,,19755.68,52259312.69,37138.01,,944912.67,,51351538.03,10285459.68,,41066078.35,41066078.35,,40995787.02,,70291.33,983107.85,923192.92,,,,,,923192.92,,,,,,,,,923192.92,,59914.93,42049186.2,41918979.94,130206.26,0.0656,0.0656,定期报告,未审计,20260423,CNY,合并期末,2026-04-22T16:18:05
20251231,1491457140.22,1491457140.22,,,,,,1199995048.14,984983058.68,,,,,,,,,20256195.52,61392537.01,55141576.87,89613722.54,-11392042.48,5238342.01,,15242078.58,1399822.57,,,,2557100.0,,,,10835845.25,-53297601.63,-4043434.38,,-4123.37,262751956.53,2138323.97,,1929511.26,,262960769.24,41901613.7,,221059155.54,221059155.54,,221643652.2,,-584496.66,-386776.65,-568730.1,,,,,,-568730.1,,,,,,,,,-568730.1,,181953.45,220672378.89,221074922.1,-402543.21,0.35,0.35,定期报告,是,20260331,CNY,合并期末,2026-03-30T19:14:05
20250930,1102382298.61,1102382298.61,,,,,,872134806.98,722496300.35,,,,,,,,,15535599.89,44886718.3,39145808.25,62272715.85,-12202335.66,5592401.57,,8163292.92,254744.86,,,,2374800.0,,,,7600312.8,-17783328.75,-22871641.29,,-2318.06,207728609.25,2107091.28,,1713563.12,,208122137.41,29243718.27,,178878419.14,178878419.14,,179540719.32,,-662300.18,413816.24,347093.05,,,,,,347093.05,,,,,,,,,347093.05,,66723.19,179292235.38,179887812.37,-595576.99,0.2874,0.2874,定期报告,未审计,20251024,CNY,合并期末,2025-10-23T16:04:04
20250630,733599203.99,733599203.99,,,,,,585433950.12,489863527.07,,,,,,,,,10124741.26,30285165.38,26184950.02,42109672.82,-13134106.43,4263736.44,,4877155.62,-312725.55,,,,4040400.0,,,,5774416.81,-17032595.08,-17739097.46,,,128085533.76,233606.57,,202775.98,,128116364.35,14649169.63,,113467194.72,113467194.72,,114037083.83,,-569889.11,-1600299.41,-1523034.31,,,,,,-1523034.31,,,,,,,,,-1523034.31,,-77265.1,111866895.31,112514049.52,-647154.21,0.1826,0.1826,定期报告,未审计,20250819,CNY,合并期末,2025-08-18T16:56:05
20250331,333962347.44,333962347.44,,,,,,286148843.66,236217622.07,,,,,,,,,4662027.45,14284271.56,14583140.9,22528832.05,-6127050.37,2803297.24,,-119994.63,-675279.94,,,,2777499.98,,,,3152141.84,-220930.36,-1392719.71,,6346638.85,58356139.75,212030.34,,19865.97,,58548304.12,7061104.45,,51487199.67,51487199.67,,51450680.97,,36518.7,-918987.58,-855721.62,,,,,,-855721.62,,,,,,,,,-855721.62,,-63265.96,50568212.09,50594959.35,-26747.26,0.0824,0.0824,定期报告,未审计,20260423,CNY,合并期末,2025-04-21T19:26:07
20241231,1441214788.06,1441214788.06,,,,,,1211307736.94,950700061.6,,,,,,,,,18757983.69,63869948.24,55609287.73,94695421.17,27675034.51,5833569.26,,2416267.94,-3241191.65,,,,3328900.0,,,,25487443.2,-54023816.96,-7665521.48,,8816.51,199459140.33,2557702.19,,536806.36,,201480036.16,32583907.74,,168896128.42,168896128.42,,169936971.23,,-1040842.81,2649448.58,2661640.14,,,,,,2661640.14,,,,,,,,,2661640.14,,-12191.56,171545577.0,172598611.37,-1053034.37,0.27,0.27,定期报告,是,20260331,CNY,合并期末,2025-04-21T19:26:07
20240930,1027961156.26,1027961156.26,,,,,,862305960.79,684531698.43,,,,,,,,,14128223.09,47839532.92,40255986.72,66854200.95,8696318.68,5490835.38,,1666881.65,-963775.89,,,,,,,,19855616.3,-19420479.05,1445682.23,,1099.59,169203996.19,2701648.66,,679300.81,,171226344.04,27427021.53,,143799322.51,143799322.51,,143985661.71,,-186339.2,-864882.85,-422784.73,,,,,,-422784.73,,,,,,,,,-422784.73,,-442098.12,142934439.66,143562876.98,-628437.32,0.2305,0.2305,定期报告,未审计,20251024,CNY,合并期末,2024-10-21T16:52:13
20240630,667083600.61,667083600.61,,,,,,565835678.09,441196003.89,,,,,,,,,9060916.31,33086679.83,26272405.88,46898478.43,9321193.75,4761862.78,,-31778.64,-466504.67,,,,,,,,17383742.81,-11402017.33,2853840.22,,1099.59,110052809.17,1588970.37,,94900.53,,111546879.01,18185643.99,,93361235.02,93361235.02,,93566126.73,,-204891.71,-999451.55,-647993.75,,,,,,-647993.75,,,,,,,,,-647993.75,,-351457.8,92361783.47,92918132.98,-556349.51,0.1498,0.1498,定期报告,未审计,20250819,CNY,合并期末,2024-08-19T17:02:04
20240331,316270206.74,316270206.74,,,,,,271174070.17,208651516.61,,,,,,,,,4618970.46,16247451.87,12686639.66,28602666.8,366824.77,3562349.73,,-131841.73,-131841.73,,,,0.0,,,,10580774.94,-3837832.86,1862372.65,,55602.7,53625212.27,18763.96,,52944.93,,53591031.3,8348544.3,,45242487.0,45242487.0,,45418231.51,,-175744.51,-5981.92,-12956.89,,,,,,-12956.89,,,,,,,,,-12956.89,,6974.97,45236505.08,45405274.62,-168769.54,0.0727,0.0727,定期报告,未审计,20250422,CNY,合并期末,2024-04-29T19:47:03
20231231,1322706698.18,1322706698.18,,,,,,1122810347.04,877491588.3,,,,,,,,,18942814.2,68248921.33,64588233.79,106374192.0,-12835402.58,3523309.13,,2253192.79,-2396281.64,,,,,,,,22980467.62,-33054598.27,-752646.35,,-1000138.45,190322628.48,6490643.55,,3065330.86,,193747941.17,37551940.48,,156196000.69,156196000.69,,156709843.38,,-513842.69,4286442.41,4267486.92,4560945.03,,,4560945.03,,-293458.11,,,,,,,,,-293458.11,,18955.49,160482443.1,160977330.3,-494887.2,0.25,0.25,定期报告,是,20250422,CNY,合并期末,2024-04-29T19:47:03
