报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,250949269.33,198303533.91,157133919.32,12448354.15,21226559.7,,,,70377447.23,73933022.15,3555574.92,35048839.3,-936595.68,,,-55414853.72,-264808.25,289954.11,817.48,2608339.27,217107615.43,2158495.14,214531930.09,,-152.37,,,417342.57,33841653.9,4196.93,,391947.58,,33453903.25,9073332.89,24380570.36,24380570.36,,24381437.04,-866.68,,,-1889936.86,-1889936.86,-902741.48,,-11083.09,-891658.39,,-987195.38,-922036.12,,-65159.26,,,,,,,,,22490633.5,22491500.18,-866.68,0.004,0.004,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T15:44:44
20251231,1327300256.65,713135973.25,495711385.74,75329057.17,122544755.8,,,,264678829.73,289425025.76,24746196.03,296504141.9,4982700.14,6125788.1,,49713612.59,-369015.85,913912.77,-808046.08,3530848.34,1018687592.6,9262222.72,982600688.07,,24662372.48,85091.98,,2077217.35,308612664.05,67355.44,,14685706.29,,293994313.2,83552314.79,210441998.41,210441998.41,,210537734.34,-95735.93,-952351634.82,,1079103.39,1079103.39,3261499.65,,499061.79,2762437.86,,-2182396.26,-899898.29,,-3736310.47,,2453812.5,,,,,,,211521101.8,211616837.73,-95735.93,0.031,0.031,定期报告,是,20260424,CNY,合并期末,2026-04-23T16:38:10
20250930,1036614562.56,497626653.72,374374275.07,54554868.52,52020557.6,,,,193953386.53,214032520.37,20079133.84,305251471.72,2144220.62,6125788.1,,38259563.88,-194013.49,622614.63,-808855.8,1903741.37,698499427.2,6623514.27,690950220.32,,-691737.43,85091.98,,1532338.06,338115135.36,43887.96,,538311.71,,337620711.61,92087068.57,245533643.04,245533643.04,,245628968.54,-95325.5,,,-409950.25,-409950.25,1219319.28,,286.73,1219032.55,,-1629269.53,-694792.31,,-4206227.22,,3271750.0,,,,,,,245123692.79,245219018.29,-95325.5,0.036,0.036,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T16:43:36
20250630,614781953.13,288051443.15,211907965.0,35851556.3,29928027.61,,,,123866129.27,138045770.1,14179640.83,180395048.21,1933900.24,3800474.81,,21463629.64,-88665.57,332660.52,-814852.09,1576560.0,447429099.86,4385476.96,442332336.65,,-489625.6,85916.36,,1114995.49,167352853.27,5736.61,,199574.13,,167159015.75,46451463.97,120707551.78,120707551.78,,120716507.48,-8955.7,-952351634.82,,650259.34,650259.34,1720149.95,,1738250.71,-18100.76,,-1069890.61,-434429.14,,-635461.47,,,,,,,,,121357811.12,121366766.82,-8955.7,0.018,0.018,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T15:43:12
20250331,308372312.56,152138998.31,112926627.42,16286801.99,16265058.54,,,,63382900.08,70820740.82,7437840.74,91619724.55,161493.48,3800474.81,,576747.35,-26922.64,78027.51,-977913.18,1580750.58,217949743.43,1836415.2,216622047.07,,18998.45,-977281.56,,449564.27,90422569.13,2084.47,,324110.09,,90100543.51,22158894.01,67941649.5,67941649.5,,67942443.61,-794.11,,,-741131.49,-741131.49,-475430.8,,-94786.73,-380644.07,,-265700.69,,,-265700.69,,,,,,,,,67200518.01,67201312.12,-794.11,0.01,0.01,定期报告,未审计,20260430,CNY,合并期末,2025-04-25T17:53:31
20241231,1319393795.14,713373509.14,386355981.88,173533740.27,139383578.16,,,,264389619.97,291269876.88,26880256.91,241913466.31,-1105332.31,10182107.34,,93608193.61,245435.66,888440.36,16785.87,4958344.22,987429070.84,8579757.76,997911150.49,,-22053107.08,977281.56,,2013988.11,331964724.3,53152.84,,20118879.52,,311898997.62,91871050.9,220027946.72,220027946.72,,220051705.76,-23759.04,-1170678289.94,,2033808.14,2033808.14,2460501.32,,1728231.04,732270.28,,-426693.18,187541.04,,-1493309.22,,879075.0,,,,,,,222061754.86,222085513.9,-23759.04,0.032,0.032,定期报告,是,20260424,CNY,合并期末,2025-04-25T18:33:09
20240930,864742464.13,448639581.59,211250994.98,141674745.53,86695191.65,,,,186270435.47,206186297.64,19915862.17,143957675.9,-98392.13,10574088.08,,82627847.54,-156049.47,810412.85,17204.98,2575355.27,676855628.76,5439253.3,685019092.79,,-14975573.47,,,1372856.14,187886835.37,42073.58,,-643912.51,,188572821.46,52321309.54,136251511.92,136251511.92,,136264566.94,-13055.02,,,-571355.5,-571355.5,885747.67,,10314.04,875433.63,,-1457103.17,-510507.91,,-946595.26,,,,,,,,,135680156.42,135693211.44,-13055.02,0.02,0.02,定期报告,未审计,20251030,CNY,合并期末,2024-10-29T16:13:26
20240630,541367465.57,305213773.66,151638101.52,80695942.33,69829180.11,,,,126623978.15,141171909.49,14547931.34,101020929.52,-3534100.09,6099562.04,,6070277.98,98336.14,628440.37,10257.66,1701472.09,442778143.36,4063469.37,452735508.57,,-14976348.15,,,955513.57,98589322.21,23873.71,,224295.21,,98388900.71,30046512.94,68342387.77,68342387.77,,68335100.98,7286.79,-1170678289.94,,-2117713.01,-2117713.01,-633517.04,,10314.04,-643831.08,,-1484195.97,-1635204.67,,151008.7,,,,,,,,,66224674.76,66217387.97,7286.79,0.01,0.01,定期报告,未审计,20250830,CNY,合并期末,2024-08-29T16:33:47
20240331,277587617.92,144824847.03,79050579.02,17782222.68,46640245.24,,,,63172087.1,70487504.5,7315417.4,77646404.73,-1392124.54,642202.85,,-10110303.08,24366.85,330275.23,10494.62,1689445.44,229527585.09,1700398.48,227381063.74,,-3441.4,,,449564.27,48060032.83,16387.92,,174320.89,,47902099.86,13057225.77,34844874.09,34844874.09,,34831672.2,13201.89,,,-497782.5,-497782.5,-375469.19,,10314.04,-385783.23,,-122313.31,-76425.56,,-45887.75,,,,,,,,,34347091.59,34333889.7,13201.89,0.005,0.005,定期报告,未审计,20250426,CNY,合并期末,2024-04-26T23:03:02
20231231,1370695724.74,599556388.71,326631164.18,125358905.7,149630828.34,,,,289730740.43,332570685.8,42839945.37,233826391.75,-2653797.6,226947.92,,242497411.99,249165.03,1391972.01,76011.2,3367643.62,1036329922.42,6343050.99,977253763.62,,50809696.15,,,1923411.66,334365802.32,2254485.99,,10694539.84,,325925748.47,74839082.09,251086666.38,251086666.38,,250546445.42,540220.96,-1420939675.64,,-1676345.73,-1676345.73,-1398964.41,,-240209.87,-1158754.54,,-277381.32,-2641338.6,,38822644.65,,-36458687.37,,,,,,,249410320.65,248870099.69,540220.96,0.037,0.037,定期报告,是,20250426,CNY,合并期末,2024-04-26T23:03:02
