报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20251231,825029312.66,825029312.66,,,,,,1002575859.74,683047257.0,,,,,,,,,17490534.3,8124679.68,15908420.13,179749682.25,98255286.38,91984660.87,,-249769899.43,,,,,,,,,2172857.79,-25783174.75,-219925008.16,,355743.49,-670496028.14,1000672.49,,17945614.02,,-687440969.67,2039350.59,,-689480320.26,-689480320.26,,-692015859.68,,2535539.42,-7486371.86,-7486371.86,,,,,,-7486371.86,,,,,,,,,-7486371.86,,,-696966692.12,-699502231.54,2535539.42,-0.388,-0.388,定期报告,是,20260429,CNY,合并期末,2026-04-29T21:12:05
20250630,371360437.76,371360437.76,,,,,,444076441.07,306523609.72,,,,,,,,,7962426.96,4232445.95,7515692.96,73302622.23,44539643.25,41488271.98,,0.0,,,,,,,,,802199.88,-11397182.53,-16668418.72,,332383.37,-99647021.31,412705.7,,3123390.0,,-102357705.61,-2583676.15,,-99774029.46,-99774029.46,,-100948225.56,,1174196.1,2221733.35,2221733.35,,,,,,2221733.35,,,,,,,,,2221733.35,,,-97552296.11,-98726492.21,1174196.1,-0.0566,-0.0566,定期报告,未审计,20250829,CNY,合并期末,2025-08-29T15:40:30
20241231,1223026240.78,1223026240.78,,,,,,1281665792.38,923413131.93,,,,,,,,,27818059.41,10787763.59,27383237.03,162187584.95,130076015.47,87759230.46,,209078893.97,,,,,,,,,2021517.13,-91393638.17,-1102325165.94,,-4807830.46,-1046065775.07,1064986.15,,7789106.33,,-1052789895.25,1434380.61,,-1054224275.86,-1054224275.86,,-1056700642.52,,2476366.66,-87343127.89,-87343127.89,,,,,,-87343127.89,,,,,,,,,-87343127.89,,,-1141567403.75,-1144043770.41,2476366.66,-0.5925,-0.5925,定期报告,是,20260429,CNY,合并期末,2025-04-30T16:29:49
20240630,632864114.27,632864114.27,,,,,,612202406.27,468406174.49,,,,,,,,,12211264.18,4700688.14,12418542.53,77819647.59,36646089.34,36672959.04,,3465000.0,,,,,,,,,661053.79,-1697971.36,-761957878.58,,-4344718.14,-743212806.29,506453.99,,194663.27,,-742901015.57,-29189697.24,,-713711318.33,-713711318.33,,-715011597.65,,1300279.32,5681892.17,5681892.17,,,,,,5681892.17,,,,,,,,,5681892.17,,,-708029426.16,-709329705.48,1300279.32,-0.4009,-0.4009,定期报告,未审计,20250829,CNY,合并期末,2024-08-31T01:42:06
20240331,239195258.23,239195258.23,,,,,,258834060.08,188703379.99,,,,,,,,,5410349.18,2183489.85,6884159.49,35548306.03,20104375.54,19283615.51,,,,,,,,,,,344729.52,-1593797.64,-3270499.6,,45642.98,-24112726.59,270151.01,,57588.3,,-23900163.88,2756912.92,,-26657076.8,,,-27167802.71,,510725.91,910284.46,,,,,,,,,,,,,,,,,,,-25746792.34,-26257518.25,510725.91,-0.0152,-0.0152,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T21:07:10
20231231,1717015051.17,1717015051.17,,,,,,1652929453.32,1312294782.48,,,,,,,,,28808017.49,12731396.72,33591283.24,180836640.61,84667332.78,82688044.74,,4450416.25,,,,,,,,,8758829.39,-12494764.98,-119193601.23,,-29141053.6,-83534576.32,5516449.67,,4833896.02,,-82852022.67,12979802.49,,-95831825.16,-95825641.05,-6184.11,-100076386.04,,4244560.88,-8247890.47,-8247890.47,,,,,,-8247890.47,,,,,,,,,-8247890.47,,,-104079715.63,-108324276.51,4244560.88,-0.0561,-0.0561,定期报告,是,20250514,CNY,合并期末,2025-04-30T16:29:49
20230930,1285641209.83,1285641209.83,,,,,,1219228556.63,982271043.69,,,,,,,,,20622419.07,7737369.47,15019799.28,127609449.26,65968475.86,64405314.23,,4450416.25,,,,,,,,,4569652.2,2373907.85,10728525.75,,-29655717.83,58879437.42,747481.72,,251074.6,,59375844.54,22493838.86,,36882005.68,,,33538944.62,,3343061.06,2691140.93,2691140.93,,,,,,2691140.93,,,,,,,,,2691140.93,,,39573146.61,36230085.55,3343061.06,0.0188,0.0188,定期报告,未审计,20231028,CNY,合并期末,2023-10-27T16:42:06
20230630,772022371.67,772022371.67,,,,,,751722212.23,593243018.68,,,,,,,,,12448802.27,5142244.97,10670064.24,84311782.48,45906299.59,44270896.59,,3960000.0,,,,,,,,,3059765.64,4667641.89,24667500.78,,-29696312.43,26958755.32,449620.0,,158360.0,,27250015.32,15823212.16,,11426803.16,11426803.16,,8799287.26,,2627515.9,6100580.41,6100580.41,,,,,,6100580.41,,,,,,,,,6100580.41,,,17527383.57,14899867.67,2627515.9,0.0049,0.0049,定期报告,未审计,20240830,CNY,合并期末,2023-08-29T16:22:05
20230331,342766188.7,342766188.7,,,,,,340552281.19,260958125.15,,,,,,,,,5149416.36,2321784.21,7215635.12,40057290.71,24850029.64,23694579.69,,,,,,,,,,,1164001.68,1434314.0,-8700406.31,,6835958.44,2947775.32,181607.31,,,,3129382.63,4111313.27,,-981930.64,-981930.64,,-1955351.05,,973420.41,-2523275.59,-2523275.59,,,,,,-2523275.59,,,,,,,,,-2523275.59,,,-3505206.23,-4478626.64,973420.41,-0.0011,-0.0011,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T21:07:10
20221231,1993187500.71,1993187500.71,,,,,,1785825204.36,1444219041.66,,,,,,,,,28091110.66,12523215.09,34494657.79,181447013.14,85050166.02,85472199.41,,6646096.52,0.0,,,,,,,,6834637.98,-21830216.39,-59526169.39,,11311649.36,150798294.43,1682569.42,,5725917.68,,146754946.17,31636391.96,,115118554.21,115118554.21,,117257654.34,,-2139100.13,5419734.37,5419734.37,,,,,,5419734.37,,,,,,,,,5419734.37,,,120538288.58,122677388.71,-2139100.13,0.0658,0.0658,定期报告,是,20240430,CNY,合并期末,2023-04-27T22:07:28
20220930,1510521523.59,1510521523.59,,,,,,1352486488.0,1110833844.65,,,,,,,,,18567282.98,7750129.61,16218445.09,130131038.34,68985747.33,67294135.92,,4901962.0,0.0,,,,,,,,5260000.56,-27252559.15,-19393142.33,,7648074.14,129199370.81,195813.66,,1313470.51,,128081713.96,28918334.78,,99163379.18,99163379.18,,102299380.1,,-3136000.92,15912949.63,15912949.63,,,,,,15912949.63,,,,,,,,,15912949.63,,,115076328.81,118212329.73,-3136000.92,0.0574,0.0574,定期报告,未审计,20231028,CNY,合并期末,2022-10-28T16:07:42
20220630,894098508.68,894098508.68,,,,,,835816889.55,692828569.46,,,,,,,,,10686918.67,5008326.29,13312724.44,73008925.2,40971425.49,42261841.67,,4455000.0,0.0,,,,,,,,3920298.52,-13209714.74,-15721909.75,,11185224.56,48910517.72,162010.19,,765946.99,,48306580.92,4208315.42,,44098265.5,44098265.5,,50618415.1,,-6520149.6,2607270.63,2607270.63,,,,,,2607270.63,,,,,,,,,2607270.63,,,46705536.13,53225685.73,-6520149.6,0.0284,0.0284,定期报告,未审计,20230830,CNY,合并期末,2022-08-25T20:47:04
20220331,417402993.73,417402993.73,,,,,,409713162.15,331037768.67,,,,,,,,,5357611.78,2483791.31,9541801.97,36829683.42,24462505.0,22747341.27,,,,,,,,,,,2152965.1,3684889.24,-6161431.13,,10567527.86,17933782.65,1038.69,,602621.49,,17332199.85,1882647.89,,15449551.96,15449551.96,,16902341.14,,-1452789.18,-5892644.02,-5892644.02,,,,,,-5892644.02,,,,,,,,,-5892644.02,,,9556907.94,11009697.12,-1452789.18,0.0095,0.0095,定期报告,未审计,20230429,CNY,合并期末,2022-04-28T16:22:06
