报告日,资产,货币资金,客户资金存款,结算备付金,客户备付金,拆出资金,融出资金,融出证券,交易性金融资产,买入返售金融资产,应收票据及应收账款,应收账款,应收票据,应收款项融资,预付账款,应收股利,应收利息,应收保证金,应收投资款项,其他应收款,存货净额,待转承销费用,衍生金融资产,可供出售金融资产,划分为持有待售的资产,长期股权投资,投资性房地产,债权投资,其他债权投资,其他权益工具投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,固定资产净额,在建工程,固定资产清理,固定资产合计,合同资产,使用权资产,无形资产,商誉,开发支出,交易席位费,长期待摊费用,递延税款借项,其他长期资产,资产总计,负债,短期借款,质押借款,应付短期融资款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,应付票据及应付账款,应付账款,预收账款,应付职工薪酬,应交税金,应付股利,应付利息,其他应付款,代买卖证券款,代理承销证券款,代兑付证券款,信用交易代理买卖证券款,预提费用,预计负债,划分为持有待售的负债,长期递延收益,长期借款,应付债券款,应付债券：优先股,应付债券：永续债,长期应付职工薪酬,长期应付款,专项应付款,合同负债,租赁负债,递延税款贷项,其他负债,负债合计,股东权益,实收资本净额,其他权益工具,其中：优先股,其中：永续债,资本公积,库存股,其他综合收益,专项储备,盈余公积,一般风险准备,交易风险准备,未分配利润,外币折算差额,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,19994828417.06,18276428079.18,4157331289.78,4074982015.95,,11150122304.39,,16628756172.22,1063940690.51,158495889.56,158495889.56,,,,,,1336950512.96,,,,,,,,904827626.74,17040948.13,72224912.82,2053167004.25,1400000.0,,,,,,,174550617.2,321757271.49,,496307888.69,,94425265.62,247532495.17,7268756.37,,,,541986282.58,202886471.65,59129492928.5,,,,2190342732.75,3151139788.38,818064318.57,,6517182264.69,85415634.69,85415634.69,,571700949.68,86426828.97,,,,23297387077.15,,,,,53190874.76,,,,7279274723.89,,,,,,1274722.67,85075769.47,7233543.03,225779903.67,44369489132.37,,4642884700.0,,,,6260352691.65,,61199415.85,,1019512413.04,1694824060.82,,873240059.67,,14552013341.03,207990455.1,14760003796.13,59129492928.5,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T18:10:03
20251231,,19288837976.68,17730124369.85,3401684665.84,3275047374.99,,10937435576.51,,17117977734.01,709036883.79,126783514.23,126783514.23,,,,,,1132108669.16,,,,,,,,902008479.83,17271373.08,73734853.74,3145918204.3,1400000.0,,,528079644.35,348333053.87,179746590.48,,179746590.48,288399541.44,,468146131.92,,101380676.21,261150571.38,7268756.37,,,,547214455.05,187957551.52,58427316073.62,,,,2798087200.02,3030308361.12,950463348.74,,7017190370.59,133056959.21,133056959.21,,564881872.79,97272732.09,,,,21702396171.66,,,,,46454062.7,,,,7121278049.37,,,,,,904428.6,89602782.05,6830718.03,280626971.32,43839354028.29,,4642884700.0,,,,6260352113.85,,62162139.3,,1019512413.04,1694824060.82,,704588798.17,,14384324225.18,203637820.15,14587962045.33,58427316073.62,定期报告,是,20260430,CNY,合并期末,2026-03-27T21:22:05
20250930,,19907524457.26,18573960724.9,3484737818.98,3328926664.65,,10397225243.69,,19176699637.78,450101586.31,174018432.9,174018432.9,,,,,,1125515040.86,,,,,,,,944066273.3,17501798.03,102531308.66,51271239.73,1400000.0,,,,,,,184562619.94,244339402.34,,428902022.28,,97114783.25,240223051.87,7268756.37,,,,541958421.95,229437978.52,57377497851.74,,,,3315732101.82,2950594978.23,955395879.36,,6505113481.04,185349164.93,185349164.93,,589399424.95,81175208.3,,,,21947176966.06,,,,,,,,,5938100421.4,,,,,,2980119.14,90765904.97,19139972.29,250594436.42,42831518058.91,,4642884700.0,,,,6260369552.17,,68010764.88,,1013452026.42,1709202648.94,,629905568.56,,14323825260.97,222154531.86,14545979792.83,57377497851.74,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T18:10:04
20250630,,15981040079.3,14611378165.92,2762998770.48,2546310078.15,,8584271532.59,,21404743239.13,875784920.54,181350303.92,181350303.92,,,,,,1032226715.89,,,,,896398.0,,,937218193.06,17732222.97,45434749.78,51097876.71,1400000.0,,,541629420.71,349823894.52,191805526.19,,191805526.19,232356263.95,,424161790.14,,105901453.33,244962744.64,7268756.37,,,,555374056.49,230354091.07,53444217894.41,,,,2616169129.14,2960539577.52,1160660111.95,,7001305124.4,102981069.49,102981069.49,,515357094.76,42836541.15,,,,17595902467.4,,,,,,,,,6602130340.36,,,,,,2324384.67,99070260.68,10075221.11,285278236.57,38994629559.2,,4642884700.0,,,,6260122106.33,,66159340.29,,1013452026.42,1708652366.22,,538453639.26,,14229724178.52,219864156.69,14449588335.21,53444217894.41,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T17:10:02
20250331,,14279289192.9,12973865899.69,2799773228.48,2615622257.47,,9262497673.94,,18330259269.23,1177582305.98,247084584.74,247084584.74,,,,,,1344665585.76,,,,,432160.0,,,913962709.77,17962647.91,47749756.78,50901164.39,1400000.0,,,,,,,195153082.55,228960769.34,,424113851.89,,113444449.38,252085298.32,7268756.37,,,,578044742.38,232280414.06,50080797792.28,,,,2562019710.02,4079981597.22,765034041.67,921167.14,6841331299.84,23462166.13,23462166.13,,465724054.37,15444923.14,,,,16112070489.71,,,,,,,,,4523257108.79,,,,,,2070149.52,101934891.43,5556364.0,204465628.9,35703273591.88,,4642884700.0,,,,6260122106.33,,71325386.73,,1013452026.42,1707927316.98,,460762732.74,,14156474269.2,221049931.2,14377524200.4,50080797792.28,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T19:02:05
20241231,,14400984039.97,12005245325.9,4531325343.18,4280886570.91,,9326761787.66,,17629247370.42,1445001679.44,331013831.49,331013831.49,,,,,,1216799648.55,,,,,16126760.68,,,905250626.42,18193072.87,49846701.66,114330970.55,1400000.0,,,526494933.29,341863095.92,184631837.37,,184631837.37,225069712.95,,409701550.32,,122494321.95,264549238.93,7268756.37,,,,586488128.84,237564250.77,51614348080.07,,7008341.66,,3896489565.69,3962603712.35,578887667.66,1996580.0,5289084372.35,205338964.19,205338964.19,,433567876.54,41403810.37,,,,16476010375.54,,,,,,,,,6112729880.19,,,,,,2400665.2,114709864.43,6619866.41,202678184.19,37331529726.77,,4642884700.0,,,,6260122106.33,,78049511.11,,1013452026.42,1707222955.93,,358503723.78,,14060235023.57,222583329.73,14282818353.3,51614348080.07,定期报告,是,20260328,CNY,合并期末,2025-03-28T22:27:03
20240930,,16052308581.55,12789491897.12,4184518361.65,3993283067.07,,6783082927.6,,18071270768.62,1788507004.46,509162953.47,509162953.47,,,,,,1220510853.46,,,,,1340580.0,,,1001110930.27,18996310.16,103988791.84,319581339.73,1400000.0,,,,,,,178507275.85,209514946.01,,388022221.86,,115454244.48,261235610.24,7268756.37,,,,697565012.03,145945498.22,51671270746.01,,7007583.33,,4654194035.86,3182487341.73,729698085.53,131123903.77,4529675216.85,755267218.53,755267218.53,,446614365.36,87574997.76,,,,16579335899.58,,,,,,,,,5898962832.77,,,,,,4900558.77,110936555.55,7601049.1,344119879.88,37469499524.37,,4642884700.0,,,,6272989406.58,,64730473.14,,1002549897.12,1682766300.76,,311184694.99,,13977105472.59,224665749.05,14201771221.64,51671270746.01,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T20:52:01
20240630,,10695892142.46,8919476068.13,3315933885.12,3153376380.06,,7020388201.32,,25779397763.24,1055564573.45,642861932.8,642861932.8,,,,,,1364900624.49,,,,,144656802.36,,,1039966974.91,23963881.89,115318191.84,317460156.28,1400000.0,,,511465804.28,331231830.97,180233973.31,,180233973.31,203155227.1,,383389200.41,,131125070.04,272871575.66,7268756.37,,,,613791719.19,272645678.48,53198797130.31,,7007583.33,,4701910586.08,3604610111.02,1767863089.6,25865374.81,10772168938.0,654069610.19,654069610.19,,580501160.89,36796720.06,,,,12328816339.92,,,,,,,,,3876323737.62,,,,,,6070321.87,125333374.66,15224904.45,421378610.86,38923940463.36,,4642884700.0,,,,6272989406.58,,70655415.96,,1002549897.12,1682241714.74,,377662122.01,,14048983256.41,225873410.54,14274856666.95,53198797130.31,定期报告,未审计,20240831,CNY,合并期末,2024-08-30T21:52:03
20240331,,11117494031.31,9276164559.03,2650109716.86,2547253692.55,,7487656741.17,,21057245599.03,1392799824.95,457366009.42,457366009.42,,,,,,1122355543.47,,,,,89774595.52,,,1450840401.46,24219227.13,119212998.02,414836997.96,1400000.0,,,,,,,182002405.22,194878913.64,,376881318.86,,144888003.4,270207655.38,7268756.37,,,,592872908.97,257051564.44,49034481893.72,,7004550.0,,5146847523.85,2903201972.23,2144319897.55,26320926.63,7448087103.96,759489795.75,759489795.75,,530414364.0,28096669.83,,,,11933164929.86,,,,,,,,,3346776630.05,,,,,,11028324.39,134687596.92,18589172.26,319519753.61,34757549210.89,,4642884700.0,,,,6269993825.68,,65876443.66,,1002549897.12,1681669511.25,,372759813.59,,14035734191.3,241198491.53,14276932682.83,49034481893.72,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T19:32:03
20231231,,9977189628.79,8158103606.55,3449978421.75,3326385837.63,,7604853831.45,,24271207692.01,1010201346.03,421115609.11,421115609.11,,,,,,1086792208.93,,,,,27910148.17,,,1443058245.16,24481026.28,120370451.85,410921462.71,1400000.0,,,520142181.72,335678267.03,184463914.69,,184463914.69,189352396.39,,373816311.08,,162370774.73,282630372.07,7268756.37,,,,593075296.91,433042189.06,51701683772.46,,,,4075723383.58,3297906994.48,1389611181.03,18033779.39,10602387479.57,873013344.3,873013344.3,,515503839.7,26436859.31,,,,11538050603.0,,,,,,,,,4721201165.26,,,,,,7881833.37,159674911.48,20759933.82,304998778.26,37551184086.55,,4642884700.0,,,,6269993825.68,,63695070.78,,1002549897.12,1681171705.39,,242467397.11,,13902762596.08,247737089.83,14150499685.91,51701683772.46,定期报告,是,20250329,CNY,合并期末,2024-03-28T22:37:02
