报告日,营业总收入,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入_中间业务,手续费及佣金收入_中间业务,手续费及佣金支出_中间业务,中间业务净收入,中间业务收入,中间业务支出,委托管理资产业务净收入,净交易收入,衍生产品业务收入,汇兑收益,租赁收益,投资收益,对联营公司的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,其他业务收入,资产处置收益,其他收益,营业总成本,营业成本,营业税金及附加,销售费用,管理费用,财务费用,研发费用,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,不良资产处置损失专项准备,其他业务成本,营业利润,加：营业外收入,非流动资产处置利得,加：营业外支出,非流动资产处置损失,利润总额,减：所得税,含少数股东损益的净利润,持续经营净利润,终止经营净利润,少数股东损益,归属于母公司所有者的净利润,加:年初未分配利润,其他因素调整,可供分配的利润,盈余公积转入,一般风险准备转入,减:提取法定盈余公积,提取法定公益金,提取一般风险准备,提取信托赔偿准备金,提取职工奖福基金,盈余公积补亏,应付永续债利息,其他,可供股东分配的利润,减:应付优先股股利,提取任意盈余公积,应付普通股股利,转作股本的普通股股利,未分配利润,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能重分类进损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下重分类进损益的其他综合收益,可供出售金融资产公允价值变动损益,持有至到期投资重分类为可供出售金融资产损益,其他债权投资公允价值变动,现金流量套期储备,金融资产重分类计入其他综合收益的金额,现金流量套期损益的有效部分,其他债权投资信用减值准备,外币财务报表折算差额,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,398418369.45,398418369.45,53984889.95,58662771.74,4677881.79,168055052.34,,4677881.79,,,,,,,2057734.06,,260502977.7,,,,-106307882.19,4647669.32,163202.2,15314726.07,121657564.18,121657564.18,4952503.76,,,,,95351177.23,,9179053.51,,,4249447.53,276760805.27,3291.76,,2271923.37,,274492173.66,70004761.43,204487412.23,204487412.23,,881959.48,203605452.75,,,,,,,,,,,,,,,,,,,,-6142438.56,-6142438.56,,,,,,-6142438.56,,,,,,,,,-6142438.56,,198344973.67,197463014.19,881959.48,0.43,0.43,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T18:15:17
20251231,1226717513.25,1226717513.25,131326790.43,167997217.72,36670427.29,533441294.42,,36670427.29,,,,,,,845916.85,,985470185.53,,,,-451905355.65,23471961.98,316934.3,3749785.39,455642768.04,455642768.04,15499415.73,,,,,394586461.14,0.0,2672422.07,,,19440657.17,771074745.21,607974.15,,3635784.85,,768046934.51,218638817.72,549408116.79,549408116.79,,2455861.48,546952255.31,1552640975.25,,2099593230.56,,,9511198.5,,46065915.91,,,,,,2044016116.15,,,169113701.6,,1874902414.55,-6718924.23,-6718924.23,,,,,,-6718924.23,,,,,,,,,-6718924.23,,542689192.56,540233331.08,2455861.48,1.23,1.23,定期报告,是,20260401,CNY,合并期末,2026-03-31T19:53:16
20250930,1621285351.66,1621285351.66,87518336.16,120158966.78,32640630.62,352600224.19,,32640630.62,,,,,,,667097.06,,599226667.26,,,,-234175215.92,811733442.25,25921.7,3688878.96,1103790188.51,1103790188.51,11119918.38,,,,,255485747.85,8330675.2,11884305.55,,,800009780.57,517495163.15,485051.03,,528356.89,,517451857.29,129411686.34,388040170.95,388040170.95,,2235306.95,385804864.0,,,,,,,,,,,,,,,,,,,,-3749381.78,-3749381.78,,,,,,-3749381.78,,,,,,,,,-3749381.78,,384290789.17,382055482.22,2235306.95,0.87,0.85,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:49:25
20250630,1046645134.43,1046645134.43,60444341.6,79059284.98,18614943.38,213480867.35,,18614943.38,,,,,,,1605901.74,,325857859.16,,,,-112734076.72,557354040.75,-4203.82,640404.37,742530795.07,742530795.07,6969676.97,,,,,164261858.69,5945485.35,3499219.09,,,552256491.86,304114339.36,15494.16,,392235.54,,303737597.98,74950416.72,228787181.26,228787181.26,,980361.71,227806819.55,1552640975.25,,1780447794.8,,,,,51336.71,,,,,,1780396458.09,,,89007124.4,,1691389333.69,-4066549.96,-4066549.96,,,,,,-4066549.96,,,,,,,,,-4066549.96,,224720631.3,223740269.59,980361.71,0.51,0.51,定期报告,未审计,20250820,CNY,合并期末,2025-08-19T19:29:20
20250331,191157708.79,191157708.79,30444245.59,39649209.49,9204963.9,84809835.4,,9204963.9,,,,,,,283028.63,,114428786.81,,,,-45394185.98,6024032.34,20054.71,541911.29,83779422.51,83779422.51,3111193.29,,,,,72990649.74,1208148.21,-1474749.79,,,4779535.67,107378286.28,6886.35,,323882.66,,107061289.97,25577427.04,81483862.93,81483862.93,,426732.32,81057130.61,,,,,,,,,,,,,,,,,,,,-899885.73,-899885.73,,,,,,-899885.73,,,,,,,,,-899885.73,,80583977.2,80157244.88,426732.32,0.18,0.18,定期报告,未审计,20260428,CNY,合并期末,2025-04-29T19:25:13
20241231,995709242.65,995709242.65,130714257.74,167428697.0,36714439.26,415317469.53,,36714439.26,,,,,,,-1051841.38,,608476258.68,,,,-189479572.51,28160268.76,2201871.08,1370530.75,486179202.35,486179202.35,13541895.94,,,,,421148154.02,2628442.81,5686824.57,,,23119847.24,509530040.3,7591258.91,,1402101.4,,515719197.81,131820659.62,383898538.19,383898538.19,,1289938.17,382608600.02,1351403039.49,,1734011639.51,,,1632.0,,25608593.16,,,,,,1708401414.35,,,155760439.1,,1552640975.25,5528510.9,5528510.9,,,,,,5528510.9,,,,,,,,,5528510.9,,389427049.09,388137110.92,1289938.17,0.86,0.86,定期报告,是,20260401,CNY,合并期末,2025-04-22T19:51:20
20240930,1669187782.73,1669187782.73,100102037.99,127260007.52,27157969.53,278501269.92,,27157969.53,,,,,,,-785796.43,,203847630.72,,,,63089960.34,1019832849.06,2378456.07,2221375.06,1312435117.8,1312435117.8,9753265.66,,,,,270990156.29,2669430.74,2772432.77,,,1012457306.35,356752664.93,7525660.38,,1192338.26,,363085987.05,91731373.19,271354613.86,271354613.86,,-45753.14,271400367.0,,,,,,,,,,,,,,,,,,,,-1302483.19,-1302483.19,,,,,,-1302483.19,,,,,,,,,-1302483.19,,270052130.67,270097883.81,-45753.14,0.61,0.61,定期报告,未审计,20251028,CNY,合并期末,2024-10-27T15:51:08
20240630,1001682847.85,1001682847.85,66004661.86,84183015.79,18178353.93,171703044.43,,18178353.93,,,,,,,-166811.01,,99395410.2,,,,26177759.96,633941258.97,2439895.9,2187627.54,817864607.61,817864607.61,6491013.35,,,,,169511359.58,3051296.88,848280.39,,,629237265.33,183818240.24,18113.21,,530460.32,,183305893.13,45936579.6,137369313.53,137369313.53,,543159.3,136826154.23,1351403039.49,,1488229193.72,,,,,51137.03,,,,,,1488178056.69,,,97906561.72,,1390271494.97,1800956.79,1800956.79,,,,,,1800956.79,,,,,,,,,1800956.79,,139170270.32,138627111.02,543159.3,0.31,0.31,定期报告,未审计,20250820,CNY,合并期末,2024-08-26T19:26:07
20240331,279573289.32,279573289.32,35275427.05,43644455.9,8369028.85,78442494.35,,8369028.85,,,,,,,185902.73,,-4341706.62,,,,71323537.26,95868975.06,2366313.89,452345.6,182789112.9,182789112.9,2821825.47,,,,,77801530.43,2552318.43,844599.63,,,94797217.08,96784176.42,18113.38,,339707.72,,96462582.08,23567510.95,72895071.13,72895071.13,,530412.2,72364658.93,,,,,,,,,,,,,,,,,,,,83781.77,83781.77,,,,,,83781.77,,,,,,,,,83781.77,,72978852.9,72448440.7,530412.2,0.16,0.16,定期报告,未审计,20250430,CNY,合并期末,2024-04-26T21:06:28
20231231,926277975.26,926277975.26,139978893.87,175538678.54,35559784.67,439415655.33,,35559784.67,,,,,,,-428755.26,,133443174.94,0.0,,,-55906104.07,249147319.26,-19690.76,20647481.95,595953530.35,595953530.35,12573645.79,,,,,319870508.7,,923460.35,,,240102011.55,330324444.91,253114.33,,1207684.74,,329369874.5,85538830.03,243831044.47,243831044.47,,17829.13,243813215.34,1239266843.5,,1483080058.84,,,8504106.32,,25266469.01,,,,,,1449309483.51,,,97906444.02,,1351403039.49,-4642037.53,-4642037.53,,,,,,-4642037.53,,,,,,,,,-4642037.53,,239189006.94,239171177.81,17829.13,0.55,0.55,定期报告,是,20250423,CNY,合并期末,2024-03-29T21:21:09
