报告日,资产,货币资金,其中：现金,其中：存放中央银行款项,存放同业款项,存放联行款项,贵金属,结算备付金,进出口押汇,拆出资金,其中：拆放同业,其中：拆放金融性公司,交易性金融资产,买入返售金融资产,应收票据及应收账款,应收账款,应收票据,应收款项融资,预付账款,应收股利,应收利息,应收租赁款,应收保证金,其他应收款,贴现,发放贷款及垫款总额,减：贷款损失准备,发放贷款及垫款净额,代理证券,委托资金,合同资产,存货净额,待处理抵债资产总额,减：抵债资产减值准备,待处理抵债资产净额,待摊费用,可供出售金融资产,划分为持有待售的资产,长期股权投资,投资子公司,投资性房地产,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,衍生金融资产,其他权益工具投资,应收投资款项,长期应收款,未确认的收益,递延税款贷项,固定资产原值,减：累计折旧,固定资产净值,减：固定资产减值准备,在建工程,固定资产净额,固定资产清理,固定资产合计,融资租赁资产,预付租赁资产款,使用权资产,无形资产,商誉,长期待摊费用,递延税款借项,其他长期资产,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产合计,资产总计,负债,短期借款,拆入资金,向中央银行借款,同业存入及拆入,其中：同业存放款项,联行存放款项,吸收存款及同业存放,吸收存款,应解汇款及临时存款,交易性金融负债,卖出回购金融资产款,应付票据及应付账款,应付票据,应付账款,预收账款,应付职工薪酬,其中：应付工资,其中：应付福利费,应交税金,应付股利,应付利息,应付债券款,应付债券：优先股,应付债券：永续债,应付次级债,应付保证金,应付代理证券款,其他应付款,衍生金融负债,预提费用,汇出汇款,长期借款,合同负债,专项应付款,划分为持有待售的负债,预计负债,长期应付款,长期递延收益,租赁负债,其他负债,货币兑换,一年内到期的长期负债,其他流动负债,流动负债合计,其他长期负债,长期负债合计,负债合计,所有者权益,实收资本净额,其他权益工具,优先股,永续债,资本公积,其他综合收益,库存股,盈余公积,一般风险准备,未分配利润,其中：拟分配现金股利,外币折算差额,其他储备,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,44444772924.19,,,,,,26879626.7,,,,,5318758575.51,6836000.0,79495.05,79495.05,,,79644210.36,,,,,136237659.07,,,,,,,,94173.2,,,,,,,1430951.84,,,,,,,,44304828.71,,,,11462.1,,,,,1253355.75,221611730.14,,222865085.89,,,41689160.31,153620410.29,,,9048761.5,323386256.86,,,,,78121474857.92,,728050059.3,,,,,,,,,102933727.59,,5506058.73,,5506058.73,73897615.3,83962753.19,,,35308553.68,,,511952534.48,,,,,201536973.69,1335946181.62,,,,,1389661.67,,,,,,22901469.58,17534293.99,,,42947317.9,,,,72353688262.59,,717724893.0,,,,2183263749.4,-13647063.42,50099397.97,146910510.0,197310469.8,2575649445.25,,,,5757112606.06,10673989.27,5767786595.33,78121474857.92,定期报告,未审计,20260421,CNY,合并期末,2026-04-20T19:43:06
20251231,,40340341984.9,,,,,,23668177.18,,,,,4301784828.1,50684894.03,,,,,18731588.03,,,,,100384733.21,,,,,,,,121466.44,,,,,,,1772006.7,,,,,,,,43819210.69,,,,1015277.56,336667562.67,115116177.37,221551385.3,,1253355.75,221551385.3,,222804741.05,,,46701712.97,153141055.69,,,2662.98,205913463.89,,,,,65472641493.05,,626030985.68,,,,,,,,,96250711.54,,91525.38,,91525.38,12971837.7,142301658.14,,,19099605.91,,,507781640.27,,,,,140742708.46,933304047.13,,,,,1075252.07,,,,,,26213272.93,18289245.69,,,12174324.88,,,,59866813246.86,,717724893.0,,,,2183263749.4,29855610.88,50099397.97,146910510.0,195795456.33,2372401500.7,,,,5595852322.34,9975923.85,5605828246.19,65472641493.05,定期报告,是,20260421,CNY,合并期末,2026-04-20T19:43:06
20250930,,39606437359.63,,,,,,54717195.82,,,,,3912434328.29,31246957.4,24215.64,24215.64,,,54382506.3,,,,,115924206.18,,,,,,,,131682.15,,,,,,,1920455.59,,20814.61,,,,,,52055616.18,,,,795655.93,,,,,2611988.96,222518693.77,,225130682.73,,,38861615.31,153216322.97,,,16224369.46,183860074.93,,,,,64079043944.29,,557935522.83,,,,,,,,,96490448.56,,1308247.45,,1308247.45,12427425.23,79110734.23,,,35341483.95,,,503612026.76,,,,,236761548.82,905762595.24,,,,,1521123.93,,,,,,20139347.25,16078882.77,,,7495392.09,,,,59674374784.89,,610065893.0,,,,1190728158.44,63677359.31,50099397.97,142353781.83,189756913.54,2248182027.39,,,,4394664735.54,10004423.86,4404669159.4,64079043944.29,定期报告,未审计,20251024,CNY,合并期末,2025-10-23T18:19:02
20250630,,28885111889.92,,,,,,41833667.18,,,,,2273686315.44,9660040.0,24215.64,24215.64,,,26433885.05,,,,,64179413.55,,,,,,,,208598600.14,,,,,,,1951765.51,,40272.01,,,,,,54146365.56,,,,206085.38,329194714.62,103171449.9,226023264.72,,1253355.75,226023264.72,,227276620.47,,,39923542.29,154631152.09,,,13251588.01,101321412.67,,,,,46878160222.79,,368272912.85,,,,,,,,,76542100.65,,687131.11,,687131.11,,68432253.23,,,29626578.97,,,708569075.71,,,,,184917577.63,659577262.41,,,,,105470444.02,,,,,,21118894.02,16263813.26,,,17760807.35,,,,42586301829.82,,610065893.0,,,,1190728158.44,71375360.86,50099397.97,142353781.83,188006393.7,2129737794.89,,,,4282167984.75,9690408.22,4291858392.97,46878160222.79,定期报告,未审计,20250819,CNY,合并期末,2025-08-18T21:59:01
20250331,,21945332043.47,,,,,,46348890.1,,,,,2476365423.23,2600245.23,33356.84,33356.84,,,66251626.27,,,,,89842219.72,,,,,,,,283021164.63,,,,,,,1831321.45,,59729.41,,,,,,53029105.69,,,,1058213.41,,,,,,222989291.32,,222989291.32,,,36082788.27,155589628.3,,,3963865.67,86510610.98,,,,,39278848552.28,,416004215.05,,,,,,,,,83494366.73,,2499380.46,,2499380.46,,64453895.06,,,20459445.43,,,518000968.99,,,,,213292637.96,675090054.23,,,,,51147176.07,,,,,,30652856.02,3789863.69,,,16131979.11,,,,35120465313.67,,610065893.0,,,,1190728158.44,83447881.19,50099397.97,142353781.83,186731204.63,1985495322.85,,,,4148722843.97,9660394.64,4158383238.61,39278848552.28,定期报告,未审计,20250422,CNY,合并期末,2025-04-21T18:35:06
20241231,,33825123487.11,,,,,,28733870.18,,,,,2378468743.39,,71003.89,71003.89,,,38411358.81,,,,,58397033.21,,,,,,,,23739608.58,,,,,,,1776648.68,,79186.81,,,,,,50615765.98,,,,2143934.49,317192498.23,92763535.04,224428963.19,,1800783.31,224428963.19,,226229746.5,,,38114964.67,156250937.11,,,2457837.64,267468215.4,,,,,48863396701.97,,380677218.61,,,,,,,,,112881873.5,,5641023.18,,5641023.18,20381419.26,137629072.76,,,18976527.65,,,511610960.02,,,,,228785029.8,677172266.54,,,,,1058648.34,,,,,,18213161.15,18354936.14,,,6032460.72,,,,44738556613.13,,610065893.0,,,,1190728158.44,89782629.21,50099397.97,142353781.83,185569614.56,1946854188.06,,,,4115254867.13,9585221.71,4124840088.84,48863396701.97,定期报告,是,20260328,CNY,合并期末,2025-04-21T18:35:06
20240930,,27443952230.82,,,,,,26684703.95,,,,,3226702632.18,,23401.06,23401.06,,,61444461.19,,,,,329587662.49,,,,,,,,218022341.65,,,,,,,1922770.18,,98644.21,,,,,,53787261.33,,,,4945001.96,,,,,,227494728.23,,227494728.23,,,37469575.25,156400650.7,,,1170322.58,105722013.23,,,,,45640007387.01,,402540348.57,,,,,,,,,237111404.22,,37656472.75,,37656472.75,,111776001.74,,,19045925.26,,,505220951.05,,,,,195731533.91,751907659.99,,,,,90416222.44,,,,,,33370783.95,3160263.05,,,44613950.82,,,,41660804823.03,,610065893.0,,,,1190728158.44,43643424.37,50099397.97,138748334.35,180457974.35,1855929718.67,,,,3969474105.21,9728458.77,3979202563.98,45640007387.01,定期报告,未审计,20241019,CNY,合并期末,2024-10-18T17:41:04
20240630,,22766545231.3,,,,,,43180846.74,,,,,3570100858.59,,32601.51,32601.51,,,55105315.07,,,,,413445737.12,,,,,,,,273009490.25,,,,,,,2045380.16,,118101.61,,,,,,52002769.3,,,,1115659.4,316044015.31,83138189.36,232905825.95,,,232905825.95,,232905825.95,,,30085338.5,158040840.42,,,1318667.95,104429898.62,,,,,41324380752.05,,503303616.24,,,,,,,,,107263022.21,,36518514.18,,36518514.18,,92697245.22,,,22627099.51,,,508790942.08,,,,,114951842.52,1072466887.85,,,,,69924279.19,,,,,,19706660.6,8400720.47,,,22031900.92,,,,37398276354.45,,610065893.0,,,,1190728158.44,68469866.75,,138748334.35,179155555.63,1729085108.26,,,,3916252916.43,9851481.17,3926104397.6,41324380752.05,定期报告,未审计,20250819,CNY,合并期末,2024-08-16T19:36:13
20240331,,18640420663.46,,,,,,30345440.36,,,,,3544824439.78,,32601.51,32601.51,,,36870562.38,,,,12770878971.64,352956128.61,,,,,,,,179692165.38,,,,,,,2164368.18,,137559.01,,,,,,50807893.01,,,,1501920.1,,,,,,237818412.32,,237818412.32,,,30093827.14,159535282.76,,,9824518.29,114696607.78,,,,,36211782288.34,,553589330.84,,,,,,,,,104363895.7,,34491935.23,,34491935.23,,78296759.24,,,33485690.26,,,517340933.11,,,,29495887175.47,108116983.43,1107337462.28,,,,,79615684.9,,,,,,15369743.88,42499216.81,,,,,,,32398516416.72,,610065893.0,,,,1190728158.44,60440697.99,,138748334.35,177595138.91,1626349876.02,,,,3803928098.71,9337772.91,3813265871.62,36211782288.34,定期报告,未审计,20240420,CNY,合并期末,2024-04-19T19:51:03
20231231,,20496262613.46,,,,,,15683847.86,,,,,3824226705.88,7064114.03,1664.59,1664.59,,4690000.0,30429137.63,,,,10874286072.91,322029306.64,,,,,,,,112021505.67,,,,,,,2350621.84,,157016.41,,,,,,36226685.91,,,,2714769.2,315115358.57,72224831.45,242890527.12,,,242890527.12,,242890527.12,,,31313461.8,161506679.18,,,7532547.31,95691237.89,,,,,36325522383.33,,609660582.75,,,,,,,,,65001912.35,,36350203.06,,36350203.06,,133002463.38,,,25107526.52,,,510950924.14,,,,28937372559.31,101980554.05,1898534899.4,,,,,29611101.87,,,,,,14788739.24,14983014.82,,,16947708.34,,,,32612603010.07,,610065893.0,,,,1190728158.44,45514026.96,,138748334.35,176047608.88,1542273646.27,,,,3703377667.9,9541705.36,3712919373.26,36325522383.33,定期报告,是,20250819,CNY,合并期末,2024-04-19T19:51:03
