报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,259446728.19,,,,,,,,,,,29188.24,25932346.18,285408262.61,616609193.68,,,,,,57234344.94,52551833.58,14810244.44,741205616.64,-455797354.03,,8338240.44,14598087.83,91668.47,,,,,23027996.74,54037355.1,,,,,,54037355.1,-31009358.36,,,,847140476.43,,39900000.0,887040476.43,225846705.16,55828635.98,,300156050.21,581831391.35,305209085.08,,-181597627.31,1024063212.7,,,,,842465585.39,定期报告,未审计,20260425,CNY,合并期末,2026-04-24T16:40:05
20251231,,1039272487.6,,,,,,,,,,,,26263618.01,1065536105.61,553315810.91,,,,,,174948256.67,208612184.0,77347390.45,1014223642.03,51312463.58,,73172409.52,35622226.94,259875.0,,,,,109054511.46,74153646.11,85000000.0,,,,,159153646.11,-50099134.65,,,,2775623423.55,,44100000.0,2819723423.55,2055868224.94,281421654.64,,443219978.0,2780509857.58,39213565.97,,40426894.9,983636317.8,1024063212.7,983636317.8,,,1024063212.7,定期报告,是,20260418,CNY,合并期末,2026-04-17T20:36:06
20250930,,726193720.94,,,,,,,,,,,,23634005.48,749827726.42,476609137.57,,,,,,102137849.73,166061989.48,44862549.2,789671525.98,-39843799.56,,67745518.18,35474578.9,,,,,,103220097.08,13687391.09,24000000.0,,,,,37687391.09,65532705.99,,,,2177086456.73,,44100000.0,2221186456.73,1502917235.39,187464530.93,15817521.86,441631368.7,2132013135.02,89173321.71,,114862228.14,983636317.8,,,,,1098498545.94,定期报告,未审计,20251025,CNY,合并期末,2025-10-24T17:48:16
20250630,,523402918.45,,,,,,,,,,,,18582238.67,541985157.12,395611556.14,,,,,,72845768.13,127093346.64,26366458.01,621917128.92,-79931971.8,,18135299.55,20354785.08,,,,,,38490084.63,12655407.34,,,,,,12655407.34,25834677.29,,,,2087340517.73,,44100000.0,2131440517.73,1296846236.16,109281201.76,,440369580.24,1846497018.16,284943499.57,,230846205.06,983636317.8,1214482522.86,983636317.8,,,1214482522.86,定期报告,未审计,20250823,CNY,合并期末,2025-08-22T17:10:05
20250331,,253382039.34,,,,,,,,,,,,6142794.57,259524833.91,268601965.08,,,,,,45074471.72,44631966.98,14727891.86,373036295.64,-113511461.73,,9861978.28,18307327.27,,,,,,28169305.55,10785378.0,,,,,,10785378.0,17383927.55,,,,1944288317.0,,44100000.0,1988388317.0,1089646235.39,52278534.53,,437466653.7,1579391423.62,408996893.38,,312869359.2,983636317.8,,,,,1296505677.0,定期报告,未审计,20260425,CNY,合并期末,2025-04-25T17:22:05
20241231,,1282143688.64,,,,,,,,,,,,115893263.61,1398036952.25,1155775299.45,,,,,,161506492.81,316392222.32,73426833.68,1707100848.26,-309063896.01,,32942377.33,6589777.59,350.0,,13289920.0,,,52822424.92,502291.21,45000000.0,,,,,45502291.21,7320133.71,,,,5132713243.11,,334995454.0,5467708697.11,4924591558.83,295558172.29,4125000.0,320826065.35,5540975796.47,-73267099.36,0.78,-375010860.88,1358647178.68,983636317.8,1358647178.68,,,983636317.8,定期报告,是,20260418,CNY,合并期末,2025-04-11T18:22:05
20240930,,722177093.75,,,,,,,,,,,,129575316.5,851752410.25,790545885.53,,,,,,128393129.67,250587945.87,53263296.35,1222790257.42,-371037847.17,,25702509.69,7253971.83,395.5,,,,,32956877.02,19580258.27,45000000.0,,,,,64580258.27,-31623381.25,,,,3638455278.91,,268815400.0,3907270678.91,3555147645.27,193440377.64,4125000.0,316181686.25,4064769709.16,-157499030.25,0.78,-560160257.89,1358647178.68,,,,,798486920.79,定期报告,未审计,20251025,CNY,合并期末,2024-10-29T16:45:24
20240630,,457208423.49,,,,,,,,,,,,116146467.56,573354891.05,650557569.39,,,,,,79602829.44,227838491.61,35597846.66,993596737.1,-420241846.05,,20327709.69,5641620.93,395.5,,,,,25969726.12,10925322.16,45000000.0,,,,,55925322.16,-29955596.04,,,,3348901278.91,,268815400.0,3617716678.91,3252680800.0,142031386.14,,311093961.39,3705806147.53,-88089468.62,0.17,-538286910.54,1358647178.68,820360268.14,1358647178.68,,,820360268.14,定期报告,未审计,20250823,CNY,合并期末,2024-08-23T17:35:07
20240331,,230894006.81,,,,,,,,,,,21569.3,19746858.28,250662434.39,410057665.44,,,,,,49322899.82,188595772.65,17107783.08,665084120.99,-414421686.6,,17007061.69,2013067.32,350.0,,,,,19020479.01,13438504.82,45000000.0,,,,,58438504.82,-39418025.81,,,,349456231.86,,35215400.0,384671631.86,200000.0,65510300.93,,300000000.0,365710300.93,18961330.93,,-434878381.48,1358647178.68,,,,,923768797.2,定期报告,未审计,20250426,CNY,合并期末,2024-04-26T16:00:10
20231231,,1497957543.51,,,,,,,,,,,4696523.97,62344008.7,1564998076.18,1282561261.42,,,,,,161158034.83,344551244.04,141397341.32,1929667881.61,-364669805.43,,15234558.71,3464450.77,22930.0,,39654880.0,,,58376819.48,33646970.15,68359500.0,,,,19720000.0,121726470.15,-63349650.67,,,,3955854558.35,,800000000.0,4755854558.35,4622833711.24,377781284.7,16300000.0,32579169.11,5033194165.05,-277339606.7,,-705359062.8,2064006241.48,1358647178.68,2064006241.48,,,1358647178.68,定期报告,是,20250412,CNY,合并期末,2024-04-19T17:25:05
