报告日,经营活动产生的现金流量,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,拆出资金净减少额,融出资金净减少额,卖出回购金融资产收到的现金,证券投资收到的现金,买入返售金融资产收到的现金,代理买卖业务的现金净增加额,代理兑付证券净增加额,代理承销证券收到的现金净额,保证金现金流入,收到的资产管理业务,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,处置交易性金融资产的净减少额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,偿还拆入资金支付的现金,拆出资金净增加额,融出资金净增加额,回购金融资产支付的现金,买入返售金融资产支付的现金,证券投资支付的现金,代理买卖证券净减少额,代兑付债券支付的现金净额,保证金现金流出,为交易目的而持有的金融资产净增加额,以现金支付的营业费用,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产及其他长期资产收回的现金净额,处置子公司和其他营业单位收到的现金,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,吸收权益性投资所收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,1039029885.0,,,,2197486166.0,,,6444220658.0,,,,,,,112605061.0,10697001667.0,,,243100830.0,197237711.0,,363695079.0,,,,,,,2898248033.0,,,319617043.0,110551132.0,1141863901.0,5286639495.0,5410362172.0,,3159997.0,,1051925.0,,100000000.0,104211922.0,,13909553.0,,,285874112.0,-181662190.0,,,,,132442500.0,,,132442500.0,,13512119.0,,,25099228.0,107343272.0,-6841236.0,5329202018.0,,,,,28326053892.0,33655255910.0,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T22:14:03
20251231,,730663489.0,,3674243022.0,1305000000.0,,,,,,2591471169.0,,,,,,,668295504.0,9372674218.0,,,713640888.0,,,1413226021.0,1667213978.0,,,,,,,,,1334349864.0,368114780.0,2758520195.0,9351682225.0,20991993.0,,21413000.0,12105187.0,27454298.0,,,61125289.0,,137136708.0,4930000.0,,533751970.0,-472626681.0,,,,,478505660.0,5982294160.0,,6460799820.0,5618668985.0,785305278.0,,7500000.0,6548999579.0,-88199759.0,-12765149.0,-552599596.0,28326053892.0,28878653488.0,,,28878653488.0,28326053892.0,定期报告,是,20260428,CNY,合并期末,2026-04-27T22:12:03
20250930,,2486333173.0,,2689403678.0,,,,,,,3983900323.0,,,,,,,531417093.0,9956349435.0,,,560568472.0,743999096.0,,868940944.0,636319957.0,,,,,,,,,1034159847.0,262730720.0,1115727815.0,6837775233.0,3118574202.0,,1145501.0,8292776.0,957746.0,,,10548826.0,,59551198.0,310000.0,,59861198.0,-49312372.0,,,,,,6000000000.0,316956756.0,6316956756.0,5615891855.0,685286231.0,,,6368669867.0,-51713111.0,-6053686.0,3011495033.0,,,,,28878653488.0,31890148521.0,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T20:50:03
20250630,,,,1887572661.0,,,346235743.0,1318459281.0,,,1209633211.0,,,,,,,658201651.0,5524015054.0,,,353931330.0,1295000000.0,,,,,,,,,39548093.0,,,569293565.0,209450650.0,625714570.0,5993996950.0,-469981896.0,,1145501.0,7607174.0,382792.0,,,9155467.0,,36868554.0,310000.0,,37178554.0,-28023087.0,,,,,,2570955182.0,52059982.0,2623015164.0,2700000000.0,314574970.0,,,3066635584.0,-443620420.0,-3509014.0,-945134417.0,27933519071.0,28878653488.0,,,28878653488.0,27933519071.0,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T21:44:03
20250331,,4544992685.0,,851605586.0,,,,,,,533077013.0,,,,,,,163490055.0,6212888390.0,,,180794894.0,364780791.0,,392113020.0,5416369239.0,,,,,,,,,334670512.0,69402605.0,717138830.0,8115309762.0,-1902421372.0,,300000.0,7200000.0,501398.0,,280367275.0,288368673.0,,7272959.0,,,7272959.0,281095714.0,,,,,45119300.0,,,45119300.0,800000000.0,33050656.0,,,846973166.0,-801853866.0,-663119.0,-2423842643.0,,,,,28878653488.0,26454810845.0,定期报告,未审计,20260428,CNY,合并期末,2025-04-26T02:04:11
20241231,,2047431160.0,,3593838671.0,,,,2400271077.0,,,3791923986.0,,,,,,,2012329137.0,15818891787.0,,,783019461.0,2446006752.0,,608089669.0,,,,,,,,,,1272918538.0,306191953.0,1945063034.0,7752516205.0,8066375582.0,,29340905.0,394692.0,14254089.0,,,45542596.0,,205384560.0,90050000.0,,295808519.0,-250265923.0,,,,,,7274336801.0,,7274336801.0,8896457400.0,1045746509.0,,61837500.0,10137379128.0,-2863042327.0,7897453.0,4960964785.0,28878653488.0,23917688703.0,,,23917688703.0,28878653488.0,定期报告,是,20260428,CNY,合并期末,2025-04-26T03:06:33
20240930,,56051128.0,,2652807613.0,,,995743297.0,,,,8338133274.0,,,,,,,728029117.0,15711972766.0,,,604055645.0,3085784319.0,,,1836126962.0,,,,,,,,,844460230.0,227396054.0,1004092944.0,7902751117.0,7809221649.0,,22000.0,24667.0,1461412.0,,671190247.0,673624155.0,,97197613.0,239750000.0,250000000.0,586947613.0,86676542.0,,,,,59681522.0,4500000000.0,59681522.0,4559681522.0,4986975722.0,700609630.0,,61837500.0,5824738973.0,-1265057451.0,-3717273.0,6627123467.0,,,,,23917688703.0,30544812170.0,定期报告,未审计,20251030,CNY,合并期末,2024-10-30T19:37:32
20240630,,514704632.0,,2029676852.0,,,793494672.0,,,,546121252.0,,,,,,,741870647.0,7053663280.0,,,391035414.0,961006752.0,,,995529106.0,,,,,,,,,587535513.0,141767784.0,1109597021.0,4473349527.0,2580313753.0,,,,114945.0,,661409162.0,662449936.0,,78348447.0,149700000.0,,228048447.0,434401489.0,,,,,,2800000000.0,,2800000000.0,3719740000.0,512821278.0,,,4287227417.0,-1487227417.0,2607484.0,1530095309.0,25447784012.0,23917688703.0,,,23917688703.0,25447784012.0,定期报告,未审计,20250828,CNY,合并期末,2024-08-27T20:52:02
20240331,,,,904669116.0,,,402020125.0,241694584.0,,,1868559000.0,,,,,,,118702156.0,6500540494.0,,,196240123.0,3029144512.0,,,,,,,,,399325454.0,,,296209348.0,86916454.0,941514365.0,5227818384.0,1272722110.0,,,,115937.0,,,130456.0,,25026091.0,,,25026091.0,-24895635.0,,,,,,1000000000.0,,1000000000.0,1715310000.0,91939792.0,,,1823487329.0,-823487329.0,432442.0,424771588.0,,,,,23917688703.0,24342460291.0,定期报告,未审计,20250426,CNY,合并期末,2024-04-29T22:37:02
20231231,,,,4096216928.0,,,,6869613244.0,,,,,,,,,,4580587187.0,15546417359.0,,,851441933.0,655294368.0,,362040759.0,,,,3932407826.0,,,2802542947.0,,,1322472400.0,312129135.0,1598354318.0,14620859496.0,925557863.0,,,223979.0,59754940.0,,,77434064.0,,215140515.0,29158000.0,,253906091.0,-176472027.0,,,,,,5141956512.0,,5141956512.0,7022934176.0,942959888.0,,7357814.0,8129593654.0,-2987637142.0,7125705.0,-2231425601.0,23917688703.0,26149114304.0,,,26149114304.0,23917688703.0,定期报告,是,20250426,CNY,合并期末,2024-04-30T00:57:02
20230930,,,,2816939319.0,,,,4523883081.0,,,,,,,,,,3469074612.0,10809897012.0,,,600453050.0,2730926938.0,,133663667.0,,,,3831688256.0,,,2912393900.0,,,961323864.0,227217377.0,1221304843.0,13122422599.0,-2312525587.0,,17171127.0,23979.0,4362837.0,,730120381.0,751841883.0,,91002494.0,29158000.0,,120160494.0,631681389.0,,,,,35787570.0,2925330000.0,,2961117570.0,4537537375.0,709537244.0,14814358.0,,5297577395.0,-2336459825.0,12081431.0,-4005222592.0,,,,,26149114304.0,22143891712.0,定期报告,未审计,20241031,CNY,合并期末,2023-10-29T16:27:03
20230630,,,,2012415503.0,,,,7145285359.0,,,,,,,,,,2234068025.0,11391768887.0,,,426117592.0,2381279425.0,,340818011.0,,,,849566549.0,,,3256457024.0,,,616873505.0,121828659.0,939023858.0,10527045730.0,864723157.0,,16884471.0,,1306445.0,,630814837.0,649169311.0,,60989888.0,14158000.0,,75147888.0,574021423.0,,,,,,300640000.0,,300640000.0,2293406966.0,527132469.0,14814359.0,,2887372845.0,-2586732845.0,14814245.0,-1133174020.0,25015940284.0,26149114304.0,,,26149114304.0,25015940284.0,定期报告,未审计,20240828,CNY,合并期末,2023-08-28T22:07:03
20230331,,,,955933670.0,,,,10439718721.0,,,,,,,,,,1453698602.0,12911199239.0,,,219293401.0,3425935931.0,,190346661.0,,,,1345214590.0,,,5887186306.0,,,304332890.0,94920985.0,564950521.0,13476323425.0,-565124186.0,,16270344.0,,703095.0,,,16973439.0,,15396294.0,13250000.0,,28646294.0,-11672855.0,,,,,,54240000.0,,54240000.0,628264477.0,113118026.0,,,759969458.0,-705729458.0,-7599857.0,-1290126356.0,,,,,26149114304.0,24858987948.0,定期报告,未审计,20240430,CNY,合并期末,2023-04-27T23:27:04
20221231,,,,3830465316.0,17584960.0,,1194853397.0,,,,3276195852.0,,,,,,,1995101178.0,13397298439.0,,,820547898.0,,,,455362615.0,,,,,,5055876558.0,,,1317813931.0,326777186.0,4194525080.0,12170903268.0,1226395171.0,,,1438447.0,21876946.0,,,31883746.0,,199837866.0,108176000.0,,308013866.0,-276130120.0,,,,,,14428483932.0,651992433.0,15080476365.0,15137311125.0,1064076121.0,,4030925.0,16365530079.0,-1285053714.0,80770488.0,-254018175.0,26149114304.0,26403132479.0,,,26403132479.0,26149114304.0,定期报告,是,20240430,CNY,合并期末,2023-04-28T02:37:07
20220930,,,,2887771581.0,,,1082773304.0,11118002932.0,,,1960121349.0,,,,,,,1699280750.0,21322480502.0,,,677419275.0,2886282943.0,,,,,,,,,14725144909.0,,,974123157.0,210152464.0,2200553567.0,21758467918.0,-435987416.0,,,238447.0,3654709.0,,347341858.0,351235014.0,,78040113.0,1000000.0,570000000.0,649040113.0,-297805099.0,,,,,642268384.0,13267760000.0,,13910028384.0,11485959831.0,817647329.0,3862918.0,73174427.0,12376781587.0,1533246797.0,120360281.0,919814563.0,,,,,26403132479.0,27322947042.0,定期报告,未审计,20231030,CNY,合并期末,2022-10-29T02:37:04
20220630,,1964548265.0,,1871676790.0,,,997175121.0,7803491409.0,,,3424637597.0,,,,,,,1589887160.0,17758124873.0,,,412926733.0,3078679472.0,,,,,,,,,8080114268.0,,,565124998.0,163370074.0,2222184361.0,14522399906.0,3235724967.0,,,107220.0,2899734.0,,304303796.0,307310750.0,,75237096.0,,380000000.0,455237096.0,-147926346.0,,,,,,9916564151.0,68709530.0,9985273681.0,9169206758.0,694926239.0,,68596758.0,9864132997.0,121140684.0,44633136.0,3253572441.0,29656704920.0,26403132479.0,,,26403132479.0,29656704920.0,定期报告,未审计,20230829,CNY,合并期末,2022-08-28T17:17:04
20220331,,,,999001724.0,,,464734824.0,8060971112.0,,,1020695346.0,,,,,,,750107238.0,11409472963.0,,,251898703.0,3728927765.0,,,,,,,,,4957924982.0,,,315831936.0,118867690.0,1202240014.0,10613703917.0,795769046.0,,,,467989.0,,,467989.0,,17319218.0,,300000000.0,317319218.0,-316851229.0,,,,,281696337.0,4108610000.0,,4390306337.0,5418234975.0,199332656.0,,,5655594216.0,-1265287879.0,-6677260.0,-793047322.0,,,,,26403132479.0,25610085157.0,定期报告,未审计,20230428,CNY,合并期末,2022-04-27T21:12:04
20211231,,,,4032719585.0,3407716160.0,,,,,,2552178398.0,,,,,,,3744866547.0,14202053707.0,,,959487534.0,,,433591516.0,1956296488.0,,,,,,5052708398.0,,,1291477767.0,329104003.0,2697669094.0,12767992319.0,1434061388.0,,150000000.0,223823.0,6636138.0,,40000000.0,227113746.0,,179605895.0,,1064513566.0,1244119461.0,-1017005715.0,,,,,,24003415106.0,707427880.0,24710842986.0,19415272976.0,997767765.0,,77992617.0,20640658042.0,4070184944.0,-23048665.0,4464191952.0,26403132479.0,21938940527.0,,,21938940527.0,26403132479.0,定期报告,是,20230428,CNY,合并期末,2022-04-27T22:37:04
20210930,,,,3030133387.0,880625117.0,,,7324970548.0,,,3057828222.0,,,,,,,3010601535.0,19185554408.0,,,731028626.0,,,543743481.0,,,,,,,11529546453.0,,,1033602644.0,230558680.0,1858309362.0,16125802099.0,3059752309.0,,152621416.0,,1137677.0,,,153759093.0,,115148840.0,,520000000.0,635148840.0,-481389747.0,,,,,725304368.0,12275565173.0,,13000869541.0,12086235613.0,771137340.0,19378169.0,157997058.0,13015370011.0,-14500470.0,-20061796.0,2543800296.0,,,,,21938940527.0,24482740823.0,定期报告,未审计,20221029,CNY,合并期末,2021-10-29T20:32:03
20210630,,2162565521.0,,1815193351.0,,,,12538885310.0,,,1367135264.0,,,,,,,2897035721.0,20811077530.0,,,418326393.0,2517897888.0,,481906687.0,,,,,,,14929929944.0,,,493756726.0,193106522.0,1381587150.0,20416511310.0,394566220.0,,150000000.0,447778.0,1164714.0,,,178112494.0,,88865836.0,,290000000.0,378865836.0,-200753342.0,,,,,178610101.0,9233401073.0,178610101.0,9412011174.0,6927872700.0,619048170.0,19378168.0,104984545.0,7651905415.0,1760105759.0,-14654119.0,1939264518.0,23878205045.0,21938940527.0,,,21938940527.0,23878205045.0,定期报告,未审计,20220829,CNY,合并期末,2021-08-26T22:22:04
20210331,,,,911542243.0,,,87011195.0,9876611452.0,,,541858564.0,,,,,,,1800890676.0,14588492566.0,,,175615578.0,811281797.0,,,,,,,,,12141773811.0,,,337070315.0,152022724.0,1105724577.0,14723488802.0,-134996236.0,,150000000.0,,9942.0,,,150009942.0,,26272656.0,,,26272656.0,123737286.0,,,,,4225900.0,4134330000.0,,4138555900.0,2517969627.0,191372272.0,,9388169.0,2718730068.0,1419825832.0,4230326.0,1412797208.0,,,,,21938940527.0,23351737735.0,定期报告,未审计,20220428,CNY,合并期末,2021-04-19T22:52:04
