报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,289948100.11,289948100.11,,,,,,391318303.78,297106083.64,,,,,,,,,9014299.92,,17114193.46,48951003.63,19132723.13,21594067.74,,3339449.49,-133767.71,,,,,,,,731007.47,,-5192704.58,,124859.95,-102367591.34,5705560.94,,22163945.81,,-118825976.21,2575563.56,,-121401539.77,-121401539.77,,-119369931.62,,-2031608.15,-7925570.73,-4342429.1,,,,,,-4342429.1,,,,,,,,,-4342429.1,,-3583141.63,-129327110.5,-123712360.72,-5614749.78,-0.0203,-0.0203,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T23:44:03
20251231,1710902297.04,1710902297.04,,,,,,2028479200.34,1543808377.76,,,,,,,,,12278876.7,,142562139.47,239832159.49,89997646.92,106970654.54,,9584896.22,-291579.15,,,,4021495.54,,,,98610819.59,-758852166.44,-133638851.67,,1122606.05,-1096728104.01,12875768.47,,78316047.26,,-1162168382.8,84392365.33,,-1246560748.13,-1246560748.13,,-1173093919.64,,-73466828.49,-3064374.58,-23851.15,0.0,0.0,0.0,0.0,0.0,-23851.15,0.0,,0.0,0.0,0.0,,0.0,,-23851.15,,-3040523.43,-1249625122.71,-1173117770.79,-76507351.92,-0.2,-0.2,定期报告,是,20260429,CNY,合并期末,2026-04-28T23:44:03
20250930,1168650247.66,1168650247.66,,,,,,1401667456.18,1089838388.66,,,,,,,,,4364546.32,,80631199.63,160562645.35,66270676.22,81331917.52,,-892786.33,-89511.79,,,,,,,,36924905.02,-256138032.4,6561165.79,,1315507.13,-445246449.31,8500156.91,,55250639.06,,-491996931.46,2921725.33,,-494918656.79,-494918656.79,,-485995912.86,,-8922743.93,-1866152.59,49107.18,,,,,,49107.18,,,,,,,,,49107.18,,-1915259.77,-496784809.38,-485946805.68,-10838003.7,-0.0828,-0.0828,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:28:15
20250630,772296620.83,772296620.83,0.0,0.0,0.0,,,914202810.55,699229168.37,0.0,,0.0,0.0,0.0,0.0,0.0,,23241040.21,0.0,51037928.56,98488401.42,42206271.99,53900276.03,0.0,-1327959.71,-247473.28,,,,,,,,12112062.97,-74462.5,6823966.26,,1315507.13,-123057075.57,2133181.07,,31737029.41,,-152660923.91,3078265.64,,-155739189.55,-155739189.55,,-161294750.78,,5555561.23,-1236296.22,511926.43,,,,,,511926.43,,,,,,,,,511926.43,,-1748222.65,-156975485.77,-160782824.35,3807338.58,-0.0275,-0.0275,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T20:30:04
20250331,296452892.63,296452892.63,0.0,0.0,0.0,,,381054046.61,290145965.6,0.0,,0.0,0.0,0.0,0.0,0.0,,7431060.89,0.0,19664688.49,48353450.69,15458880.94,15916246.41,0.0,-635904.65,0.0,0.0,0.0,0.0,0.0,,,,2275956.0,0.0,-12831141.26,,154994.82,-95637249.07,932156.26,,13370616.22,,-108075709.03,651451.73,,-108727160.76,-108727160.76,0.0,-102394429.38,,-6332731.38,2815358.63,3361877.24,0.0,0.0,0.0,0.0,0.0,3361877.24,0.0,,0.0,0.0,0.0,,0.0,,3361877.24,,-546518.61,-105911802.13,-99032552.14,-6879249.99,-0.0174,-0.0174,定期报告,未审计,20260429,CNY,合并期末,2025-04-29T01:44:07
20241231,3043206014.08,3043206014.08,,,,,,2970400094.14,2270424609.42,,,,,,,,,150853226.37,0.0,135798222.33,271639396.19,141684639.83,131744799.19,,-102312887.48,952024.47,,,,,,,,271032563.65,-283387593.27,-369699146.76,,436914.44,-411124229.48,5342881.14,,83913178.19,,-489694526.53,179719844.83,,-669414371.36,-669414371.36,,-533142258.96,,-136272112.4,13025148.96,7136479.12,,,,,,7136479.12,,,,,,,,,7136479.12,,5888669.84,-656389222.4,-526005779.84,-130383442.56,-0.09,-0.09,定期报告,是,20260429,CNY,合并期末,2025-04-29T01:44:07
20240930,2264078669.87,2264078669.87,,,,,,2161174523.46,1732825752.17,,,,,,,,,108894445.0,0.0,82947922.73,180518265.92,55988137.64,50727779.09,,8321347.46,1201150.81,,,,0.0,,,,20251748.74,,-7028136.34,,50565.26,124499671.53,23615673.44,,35604294.91,,112511050.06,67365460.5,,45145589.56,45145589.56,,83504155.29,,-38358565.73,7656740.62,4195128.18,,,,,,4195128.18,,,,,,,,,4195128.18,,3461612.44,52802330.18,87699283.47,-34896953.29,0.0142,0.0142,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T16:52:06
20240630,1575211270.44,1575211270.44,0.0,0.0,0.0,,,1492593651.08,1190372333.29,0.0,,0.0,0.0,0.0,0.0,0.0,,93733944.04,0.0,56160486.51,118267644.49,34059242.75,37554378.96,0.0,7655427.42,1100594.63,,,0.0,0.0,,,,13177755.83,116738.03,-13881395.59,,731.92,89686876.97,2232480.5,,23747754.0,,68171603.47,60750239.36,,7421364.11,7421364.11,0.0,48508713.53,,-41087349.42,7409177.59,4059488.4,,,,,,4059488.4,,,,,,,,,4059488.4,,3349689.19,14830541.7,52568201.93,-37737660.23,0.0083,0.0083,定期报告,未审计,20250830,CNY,合并期末,2024-07-26T22:02:02
20240331,805462915.49,805462915.49,0.0,0.0,0.0,,,747752441.11,598226598.7,0.0,,0.0,0.0,0.0,0.0,0.0,,52110892.3,0.0,22473174.55,57446190.23,17495585.33,18408680.15,0.0,-1044799.51,599845.25,,,,,,,,10809386.26,,-16544445.47,,360.24,50930975.9,1572955.15,,8566104.72,,43937826.33,35700611.68,,8237214.65,8237214.65,,20685648.35,,-12448433.7,-9653622.61,-8538575.13,0.0,0.0,,0.0,,-8538575.13,,,,,0.0,,,,-8538575.13,,-1115047.48,-1416407.96,12147073.22,-13563481.18,0.0035,0.0035,定期报告,未审计,20250429,CNY,合并期末,2024-04-17T16:57:02
20231231,3875157771.86,3875157771.86,0.0,0.0,0.0,,,6824937673.21,3526631750.18,0.0,,0.0,0.0,0.0,0.0,0.0,,231744780.96,0.0,269218026.85,584377711.14,2212965404.08,2226885851.99,0.0,3160872629.93,-131642.18,,,0.0,-156783.06,,,,597262256.32,-107737641.24,-41974794.58,,469968946.43,1128454712.45,32507605.35,,734848353.76,,426113964.04,288829936.19,,137284027.85,137284027.85,,351901343.51,,-214617315.66,9569595.09,12582594.76,0.0,0.0,,0.0,,12582594.76,11684148.5,,,,0.0,,,,898446.26,,-3012999.67,146853622.94,364483938.27,-217630315.33,0.19,0.19,定期报告,是,20250429,CNY,合并期末,2024-03-29T23:02:03
20230930,2673070161.59,2673070161.59,,,,,,4556422851.27,2454698647.77,,,,,,,,,107521267.49,0.0,172360625.34,341488168.97,1480354141.7,1492669929.38,,67058398.81,-267604.21,,,,-156783.06,,,,461653823.25,,-21529258.69,,41771852.95,-1334554656.42,6236634.36,,214257920.0,,-1542575942.06,221745925.42,,-1764321867.48,-1764321867.48,,-1757597133.92,,-6724733.56,49045700.2,34801320.66,,,,,,34801320.66,,,,,,,,,34801320.66,,14244379.54,-1715276167.28,-1722795813.26,7519645.98,-0.9267,-0.9267,定期报告,未审计,20241031,CNY,合并期末,2023-10-30T19:27:06
20230630,1723711034.74,1723711034.74,0.0,0.0,0.0,,,3078252338.34,1608527293.4,0.0,,0.0,0.0,0.0,0.0,0.0,,88747412.53,0.0,109849457.04,219415751.02,1051712424.35,1064396480.52,0.0,67326003.02,0.0,,,0.0,-156783.06,,,,384046296.79,0.0,-22233060.03,,41460570.95,-884098275.93,3840513.76,,142574139.04,,-1022831901.21,204597950.71,,-1227429851.92,-1227429851.92,0.0,-1221797296.75,,-5632555.17,64377782.41,43600787.16,0.0,0.0,0.0,0.0,,43600787.16,0.0,,,,0.0,,,,43600787.16,,20776995.25,-1163052069.51,-1178196509.59,15144440.08,-0.64,-0.64,定期报告,未审计,20240727,CNY,合并期末,2023-08-30T21:37:04
20230331,490848737.55,490848737.55,,,,,,1168065921.14,508102875.73,,,,,,,,,30988743.32,,39582946.5,112350196.48,477041159.11,487461861.58,,-108623313.45,,,,,-156783.06,,,,5990720.87,,-21033818.5,,13952.7,-801026425.03,1244613.68,,68048364.49,,-867830175.84,115013858.62,,-982844034.46,-982844034.46,,-968291803.4,,-14552231.06,-4899495.47,2385209.02,0.0,,,0.0,,2385209.02,11684148.5,,,,,,,,-9298939.48,,-7284704.49,-987743529.93,-965906594.38,-21836935.55,-0.51,-0.51,定期报告,未审计,20240418,CNY,合并期末,2023-04-29T02:37:08
20221231,5253081386.31,5253081386.31,0.0,0.0,0.0,,,7349197035.76,4165309159.98,0.0,,0.0,0.0,0.0,0.0,0.0,,325606001.36,0.0,315314398.66,511720784.96,2031246690.8,2002169973.69,0.0,122253550.68,268003177.34,,,0.0,-1504095.61,,,,50826207.31,-957160336.52,-6648969.33,,1446747.03,-2886902545.89,68012997.23,,333838994.58,,-3152728543.24,248193736.65,,-3400922279.89,-3400922279.89,0.0,-3416210554.31,,15288274.42,10940284.13,4525497.34,0.0,0.0,0.0,0.0,,4525497.34,-4180652.15,,,,0.0,,,,8706149.49,,6414786.79,-3389981995.76,-3411685056.97,21703061.21,-1.8,-1.8,定期报告,是,20240330,CNY,合并期末,2023-04-29T02:37:08
20220930,3117998898.25,3117998898.25,,,,,,4592756854.93,2603976866.54,,,,,,,,,292601457.13,,217590655.35,367924995.9,1110662880.01,1080882965.6,,231978038.82,216747554.17,,,,0.0,,,,77198876.12,-86040637.87,-12331906.25,,444324.83,-1263509261.03,8787504.95,,78585594.2,,-1333307350.28,140395207.24,,-1473702557.52,-1473702557.52,,-1479997978.21,,6295420.69,-9344943.79,860700.09,-461871.13,0.0,-461871.13,0.0,0.0,1322571.22,10752769.5,,,,,,,,-9430198.28,,-10205643.88,-1483047501.31,-1479137278.12,-3910223.19,-0.7803,-0.7803,定期报告,未审计,20231031,CNY,合并期末,2023-10-30T19:27:06
20220630,2120724643.73,2120724643.73,,,,,,3128619504.38,1777932118.72,,,,,,,,,258871835.48,,136020105.85,236037814.25,719757630.08,739302684.29,,160291319.15,145060834.5,,,,,,,,69174905.68,-86040637.87,-11824287.81,,304946.16,-875988615.34,3995572.0,,6841610.8,,-878834654.14,111899698.43,,-990734352.57,-990734352.57,,-992997756.85,,2263404.28,4037088.66,3190398.37,-694048.5,,-694048.5,,,3884446.87,89099.35,,,,,,,,3795347.52,,846690.29,-986697263.91,-989807358.48,3110094.57,-0.52,-0.52,定期报告,未审计,20230831,CNY,合并期末,2022-08-29T20:27:13
20220331,608843902.91,608843902.91,,,,,,1183169500.25,624072138.47,,,,,,,,,44556432.48,,56861239.03,116681034.38,340998655.89,335162714.23,,88991676.65,73761192.0,,,,,,,,60035453.04,,-10371575.71,,-2641.52,-435672684.88,2002652.81,,3157839.5,,-436827871.57,11842531.04,,-448670402.61,-448670402.61,,-448174493.63,,-495908.98,18820728.18,9484318.81,0.0,,,0.0,,9484318.81,-595714.5,,,,,,,,10080033.31,,9336409.37,-429849674.43,-438690174.82,8840500.39,-0.24,-0.24,定期报告,未审计,20230429,CNY,合并期末,2022-04-28T20:22:04
20211231,8598781556.35,8598781556.35,,,,,,10567226975.32,6998600675.98,,,,,,,,,955079443.71,,503255896.84,575836394.66,1534454564.13,1571405771.26,,-236005060.95,434404127.52,,,,-73780384.65,,,,58024762.07,-1062437948.12,-47851834.83,,3065256.34,-3327430629.11,12074763.09,,41996000.53,,-3357351866.55,458764177.52,,-3816116044.07,-3816116044.07,,-3892974439.56,,76858395.49,7595789.95,6045839.22,2037016.96,,,2037016.96,,4008822.26,13402087.97,,,,,,,,-9393265.71,,1549950.73,-3808520254.12,-3886928600.34,78408346.22,-2.05,-2.05,定期报告,是,20230429,CNY,合并期末,2022-04-28T20:27:04
20210930,3830664588.14,3830664588.14,,,,,,5173309948.85,3269412019.56,,,,,,,,,343783758.7,,268784000.12,360703885.1,930626285.37,961460272.96,,-306904520.25,-284990300.79,,,,,,,,29753614.44,0.0,474388.4,,1674413.55,-1617647464.57,6862093.44,,13456557.55,,-1624241928.68,144265715.81,,-1768507644.49,-1768507644.49,,-1788110404.26,,19602759.77,71526009.89,41678188.39,6030269.74,0.0,0.0,6030269.74,0.0,35647918.65,22609771.92,,,,,,,,13038146.73,,29847821.5,-1696981634.6,-1746432215.87,49450581.27,-0.94,-0.94,定期报告,未审计,20221031,CNY,合并期末,2021-10-29T18:42:04
20210630,1919444605.2,1919444605.2,,,,,,2857492058.29,1702185623.3,,,,,,,,,136214790.17,,165018098.02,235767207.62,618306339.18,649420382.97,,248983453.14,270897672.6,,,,,,,,28322307.03,,5769134.55,,350957.15,-654621601.22,4996055.85,,9438739.69,,-659064285.06,54303717.65,,-713368002.71,-713368002.71,,-725878444.43,,12510441.72,-3604205.66,-2702759.78,2823065.64,,,2823065.64,,-5525825.42,48600.0,,,,,,,,-5574425.42,,-901445.88,-716972208.37,-728581204.21,11608995.84,-0.38,-0.38,定期报告,未审计,20220830,CNY,合并期末,2021-08-18T19:37:04
20210331,574394696.69,574394696.69,,,,,,1091437805.36,580843875.26,,,,,,,,,53108590.7,,50883709.4,107602184.49,298999445.51,306592816.7,,136309831.02,136309831.02,,,,,,,,7694895.41,,3752741.49,,238743.0,-369046897.75,3435552.48,,5339566.22,,-370950911.49,26317004.94,,-397267916.43,-397267916.43,,-379473173.3,,-17794743.13,-19893169.3,-9520470.51,4647339.2,,,4647339.2,,-14167809.71,-3178168.2,,,,,,,,-10989641.51,,-10372698.79,-417161085.73,-388993643.81,-28167441.92,-0.2,-0.2,定期报告,未审计,20220429,CNY,合并期末,2021-04-29T20:22:04
20201231,7083884205.43,7083884205.43,,,,,,8369313640.95,5333624656.11,,,,,,,,,631253898.59,,573989554.31,596628764.67,1233816767.27,1373421889.96,,452313578.02,451465953.03,,,,-6430479.4,,,,76259452.93,-227770592.33,-20369467.93,,605519.07,-1010821425.16,42238437.28,,17784383.21,,-986367371.09,240555069.0,,-1226922440.09,-1226922440.09,,-1285505522.46,,58583082.37,-42215310.6,-21070572.54,-1187934.4,,,-1187934.4,,-19882638.14,-3132061.2,,,,,,,,-16750576.94,,-21144738.06,-1269137750.69,-1306576095.0,37438344.31,-0.68,-0.68,定期报告,是,20220429,CNY,合并期末,2021-04-29T20:22:04
