报告日,资产,货币资金,存放中央银行款项,存放同业款项,结算备付金,贵金属,拆出资金,交易性金融资产,买入返售金融资产,应收票据,应收账款,应收款项融资,预付账款,应收股利,应收利息,应收保费,应收代位追偿款,应收分保账款,应收分保合同准备金,应收分保未到期责任准备金,应收分保未决赔款准备金,应收分保寿险责任准备金,应收分保长期健康险责任准备金,应收保证金,应收投资款项,应收次级债,其他应收款,贴现,发放贷款及垫款净额,存货净额,保费准备金,农险保费准备金,其他保险责任准备金,保单质押贷款,划分为持有待售的资产,可供出售金融资产,长期股权投资,投资性房地产,债权投资,债权计划投资,其他债权投资,其他权益工具投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,衍生金融资产,长期应收款,存出资本保证金,固定资产原值,减：累计折旧,固定资产净值,减：固定资产减值准备,在建工程,固定资产净额,固定资产合计,定期存款,合同资产,使用权资产,其中:交易席位费,无形资产,商誉,长期待摊费用,独立账户资产,递延税款借项,其他长期资产,资产总计,负债,短期借款,同业存放款项,拆入资金,吸收存款,交易性金融负债,卖出回购金融资产款,应付票据,应付账款,预收账款,应付手续费及佣金,应付职工薪酬,应交税金,应付利息,应付股利,其他应付款,应付保户红利,应付分保账款,应付赔付款,应付保证金,预收保费,代买卖证券款,代理承销证券款,预计负债,划分为持有待售的负债,衍生金融负债,长期借款,应付债券款,其中：应付次级债,应付债券：优先股,应付债券：永续债,保险合同准备金,未到期责任准备金,未决赔款准备金,寿险责任准备金,长期健康险责任准备金,应付长期保险保障基金,保户储金,独立账户负债,长期应付款,专项应付款,合同负债,租赁负债,长期递延收益,递延税款贷项,其他负债,负债合计,所有者权益,股本,其他权益工具,其中：优先股,其中：永续债,资本公积,其他综合收益,盈余公积,一般风险准备,未分配利润,外币折算差额,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,725711000000.0,,,36735000000.0,,257790000000.0,2824486000000.0,171822000000.0,,45750000000.0,,,,,,,,,,,,,,,,,,3481201000000.0,,,,,,,,139228000000.0,149370000000.0,1307316000000.0,,3232550000000.0,618178000000.0,,,26158000000.0,285900000000.0,15460000000.0,,,,,,44940000000.0,44940000000.0,388975000000.0,,7902000000.0,,22167000000.0,38113000000.0,,,123118000000.0,200761000000.0,14169947000000.0,,87082000000.0,613077000000.0,129049000000.0,3702184000000.0,253493000000.0,678275000000.0,,5986000000.0,,,49400000000.0,26501000000.0,,,,,,,,7923000000.0,236486000000.0,,,,42390000000.0,167438000000.0,854014000000.0,,,,,,,,,,,,,,5488163000000.0,8150000000.0,,6386000000.0,287628000000.0,12735657000000.0,,18108000000.0,,,,101015000000.0,-65608000000.0,12164000000.0,160847000000.0,791784000000.0,,1018310000000.0,415980000000.0,1434290000000.0,14169947000000.0,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T19:23:04
20251231,,745679000000.0,,,35330000000.0,,272995000000.0,2713327000000.0,183497000000.0,,43678000000.0,,,,,,,,,,,,,,,,,,3409074000000.0,,,,,,,,141251000000.0,151411000000.0,1270569000000.0,,3231435000000.0,609550000000.0,,,30002000000.0,258202000000.0,15380000000.0,82500000000.0,37075000000.0,45425000000.0,801000000.0,,44624000000.0,44624000000.0,361584000000.0,,8322000000.0,,22196000000.0,38130000000.0,,,114640000000.0,172080000000.0,13898471000000.0,,84520000000.0,528163000000.0,118295000000.0,3588691000000.0,221829000000.0,643547000000.0,,5791000000.0,,,60831000000.0,20302000000.0,,,,,,,,31604000000.0,220555000000.0,,,,46862000000.0,150094000000.0,853661000000.0,,,,,,,,,,,,,,5360910000000.0,8407000000.0,,6647000000.0,307700000000.0,12482483000000.0,,18108000000.0,,,,102528000000.0,-59972000000.0,12164000000.0,160677000000.0,766914000000.0,,1000419000000.0,415569000000.0,1415988000000.0,13898471000000.0,定期报告,是,20260429,CNY,合并期末,2026-03-26T21:27:03
20250930,,702025000000.0,,,37380000000.0,,233551000000.0,2666334000000.0,124835000000.0,,44885000000.0,,,,,,,,,,,,,,,,,,3435433000000.0,,,,,,,,150668000000.0,144784000000.0,1228986000000.0,,3241903000000.0,575028000000.0,,,28931000000.0,254433000000.0,15001000000.0,,,,,,44168000000.0,44168000000.0,353731000000.0,,8138000000.0,,22501000000.0,38170000000.0,,,119398000000.0,152828000000.0,13649993000000.0,,84249000000.0,444776000000.0,123298000000.0,3563157000000.0,203213000000.0,686653000000.0,,6484000000.0,,,56147000000.0,23438000000.0,,,,,,,,6567000000.0,198871000000.0,,,,42695000000.0,145971000000.0,913370000000.0,,,,,,,,,,,,,,5333779000000.0,8234000000.0,,7335000000.0,316189000000.0,12276535000000.0,,18108000000.0,,,,106018000000.0,-75917000000.0,12164000000.0,144699000000.0,781334000000.0,,986406000000.0,387052000000.0,1373458000000.0,13649993000000.0,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T19:41:04
20250630,,698260000000.0,,,30291000000.0,,275547000000.0,2522586000000.0,86497000000.0,,40939000000.0,,,,,,,,,,,,,,,,,,3420417000000.0,,,,,,,,159551000000.0,144375000000.0,1186366000000.0,,3350011000000.0,520519000000.0,,,36665000000.0,233660000000.0,15319000000.0,,,,,,44838000000.0,44838000000.0,353566000000.0,,7974000000.0,,30155000000.0,45886000000.0,,,129191000000.0,151587000000.0,13509559000000.0,,80630000000.0,521390000000.0,107447000000.0,3687100000000.0,146885000000.0,513738000000.0,,7159000000.0,,,50767000000.0,20844000000.0,,,,,,,,7103000000.0,183388000000.0,,,,46060000000.0,136271000000.0,789590000000.0,,,,,,,,,,,,,,5333626000000.0,8156000000.0,,8824000000.0,302730000000.0,12166459000000.0,,18210000000.0,,,,117723000000.0,-77543000000.0,12164000000.0,144582000000.0,733817000000.0,,943952000000.0,399148000000.0,1343100000000.0,13509559000000.0,定期报告,未审计,20250827,CNY,合并期末,2025-08-26T19:43:05
20250331,,754730000000.0,,,33570000000.0,,269684000000.0,2358612000000.0,69830000000.0,,39053000000.0,,,,,,,,,,,,,,,,,,3425976000000.0,,,,,,,,163684000000.0,145759000000.0,1228333000000.0,,3164069000000.0,477076000000.0,,,46994000000.0,225203000000.0,15336000000.0,,,,,,44971000000.0,44971000000.0,314957000000.0,,8196000000.0,,30688000000.0,45791000000.0,,,130083000000.0,164601000000.0,13183134000000.0,,94064000000.0,498310000000.0,104558000000.0,3669136000000.0,150823000000.0,502974000000.0,,6518000000.0,,,45137000000.0,28030000000.0,,,,,,,,6800000000.0,173274000000.0,,,,52212000000.0,136110000000.0,808359000000.0,,,,,,,,,,,,,,5092182000000.0,8354000000.0,,9258000000.0,308944000000.0,11844014000000.0,,18210000000.0,,,,117515000000.0,-69296000000.0,12164000000.0,144438000000.0,721703000000.0,,939733000000.0,399387000000.0,1339120000000.0,13183134000000.0,定期报告,未审计,20250426,CNY,合并期末,2025-04-25T19:01:04
20241231,,683433000000.0,,,33982000000.0,,266938000000.0,2377074000000.0,91840000000.0,,36006000000.0,,,,,,,,,,,,,,,,,,3391837000000.0,,,,,,,,185514000000.0,141495000000.0,1232450000000.0,,3186937000000.0,356493000000.0,,,68698000000.0,210176000000.0,16404000000.0,83501000000.0,36618000000.0,46883000000.0,606000000.0,,46277000000.0,46277000000.0,280954000000.0,,8527000000.0,,31387000000.0,43539000000.0,,,122012000000.0,119770000000.0,12957827000000.0,,95662000000.0,418445000000.0,115926000000.0,3541448000000.0,172768000000.0,462292000000.0,,6871000000.0,,,56564000000.0,23770000000.0,,,,,,,,19426000000.0,168719000000.0,,,,74937000000.0,122040000000.0,967042000000.0,,,,,,,,,,,,,,4984795000000.0,8801000000.0,,13977000000.0,312953000000.0,11653115000000.0,,18210000000.0,,,,121204000000.0,-55761000000.0,12164000000.0,144314000000.0,693470000000.0,,928600000000.0,376112000000.0,1304712000000.0,12957827000000.0,定期报告,是,20260327,CNY,合并期末,2025-03-19T22:31:04
20240930,,695047000000.0,,,22027000000.0,,270616000000.0,2249122000000.0,78421000000.0,,38428000000.0,,,,,,,,,,,,,,,,,,3400490000000.0,,,,,,,,196108000000.0,143932000000.0,1211511000000.0,,2968935000000.0,310401000000.0,,,43469000000.0,204008000000.0,15055000000.0,,,,,,47677000000.0,47677000000.0,260422000000.0,,8526000000.0,,30992000000.0,44193000000.0,,,113968000000.0,156003000000.0,12533736000000.0,,100363000000.0,455574000000.0,135401000000.0,3542862000000.0,166373000000.0,289427000000.0,,7521000000.0,,,50112000000.0,14739000000.0,,,,,,,,6585000000.0,177004000000.0,,,,47338000000.0,131595000000.0,852097000000.0,,,,,,,,,,,,,,4766596000000.0,8898000000.0,,14122000000.0,348352000000.0,11254145000000.0,,18210000000.0,,,,115228000000.0,-61662000000.0,12164000000.0,130838000000.0,698162000000.0,,907939000000.0,371652000000.0,1279591000000.0,12533736000000.0,定期报告,未审计,20241022,CNY,合并期末,2024-10-21T20:01:04
20240630,,592584000000.0,,,20109000000.0,,259821000000.0,2145964000000.0,117255000000.0,,39661000000.0,,,,,,,,,,,,,,,,,,3314656000000.0,,,,,,,,249628000000.0,145119000000.0,1227296000000.0,,2845591000000.0,299356000000.0,,,51305000000.0,202939000000.0,14986000000.0,,,,,,47466000000.0,47466000000.0,242778000000.0,,8576000000.0,,31246000000.0,44129000000.0,,,99306000000.0,203581000000.0,12226666000000.0,,95470000000.0,543214000000.0,71660000000.0,3579500000000.0,144568000000.0,254978000000.0,,7536000000.0,,,42662000000.0,13241000000.0,,,,,,,,8713000000.0,117682000000.0,,,,44550000000.0,139364000000.0,823691000000.0,,,,,,,,,,,,,,4589750000000.0,8995000000.0,,14254000000.0,335198000000.0,10961716000000.0,,18210000000.0,,,,134369000000.0,-28607000000.0,12164000000.0,130702000000.0,669371000000.0,,931208000000.0,333742000000.0,1264950000000.0,12226666000000.0,定期报告,未审计,20240823,CNY,合并期末,2024-08-22T20:16:06
20240331,,640221000000.0,,,21410000000.0,,234163000000.0,1962415000000.0,132914000000.0,,37514000000.0,,,,,,,,,,,,,,,,,,3384720000000.0,,,,,,,,253714000000.0,148056000000.0,1252468000000.0,,2750608000000.0,263139000000.0,,,47800000000.0,193392000000.0,14853000000.0,,,,,,46006000000.0,46006000000.0,190271000000.0,,9002000000.0,,31907000000.0,44115000000.0,,,108188000000.0,193080000000.0,11982296000000.0,,93541000000.0,485344000000.0,84289000000.0,3462873000000.0,72247000000.0,243373000000.0,,7658000000.0,,,41305000000.0,17672000000.0,,,,,,,,7033000000.0,126381000000.0,,,,47597000000.0,138954000000.0,998246000000.0,,,,,,,,,,,,,,4429595000000.0,9531000000.0,,14323000000.0,294970000000.0,10740156000000.0,,18210000000.0,,,,134852000000.0,-44169000000.0,12164000000.0,130575000000.0,658339000000.0,,904970000000.0,337170000000.0,1242140000000.0,11982296000000.0,定期报告,未审计,20240424,CNY,合并期末,2024-04-23T19:51:02
20231231,,577212000000.0,,,19387000000.0,,220707000000.0,1803047000000.0,167660000000.0,,35636000000.0,,,,,,,,,,,,,,,,,,3318122000000.0,,,,,,,,258877000000.0,143755000000.0,1243353000000.0,,2637008000000.0,264877000000.0,,,44978000000.0,180674000000.0,14903000000.0,82542000000.0,34959000000.0,47583000000.0,171000000.0,,47412000000.0,47412000000.0,239598000000.0,3000000.0,9794000000.0,,32613000000.0,44116000000.0,,,101337000000.0,156133000000.0,11583417000000.0,,93322000000.0,449850000000.0,76602000000.0,3418155000000.0,48619000000.0,241803000000.0,,8858000000.0,,,49771000000.0,15688000000.0,,,,,,,,16854000000.0,116384000000.0,,,,44531000000.0,135161000000.0,964007000000.0,,,,,,,,,,,,,,4159801000000.0,10234000000.0,,14148000000.0,281829000000.0,10354453000000.0,,18210000000.0,,,,134606000000.0,-13044000000.0,12164000000.0,130353000000.0,621723000000.0,,899011000000.0,329953000000.0,1228964000000.0,11583417000000.0,定期报告,是,20250320,CNY,合并期末,2024-04-23T19:51:02
