报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20230930,1761457868.77,728189563.05,426275117.99,209000640.39,80064468.94,,,,57034943.24,554120237.84,497085294.6,769095250.03,,,,157582812.1,780129.08,45280306.18,74949.8,3419915.29,1057559778.49,13034080.56,1031583203.51,,-23218931.61,,,36161426.03,703898090.28,3211617.12,,688463.36,,706421244.04,152175813.33,554245430.71,554245430.71,,554068148.38,177282.33,,,,,,,,,,,,,,,,,,,,,,554245430.71,554068148.38,177282.33,0.17,0.17,定期报告,未审计,20241031,CNY,合并期末,2023-10-24T17:38:03
20230630,1228471752.93,474550196.36,283683130.24,146651467.89,35478670.74,,,,26589316.87,372310981.32,345721664.45,513587398.91,,,,189425220.1,939745.02,20757933.82,77026.79,2544915.06,703505874.69,9685580.76,704693261.65,,-26185990.31,,,15313022.59,524965878.24,2318976.25,,233297.49,,527051557.0,118605164.17,408446392.83,408446392.83,,408341350.44,105042.39,875245749.09,,,,,,,,,,,,,,,,,,,,,408446392.83,408341350.44,105042.39,0.13,0.13,定期报告,未审计,20240829,CNY,合并期末,2023-08-28T16:58:02
20230331,626377273.01,218029008.27,134912585.86,65673484.14,14227359.08,,,,2131596.61,175936773.68,173805177.07,208034709.14,,,,184176541.73,-401730.59,11870544.47,30316.97,2506286.41,360595401.39,3955298.53,339138409.59,,7848171.71,,,9653521.56,265781871.62,2176505.25,,63032.02,,267895344.85,65395814.74,202499530.11,202499530.11,,202418736.31,80793.8,,,,,,,,,,,,,,,,,,,,,,202499530.11,202418736.31,80793.8,0.06,0.06,定期报告,未审计,20240426,CNY,合并期末,2024-04-25T20:33:02
20221231,1643675417.21,992534713.54,597749011.1,314781408.31,52607891.57,,,,181092750.92,850364003.66,669271252.74,704802459.44,,,,-336735498.94,2200878.91,93036760.47,824451.33,5918901.54,1292557426.25,18691073.35,1115357995.17,,75920006.68,,,82588351.05,351117990.96,46021104.64,,1495656.93,,395643438.67,92890157.78,302753280.89,302753280.89,,302762634.85,-9353.96,988569027.41,,2052657.94,2052657.94,2052657.94,,,2052657.94,,,,,,,,,,,,,,304805938.83,304815292.79,-9353.96,0.09,0.09,定期报告,是,20240426,CNY,合并期末,2024-04-25T20:33:02
20220930,1434608619.91,772154800.17,462863204.72,245298544.56,34763843.81,,,,126724038.59,625044934.09,498320895.5,624095874.31,,,,-184493289.4,2653174.49,87777268.24,71569.0,5625184.51,934082366.29,13928159.72,766507534.57,,73578847.27,,,80067824.73,500526253.62,7313168.8,,1180266.31,,506659156.11,132409351.98,374249804.13,374249804.13,,374215865.75,33938.38,,,,,,,,,,,,,,,,,,,,,,374249804.13,374215865.75,33938.38,0.12,0.12,定期报告,未审计,20231025,CNY,合并期末,2022-10-25T15:58:03
20220630,947957129.67,509891727.06,313236919.85,157962138.42,22939806.9,,,,84559081.97,420233295.78,335674213.81,349625315.41,,,,-60848550.82,1204166.46,59294774.27,-264.44,4230879.76,615332404.58,9506230.99,500315240.42,,51813295.67,,,53697637.5,332624725.09,5721419.23,,151007.84,,338195136.48,89870522.41,248324614.07,248324614.07,,248309878.32,14735.75,989635536.54,,,,,,,,,,,,,,,,,,,,,248324614.07,248309878.32,14735.75,0.08,0.08,定期报告,未审计,20230829,CNY,合并期末,2023-08-28T16:58:02
20220331,349698695.68,244318152.06,167127886.66,56788684.13,10349693.46,,,,32037304.31,198768915.07,166731610.76,197873765.54,,,,-143811556.59,-129299.23,16723736.68,,2686592.91,244076381.62,4043442.45,218616360.91,,4396560.6,,,17020017.66,105622314.06,1960682.05,,398926.83,,107184069.28,30244357.42,76939711.86,76939711.86,,77040834.72,-101122.86,,,,,,,,,,,,,,,,,,,,,,76939711.86,77040834.72,-101122.86,0.02,0.02,定期报告,未审计,20230429,CNY,合并期末,2022-04-28T15:43:03
20211231,2524296711.14,1096871085.21,753995749.28,275822169.02,42380689.94,,,,98779303.29,794045639.2,695266335.91,843622551.77,,,,88948494.69,-608795.45,395355648.78,,1328422.85,1597845628.07,20424726.62,1099067816.6,,93663100.5,,,384689984.35,926451083.07,7766322.09,,21852690.74,,912364714.42,231841876.16,680522838.26,680522838.26,,680476070.18,46768.08,772562069.12,,,,,,,,,,,,,,,,,,,,,680522838.26,680476070.18,46768.08,0.22,0.22,定期报告,是,20230421,CNY,合并期末,2023-04-20T19:03:03
20210930,1963274221.51,827802727.23,538986418.82,199762172.28,31594787.01,,,,45475887.56,561717015.01,516241127.45,725989347.99,,,,55735957.36,-188792.38,307371771.62,,1087322.13,1178206482.92,14735258.81,1011036388.68,,-147803166.35,,,300238001.78,785067738.59,4925157.85,,21274847.47,,768718048.97,222711547.63,546006501.34,546006501.34,,545943556.25,62945.09,,,,,,,,,,,,,,,,,,,,,,546006501.34,545943556.25,62945.09,0.18,0.18,定期报告,未审计,20221026,CNY,合并期末,2021-10-27T16:43:03
20210630,1222782206.84,503029808.75,331466747.22,136760805.75,20563201.97,,,,25919428.33,374366778.5,348447350.17,442080484.79,,,,47749779.9,-262983.06,203360906.48,,904781.65,597276755.79,10451383.35,538462565.85,,-150316084.11,,,198678890.7,625505451.05,4623577.51,,20608724.06,,609520304.5,178924372.98,430595931.52,430595931.52,,430530608.47,65323.05,772562069.12,,,,,,,,,,,,,,,,,,,,,430595931.52,430530608.47,65323.05,0.15,0.15,定期报告,未审计,20220830,CNY,合并期末,2021-08-26T18:48:03
