报告日,经营活动产生的现金流量,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,拆出资金净减少额,融出资金净减少额,卖出回购金融资产收到的现金,证券投资收到的现金,买入返售金融资产收到的现金,代理买卖业务的现金净增加额,代理兑付证券净增加额,代理承销证券收到的现金净额,保证金现金流入,收到的资产管理业务,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,处置交易性金融资产的净减少额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,偿还拆入资金支付的现金,拆出资金净增加额,融出资金净增加额,回购金融资产支付的现金,买入返售金融资产支付的现金,证券投资支付的现金,代理买卖证券净减少额,代兑付债券支付的现金净额,保证金现金流出,为交易目的而持有的金融资产净增加额,以现金支付的营业费用,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产及其他长期资产收回的现金净额,处置子公司和其他营业单位收到的现金,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,吸收权益性投资所收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,161539756.81,,2011720960.79,60000000.0,,,,,,1300820989.85,,,,,,,922955284.81,4457036992.26,,,377248390.66,,,264100459.92,204766732.6,,,,,,,,,720430959.15,232799203.31,3116194113.79,4915539859.43,-458502867.17,,,,86434.08,,,86434.08,59581712.0,16831301.08,,,76413013.08,-76326579.0,,,,,,12190000000.0,,12190000000.0,8580000000.0,231139868.17,,,8831219492.69,3358780507.31,1852946.95,2825804008.09,,,,,38616283534.9,41442087542.99,定期报告,未审计,20260425,CNY,合并期末,2026-04-24T19:52:04
20251231,,2495762668.98,,7900698539.9,2100000000.0,,,13249945209.14,,,5410142141.01,,,,,,,3654384369.39,34810932928.42,,,1334181351.68,,,6883279426.71,,,,,,,,,,2282315639.73,635535918.09,18319643031.49,29454955367.7,5355977560.72,,11409864.8,178323842.49,717921.17,,,190451628.46,177832849.0,129884791.57,,,307717640.57,-117266012.11,,,,,,27906000000.0,,27906000000.0,28653126100.0,1877410575.9,,321463797.42,30976349595.98,-3070349595.98,-80610.42,2168281342.21,38616283534.9,36448002192.69,,,36448002192.69,38616283534.9,定期报告,是,20260425,CNY,合并期末,2026-04-24T20:10:03
20250930,,5027832784.9,,5700333770.63,2100000000.0,,,4832136245.24,,,4299526680.73,,,,,,,2572500261.28,24532329742.78,,,990777761.97,,,4320868947.29,,,,,,,,,,1803305333.39,397870941.31,9655132952.31,17167955936.27,7364373806.51,,9019535.43,165302907.09,692632.59,,,175015075.11,114441849.0,81741584.79,,,196183433.79,-21168358.68,,,,,,16916000000.0,,16916000000.0,20977126100.0,1247505195.5,,321463797.42,22633038476.81,-5717038476.81,205509.2,1626372480.22,,,,,36448002192.69,38074374672.91,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T16:32:03
20250630,,5877347058.77,,3628529984.36,,,806668411.51,1717931371.07,,,1513567976.6,,,,,,,1511929994.29,15055974796.6,,,618335533.12,20000000.0,,,,,,,,,,,,1193579225.59,305442427.91,6464336853.1,8601694039.72,6454280756.88,,6111387.43,162530239.39,133998.14,,,168775624.96,59006000.0,39655365.47,,,98661365.47,70114259.49,,,,,,8410000000.0,,8410000000.0,14451188100.0,527769192.98,,299999337.91,15341274783.9,-6931274783.9,2839902.31,-404039865.22,36043962327.47,36448002192.69,,,36448002192.69,36043962327.47,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T16:20:03
20250331,,4491954219.46,,1810208597.2,950000000.0,,,3276222944.67,,,140756934.25,,,,,,,529258766.04,11198401461.62,,,325756282.09,,,11204004.03,,,,,,,,,,709299328.28,187443292.6,4049726516.73,5283429423.73,5914972037.89,,1053209.65,8960516.91,50453.67,,,10064180.23,57520000.0,16072187.71,,,73592187.71,-63528007.48,,,,,,2060000000.0,,2060000000.0,9185755744.32,314201879.51,,,9528028165.03,-7468028165.03,484413.37,-1616099721.25,,,,,36448002192.69,34831902471.44,定期报告,未审计,20260425,CNY,合并期末,2025-04-25T23:06:44
20241231,,4879435469.28,,7966062784.16,,,,1812725201.77,,,10556149884.02,,,,,,,1444460406.93,26658833746.16,,,1243734646.89,900000000.0,,2137035292.85,,,,,,,,,,2406050148.56,431318155.09,5821255986.68,12939394230.07,13719439516.09,,36480580.04,190700371.68,547087.17,,,227728038.89,311988666.6,2507654857.58,,,2819643524.18,-2591915485.29,,,,,37966000.0,34851197218.31,,34889163218.31,30758721378.31,1700579935.09,,,32605393183.33,2283770034.98,-1232534.37,13410061531.41,36448002192.69,23037940661.28,,,23037940661.28,36448002192.69,定期报告,是,20260425,CNY,合并期末,2025-04-25T20:20:05
20240930,,4008072314.41,,5485542386.54,40000000.0,,2206783326.97,,,,11693469993.37,,,,,,,1036330382.32,24470198403.61,,,870388838.06,,,,193243251.02,,,,,,,,,1682238175.73,334086640.61,3264845904.62,6344802810.04,18125395593.57,,34690198.24,47085720.87,502855.27,,,82278774.38,164676666.6,2319122372.76,,,2483799039.36,-2401520264.98,,,,,36072000.0,21162382518.31,,21198454518.31,22822726364.56,1114312107.56,,,24043826114.68,-2845371596.37,-1895959.92,12876607772.3,,,,,23037940661.28,35914548433.58,定期报告,未审计,20251030,CNY,合并期末,2024-10-29T17:12:02
20240630,,1482146391.97,,3553495418.64,640000000.0,,1925092891.75,6749980597.16,,,915255753.81,,,,,,,1535362988.18,16801334041.51,,,613966943.45,,,,,,,,,,,,,1219125709.32,265412316.04,8226872777.39,10325377746.2,6475956295.31,,6227301.18,41990693.24,131460.25,,,48349454.67,137666666.6,1510143035.07,,,1647809701.67,-1599460247.0,,,,,36508000.0,15508203418.31,,15544711418.31,15808775018.31,915377645.44,,,16807682495.48,-1262971077.17,-27223.53,3613497747.61,26651438408.89,23037940661.28,,,23037940661.28,26651438408.89,定期报告,未审计,20250829,CNY,合并期末,2024-08-28T17:22:03
20240331,,,,1649942903.02,500000000.0,,1808385071.24,6328963523.11,,,2318334348.4,,,,,,,1110962371.05,13716588216.82,,,299654622.82,,,,,,,,,,518426850.55,,,776056362.67,175404845.8,6827385627.37,8596928309.21,5119659907.61,,6227301.18,6274478.5,5630.41,,,12507410.09,5500000.0,1368256250.78,,,1373756250.78,-1361248840.69,,,,,36264000.0,7127594301.42,,7163858301.42,7740191037.25,293515708.57,,,8070653904.21,-906795602.79,292070.89,2851907535.02,,,,,23037940661.28,25889848196.3,定期报告,未审计,20250426,CNY,合并期末,2024-04-25T20:17:03
20231231,,,,7473405427.86,1700000000.0,,,,,,,,,,,,,11813941033.06,20987346460.92,,,1265889960.15,,,3200318499.37,6464666107.61,,,2964439062.85,,,5168338530.27,,,2447593686.34,597849667.71,6338514118.57,28447609632.87,-7460263171.95,,91924484.02,311687537.52,873453.89,,,404485475.43,370193138.01,175418555.84,,,545611693.85,-141126218.42,,,,,326153411.37,39741706960.0,,40067860371.37,32933014126.38,1612933472.24,,,34746275397.35,5321584974.02,1000127.91,-2278804288.44,23037940661.28,25316744949.72,,,25316744949.72,23037940661.28,定期报告,是,20250426,CNY,合并期末,2024-04-25T20:47:02
