报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,436935907.96,558524072.13,335752322.51,135225035.19,66165007.38,,,,-220729133.34,198614560.76,419343694.1,71258716.07,8806117.73,209232.21,,-14078146.68,11100959.31,12048161.93,13368165.46,5443113.08,452062962.83,8025070.8,437280118.19,,89898.6,,,6667875.24,-15127054.87,29941291.24,,2627938.33,,12186298.04,19469855.96,-7283557.92,-7283557.92,,223553.91,-7507111.83,,,11390577.1,6810857.07,30839219.59,,,30839219.59,,-24028362.52,821309.87,,6209419.9,,-29948.27,,,,-31029144.02,,4579720.03,4107019.18,7034410.98,-2927391.8,0.0,0.0,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:34:15
20251231,2853726159.14,2288205468.55,1073387164.07,755780752.53,344111061.36,,,,-1177635068.51,830483348.96,2008118417.47,1475960604.95,50929515.43,-69208.59,,186968872.9,20113072.42,43165673.14,6353629.46,10593906.23,2573037519.44,32848800.63,2273742602.67,,240422296.48,,,26023819.66,280688639.7,32635876.93,,66861018.59,,246463498.04,63101026.32,183362471.72,183362471.72,,155831269.46,27531202.26,1155091019.25,,-228507422.65,-161713472.14,-69313630.4,,-7264218.91,-62049411.49,,-92399841.74,-3911625.77,,-52739535.62,,-1307366.15,,,,-34441314.2,,-66793950.51,-45144950.93,-5882202.68,-39262748.25,0.02,0.02,定期报告,是,20260430,CNY,合并期末,2026-04-29T19:34:15
20250930,2111877842.9,1670070547.57,771615562.67,587263491.0,220180379.73,,,,-954241141.86,614313681.05,1568554822.91,1265902213.12,66696760.14,894073.94,,67893145.51,16127079.75,29952087.17,6300526.2,9873385.44,1871351005.86,26072703.8,1729634649.72,,96540960.81,,,19102691.53,240526837.04,32634374.31,,50927461.92,,222233749.43,37811192.99,184422556.44,184422556.44,,153127628.8,31294927.64,,,-59136775.87,-120532276.75,-33759379.93,,-6879635.2,-26879744.73,,-86772896.82,-4095649.25,,-62853287.94,,-1298526.27,,,,-18525433.36,,61395500.88,125285780.57,32595352.05,92690428.52,0.02,0.02,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:23:14
20250630,1221870660.87,1051823656.52,424670629.39,427166616.51,139685512.31,,,,-699950445.64,407709415.86,1107659861.5,677509132.65,37441429.96,736803.58,,115862239.13,41241682.02,19956448.73,6287709.2,9140238.26,1127100454.27,15227079.42,1095861317.99,,3130992.31,,,12881064.55,94770206.6,32724932.25,,35591965.94,,91903172.91,30689962.3,61213210.61,61213210.61,,31393363.73,29819846.88,1155091019.25,,16657666.28,-43519142.47,10914821.16,,-4689286.48,15604107.64,,-54433963.63,-1192380.18,,-31373270.3,,-1202689.78,,,,-20665623.37,,60176808.75,77870876.89,-12125778.74,89996655.63,0.0,0.0,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T16:43:11
20250331,633836671.54,527187027.55,218546093.52,209009120.94,71243224.95,,,,-369462641.38,207128358.76,576591000.14,442429780.7,30684236.78,327315.47,,1417114.2,17872598.47,10303242.32,658025.5,3431524.18,574636506.37,6715653.11,559400701.04,,2114521.6,,,6405630.62,59200165.17,13500.08,,7859174.05,,51354491.2,-1669015.43,53023506.63,53023506.63,,24158344.8,28865161.83,,,-45225563.79,-51311335.72,-1450482.63,,-820452.2,-630030.43,,-49860853.09,-3289259.63,,-41872232.24,,-147358.46,,,,-4552002.76,,6085771.93,7797942.84,-27152990.92,34950933.76,0.0,0.0,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T20:13:15
20241231,2699783834.41,2000874818.13,819307434.95,645952463.03,414477417.86,,,,-1714063678.08,972475183.37,2686538861.45,1096020151.74,25728793.87,1800052.62,,1268728133.54,-27440753.1,58809582.67,5090092.38,11765487.13,2627472600.88,27892552.51,2285559851.85,,282578508.25,,,31441688.27,72311233.53,54794148.34,,122028988.82,,5076393.05,-26146954.6,31223347.65,31223347.65,,-29709077.34,60932424.99,1217804571.06,,-232995082.87,-198774830.55,-248653023.47,,217209.21,-248870232.68,,49878192.92,7217393.29,,13902054.51,,2054551.39,,,,26704193.73,,-34220252.32,-201771735.22,-228483907.89,26712172.67,0.0,0.0,定期报告,是,20260430,CNY,合并期末,2025-04-29T20:28:06
20240930,1340647363.62,1392569751.76,518222336.15,493879635.94,297197273.44,,,,-1333930088.35,722381380.97,2056311469.32,694296845.25,22630179.18,1464714.15,,551509445.3,-10184963.57,35513742.75,5071380.37,5801250.11,1729992114.83,19438765.19,1609695440.32,,79964789.46,,,20893119.86,-389344751.21,42664469.53,,30846626.08,,-377526907.76,127987206.43,-505514114.19,-505514114.19,,-536408839.21,30894725.02,,,-55705973.68,-57558879.95,-12252223.54,,-6577002.35,-5675221.19,,-45306656.41,-3633003.28,,-35917229.12,,672939.43,,,,-6429363.44,,1852906.27,-561220087.87,-593967719.16,32747631.29,-0.06,-0.06,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T18:38:11
20240630,722336024.55,947862760.3,366129162.37,319256464.39,194538531.3,,,,-894271887.05,489010333.94,1383282220.99,374505220.91,3631475.95,-984348.57,,268757654.8,-3127620.72,23263921.87,81020.53,5264953.91,1042141685.21,16635425.42,998509945.13,,12777201.56,,,14219113.1,-319805660.66,42644162.1,,22007954.25,,-299169452.81,94889449.77,-394058902.58,-394058902.58,,-323979942.87,-70078959.71,1217804571.06,,11883396.31,19132645.9,-8883667.29,,1536472.76,-10420140.05,,28016313.19,937094.96,,18073608.8,,571718.44,,,,8433890.99,,-7249249.59,-382175506.27,-304847296.97,-77328209.3,-0.04,-0.04,定期报告,未审计,20250830,CNY,合并期末,2024-08-30T17:18:12
20240331,184766305.37,426830016.42,177211995.43,130757344.95,100105540.48,,,,-451907958.73,258283483.09,710191441.82,71177872.35,3275026.53,309948.7,,126567116.87,-3242625.39,10394351.24,28217.57,4919315.04,557537551.26,6575574.16,534879926.54,,9597282.24,,,6484768.32,-372771245.89,235000.1,,276490.91,,-372812736.7,45746019.86,-418558756.56,-418558756.56,,-376122215.78,-42436540.78,,,7964612.75,3717579.95,-3048020.87,,1014373.34,-4062394.21,,6765600.82,961191.85,,4784024.73,,593487.54,,,,426896.7,,4247032.8,-410594143.81,-372404635.83,-38189507.98,-0.04,-0.04,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T18:58:07
20231231,3426523374.61,2342200656.29,933806576.13,752624605.73,528990743.66,,,,-1762531418.28,1011695362.78,2774226781.06,1999748701.8,24781234.4,259025.35,,786120494.84,-4424009.6,44243673.37,758773.62,20406502.57,3180659375.8,33613385.53,2720459284.94,,399250087.48,,,27336617.85,245863998.81,114644441.95,,40058981.36,,320449459.4,-98321948.75,418771408.15,418771408.15,,307183810.96,111587597.19,950479019.79,,110885465.74,34160938.91,-25331071.61,,-10685289.57,-14645782.04,,59492010.52,17568441.61,,27179452.25,,575836.21,,,,14168280.45,,76724526.83,529656873.89,341344749.87,188312124.02,0.04,0.04,定期报告,是,20250430,CNY,合并期末,2024-04-29T18:58:07
