报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,494834334.71,,,,,,,,,,,27430794.9,2990622.23,525255751.84,452644890.59,,,,,,130067098.08,9780343.36,32731040.46,625223372.49,-99967620.65,,1485666000.0,3477390.68,30861113.5,,,,,1520004504.18,231936561.67,1384400000.0,,,,,1616336561.67,-96332057.49,,,,1633300000.0,,48316.47,1633348316.47,1339451695.61,24281039.79,,0.0,1363732735.4,269615581.07,-1384837.24,71931065.69,265068983.08,,,,,337000048.77,定期报告,未审计,20260422,CNY,合并期末,2026-04-21T21:24:06
20251231,,2570664515.2,,,,,,,,,,,226658645.25,21334285.02,2818657445.47,1739204855.17,,,,,,339118835.59,35957207.31,98369788.83,2212650686.9,606006758.57,,5292438513.85,15299761.66,106530025.7,,,,,5414268301.21,628972325.72,5306166000.0,,,,,5935138325.72,-520870024.51,,,,3080823203.67,,2713921.16,3083537124.83,3042928628.73,97446930.3,,22499992.77,3162875551.8,-79338426.97,3735886.14,9534193.23,255534789.85,265068983.08,255534789.85,,,265068983.08,定期报告,是,20260422,CNY,合并期末,2026-04-21T21:24:06
20250930,,1807241800.86,,,,,,,,,,,172224902.94,17785203.94,1997251907.74,1069188436.33,,,,,,250306017.56,28219737.2,79786798.95,1427500990.04,569750917.7,,3936920773.85,12238958.41,86461032.77,,,,,4035620765.03,534068751.39,4220486000.0,,,,,4754554751.39,-718933986.36,,,,2770613203.67,,2672924.42,2773286128.09,2469321535.07,76674655.35,,22499992.77,2568496183.19,204789944.9,3716236.91,59323113.15,255534789.85,,,,,314857903.0,定期报告,未审计,20251025,CNY,合并期末,2025-10-24T18:20:22
20250630,,1268128414.72,,,,,,,,,,,134073641.23,8461697.33,1410663753.28,806555035.14,,,,,,180213008.49,17763856.87,63407520.29,1067939420.79,342724332.49,,2423405773.85,5584006.31,69980402.01,,,,,2498970182.17,367178839.38,3104066000.0,,,,,3471244839.38,-972274657.21,,,,2415613203.67,,2643435.05,2418256638.72,1553885158.01,50541490.39,,22499992.77,1626926641.17,791329997.55,3115480.38,164895153.21,255534789.85,420429943.06,255534789.85,,,420429943.06,定期报告,未审计,20250811,CNY,合并期末,2025-08-10T15:36:08
20250331,,456967348.01,,,,,,,,,,,53008094.25,7159928.75,517135371.01,606971799.94,,,,,,100588773.01,8600387.67,35049602.3,751210562.92,-234075191.91,,1171800000.0,2979610.71,18964854.82,,,,,1193744465.53,170582659.07,1581800000.0,,,,,1752382659.07,-558638193.54,,,,1795406155.23,,140817.01,1795546972.24,850899637.0,27402750.48,0.0,19999992.77,898302380.25,897244591.99,1895087.15,106426293.69,250652166.13,,,,,357078459.82,定期报告,未审计,20260422,CNY,合并期末,2025-04-17T19:22:05
20241231,,2218531419.63,,,,,,,,,,,163585209.53,38511211.4,2420627840.56,1687336604.04,,,,,,287715034.72,37074026.93,90543442.48,2102669108.17,317958732.39,,3187660150.0,11703319.75,280732876.11,,,,,3480096345.86,1113959632.91,3273310280.01,,,,,4387269912.92,-907173567.06,,,,3327081257.94,,16167169.29,3343248427.23,2543369500.0,222042330.31,2072808.38,103673825.42,2869085655.73,474162771.5,625203.72,-114426859.45,369961649.3,255534789.85,369961649.3,,,255534789.85,定期报告,是,20260422,CNY,合并期末,2025-04-17T19:22:05
20240930,,1738386371.6,,,,,,,,,,,130046623.06,28950616.08,1897383610.74,1212790218.74,,,,,,238471092.91,27268490.11,82449447.45,1560979249.21,336404361.53,,1855510000.0,7854847.6,175186402.41,,,,,2038551250.01,818706791.67,2163978870.68,,,,,2982685662.35,-944134412.34,,,,2721568132.27,,16129917.99,2737698050.26,1797725000.0,201405822.6,,92172092.13,2091302914.73,646395135.53,-1008456.53,37656628.19,369961649.3,,,,,407618277.49,定期报告,未审计,20251025,CNY,合并期末,2024-10-25T17:10:05
20240630,,1090732527.67,,,,,,,,,,,56555723.16,28024462.19,1175312713.02,614677963.16,,,,,,173444014.28,15692213.66,77620872.63,881435063.73,293877649.29,,974683200.0,4252888.87,133909898.41,,,,,1112845987.28,587536804.88,1082968870.68,,,,,1670505675.56,-557659688.28,,,,1570000042.9,,16088990.75,1586089033.65,1151565000.0,175123402.51,,72194712.88,1398883115.39,187205918.26,-967316.26,-77543436.99,369961649.3,292418212.31,369961649.3,,,292418212.31,定期报告,未审计,20250811,CNY,合并期末,2024-08-21T18:45:06
20240331,,397854229.12,,,,,,,,,,,23848215.82,14262020.89,435964465.83,400269771.94,,,,,,113344203.88,6244491.9,51474774.43,571333242.15,-135368776.32,,270000000.0,1725510.83,115981925.87,,,,,387707436.7,316239541.01,320000000.0,,,,,636239541.01,-248532104.31,,,,1057749501.79,,16053594.28,1073803096.07,621440000.0,22913942.69,,44828351.41,689182294.1,384620801.97,-3007440.46,-2287519.12,369961649.3,,,,,367674130.18,定期报告,未审计,20250418,CNY,合并期末,2024-04-17T21:35:05
20231231,,2332607817.33,,,,,,,,,,,154773268.07,70204088.28,2557585173.68,2185466210.26,,,,,,297425815.81,55403909.07,111569332.57,2649865267.71,-92280094.03,,1674000000.0,14165686.24,176163220.99,,,,,1864328907.23,1036205004.27,1339000000.0,,,,,2375205004.27,-510876097.04,,,,2313833782.82,,222651.88,2314056434.7,1483973850.0,207272964.49,0.0,32953400.0,1724200214.49,589856220.21,-9136276.15,-22436247.01,392397896.31,369961649.3,392397896.31,,,369961649.3,定期报告,是,20250418,CNY,合并期末,2024-04-17T21:35:05
20230930,,1796619548.38,,,,,,,,,,,143900023.2,67129677.58,2007649249.16,1175806051.12,,,,,,240777354.51,42375069.0,119097444.71,1578055919.34,429593329.82,,1374000000.0,276287.07,114300003.2,,,,,1488576290.27,712084578.64,1084000000.0,,,,,1796084578.64,-307508288.37,,,,1363202554.21,,155602.25,1363358156.46,1243112400.0,191758997.43,,,1434871397.43,-71513240.97,1121107.13,51692907.61,392397896.31,,,,,444090803.92,定期报告,未审计,20241026,CNY,合并期末,2023-10-26T20:20:03
20230630,,1339033357.74,,,,,,,,,,,116141607.94,63532486.47,1518707452.15,1124876589.52,,,,,,175170555.98,29840310.79,108315909.41,1438203365.7,80504086.45,,1054000000.0,7439546.98,97022411.59,,,,,1158461958.57,420821415.8,834000000.0,,,,,1254821415.8,-96359457.23,,,,1026100000.0,,103165.67,1026203165.67,706000000.0,171321116.11,,,877321116.11,148882049.56,622919.79,133649598.57,392397896.31,526047494.88,392397896.31,,,526047494.88,定期报告,未审计,20240822,CNY,合并期末,2023-08-14T19:40:02
20230331,,778793051.62,,,,,,,,,,,42922938.2,36081385.11,857797374.93,703144413.47,,,,,,111033877.82,12049784.51,58397250.58,884625326.38,-26827951.45,,762000000.0,5123345.56,72162018.26,,,,,839285363.82,255413672.29,824000000.0,,,,,1079413672.29,-240128308.47,,,,597100000.0,,42490.99,597142490.99,427000000.0,20465766.99,,,447465766.99,149676724.0,-824636.76,-118104172.68,392397896.31,,,,,274293723.63,定期报告,未审计,20240418,CNY,合并期末,2023-04-11T22:00:03
20221231,,3043881513.34,,,,,,,,,,,439309934.13,29210995.94,3512402443.41,2197409677.08,,,,,,276847006.01,38070275.39,154988249.9,2667315208.38,845087235.03,,5086000000.0,20700506.49,3155901.8,,,,,5109856408.29,860635013.01,5246000000.0,,,,,6106635013.01,-996778604.72,,,,1598879440.0,,194663.85,1599074103.85,1469079440.0,210468625.54,0.0,16210720.0,1695758785.54,-96684681.69,-6009003.16,-254385054.54,646782950.85,392397896.31,646782950.85,,,392397896.31,定期报告,是,20240418,CNY,合并期末,2023-04-11T22:20:10
20220930,,2272875986.58,,,,,,,,,,,361098413.39,25822638.07,2659797038.04,1578781242.88,,,,,,208622659.26,22869960.2,153171221.4,1963445083.74,696351954.3,,3455500000.0,13078441.32,2273651.85,,,,,3470852093.17,554214922.81,3781000000.0,,,,,4335214922.81,-864362829.64,,,,1244579440.0,,160690.5,1244740130.5,1182579440.0,189547482.09,,16168000.0,1388294922.09,-143554791.59,-5422983.8,-316988650.73,646782950.85,,,,,329794300.12,定期报告,未审计,20231027,CNY,合并期末,2022-10-24T17:50:04
20220630,,1225232640.48,,,,,,,,,,,291208040.88,24796348.64,1541237030.0,911841615.93,,,,,,148280665.33,23015796.66,117511237.37,1200649315.29,340587714.71,,1880500000.0,5885143.24,2175411.85,,,,,1888560555.09,384808523.46,2055500000.0,,,,,2440308523.46,-551747968.37,,,,959000000.0,,134439.49,959134439.49,870500000.0,168294702.01,,16168000.0,1054962702.01,-95828262.52,594372.67,-306394143.51,646782950.85,340388807.34,646782950.85,,,340388807.34,定期报告,未审计,20230815,CNY,合并期末,2022-08-17T17:55:03
20220331,,469752873.61,,,,,,,,,,,47524310.45,11342737.25,528619921.31,517086122.12,,,,,,92503425.32,6861487.43,49998067.22,666449102.09,-137829180.78,,710500000.0,3529415.68,1395870.0,,,,,715425285.68,221677496.0,660500000.0,,,,,882177496.0,-166752210.32,,,,300000000.0,,93543.64,300093543.64,272000000.0,16260762.51,,,288260762.51,11832781.13,-375213.16,-293123823.13,646782950.85,,,,,353659127.72,定期报告,未审计,20230412,CNY,合并期末,2022-04-18T20:15:02
20211231,,2617531961.85,,,,,,,,,,,197081550.11,31530416.3,2846143928.26,2011282777.06,,,,,,234260152.12,55180645.87,116715394.8,2417438969.85,428704958.41,,4352801000.0,20652375.11,3086110.11,,,,,4376539485.22,1028621988.13,4194801000.0,,,,,5223422988.13,-846883502.91,,,,1834000000.0,,466124.9,1834466124.9,882500000.0,175132667.56,,30673632.96,1088306300.52,746159824.38,-1318389.16,326662890.72,320120060.13,646782950.85,320120060.13,,,646782950.85,定期报告,是,20230412,CNY,合并期末,2022-04-18T20:20:03
20210930,,1816220831.16,,,,,,,,,,,101974834.24,25677087.35,1943872752.75,1407423189.76,,,,,,179988736.48,40385920.8,99779936.25,1727577783.29,216294969.46,,3143501000.0,16812747.47,1708847.22,,,,,3162022594.69,866999178.15,2775538800.0,,,,,3642537978.15,-480515383.46,,,,1480000000.0,,163621.1,1480163621.1,767000000.0,158326220.7,,30673632.96,955999853.66,524163767.44,-257083.52,259686269.92,320120060.13,,,,,579806330.05,定期报告,未审计,20221025,CNY,合并期末,2021-10-22T15:55:03
20210630,,1163690116.58,,,,,,,,,,,72655431.69,25178082.7,1261523630.97,913122656.05,,,,,,133684712.33,27448688.45,81595855.91,1155851912.74,105671718.23,,2080501000.0,11242780.69,859721.76,,,,,2092603502.45,574709670.85,1952538800.0,,,,,2527248470.85,-434644968.4,,,,1180000000.0,,97403.98,1180097403.98,515000000.0,145852001.51,,28673632.96,689525634.47,490571769.51,-137749.9,161460769.44,320120060.13,481580829.57,320120060.13,,,481580829.57,定期报告,未审计,20220818,CNY,合并期末,2021-08-17T17:35:04
20210331,,377370482.9,,,,,,,,,,,35089573.0,16616016.13,429076072.03,435514124.06,,,,,,86814858.25,10165872.06,45793105.64,578287960.01,-149211887.98,,624900000.0,2216464.28,164024.3,,,,,627280488.58,268195416.74,662970400.0,,,,,931165816.74,-303885328.16,,,,361000000.0,,48278.16,361048278.16,147000000.0,3038573.98,,2000000.0,152038573.98,209009704.18,269814.18,-243817697.78,320120060.13,,,,,76302362.35,定期报告,未审计,20220419,CNY,合并期末,2021-04-21T19:55:03
20201231,,2206293556.84,,,,,,,,,,,117932480.96,41898248.63,2366124286.43,1659822960.87,,,,,,206640746.45,44732476.32,107794755.29,2018990938.93,347133347.5,,4385000000.0,29018697.29,2084340.05,,,,,4416103037.34,575978063.8,4187762200.0,,,,4198176.0,4767938439.8,-351835402.46,,,,1162500000.0,,122306.39,1162622306.39,845612667.76,151447164.76,,3328000.0,1000387832.52,162234473.87,-1975723.39,155556695.52,164563364.61,320120060.13,164563364.61,,,320120060.13,定期报告,是,20220419,CNY,合并期末,2021-04-21T19:55:03
20200930,,1637253376.92,,,,,,,,,,,90733556.26,36266148.68,1764253081.86,1252347733.56,,,,,,160454582.27,31468216.38,106179910.89,1550450443.1,213802638.76,,2752000000.0,18082913.03,1998919.27,,,,,2772081832.3,382810695.2,2724735200.0,,,,4198176.0,3111744071.2,-339662238.9,,,,987500000.0,,80776.65,987580776.65,739612667.76,145938209.12,,3328000.0,888878876.88,98701899.77,-420313.53,-27578013.9,164563364.61,,,,,136985350.71,定期报告,未审计,20211023,CNY,合并期末,2020-10-22T21:10:02
