报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,1327493378.03,522578075.91,445613844.04,35276765.32,20278832.07,,,,389454556.0,892450986.5,502996430.5,485768647.0,64683777.64,,,-115730475.07,4773450.14,33101986.65,-3658.87,7550796.27,662004586.98,13729029.07,654636334.2,,-38866242.84,230158.4,,32275308.15,665488791.05,38797.04,,625588.94,,664901999.15,122777464.32,542124534.83,542124534.83,,542008754.01,115780.82,,,203206399.72,203206399.72,123758097.89,,,123758097.89,,79448301.83,,,117703472.76,,1865716.58,,,,-40120887.51,,,745330934.55,745215153.73,115780.82,0.12,0.12,定期报告,未审计,20260421,CNY,合并期末,2026-04-20T21:09:38
20251231,6248758747.95,1819618944.66,1483717445.62,185665756.69,69381755.0,,,,1545904198.2,3550360365.69,2004456167.49,2862485994.91,224433035.38,-77594223.59,,-73365446.19,6000017.03,72993994.12,106932.62,15014112.6,3100624192.85,55605070.17,2868050554.24,,100498901.37,203051.39,,76266615.68,3148134555.1,17284374.2,,52645334.75,,3112773594.55,686201698.57,2426571895.98,2426571895.98,,2426163582.17,408313.81,7526176713.67,,-551376518.46,-551376518.46,603562051.72,,-107809.85,603669861.57,,-1154938570.18,-332535.15,,-1105954391.94,,-4621449.73,,,,-44030193.36,,,1875195377.52,1874787063.71,408313.81,0.56,0.56,定期报告,是,20260421,CNY,合并期末,2026-04-20T21:28:04
20250930,4971359243.31,1355683573.0,1107854745.2,148595066.28,62605771.26,,,,1124243623.15,2625022467.97,1500778844.82,2595834370.25,163815926.61,,,-172408649.88,6112099.18,50568673.03,222439.31,11103115.27,2476538810.97,43420550.15,2238113907.53,,144472249.13,-5754389.5,,56286493.66,2494820432.34,3610010.33,,21095520.86,,2477334921.81,462065967.76,2015268954.05,2015268954.05,,2014795876.8,473077.25,,,-722678740.08,-722678740.08,434558465.1,,41660.56,434516804.54,,-1157237205.18,-217774.57,,-1128895722.37,,-2902246.37,,,,-25221461.87,,,1292590213.97,1292117136.72,473077.25,0.46,0.46,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T19:14:46
20250630,3396624443.3,818189373.14,645384631.84,108849818.26,37351710.1,,,,686281836.17,1751751679.03,1065469842.86,1975677807.42,105421425.88,,,-128915443.04,2561507.35,31633200.51,215367.03,10980794.72,1655879726.89,29170604.02,1502324587.04,,97778437.85,-5929228.44,,32535326.42,1740744716.41,3464085.09,,20890602.73,,1723318198.77,318339623.91,1404978574.86,1404978574.86,,1404668283.47,310291.39,7526176713.67,,-58690522.7,-58690522.7,452613395.97,,-3437.61,452616833.58,,-511303918.67,-217774.57,,-482932350.41,,-1018840.67,,,,-27134953.02,,,1346288052.16,1345977760.77,310291.39,0.32,0.32,定期报告,未审计,20250826,CNY,合并期末,2025-08-25T20:23:48
20250331,1518640087.62,445061314.43,334440557.38,75762806.76,24570176.78,,,,320616729.06,886351992.42,565735263.36,948174334.14,49404127.71,,,-224336981.0,2839406.05,17586728.89,-22474.46,8721030.51,764773888.18,15370370.97,680799708.56,,52796854.27,-5929228.44,,21736182.82,753866199.44,224972.83,,333670.84,,753757501.43,113200779.82,640556721.61,640556721.61,,640518209.79,38511.82,,,-550709596.07,-550709596.07,147692684.76,,,147692684.76,,-698402280.83,,,-691869545.92,,-463120.16,,,,-6069614.75,,,89847125.54,89808613.72,38511.82,0.15,0.15,定期报告,未审计,20260421,CNY,合并期末,2025-04-28T19:43:41
20241231,5850337196.27,1437543696.74,1083688894.83,201711318.14,88910149.74,,,,1524723664.04,3664948514.05,2140224850.01,2356895666.13,180374520.9,-84928.84,,452102933.26,8278317.82,58887954.46,1709202.55,10195761.27,3099172575.35,53892139.15,2826827483.48,,102583656.92,20136950.57,,95732345.23,2751164620.92,3982915.04,,14458459.11,,2740689076.85,495221186.53,2245467890.32,2245467890.32,,2244381515.04,1086375.28,6828020686.1,,1135708768.03,1135710621.79,289438193.48,,1790008.85,287648184.63,,846272428.31,262932.52,,806581356.77,,2191858.67,,,,37236280.35,,-1853.76,3381176658.35,3380092136.83,1084521.52,0.51,0.51,定期报告,是,20260421,CNY,合并期末,2025-04-14T21:33:02
20240930,3939229702.34,879593705.32,647449411.34,95796978.72,114839638.1,,,,1083410659.1,2668809846.14,1585399187.04,1282728799.91,48914745.03,,,630722849.73,8116480.7,44988867.79,1521282.18,8147057.61,2112982056.43,34517467.31,1980285705.48,,33151979.21,11497790.47,,53529113.96,1826247645.91,4499735.57,,2888920.68,,1827858460.8,257110125.16,1570748335.64,1570748335.64,,1569930551.73,817783.91,,,37498943.05,37500796.81,91540950.53,,,91540950.53,,-54040153.72,172477.98,,-46239820.21,,2808204.76,,,,-10781016.25,,-1853.76,1608247278.69,1607431348.54,815930.15,0.36,0.36,定期报告,未审计,20251028,CNY,合并期末,2024-10-25T19:43:18
20240630,2398747570.34,596371717.24,440900605.77,62541021.13,71115760.26,,,,713188877.22,1782161480.04,1068972602.82,492499174.98,-18525899.52,,,551684643.53,5322412.52,33342356.8,25799.35,6312588.7,1228593005.03,23288014.99,1126429144.03,,31608312.29,7136041.02,,40131492.7,1170154565.31,265240.5,,2867937.52,,1167551868.29,166876061.64,1000675806.65,1000675806.65,,1000169297.95,506508.7,6828020686.1,,721126705.07,721127980.1,199570675.84,,,199570675.84,,521557304.26,172477.98,,505279269.59,,3997986.87,,,,12107569.82,,-1275.03,1721802511.72,1721297278.05,505233.67,0.23,0.23,定期报告,未审计,20250826,CNY,合并期末,2024-08-26T20:33:12
20240331,1097554984.09,283229690.05,217252112.1,27799104.4,29809930.25,,,,341972772.67,888111985.48,546139212.81,489893700.02,23873488.97,,,-37939687.6,1256191.78,13708984.42,2391.98,5430940.77,570370975.0,12027169.18,535854117.6,,6887169.51,2258719.86,,13343798.85,527184009.09,6219.21,,1033291.16,,526156937.14,63112724.1,463044213.04,463044213.04,,462800660.89,243552.15,,,207143084.93,207144363.34,24079330.23,,,24079330.23,,183065033.11,,,183416623.42,,-919026.76,,,,567436.45,,-1278.41,670187297.97,669945024.23,242273.74,0.11,0.11,定期报告,未审计,20250429,CNY,合并期末,2024-04-28T16:28:08
20231231,6355056775.68,1254022166.91,903448513.23,205573902.84,104873525.46,,,,1861675678.51,3963125097.24,2101449418.73,1738529284.84,274704539.2,145951.74,0.0,-286956721.91,-4242914.96,1775569104.56,207215.23,16252962.5,4155260344.72,46175688.47,2430954164.19,,-81196746.39,8449130.47,,1750878107.98,2199796430.96,6340423.11,,11385105.53,,2194751748.54,326245520.26,1868506228.28,1868506228.28,0.0,1867698733.59,807494.69,6182539124.92,,426551948.53,426550094.77,0.0,,0.0,0.0,0.0,426550094.77,171586.82,,402259767.4,-1452093.97,1659352.21,,,,23911482.31,,1853.76,2295058176.81,2294248828.36,809348.45,0.43,0.43,定期报告,是,20250415,CNY,合并期末,2025-04-14T21:33:02
