报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向央行借款净增加额,客户存款和同业存放款项净增加额,客户存款,同业及其他金融机构存放款,收回存放同业及其他金融机构净额,拆入资金现金流入,收回的拆出资金净额,吸收的卖出回购项净额,收回的买入返售项净额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,收到利息,收到的手续费,金融企业往来收入收到的现金,中间业务收入收到的现金,证券投资收益收到的现金,汇兑净收益收到的现金,存入保证金收到的现金,销售商品、提供劳务收到的现金,贵金属现金流入,收到的委托资金,贴现收到的现金,其他负债增加流入的现金,收回的已于以前年度核销的贷款及应收款项,已核销呆账贷款及利息收回,处置抵债资产收到的现金,其他营业及营业外净收入收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,存放中央银行,存放同业及其他机构存款,拆出资金净现金流出,偿还中央银行借款,支付的存款,减少同业及其他金融机构存放净额,偿还同业及其他金融机构拆入净额,偿还卖出回购款项净额,证券投资支出的现金,支付买入返售款项净额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,支付的利息,手续费支出支付的现金,支付给职工以及为职工支付的现金,以现金支付的营业费用,与金融机构往来支出的现金净额,贴现支付的现金,委托及代理业务减少额,贵金属现金流出,购买商品、接受劳务支付的现金,借入其他资金净减少额,其他资产减少支出的现金,为交易目的而持有的金融资产净增加额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,分得股利或利润所收到的现金,取得债券利息收入收到的现金,处置固定资产、无形资产及其他资产而收到的现金,处置股权投资所收到的现金,处置子公司及其他单位收到的现金,取得子公司及其他营业单位所收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,权益性投资增加支付的现金,债券投资所支付的现金,购买子公司、联营企业及合营企业投资所支付的现金净额,增加在建工程所支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资所收到的现金,发行证券化资产所吸收的现金,取得借款收到的现金,发行债券收到的现金,发行次级债券收到的现金,增加股本所收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,分配股利、利润或偿付利息支付的现金,偿付利息所支付的现金,支付新股发行费用,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,12152675000.0,,,,,,10355600000.0,,,3712543000.0,,,,,,,,,,,,,,,,,,1733159000.0,28946783000.0,4994084000.0,,,,,2984855000.0,,,316104000.0,,,,,4159419000.0,,,820218000.0,,,,,,,,,,436958000.0,1287740000.0,14999378000.0,13947405000.0,,408718895000.0,1490103000.0,,,11640000.0,,,,,410220638000.0,426109971000.0,,,,,2641572000.0,,,428751543000.0,-18530905000.0,,,,,24064539000.0,,,,24064539000.0,19730000000.0,185088000.0,,,17979000.0,19933067000.0,4131472000.0,-1114000.0,-453142000.0,,,,,35778882000.0,35325740000.0,定期报告,未审计,20260423,CNY,合并期末,2026-04-22T19:16:04
20251231,,,2995110000.0,23384969000.0,,,,1896305000.0,,,291627000.0,,19649350000.0,,,,,,,,,,,,,,,,,,878526000.0,50239579000.0,17214651000.0,59206000.0,,,,,,,,6295279000.0,,,,10999865000.0,,,2541114000.0,,,,,,,,,,2325068000.0,1333938000.0,40769121000.0,9470458000.0,,1376941699000.0,9856737000.0,,,8620000.0,,,,,1386807056000.0,1387567476000.0,,,,,3363550000.0,,,1390931026000.0,-4123970000.0,,,,,165579114000.0,,,,165579114000.0,154410000000.0,1494621000.0,,,123349000.0,156027970000.0,9551144000.0,-803000.0,14896829000.0,12019384000.0,9001377000.0,23759498000.0,11880676000.0,20882053000.0,35778882000.0,定期报告,是,20260423,CNY,合并期末,2026-04-22T19:18:04
20250930,,,4264040000.0,11908265000.0,,,,2220176000.0,,3017500000.0,291627000.0,,12265204000.0,,,,,,,,,,,,,,,,,,1781774000.0,38198019000.0,9633265000.0,,,,,,,,,,,,,8683853000.0,,,1924426000.0,,,,,,,,,,1847217000.0,628525000.0,22717286000.0,15480733000.0,,1206167904000.0,6855856000.0,,,5164000.0,,,,,1213028924000.0,1228477244000.0,,,,,2499244000.0,,,1230976488000.0,-17947564000.0,,,,,113543787000.0,,,,113543787000.0,97850000000.0,1266623000.0,,,105807000.0,99222430000.0,14321357000.0,-96000.0,11854430000.0,,,,,20882053000.0,32736483000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:12:03
20250630,,,1403432000.0,9031443000.0,,,,2212440000.0,,11870000000.0,291627000.0,,8257006000.0,,,,,,,,,,,,,,,,,,584077000.0,35529835000.0,6341184000.0,,,,,,,,,,,,,6777159000.0,,,1361254000.0,,,,,,,,,,1538049000.0,409922000.0,16427568000.0,19102267000.0,,818015315000.0,4176839000.0,,,3184000.0,,,,,822195338000.0,833629569000.0,,,,,2206058000.0,,,835835627000.0,-13640289000.0,,,,,86818331000.0,,,,86818331000.0,75390000000.0,1215810000.0,,,84960000.0,76690770000.0,10127561000.0,232000.0,15589771000.0,10716970000.0,9001377000.0,25754854000.0,11880676000.0,20882053000.0,36471824000.0,定期报告,未审计,20250826,CNY,合并期末,2025-08-25T19:28:03
20250331,,,969940000.0,19440724000.0,,,,,,17836447000.0,191709000.0,,3717396000.0,,,,,,,,,,,,,,,,,,741113000.0,43001685000.0,5722134000.0,92623000.0,,,,,,,979974000.0,,,,,3508812000.0,,,811902000.0,,,,,,,,,,431859000.0,1138212000.0,12685516000.0,30316169000.0,,331931366000.0,2508243000.0,,,268000.0,,,,,334439877000.0,354933440000.0,,,,,1030655000.0,,,355964095000.0,-21524218000.0,,,,,25263485000.0,,,,25263485000.0,22890000000.0,163737000.0,,,53410000.0,23107147000.0,2156338000.0,333000.0,10948622000.0,,,,,20882053000.0,31830675000.0,定期报告,未审计,20260423,CNY,合并期末,2025-04-28T20:26:03
20241231,,,7812513000.0,304391000.0,,,,2033295000.0,,,93320000.0,,20761466000.0,,,,,,,,,,,,,,,,,,456519000.0,34630418000.0,17472260000.0,,,,,,,,,612538000.0,,,,12136769000.0,,,2531785000.0,,,,,,,,,,2036200000.0,1153025000.0,37249561000.0,-2619143000.0,,1225478981000.0,9456419000.0,,,9988000.0,,,,,1234945388000.0,1242805224000.0,,,,,2013277000.0,,,1244818501000.0,-9873113000.0,,,,,125790000000.0,,,,125790000000.0,124610000000.0,3313791000.0,,,179934000.0,128103725000.0,-2313725000.0,1962000.0,-14804019000.0,9001377000.0,21926295000.0,11880676000.0,13759777000.0,35686072000.0,20882053000.0,定期报告,是,20260423,CNY,合并期末,2025-04-28T20:40:04
20240930,,,1323217000.0,14031980000.0,,,,1790089000.0,,16203167000.0,69185000.0,,13767168000.0,,,,,,,,,,,,,,,,,,526473000.0,50084988000.0,21847337000.0,,,,,,,,,,,,,9762637000.0,,,1970908000.0,,,,,,,,,,1560454000.0,1927470000.0,38753141000.0,11331847000.0,,1042929463000.0,6926941000.0,,,6506000.0,,,,,1049862910000.0,1057623721000.0,,,,,1677277000.0,,,1059300998000.0,-9438088000.0,,,,,77180000000.0,,,,77180000000.0,82060000000.0,2493185000.0,,,95515000.0,84648700000.0,-7468700000.0,76000.0,-5574865000.0,,,,,35686072000.0,30111207000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:12:03
20240630,,,5468035000.0,6649563000.0,,,,458135000.0,,11300442000.0,100042000.0,,9397478000.0,,,,,,,,,,,,,,,,,,327137000.0,36220098000.0,16339724000.0,,,,,,,,,,,,,7241159000.0,,,1375121000.0,,,,,,,,,,1265122000.0,613800000.0,28245382000.0,7974716000.0,,854705866000.0,4929860000.0,,,2556000.0,,,,,859638282000.0,864453308000.0,,,,,1016582000.0,,,865469890000.0,-5831608000.0,,,,,61290000000.0,,,,61290000000.0,60770000000.0,2224629000.0,,,74621000.0,63069250000.0,-1779250000.0,1012000.0,364870000.0,9568781000.0,21926295000.0,26482161000.0,13759777000.0,35686072000.0,36050942000.0,定期报告,未审计,20250826,CNY,合并期末,2024-08-30T21:30:03
20240331,,,2167695000.0,2057994000.0,,,2883475000.0,292902000.0,,20391735000.0,93710000.0,,4422467000.0,,,,,,,,,,,,,,,,,,865171000.0,33175149000.0,7080622000.0,,,,,,,,,,,,,3926962000.0,,,829192000.0,,,,,,,,,,531140000.0,566495000.0,14120018000.0,19055131000.0,,464384688000.0,1948850000.0,,,1368000.0,,,,,466334906000.0,483738301000.0,,,,,349693000.0,,,484087994000.0,-17753088000.0,,,,,31320000000.0,,,,31320000000.0,21720000000.0,535679000.0,,,,22306498000.0,9013502000.0,312000.0,10315857000.0,,,,,35686072000.0,46001929000.0,定期报告,未审计,20250429,CNY,合并期末,2024-04-26T20:25:03
20231231,,,19841629000.0,21969485000.0,,,1607271000.0,3084363000.0,110000000.0,,,,20723586000.0,,,,,,,,,,,,,,,,,,590730000.0,67927064000.0,41175063000.0,,,,,,,,,4556999000.0,,289317000.0,,13552329000.0,,,2582987000.0,,,,,,,,,,2326598000.0,2378539000.0,68497599000.0,-570535000.0,,1266068362000.0,12275613000.0,,,3792000.0,,,,,1278347767000.0,1249286658000.0,,,,,333587000.0,,,1249620245000.0,28727522000.0,,,,,124410000000.0,,,,124410000000.0,126060000000.0,3754359000.0,,,,129917394000.0,-5507394000.0,3860000.0,22653453000.0,,,,,13032619000.0,35686072000.0,定期报告,是,20250429,CNY,合并期末,2024-04-26T20:35:04
