报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,60030545.74,,,30000000.0,,,2217430.08,,2217430.08,,60325.01,,,,,,,,,,,1353310.04,43864158.73,,,,,11279470.14,148805239.74,,,,,,,,,2144207.08,,30012500.0,,,,,,,2102178.4,,,,,68440253.79,,,,,6321787.67,24716917.51,,,30507.48,,11872463.22,,145640815.15,294446054.89,,,,,,,,68354570.25,15546172.73,52808397.52,,25283717.51,,,2606560.36,12802888.4,7022730.91,,,,,27863663.63,,,,,,,,,,,,,,2496947.3,10576096.1,149984443.55,,,,,,9235527.36,,,,,,,1583571.91,,10819099.27,160803542.82,,230307175.0,,,,178875156.45,,-8253150.0,,,,,-313083039.85,,,87846141.6,45796370.47,133642512.07,294446054.89,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T18:28:04
20251231,,28463130.4,,,,,,468651.35,,468651.35,,196665.87,,,,,,,,,,3734906.6,3734906.6,100165784.05,,,,,14766836.65,147795974.92,,,,,,,,,2168500.0,,30012500.0,,,154395105.38,66888611.05,87506494.33,16854438.02,1984329.11,,1984329.11,70652056.31,,70652056.31,,,,,7488627.09,25008002.71,,,34486.74,,10712372.22,,148060874.18,295856849.1,,,,,,,,78043930.45,9092920.58,68951009.87,,24428566.36,,,4103175.28,7082746.96,7022730.91,,,,36678242.12,43700973.03,,,,,,,,,,,,,,2791047.76,10229351.5,170379791.34,,,,,,10889521.14,,,,,,,1721048.81,,12610569.95,182990361.29,,230307175.0,,,,178875156.45,,-8253150.0,,,,,-335458509.38,,,65470672.07,47395815.74,112866487.81,295856849.1,定期报告,是,20260429,CNY,合并期末,2026-04-10T23:02:02
20250930,,19474628.53,,,,,,23070503.4,,23070503.4,,,,,,,,,,,,,6832728.87,125390638.14,,,,,10464333.21,185232832.15,,,,,,,,,4886523.83,,41016700.0,,,,,,,2189858.4,,,,,26129820.26,,,,,13945908.18,4144387.64,,,38466.0,,5174221.88,,97525886.19,282758718.34,,,,,,,,140671069.59,,140671069.59,,11987842.04,,,1783890.61,6404504.69,7022730.91,,,,,68458569.43,,,,,,,,,,,,,,3499520.32,2685712.68,235491109.36,,,,,,17055001.38,,,,,,,7912604.51,,24967605.89,260458715.25,,230307175.0,,,,135551354.5,,,,,,,-343621139.15,,,22237390.35,62612.74,22300003.09,282758718.34,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:14:08
20250630,,23362205.05,,,,,,38349542.4,,38349542.4,,,,,,,,,,,,9391531.54,9391531.54,124682781.04,,,,,11196824.46,206982884.49,,,,,,,,,2465634.0,,41016700.0,,,42693541.76,7081615.15,35611926.61,9017484.95,2189858.4,,2189858.4,26594441.66,464516.46,27058958.12,,,,,14781572.02,4294027.67,,,45098.1,,5387586.48,,97239434.79,304222319.28,,,,,,,,198774514.24,,198774514.24,,8506764.37,,,1965256.63,3950029.25,7022730.91,,,,49436520.34,56459251.25,,,,,,,,,,,,,,4524495.85,2347383.31,276527694.9,,,,,,17746058.67,,,,,,,8121520.6,,25867579.27,302395274.17,,230307175.0,,,,135551354.5,,,,,,,-364094149.53,,,1764379.97,62665.14,1827045.11,304222319.28,更正或补充,未审计,20260411,CNY,合并期末,2025-08-22T18:26:04
20250331,,29996814.47,,,,,,401306.19,,401306.19,,,,,,,,,,,,,8923759.36,61801444.05,,,,,14972038.69,116095362.76,,,,,,,,,4994864.87,,41016700.0,,,,,,,1557682.72,,,,,28767217.31,,,,,17485227.38,4443667.7,,,46424.52,,4202775.41,,102514559.91,218609922.67,,,,,,,,82548031.22,,82548031.22,,19775972.74,,,2057167.7,784572.69,7022730.91,,,,,82759588.84,,,,,,,,,,,,,,4142361.23,2790000.91,194857695.33,,,,,,21534374.57,,,,,,,7125481.23,,28659855.8,223517551.13,,230307175.0,,,,135551354.5,,,,,,,-370828841.48,,,-4970311.98,62683.52,-4907628.46,218609922.67,定期报告,未审计,20250426,CNY,合并期末,2025-04-25T22:48:09
20241231,,28974524.81,,,,,,938635.83,,938635.83,,,,,,,,,,,,8010842.55,8010842.55,6819250.3,,,,,10632456.6,55375710.09,,,,,,,,,2520000.0,,41016700.0,,,155221517.52,57234712.36,97986805.16,10042419.0,1345121.69,,1345121.69,87944386.16,,87944386.16,,,,,19610173.8,25378967.81,,,2435.34,,4711743.86,,182529528.66,237905238.75,,,,,,,,70616028.53,,70616028.53,,13001710.26,,,2540788.6,416988.59,7022730.91,,,,33417230.45,40439961.36,,,,,,,,,,,,,,4252902.27,2181524.05,133449903.66,,,,,,24063452.73,,,,,,,9449497.49,,33512950.22,166962853.88,,230307175.0,,,,174788957.74,,,,,,,-371769091.7,,,33327041.04,37615343.83,70942384.87,237905238.75,定期报告,是,20260411,CNY,合并期末,2025-04-25T22:48:09
20240930,,702258.72,,,,,,122260801.62,2782967.53,119477834.09,11116.77,14634768.47,,,,,,,,,,,3259986.39,2029623.19,,,,,10420914.9,153319470.06,,,,,,,,,5751121.88,,24477351.72,,,,,,,2862279.99,,,,,41562137.76,,,,,28435304.25,5328680.49,,,10805.34,,33357814.25,,141785495.68,295104965.74,,,,,,,,70057581.64,,70057581.64,,5002790.54,,,3397193.6,796171.62,7022730.91,,,,,16559592.21,,,,,,,,,,,,,,4205070.99,3435141.63,103453542.23,,,,,,24773555.82,,,,,560235.51,,7102293.43,,32436084.76,135889626.99,,230307175.0,,,,134629790.86,,,,,,,-205784643.16,,,159152322.7,63016.05,159215338.75,295104965.74,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T19:40:03
20240630,,14927678.57,,,,,,134073578.34,2813886.92,131259691.42,11116.77,25997847.38,,,,,,,,,,6671482.53,6671482.53,2029623.19,,,,,9457316.15,193168642.93,,,,,,,,24477351.72,5812572.35,,,,,43959466.17,3188771.11,40770695.06,,3221351.19,2313967.1,907384.09,40770695.06,,40770695.06,,,,,51090407.79,4410810.22,,,2889115.86,,32159901.98,524904.94,165357111.11,358525754.04,,2002375.0,,,,,,60550404.84,,60550404.84,,5084849.42,,,2546417.4,736337.87,7022730.91,,,,7215512.51,14238243.42,,,,,,,,,,,,,,15687898.56,3476728.66,104323255.17,,2486721.8,,,,37624455.69,,,,,388733.44,,12764057.95,,53263968.88,157587224.05,,230307175.0,,,,140895993.45,,6614.03,,,,,-170334243.59,,,200875538.89,62991.1,200938529.99,358525754.04,定期报告,未审计,20240828,CNY,合并期末,2024-08-27T17:00:04
20240331,,22040892.71,,,,,,142622716.04,6500000.0,136122716.04,,45373270.55,,,,,,,,,,,8558062.38,2029623.19,,,,,9051060.36,229675625.23,,,,,,,,25442749.79,5874022.82,,,,,,,,,7553289.46,,,,,30199702.0,,,,,57825438.82,3623264.4,,,3082386.9,,33861056.08,911395.52,168373305.79,398048931.02,,8502500.0,,,,,,65227158.36,,65227158.36,,8403943.83,,,3774233.78,1143515.26,7022730.91,,,,,15219222.45,,,,,,,,,,,,,,14596982.05,1094324.02,117961879.75,,2491927.68,,,,45464247.91,,,,,,,14445637.78,,62401813.37,180363693.12,,230307175.0,,,,140333278.73,,6242.92,,,,,-153025159.32,,,217621537.33,63700.57,217685237.9,398048931.02,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T20:15:15
20231231,,38533927.47,,,,,,211632478.43,27000000.0,184632478.43,9000000.0,255669.57,,,,,,,,,,6898505.38,6898505.38,27221151.37,,,,,6415805.06,299957537.28,,,,,,,,25300988.15,5935473.29,,,,,27023219.9,1183217.88,25840002.02,,5059661.36,4035629.14,1024032.22,25840002.02,,25840002.02,,,,,57008271.85,3738166.71,,,3275657.94,,33704334.79,678755.84,160541311.95,460498849.23,,12002375.0,,,,,,76207544.02,,76207544.02,,28128768.42,,,4189197.67,9539646.39,7022730.91,,,,7882516.6,14905247.51,,,,,,,,,,,,,,14614777.92,4156739.9,163744296.83,,2869321.8,,,,44002663.61,,,,,,,14239501.39,,61111486.8,224855783.63,,230307175.0,,,,139069710.26,,12043.36,,,,,-133745863.02,,,235643065.6,,235643065.6,460498849.23,定期报告,是,20250426,CNY,合并期末,2024-04-26T20:15:15
