报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,40844228.57,,,,,,,,,,,709514.94,482224.78,42035968.29,29635910.36,,,,,,27036411.49,3634470.02,6234567.79,66541359.66,-24505391.37,,355760908.53,10597871.0,295442.22,,,,,366654221.75,683854.45,377053569.18,,,,,377737423.63,-11083201.88,,,,,,1020279.44,1020279.44,,0.0,0.0,743241.96,743241.96,277037.48,-135955.67,-35447511.44,201907485.07,,,,,166459973.63,定期报告,未审计,20260427,CNY,合并期末,2026-04-26T15:52:05
20251231,,262954362.27,,,,,,,,,,,2173028.35,5081367.31,270208757.93,125251610.0,,,,,,98781692.74,16081434.32,21070525.35,261185262.41,9023495.52,,2616589050.84,8403891.52,4323929.0,,,,,2629316871.36,3167772.53,2708495583.63,,,,,2711663356.16,-82346484.8,,,,,,3674020.0,3674020.0,,,,2902969.1,2902969.1,771050.9,-183347.49,-72735285.87,274642770.94,201907485.07,274642770.94,,,201907485.07,定期报告,是,20260427,CNY,合并期末,2026-04-26T15:52:05
20250930,,154374234.84,,,,,,,,,,,1306451.13,2721626.5,158402312.47,67910827.26,,,,,,76616317.32,10582077.37,19424892.86,174534114.81,-16131802.34,,2218454029.85,3081980.1,3729059.44,,,,,2225265069.39,2568541.25,2286197670.1,,,,,2288766211.35,-63501141.96,,,,,,541802.39,541802.39,,0.0,0.0,2449056.55,2449056.55,-1907254.16,-87520.86,-81627719.32,274642770.94,,,,,193015051.62,定期报告,未审计,20251025,CNY,合并期末,2025-10-24T18:18:57
20250630,,100348634.83,,,,,,,,,,,1306451.13,1668668.27,103323754.23,44092585.73,,,,,,54466397.87,7289650.28,12169767.7,118018401.58,-14694647.35,,1725495720.3,2137943.61,331257.22,,,,,1727964921.13,1199782.93,1773145310.54,,,,,1774345093.47,-46380172.34,,,,,,361672.08,361672.08,,0.0,0.0,1115131.36,1115131.36,-753459.28,-94382.41,-61922661.38,274642770.94,212720109.56,274642770.94,,,212720109.56,定期报告,未审计,20250827,CNY,合并期末,2025-08-26T17:10:06
20250331,,51943472.47,,,,,,,,,,,711773.73,910122.34,53565368.54,29294171.55,,,,,,29068016.23,3402796.23,7654330.86,69419314.87,-15853946.33,,1278446596.6,1793428.34,331257.22,,,,,1280571282.16,866702.67,1242272373.27,,,,,1243139075.94,37432206.22,,,,,,34859.65,34859.65,,,,40364.11,40364.11,-5504.46,-21450.93,21551304.5,274642770.94,,,,,296194075.44,定期报告,未审计,20260427,CNY,合并期末,2025-04-23T19:14:05
20241231,,281035232.7,,,,,,,,,,,3749364.43,24391027.07,309175624.2,120987012.79,,,,,,112881262.76,21248264.48,31940223.54,287056763.57,22118860.63,,331038982.99,6789518.09,5525550.24,,,,,343354051.32,6098450.34,537216982.99,,,,,543315433.33,-199961382.01,,,,,,6618645.88,6618645.88,,56000.0,56000.0,3237692.28,3293692.28,3324953.6,126246.5,-174391321.28,449034092.22,274642770.94,449034092.22,,,274642770.94,定期报告,是,20260427,CNY,合并期末,2025-04-23T19:14:05
20240930,,196710137.72,,,,,,,,,,,2741369.12,22997324.01,222448830.85,86763920.35,,,,,,85694102.0,15874668.22,32192938.05,220525628.62,1923202.23,,31000232.88,5713510.19,1836145.24,,,,,38549888.31,1489004.58,0.0,,,,,1489004.58,37060883.73,,,,,,1931741.97,1931741.97,,56000.0,56000.0,860195.02,916195.02,1015546.95,-39611.28,39960021.63,449034092.22,,,,,488994113.85,定期报告,未审计,20251025,CNY,合并期末,2024-10-28T16:20:08
20240630,,135168016.51,,,,,,,,,,,2084196.42,5287913.56,142540126.49,65794981.33,,,,,,57688623.03,11250512.68,19081716.92,153815833.96,-11275707.47,,31000232.88,5684407.32,1800170.0,,,,,38484810.2,827275.28,,,,,,827275.28,37657534.92,,,,,,1136382.5,1136382.5,,56000.0,56000.0,744279.82,800279.82,336102.68,39806.53,26757736.66,449034092.22,475791828.88,449034092.22,,,475791828.88,定期报告,未审计,20250827,CNY,合并期末,2024-08-27T16:20:20
20240331,,59256558.29,,,,,,,,,,,937315.55,3136397.96,63330271.8,41938891.95,,,,,,31085093.75,5584936.53,11567512.91,90176435.14,-26846163.34,,30000000.0,1029361.94,170.0,,,,,31029531.94,361055.52,0.0,,,,,361055.52,30668476.42,,,,,,70229.53,70229.53,,56000.0,56000.0,183908.21,239908.21,-169678.68,13600.35,3666234.75,449034092.22,,,,,452700326.97,定期报告,未审计,20250424,CNY,合并期末,2024-04-25T17:05:09
20231231,,453815345.12,,,,,,,,,,,7453940.93,47904838.67,509174124.72,205024694.3,,,,,,122345159.28,24478363.4,74476446.86,426324663.84,82849460.88,,1872528388.29,1643153.63,4189418.0,,,,,1878360959.92,4157397.06,2099128588.29,,,,,2103285985.35,-224925025.43,,225000.0,225000.0,,,7436769.04,7661769.04,,14000.0,,5405275.12,5419275.12,2242493.92,126702.51,-139706368.12,588740460.34,449034092.22,588740460.34,,,449034092.22,定期报告,是,20250424,CNY,合并期末,2024-04-22T18:50:06
20230930,,327866524.0,,,,,,,,,,,5177976.4,30668450.88,363712951.28,154729082.65,,,,,,93178237.53,18924162.98,54372713.69,321204196.85,42508754.43,,1636156251.02,725597.86,4127553.0,,,,,1641009401.88,3533436.52,1812800588.29,,,,,1816334024.81,-175324622.93,,225000.0,,,,4196343.8,4421343.8,,,,450354.62,450354.62,3970989.18,249738.53,-128595140.79,588740460.34,,,,,460145319.55,定期报告,未审计,20241029,CNY,合并期末,2023-10-25T16:40:03
20230630,,195214055.79,,,,,,,,,,,3954503.51,24565413.26,223733972.56,98538885.05,,,,,,65469100.02,12447748.23,39424434.66,215880167.96,7853804.6,,290170806.59,521868.44,908780.0,,,,,291601455.03,2910216.93,427885588.29,,,,,430795805.22,-139194350.19,,1500000.0,1500000.0,,,3992529.12,5492529.12,,,,391205.78,391205.78,5101323.34,249738.53,-125989483.72,588740460.34,462750976.62,588740460.34,,,462750976.62,定期报告,未审计,20240828,CNY,合并期末,2023-08-24T15:55:03
20230331,,81783404.45,,,,,,,,,,,1969600.51,19846366.94,103599371.9,61384575.78,,,,,,36887363.85,5375657.85,27122035.96,130769633.44,-27170261.54,,141674522.23,308920.19,11000.0,,,,,141994442.42,1143614.64,138280903.93,,,,,139424518.57,2569923.85,,,,,,843856.35,843856.35,,,,365384.49,365384.49,478471.86,-49718.28,-24171584.11,588740460.34,,,,,564568876.23,定期报告,未审计,20240426,CNY,合并期末,2023-04-26T16:15:03
20221231,,644568583.26,,,,,,,,,,,8230374.47,18478118.98,671277076.71,228944332.52,,,,,,153222093.8,34932898.37,51107662.48,468206987.17,203070089.54,,4800000.0,89055.36,3304380.01,,,,,8193435.37,6911037.29,74801000.0,,,,,81712037.29,-73518601.92,,,,,,8673445.36,8673445.36,10000000.0,20278824.34,,8320843.09,38599667.43,-29926222.07,416122.49,100041388.04,488699072.3,588740460.34,488699072.3,,,588740460.34,定期报告,是,20240423,CNY,合并期末,2023-04-26T16:20:34
20220930,,444618643.8,,,,,,,,,,,6750005.89,18570347.04,469938996.73,168427720.85,,,,,,117076342.63,28911387.99,49703872.57,364119324.04,105819672.69,,,,904220.01,,,,,904220.01,4389157.05,,,,,,4389157.05,-3484937.04,,,,,,4833534.99,4833534.99,10000000.0,20278824.34,,3328662.4,33607486.74,-28773951.75,539667.39,74100451.29,488699072.3,,,,,562799523.59,定期报告,未审计,20231026,CNY,合并期末,2022-10-25T15:50:04
20220630,,302867649.95,,,,,,,,,,,3751851.68,14577638.51,321197140.14,116369769.95,,,,,,82264141.44,19271677.89,33230000.89,251135590.17,70061549.97,,,,895174.0,,,,,895174.0,3496720.8,,,,,,3496720.8,-2601546.8,,,,,,4384734.29,4384734.29,10000000.0,20278824.34,,2109875.17,32388699.51,-28003965.22,231560.08,39687598.03,488699072.3,528386670.33,488699072.3,,,528386670.33,定期报告,未审计,20230825,CNY,合并期末,2022-08-23T15:55:03
20220331,,133549108.34,,,,,,,,,,,2489315.36,4123307.54,140161731.24,91068281.62,,,,,,46102742.31,9932533.52,15730289.35,162833846.8,-22672115.56,,,,888069.0,,,,,888069.0,3090920.8,,,,,,3090920.8,-2202851.8,,,,,,1965942.85,1965942.85,10000000.0,68175.56,,3678968.49,13747144.05,-11781201.2,-52098.09,-36708266.65,488699072.3,,,,,451990805.65,定期报告,未审计,20230427,CNY,合并期末,2022-04-27T17:10:03
20211231,,874555998.99,,,,,,,,,,,10517843.09,38246492.78,923320334.86,573444118.4,,,,,,193084039.91,54634915.94,69019096.7,890182170.95,33138163.91,,,,1356050.2,,,,,1356050.2,16256436.07,10000000.0,,,,,26256436.07,-24900385.87,,94699995.2,,10000000.0,,13092972.4,117792967.6,10000000.0,20677041.45,,14020750.28,44697791.73,73095175.87,-124963.46,81207990.45,407491081.85,488699072.3,407491081.85,,,488699072.3,定期报告,是,20230427,CNY,合并期末,2022-04-27T17:05:03
20210930,,639757065.27,,,,,,,,,,,8030417.16,20887775.18,668675257.61,478606845.75,,,,,,153067738.88,44041820.99,61715105.34,737431510.96,-68756253.35,,,,579570.0,,,,,579570.0,4214643.43,14560800.0,,,,,18775443.43,-18195873.43,,,,10000000.0,,2983842.63,12983842.63,10000000.0,20550652.57,,2163877.38,32714529.95,-19730687.32,-67093.06,-106749907.16,407491081.85,,,,,300741174.69,定期报告,未审计,20221026,CNY,合并期末,2021-10-28T16:15:03
20210630,,394438998.86,,,,,,,,,,,4620269.44,12897148.63,411956416.93,301897155.13,,,,,,102640823.79,31625604.41,41525772.33,477689355.66,-65732938.73,,,,579000.0,,,,,579000.0,2941697.98,14000000.0,,,,,16941697.98,-16362697.98,,,,8856000.0,,3929381.25,12785381.25,10000000.0,20425417.02,,1714734.73,32140151.75,-19354770.5,-72257.29,-101522664.5,407491081.85,305968417.35,407491081.85,,,305968417.35,定期报告,未审计,20220824,CNY,合并期末,2021-08-26T16:40:03
20210331,,175936628.37,,,,,,,,,,,2552573.67,5314450.77,183803652.81,167494316.67,,,,,,55676581.7,13427807.26,25368273.2,261966978.83,-78163326.02,,,,330000.0,,,,,330000.0,737298.04,10000000.0,,,,,10737298.04,-10407298.04,,,,5000000.0,,1363664.97,6363664.97,,38888.9,,1550955.51,1589844.41,4773820.56,-60440.05,-83857243.55,407491081.85,,,,,323633838.3,定期报告,未审计,20220428,CNY,合并期末,2021-04-27T16:55:04
20201231,,915641250.49,,,,,,,,,,,19220824.97,28186567.06,963048642.52,630361742.27,,,,,,202314101.63,60760749.79,78396300.41,971832894.1,-8784251.58,,,,1732860.0,,,,,1732860.0,20881397.01,,,,,,20881397.01,-19148537.01,,,,10000000.0,,7696776.64,17696776.64,10000000.0,21061906.63,,6394806.98,37456713.61,-19759936.97,-446958.4,-48139683.96,455630765.81,407491081.85,455630765.81,,,407491081.85,定期报告,是,20220428,CNY,合并期末,2021-04-27T16:55:04
20200930,,588289883.47,,,,,,,,,,,14428276.54,15785504.1,618503664.11,427508458.64,,,,,,138303314.2,59021317.41,78321763.18,703154853.43,-84651189.32,,,,1250300.0,,,,,1250300.0,3563230.7,,,,,,3563230.7,-2312930.7,,,,10000000.0,,3316347.31,13316347.31,10000000.0,20958454.87,,4353108.76,35311563.63,-21995216.32,-42802.25,-109002138.59,455630765.81,,,,,346628627.22,定期报告,未审计,20211029,CNY,合并期末,2020-10-26T18:00:03
20200630,,350111840.32,,,,,,,,,,,4855351.92,9906329.76,364873522.0,253185119.52,,,,,,96869657.48,31994259.31,35620695.99,417669732.3,-52796210.3,,,,582000.0,,,,,582000.0,2263448.76,,,,,,2263448.76,-1681448.76,,,,10000000.0,,2917986.51,12917986.51,10000000.0,20859565.98,,3364214.9,34223780.88,-21305794.37,148109.53,-75635343.9,455630765.81,379995421.91,455630765.81,,,379995421.91,定期报告,未审计,20210827,CNY,合并期末,2020-08-27T16:55:03
20200331,,153456047.39,,,,,,,,,,,,10305805.57,163761852.96,141090365.9,,,,,,51309396.14,19190685.51,22811125.92,234401573.47,-70639720.51,,,,582000.0,,,,,582000.0,475782.5,,,,,,475782.5,106217.5,,,,,,953236.99,953236.99,,121333.34,,1344161.73,1465495.07,-512258.08,99102.3,-70946658.79,455630765.81,,,,,384684107.02,定期报告,未审计,20210428,CNY,合并期末,2020-04-26T17:35:03
