报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向中央银行借款净增加额,客户存款和同业存放款项净增加额,收回存放同业及其他金融机构净额,拆入资金收到的现金,收回拆出资金收到的现金,销售商品、提供劳务收到的现金,收到的税费返还,手续费收入收到的现金,利息收入收到的现金,卖出回购证券收到的现金,买入返售证券到期返售收到的现金,金融企业往来收入收到的现金,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,保证金流入的现金,吸收的存款,同业及其他金融机构存放款净增加额,处置抵债资产收到的现金,汇兑净收益收到的现金,证券投资收到的现金,中间业务收入收到的现金,其他营业及营业外净收入收到的现金,贴现收到的现金,收回的委托资金净额,受托资产管理收到的现金净额,收到的其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,证券投资支付的现金,手续费支出支付的现金,利息支出支付的现金,金融企业往来支出支付的现金,买入返售证券支付的现金,处置可供出售金融资产净减少额,为交易目的而持有的金融资产净增加额,卖出回购证券到期回购支付的现金,以现金支付的营业费用,拆出资金支付的现金,支付利息、手续费及佣金的现金,存放中央银行款项净增加额,贵金属现金流出,支付的存款,存放同业及其他机构存款净增加额,偿还中央银行借款,减少同业及其他金融机构存放净额,贴现支付的现金,偿还同业及其他金融机构拆入净额,委托资金减少支付的现金,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,处置子公司及其他营业单位收到的现金,取得投资收益所收到的现金,取得债权投资利息收入收到的现金,处置固定资产、无形资产和其他长期资产而收到的现金净额,分得股利或利润收到的现金,收到的其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,权益性投资支付的现金,债权性投资支付的现金,购买子公司及其他营业单位支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,发行债券收到的现金,吸收投资所收到的现金,借款所收到的现金,发行次级债所收到的现金,收到的其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,分配股利、利润或偿付利息所支付的现金,偿付利息支付的现金,发生筹资费用支付的现金,支付的其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金的影响额,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,,,,,685195.0,,,,,,,,391960320.98,,,,,,,,,,,,13750504455.72,14207584292.82,,,177968.18,191270025.93,30203093.16,,,,,,,,,76987978.89,,30791785.93,,,,,,,,,,8560321881.03,8889752733.12,5317831559.7,,5465998390.62,,,,125.0,,9504805947.59,14970804463.21,8738752.93,6552771612.81,,,,7796564443.93,14358074809.67,612729653.54,,,,206208821.14,,,206208821.14,103627551.73,4837868.81,,,10494815.33,118960235.87,87248585.27,-108649731.87,5909160066.64,,,,,24725687680.65,30634847747.29,定期报告,未审计,20260421,CNY,合并期末,2026-04-20T19:41:06
20251231,,,,,,,,1312459.64,12793.45,,,,,,,936333058.39,,,,,,,,,,,,18341530106.97,19279188418.45,,,1391199.39,459057032.5,83822194.26,,,,,,,,,312051046.32,,3148629.02,,,,,,,,,,11335336500.76,12278430472.2,7000757946.25,,8122439153.75,,6934031.52,,12792.02,,37597661771.49,45727047748.78,32603010.46,9957925115.89,,,,40138797772.84,50129325899.19,-4402278150.41,,,1105320948.08,1173696634.5,,,2279017582.58,928836634.5,84058581.3,,,21707585.97,1034602801.77,1244414780.81,-64831582.35,3778062994.3,24725687680.65,20947624686.35,,,20947624686.35,24725687680.65,定期报告,是,20260328,CNY,合并期末,2026-03-27T21:49:06
20250930,,,,,,,,,12793.45,,,,,,,809829530.52,,,,,,,,,,,,18060734310.35,18881248898.65,,,,356668973.54,53041518.97,,,,,,,,,215747784.41,,3573813.38,,,,,,,,,,10981741425.75,11610773516.05,7270475382.6,,5345079578.83,,5702993.18,,12125.0,,27542923530.7,32893718227.71,25188721.19,6836710810.93,,,,28905891275.76,35767790807.88,-2874072580.17,,,,951924834.5,,,951924834.5,776171694.75,79078002.24,,,15854331.18,871104028.17,80820806.33,-26790395.51,4450433213.25,,,,,20947624686.35,25398057899.6,定期报告,未审计,20251024,CNY,合并期末,2025-10-23T18:19:02
20250630,,,,,,,,1732408395.15,12793.45,,,,,,,464110853.56,,,,,,,,,,,,24550416.6,2221507466.13,,,1635187815.15,263491649.47,33189331.62,,,,,,,,,139103358.88,,3061842.48,,,,,,,,,,5213722009.65,7329599419.85,-5108091953.72,,3936103134.2,,4242106.48,,3580.0,,20233963959.76,24174312780.44,15747564.63,3743910487.89,,,,19711466828.83,23471124881.35,703187899.09,,,,668967562.5,,,668967562.5,482432150.0,66782440.01,,,9682085.94,558896675.95,110070886.55,-46560120.57,-4341393288.65,16606231397.7,20947624686.35,,,20947624686.35,16606231397.7,定期报告,未审计,20250819,CNY,合并期末,2025-08-18T21:59:02
20250331,,,,,,,,825363.73,,,,,,,,286747884.82,,,,,,,,,,,,854912555.02,1143219077.72,,,2190430.92,170938913.0,9834537.74,,,,,,,,,17260920.01,,1565815.18,,,,,,,,,,12683594977.57,12901394904.9,-11758175827.18,,2009069326.59,,2072115.43,,650.0,,11182528791.44,13193670883.46,5268149.49,2085753843.55,,,,11383237690.21,13474259683.25,-280588799.79,,,,59686920.0,,,59686920.0,24639560.0,3053730.51,,,1092531.7,28785822.21,30901097.79,-17556133.77,-12025419662.95,,,,,20947624686.35,8922205023.4,定期报告,未审计,20260421,CNY,合并期末,2025-04-21T17:33:03
20241231,,,,,,,,1590534.45,2138748.62,,,,,,,1156596298.99,,,,,,,,,,,,17740906682.01,19024332721.91,,,5479058.24,423730462.87,96916548.47,,,,,,,,,290951638.07,,7225026.01,,,,,,,,,,6337767174.81,7162270015.83,11862062706.09,,6968259552.73,,5516508.0,,27991.18,,50327842026.21,57301646078.12,10950078.09,5436999046.64,,,,50749010040.97,56196959165.7,1104686912.42,,,,336161632.0,,,336161632.0,565732282.48,81820401.47,,,70188169.99,717740853.94,-381579221.94,29399770.23,12614570166.8,20947624686.35,8333054519.55,,,8333054519.55,20947624686.35,定期报告,是,20260328,CNY,合并期末,2025-03-10T22:31:02
20240930,,,,,,,,4417260748.39,63251.39,,,,,,,1035752831.14,,,,,,,,,,,,14356361052.37,15485928114.76,,,4435063544.37,340329984.42,73765736.58,,,,,,,,,281338814.72,,10438541.17,,,,,,,,,,8017406480.27,8723279557.16,6762648557.6,,868914520.32,,3544192.43,,,,33834352204.69,34706810917.44,11363100.28,575700000.0,,,,33891559011.31,34478622111.59,228188805.85,,,,176277752.0,,,176277752.0,382380400.0,80558150.42,,,62280652.24,525219202.66,-348941450.66,46928042.2,6688823954.99,,,,,8333054519.55,15021878474.54,定期报告,未审计,20251024,CNY,合并期末,2024-10-18T17:21:05
20240630,,,,,,,,2302830674.94,63199.79,,,,,,,692367192.53,,,,,,,,,,,,5246497328.69,8254985667.97,,,2445765294.69,251568140.12,47777429.02,,,,,,,,,202102953.07,,7956304.29,,,,,,,,,,2746505226.04,5701931330.78,2553054337.19,,366429597.05,,2840908.36,,,,961644460.74,1330914966.15,9781151.08,588363995.2,,,,1370704433.28,1968849579.56,-637934613.41,,,,131345816.0,,,131345816.0,237380400.0,50040050.01,,,11773321.33,299193771.34,-167847955.34,-5445268.64,1741826499.8,10074881019.35,8333054519.55,,,8333054519.55,10074881019.35,定期报告,未审计,20250819,CNY,合并期末,2024-08-16T17:46:03
20240331,,,,,,,,888255757.03,1146.37,,,,,,,396733322.3,,,,,,,,,,,,-470533946.31,820991142.18,,,922136473.83,164787892.25,15099202.34,,,,,,,,,125858284.56,,3464257.59,,,,,,,,,,2178217920.5,3409962464.48,-2588971322.3,,623706904.17,,815245.38,,,,618211625.91,1242733775.46,479265.52,563095376.96,,,,1311733551.34,1875308193.82,-632574418.36,,,,11000000.0,,73681800.0,84681800.0,140994236.19,3921763.87,,,,144916000.06,-60234200.06,-23129269.07,-3304909209.79,,,,,9211356123.06,5906446913.27,定期报告,未审计,20250422,CNY,合并期末,2024-04-19T17:31:03
20231231,,,,,,,,6107117091.64,12773.18,,,,,,,1039878824.28,,,,,,,,,,,,3746492003.95,10893500693.05,,,6075006405.55,385812112.24,78203807.97,,,,,,,,,256616239.7,,26335491.09,,,,,,,,,,151018644.41,7115520182.52,3777980510.53,,4891738217.02,,33687777.92,,19728.31,,35823273196.98,40748718920.23,52839372.96,5594082642.22,,,,34085984167.65,39732906182.83,1015812737.4,,,,606412791.71,,6900000.0,613312791.71,923670681.22,85352440.88,,,19152408.77,1028175530.87,-414862739.16,13264271.53,4392194780.3,8333054519.55,3940859739.25,,,3940859739.25,8333054519.55,定期报告,是,20250311,CNY,合并期末,2024-03-08T19:01:03
