报告日,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,中间业务净收入,中间业务收入,中间业务支出,净交易收入,衍生金融工具交易净收入,投资收益,对联营公司的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,租赁收入,净敞口套期收益,公允价值变动收益/(损失),其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,折旧费,提取呆账准备,研发费用,其他业务支出,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,加:年初未分配利润,其他因素调整,可供分配的利润,一般风险准备转入,盈余公积转入,减:提取法定盈余公积,提取法定公益金,提取一般风险准备,提取信托赔偿准备金,盈余公积补亏,提取职工奖福基金,应付永续债利息,其他,可供股东分配的利润,减:应付优先股股利,提取任意盈余公积,应付普通股股利,转作股本的普通股股利,未分配利润,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能重分类进损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下重分类进损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20230930,9188393407.0,6392587154.0,15127449350.0,8734862196.0,1106778789.0,1208815242.0,102036453.0,,,,-62710216.0,,1381162199.0,55214454.0,,-62710216.0,,,158614447.0,49265328.0,2063701.0,160632005.0,4560976377.0,107132764.0,3084797502.0,,1324219733.0,,,,,44826378.0,4627417030.0,1690914.0,,7985453.0,,4621122491.0,699959671.0,,3921162820.0,,,3762254789.0,158908031.0,,,,,,,,,,,,,,,,,,,,491174630.0,491174630.0,,,,,,491174630.0,-1007349.0,,328350296.0,,163831683.0,,,,,,4412337450.0,4253429419.0,158908031.0,0.99,0.86,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T19:40:03
20230630,6270047329.0,4279847189.0,9980569269.0,5700722080.0,841944027.0,912711134.0,70767107.0,,,,-9709582.0,,993113923.0,36822035.0,,-9709582.0,,,744192.0,41014058.0,2063701.0,121029821.0,3082827730.0,70589828.0,2057103431.0,,919901679.0,,,,,35232792.0,3187219599.0,1057755.0,,3332046.0,,3184945308.0,447717735.0,,2737227573.0,,,2633946374.0,103281199.0,11564032218.0,,14197978592.0,,,,,1357776.0,,,,114000000.0,,14196620816.0,,,1210022783.0,,12872598033.0,436900196.0,436900196.0,,,,,,436900196.0,2676232.0,,352954722.0,,81269242.0,,,,,,3174127769.0,3070846570.0,103281199.0,0.69,0.6,定期报告,未审计,20240831,CNY,合并期末,2023-08-28T20:50:06
20230331,3158456432.0,2136827280.0,4947590192.0,2810762912.0,575647929.0,610119878.0,34471949.0,,,,-47686335.0,,258243160.0,14379099.0,,-47686335.0,,,163455725.0,35454293.0,3550793.0,32963587.0,1575550307.0,33183835.0,1005292919.0,,509299582.0,,,,,27773971.0,1582906125.0,504252.0,,2345187.0,,1581065190.0,229749208.0,,1351315982.0,,,1296078065.0,55237917.0,,,,,,,,,,,,,,,,,,,,223856823.0,223856823.0,,,,,,223856823.0,-11054801.0,,164740862.0,,70170762.0,,,,,,1575172805.0,1519934888.0,55237917.0,0.32,0.28,定期报告,未审计,20240427,CNY,合并期末,2023-04-24T23:50:10
20221231,11762955658.0,8340924813.0,18924607071.0,10583682258.0,1316984271.0,1480418372.0,163434101.0,,,,214009032.0,,1397823581.0,73258938.0,,214009032.0,,,205731757.0,97584890.0,26661920.0,163235394.0,6834270232.0,149344380.0,3853556833.0,,2764032530.0,,,,,67336489.0,4928685426.0,4858764.0,,21770042.0,,4911774148.0,795075991.0,,4116698157.0,,,3918436074.0,198262083.0,9710417883.0,,13628853957.0,,,166677971.0,,964795750.0,,,,,,12497380236.0,,,933348018.0,,11564032218.0,-99929147.0,-99929147.0,,,,,,-99929147.0,12898343.0,,-295328148.0,,182500658.0,,,,,,4016769010.0,3818506927.0,198262083.0,1.07,0.95,定期报告,是,20240427,CNY,合并期末,2023-04-24T23:40:03
20220930,9025124123.0,6145808324.0,14061565534.0,7915757210.0,1037722830.0,1136790348.0,99067518.0,,,,252558279.0,,1089380486.0,48480848.0,,252558279.0,,,307966923.0,84793020.0,-1686.0,106895947.0,5124439470.0,117146073.0,2812520905.0,,2134096791.0,,,,,60675701.0,3900684653.0,1389769.0,,17494847.0,,3884579575.0,644735694.0,,3239843881.0,,,3100200724.0,139643157.0,,,,,,,,,,,,,,,,,,,,213526811.0,213526811.0,76323101.0,,,76323101.0,,213526811.0,12625122.0,,76323101.0,,124578588.0,,,,,,3453370692.0,3313727535.0,139643157.0,0.85,0.75,定期报告,未审计,20231024,CNY,合并期末,2022-10-23T16:05:04
20220630,5954495337.0,3986748846.0,9280761892.0,5294013046.0,786135743.0,840141567.0,54005824.0,,,,187301147.0,,692117372.0,36696575.0,,187301147.0,,,175492661.0,67111854.0,-1686.0,59589400.0,3270845114.0,87616578.0,1815392770.0,,1319489944.0,,,,,48345822.0,2683650223.0,1064094.0,,14813519.0,,2669900798.0,416369345.0,,2253531453.0,,,2176785039.0,76746414.0,9710417883.0,,11887202922.0,,,,,28135.0,,,,,,11887174787.0,,,933348018.0,,10953826769.0,106985901.0,106985901.0,,,,,,106985901.0,2523648.0,,61305196.0,,43157057.0,,,,,,2360517354.0,2283770940.0,76746414.0,0.59,0.53,定期报告,未审计,20230829,CNY,合并期末,2022-08-22T21:20:03
20220331,3000602378.0,1922885455.0,4569638123.0,2646752668.0,540550172.0,559616837.0,19066665.0,,,,58000956.0,,371541616.0,12468816.0,,58000956.0,,,39943028.0,54195982.0,-1686.0,13486855.0,1684581690.0,32626320.0,876765513.0,,732395761.0,,,,,42794096.0,1316020688.0,452032.0,,12532581.0,,1303940139.0,195511286.0,,1108428853.0,,,1072522549.0,35906304.0,,,,,,,,,,,,,,,,,,,,23517747.0,23517747.0,,,,,,23517747.0,-2423886.0,,-14967.0,,25956600.0,,,,,,1131946600.0,1096040296.0,35906304.0,0.29,0.26,定期报告,未审计,20230425,CNY,合并期末,2022-04-26T18:20:03
20211231,10829432907.0,7532829011.0,17208727227.0,9675898216.0,1222023033.0,1352282917.0,130259884.0,,,,82664141.0,,1635336469.0,56663039.0,,82664141.0,,,158143984.0,93599078.0,7324588.0,97512603.0,6915935200.0,107635134.0,3400947634.0,,3341223490.0,,,,,66128942.0,3913497707.0,8505407.0,,27305455.0,,3894697659.0,607407870.0,,3287289789.0,,,3106689163.0,180600626.0,8794899720.0,,11901588883.0,,,21000.0,,1391150000.0,,,,,,10510417883.0,,,800000000.0,,9710417883.0,241790328.0,241790328.0,,,,,,241790328.0,18816596.0,,125395979.0,,97577753.0,,,,,,3529080117.0,3348479491.0,180600626.0,0.85,0.79,定期报告,是,20230425,CNY,合并期末,2022-03-28T21:15:04
20210930,8094688995.0,5696620918.0,12807240910.0,7110619992.0,880951436.0,957413864.0,76462428.0,,,,49229241.0,,1133891289.0,46990491.0,,49229241.0,,,164238188.0,88704516.0,11261349.0,69792058.0,5050367861.0,82951807.0,2389999710.0,,2517569291.0,,,,,59847053.0,3044321134.0,4796063.0,,13668378.0,,3035448819.0,420518260.0,,2614930559.0,,,2462076536.0,152854023.0,,,,,,,,,,,,,,,,,,,,161417128.0,161417128.0,102560840.0,,,102560840.0,,58856288.0,17788071.0,,,,41068217.0,,,,,,2776347687.0,2623493664.0,152854023.0,0.74,0.69,定期报告,未审计,20221024,CNY,合并期末,2022-10-23T16:50:11
20210630,5510983989.0,3833013960.0,8430593748.0,4597579788.0,662587940.0,712754239.0,50166299.0,,,,8471330.0,,647623809.0,33244575.0,,8471330.0,,,223192149.0,75931996.0,11265541.0,48897264.0,3392779800.0,55897690.0,1564696302.0,,1718920548.0,,,,,53265260.0,2118204189.0,1561919.0,,5993973.0,,2113772135.0,272872933.0,,1840899202.0,,,1740280822.0,100618380.0,8794899720.0,,10535180542.0,,,,,473000000.0,,,,,,10062180542.0,,,800000000.0,,9262180542.0,92639561.0,92639561.0,1902956.0,,,1902956.0,,92639561.0,9995865.0,,57781124.0,,24862572.0,,,,,,1933538763.0,1832920383.0,100618380.0,0.52,0.5,定期报告,未审计,20220823,CNY,合并期末,2021-08-29T20:10:03
