报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,888979651.36,,,,,,,,,,,10698904.68,434048415.13,1333726971.17,444161236.19,,,,,,330687264.64,95233892.97,586558506.41,1456640900.21,-122913929.04,,,14090368.35,3830.0,,573424745.5,,,587518943.85,8315383.98,62500000.0,,,,589007137.16,659822521.14,-72303577.29,,,,65000000.0,,,65000000.0,102048061.11,832509.53,,,102880570.64,-37880570.64,-10198066.0,-243296142.97,1215275262.2,,,,,971979119.23,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T17:00:14
20251231,,3560334415.36,,,,,,,,,,,120129822.72,135200229.23,3815664467.31,1474809925.34,,,,,,862538592.41,253361866.34,526273346.04,3116983730.13,698680737.18,,,32655807.55,936942.06,,2023597502.2,,,2057190251.81,101859797.85,170839276.21,,,,2489422523.78,2762121597.84,-704931346.03,,336917222.14,,112000000.0,,,448917222.14,169550000.0,286125997.35,2734548.18,6332043.49,462008040.84,-13090818.7,18109403.1,-1232024.45,1216507286.65,1215275262.2,1216507286.65,,,1215275262.2,定期报告,是,20260417,CNY,合并期末,2026-04-16T20:58:03
20250930,,2381447305.65,,,,,,,,,,,108562913.92,571429883.36,3061440102.93,1158525950.74,,,,,,629263051.44,262276850.94,959862908.72,3009928761.84,51511341.09,,,9035257.33,185820.0,,1415877643.4,,,1425098720.73,37790927.89,157887572.91,,,,1516327743.22,1712006244.02,-286907523.29,,302330160.59,,112000000.0,,,414330160.59,144612000.01,282213712.18,,9023139.29,435848851.48,-21518690.89,24485600.04,-232429273.05,1216507286.65,,,,,984078013.6,定期报告,未审计,20251023,CNY,合并期末,2025-10-22T18:30:40
20250630,,1589144908.97,,,,,,,,,,,63677896.31,265665824.05,1918488629.33,647301379.76,,,,,,451384256.62,194706374.11,491339181.42,1784731191.91,133757437.42,,,3449367.25,140.0,,986977970.51,,,990427477.76,19311691.9,147887572.91,,,,860440189.54,1027639454.35,-37211976.59,,241919303.96,,102000000.0,,,343919303.96,124612000.01,281185044.94,,5093984.16,410891029.11,-66971725.15,21303838.6,50877574.28,1216507286.65,1267384860.93,1216507286.65,,,1267384860.93,定期报告,未审计,20250808,CNY,合并期末,2025-08-07T20:34:02
20250331,,719001204.75,,,,,,,,,,,15007176.4,111754797.67,845763178.82,346503962.65,,,,,,277130856.18,72303780.85,276632751.38,972571351.06,-126808172.24,,,422809.34,,,632486781.57,,,632909590.91,11862701.75,36772851.24,,,,538535117.01,587170670.0,45738920.91,,,,40000000.0,,,40000000.0,70000000.0,1297627.78,,,71297627.78,-31297627.78,6801375.75,-105565503.36,1216507286.65,,,,,1110941783.29,定期报告,未审计,20260424,CNY,合并期末,2025-04-24T21:12:07
20241231,,3212082003.69,,,,,,,,,,,128121256.23,85304195.64,3425507455.56,1392698134.78,,,,,,674028225.63,182465367.89,517258923.83,2766450652.13,659056803.43,,82358024.32,7330234.18,400691.23,,1133436108.46,,,1223525058.19,63131804.17,3000000.0,,,,1678754504.79,1744886308.96,-521361250.77,,130106692.43,,118270000.0,,,248376692.43,140000000.0,204072647.76,1039700.05,9436946.83,353509594.59,-105132902.16,-7344133.57,25218516.93,1191288769.72,1216507286.65,1191288769.72,,,1216507286.65,定期报告,是,20260417,CNY,合并期末,2025-04-17T21:26:08
20240930,,1848114058.99,,,,,,,,,,,101181680.29,337082809.5,2286378548.78,988771337.97,,,,,,499749145.54,166239462.03,682565804.28,2337325749.82,-50947201.04,,41323897.1,31489975.17,113000.0,,774407925.6,,,847334797.87,40085496.07,,,,,1045267229.78,1085352725.85,-238017927.98,,104978814.49,,120000000.0,,,224978814.49,105000000.0,196644792.36,,4673800.65,306318593.01,-81339778.52,-5580823.2,-375885730.74,1191288769.72,,,,,815403038.98,定期报告,未审计,20251023,CNY,合并期末,2024-10-23T18:50:25
20240630,,1120551683.15,,,,,,,,,,,59884216.4,122906949.05,1303342848.6,637284048.67,,,,,,361615225.15,105705410.71,327316587.67,1431921272.2,-128578423.6,,41323897.1,30470274.01,113000.0,,605503621.0,,,677410792.11,49511092.86,,,,,638287043.37,687798136.23,-10387344.12,,43597068.61,,110000000.0,,,153597068.61,100000000.0,194724682.61,,2496344.24,297221026.85,-143623958.24,-5585290.22,-288175016.18,1191288769.72,903113753.54,1191288769.72,,,903113753.54,定期报告,未审计,20250808,CNY,合并期末,2024-08-07T19:35:11
20240331,,433272809.32,,,,,,,,,,,33895822.77,49663904.23,516832536.32,300095518.3,,,,,,238613454.52,52030801.8,153569208.14,744308982.76,-227476446.44,,,2629328.44,13000.0,,344743621.0,,,347385949.44,24625775.21,,,,,327507483.31,352133258.52,-4747309.08,,30595534.24,,50000000.0,,,80595534.24,80000000.0,2132146.0,,,82132146.0,-1536611.76,-2462318.87,-236222686.15,1191288769.72,,,,,955066083.57,定期报告,未审计,20250425,CNY,合并期末,2024-04-24T20:35:05
20231231,,2625513576.01,,,,,,,,,,,85210010.04,85674242.64,2796397828.69,1160375107.53,,,,,,597436911.05,150950091.85,442289491.09,2351051601.52,445346227.17,,,10820566.52,873256.38,,1352476100.0,,,1364169922.9,140410230.26,11000000.0,,4551065.23,,1436413407.89,1592374703.38,-228204780.48,,126273777.29,405900.0,127660000.0,,,253933777.29,150510236.14,155987495.22,812274.74,10289509.14,316787240.5,-62853463.21,3148575.32,157436558.8,1033852210.92,1191288769.72,1033852210.92,,,1191288769.72,定期报告,是,20250418,CNY,合并期末,2024-04-17T21:00:06
