报告日,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,租赁收入,投资收益,对联营公司的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益/(损失),汇兑收益,其他业务收入,资产处置收益,其他收益,营业总收入,营业支出,营业费用,营业税金及附加,业务及管理费用,管理费用,财务费用,研发费用,营业总成本,资产减值损失,信用减值损失,其他资产减值损失,其他业务支出,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,加:年初未分配利润,其他因素调整,可供分配的利润,减:提取法定盈余公积,提取法定公益金,提取一般风险准备,提取信托赔偿准备金,应付永续债利息,其他,可供股东分配的利润,减:应付优先股股利,提取任意盈余公积,应付普通股股利,转作股本的普通股股利,未分配利润,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能重分类进损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下重分类进损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,429473165.18,82195274.43,223830070.36,141634795.93,271302008.44,271369727.82,67719.38,,61590117.52,323930.11,,,12746816.41,,231536.84,33917.6,1373493.94,,40312945.52,,3780591.65,180107397.76,,,,,,-143740892.56,,165848.67,389160219.66,500.36,,2406342.13,,386754377.89,96689945.2,290064432.69,290064432.69,,290064432.69,,,,,,,,,,,,,,,,,-335186458.36,-335186458.36,-335186458.36,,,-335186458.36,,,,,,,,,,,,-45122025.67,-45122025.67,,0.0567,0.0567,定期报告,未审计,20260425,CNY,合并期末,2026-04-24T20:03:04
20251231,2952464974.09,450216870.23,913030066.93,462813196.7,1397837686.83,1398338926.15,501239.32,,920068435.48,3652104.52,,,182021324.48,,872970.31,-128876.62,1576563.38,,1042668639.94,,29969694.76,876934350.96,,,,,,132987780.51,2113420.0,663393.71,1909796334.15,114100.13,,2319363.57,,1907591070.71,475023015.76,1432568054.95,1432568054.95,,1432568054.95,,4888766412.04,82414102.22,6403748569.21,143366885.78,,10059949.69,71683442.89,,,6178638290.85,,,409117628.64,,5769520662.21,32560767.59,32560767.59,32560767.59,,,32560767.59,,,,,,,,,,,,1465128822.54,1465128822.54,,0.2801,0.2801,定期报告,是,20260210,CNY,合并期末,2026-02-09T20:13:57
20250930,2161059842.35,325621879.23,672765561.61,347143682.38,1029085820.47,1029391940.89,306120.42,,686247276.42,450418.04,,,117817510.83,,717838.02,-7046.0,1576563.38,,838428658.12,,20811715.19,648473322.77,,,,,,168646075.12,,497545.04,1322631184.23,112515.75,,1728164.98,,1321015535.0,324962707.05,996052827.95,996052827.95,,996052827.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996052827.95,996052827.95,,0.1948,0.1948,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:53:04
20250630,1366801195.51,242701608.25,420949668.52,178248060.27,709194252.29,709384746.25,190493.96,,308771434.75,-1351548.06,,,103974215.27,,588733.73,-5612.16,1576563.38,,398075779.77,,12051828.75,430054314.57,,,,,,-44362059.92,,331696.37,968725415.74,110790.09,,1196029.7,,967640176.13,242030812.38,725609363.75,725609363.75,,725609363.75,,4888766412.04,,5614375775.79,72315851.99,,,36157925.99,,,5505901997.81,,,255698517.9,,5250203479.91,,,,,,,,,,,,,,,,,,725609363.75,725609363.75,,0.1419,0.1419,定期报告,未审计,20250827,CNY,合并期末,2025-08-26T21:13:02
20250331,706398126.22,106360541.23,238916725.69,132556184.46,304471927.81,304567544.88,95617.07,,229388293.38,272463.68,,,64486519.09,,119800.69,-5519.36,1576563.38,,189247613.12,,6310699.76,194151253.26,,,,,,-11380187.6,,165847.7,517150513.1,8244.51,,1165517.61,,515993240.0,129008697.62,386984542.38,386984542.38,,386984542.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386984542.38,386984542.38,,0.0757,0.0757,定期报告,未审计,20260425,CNY,合并期末,2025-04-24T18:43:04
20241231,2927639556.38,395105597.8,913338435.82,518232838.02,1662391236.19,1665815573.68,3424337.49,,894780854.7,3347156.98,,,-27324569.21,,1074428.67,259124.13,1352884.1,,1091931891.68,,26051275.32,828467005.74,,,,,,236750219.82,,663390.8,1835707664.7,3328.26,,9986919.48,,1825724073.48,464670169.12,1361053904.36,1361053904.36,,1361053904.36,,4314305838.26,,5675359742.62,136105308.03,,19898629.16,68052654.01,,,5451303151.42,,,562536739.38,,4888766412.04,,,,,,,,,,,,,,,,,,1361053904.36,1361053904.36,,0.2661,0.2661,定期报告,是,20260210,CNY,合并期末,2025-03-17T20:28:08
20240930,2016284164.67,154779014.9,597958633.96,443179619.06,1178016867.26,1181324725.41,3307858.15,,654046350.14,2225845.49,,,27206272.11,,884069.38,-1293.22,1352884.1,,782298668.15,,18433219.67,604775176.92,,,,,,158592728.46,,497543.1,1233985496.52,1000.83,,1026137.98,,1232960359.37,298577613.91,934382745.46,934382745.46,,934382745.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934382745.46,934382745.46,,0.1827,0.1827,定期报告,未审计,20251028,CNY,合并期末,2024-10-28T18:58:02
20240630,1408304118.73,186410426.06,459303947.68,272893521.62,811449612.02,814521547.47,3071935.45,,448528689.78,1216085.74,,,-40013348.99,,577148.98,-1293.22,1352884.1,,492767605.61,,13087039.1,404063814.32,,,,,,75285056.79,,331695.4,915536513.12,1000.67,,956687.98,,914580825.81,228391307.72,686189518.09,686189518.09,,686189518.09,,4314305838.26,,5000495356.35,68619488.76,,4472071.73,34309744.38,,,4893094051.48,,,357977925.06,,4535116126.42,,,,,,,,,,,,,,,,,,686189518.09,686189518.09,,0.1342,0.1342,定期报告,未审计,20250827,CNY,合并期末,2024-08-26T19:58:02
20240331,714644500.25,106649219.75,228277914.8,121628695.05,380938712.27,383424738.06,2486025.79,,212256808.51,-98830.01,,,12987726.64,,459148.98,,1352884.1,,223594669.54,,6386173.99,182540052.59,,,,,,34502595.26,,165847.7,491049830.71,0.67,,918937.87,,490130893.51,122533853.53,367597039.98,367597039.98,,367597039.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367597039.98,367597039.98,,0.0719,0.0719,定期报告,未审计,20250425,CNY,合并期末,2024-04-25T20:38:07
20231231,2812799741.8,626187166.34,967305472.98,341118306.64,1544539051.9,1552603859.78,8064807.88,,696043353.65,-6730453.91,,,-55884169.7,,935467.24,91680.65,887191.72,,1367505634.23,,25011511.49,732274706.56,,,,,,609556025.38,,663390.8,1445294107.57,9704.1,,8709964.35,,1436593847.32,354109045.46,1082484801.86,1082484801.86,,1082484801.86,,3569253018.36,,4651737820.22,108248164.82,,21640623.99,54124082.41,,,4467724949.0,,,153419110.74,,4314305838.26,-57786801.88,-57786801.88,-57786801.88,,,-57786801.88,,,,,,,,,,,,1024697999.98,1024697999.98,,0.2117,0.2117,定期报告,是,20250318,CNY,合并期末,2024-03-17T15:38:02
