报告日,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,中间业务净收入,中间业务收入,中间业务支出,净交易收入,衍生金融工具交易净收入,投资收益,对联营公司的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,租赁收入,净敞口套期收益,公允价值变动收益/(损失),其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,折旧费,提取呆账准备,研发费用,其他业务支出,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,加:年初未分配利润,其他因素调整,可供分配的利润,一般风险准备转入,盈余公积转入,减:提取法定盈余公积,提取法定公益金,提取一般风险准备,提取信托赔偿准备金,盈余公积补亏,提取职工奖福基金,应付永续债利息,其他,可供股东分配的利润,减:应付优先股股利,提取任意盈余公积,应付普通股股利,转作股本的普通股股利,未分配利润,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能重分类进损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下重分类进损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,2791168000.0,1938534000.0,3642389000.0,1703855000.0,307250000.0,332513000.0,25263000.0,,,,8923000.0,,259606000.0,,,8923000.0,,,264117000.0,5538000.0,1865000.0,5335000.0,1308141000.0,27970000.0,735820000.0,,544273000.0,,,,,78000.0,1483027000.0,1066000.0,,16441000.0,,1467652000.0,219829000.0,,1247823000.0,1247823000.0,,1247823000.0,,,,,,,,,,,,,,,,,,,,,82727000.0,82727000.0,,,,,,82727000.0,,,81137000.0,,1590000.0,,,,,,1330550000.0,1330550000.0,,0.21,0.17,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T22:50:03
20251231,10027100000.0,7361589000.0,15127489000.0,7765900000.0,814778000.0,957753000.0,142975000.0,,,,44949000.0,,2569192000.0,,,44949000.0,,,-914766000.0,49641000.0,41039000.0,60678000.0,7066125000.0,133949000.0,3656621000.0,,3275103000.0,,,,,452000.0,2960975000.0,98502000.0,,44419000.0,,3015058000.0,-124017000.0,,3139075000.0,3139075000.0,,3128212000.0,10863000.0,12440056000.0,-35352000.0,15532916000.0,,,278589000.0,,163313000.0,,,,,241000000.0,14850014000.0,,,666674000.0,,14183340000.0,-781482000.0,-781482000.0,40133000.0,40133000.0,,,,-821615000.0,,,-609076000.0,,-212539000.0,,,,,,2357593000.0,2346730000.0,10863000.0,0.52,0.45,定期报告,是,20260429,CNY,合并期末,2026-04-28T22:50:03
20250930,8027500000.0,5509428000.0,11489208000.0,5979780000.0,700594000.0,792277000.0,91683000.0,,,,35558000.0,,1574144000.0,,,35558000.0,,,78171000.0,43136000.0,37949000.0,48520000.0,4362433000.0,101590000.0,2207490000.0,,2052923000.0,,,,,430000.0,3665067000.0,10388000.0,,27818000.0,,3647637000.0,319218000.0,,3328419000.0,3328419000.0,,3317570000.0,10849000.0,,,,,,,,,,,,,,,,,,,,-1042695000.0,-1042695000.0,,,,,,-1042695000.0,,,-730640000.0,,-312055000.0,,,,,,2285724000.0,2274875000.0,10849000.0,0.57,0.49,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T18:14:05
20250630,5751671000.0,3623539000.0,7698004000.0,4074465000.0,544879000.0,592746000.0,47867000.0,,,,25403000.0,,1024967000.0,,,25403000.0,,,416416000.0,39094000.0,37485000.0,39888000.0,3452139000.0,70378000.0,1449555000.0,,1932229000.0,-200000.0,,,,177000.0,2299532000.0,9273000.0,,5462000.0,,2303343000.0,164917000.0,,2138426000.0,2138426000.0,,2134171000.0,4255000.0,12440056000.0,,14574227000.0,,,278589000.0,,163313000.0,,,,,145000000.0,13987325000.0,,,666674000.0,,13320651000.0,-307826000.0,-307826000.0,,,,,,-307826000.0,,,-304287000.0,,-3539000.0,,,,,,1830600000.0,1826345000.0,4255000.0,0.36,0.3,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T20:38:06
20250331,3056774000.0,1790685000.0,3846356000.0,2055671000.0,331165000.0,356048000.0,24883000.0,,,,13663000.0,,961641000.0,,,13663000.0,,,-103205000.0,2908000.0,37508000.0,22409000.0,1762537000.0,37426000.0,723418000.0,,1001560000.0,,,,,133000.0,1294237000.0,1507000.0,,1863000.0,,1293881000.0,114962000.0,,1178919000.0,1178919000.0,,1181615000.0,-2696000.0,,,,,,,,,,,,,,,,,,,,-626471000.0,-626471000.0,,,,,,-626471000.0,,,-607350000.0,,-19121000.0,,,,,,552448000.0,555144000.0,-2696000.0,0.2,0.17,定期报告,未审计,20260429,CNY,合并期末,2025-04-24T23:26:04
20241231,11033073000.0,7220660000.0,15995160000.0,8774500000.0,782444000.0,938678000.0,156234000.0,,,,55385000.0,,1878405000.0,,,55385000.0,,,868404000.0,35592000.0,76796000.0,115387000.0,8616315000.0,124747000.0,3391261000.0,,5113067000.0,-13000000.0,,,,240000.0,2416758000.0,86908000.0,,15134000.0,,2488532000.0,-360782000.0,,2849314000.0,2849314000.0,,2856483000.0,-7169000.0,11319623000.0,,14176106000.0,,,533633000.0,,405855000.0,,,,,241000000.0,12995618000.0,,,555562000.0,,12440056000.0,568666000.0,568666000.0,44552000.0,44552000.0,,,,524114000.0,,,503462000.0,,20652000.0,,,,,,3417980000.0,3425149000.0,-7169000.0,0.47,0.41,定期报告,是,20260429,CNY,合并期末,2025-04-24T23:28:04
20240930,8442466000.0,5397963000.0,12076758000.0,6678795000.0,683466000.0,777037000.0,93571000.0,,,,36853000.0,,1187270000.0,,,36853000.0,,,941896000.0,31116000.0,75398000.0,88504000.0,5182193000.0,94085000.0,2162365000.0,,2938520000.0,-13000000.0,,,,223000.0,3260273000.0,6857000.0,,9906000.0,,3257224000.0,54210000.0,,3203014000.0,3203014000.0,,3203246000.0,-232000.0,,,,,,,,,,,,,,,,,,,,102856000.0,102856000.0,,,,,,102856000.0,,,118524000.0,,-15668000.0,,,,,,3305870000.0,3306102000.0,-232000.0,0.55,0.47,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T18:50:08
20240630,5858890000.0,3568582000.0,8062469000.0,4493887000.0,535719000.0,595421000.0,59702000.0,,,,26170000.0,,691047000.0,,,26170000.0,,,894055000.0,29246000.0,53690000.0,60381000.0,3851205000.0,62319000.0,1396129000.0,,2405538000.0,-13000000.0,,,,219000.0,2007685000.0,1574000.0,,6605000.0,,2002654000.0,-12461000.0,,2015115000.0,2015115000.0,,2028257000.0,-13142000.0,11319623000.0,,13347880000.0,,,255044000.0,,402361000.0,,,,,145000000.0,12545475000.0,,,555562000.0,,11989913000.0,238594000.0,238496000.0,,,,,,238496000.0,,,235455000.0,,3041000.0,,,,,98000.0,2253709000.0,2266753000.0,-13044000.0,0.34,0.29,定期报告,未审计,20250828,CNY,合并期末,2024-08-30T18:10:04
20240331,3026912000.0,1751616000.0,4017920000.0,2266304000.0,308440000.0,341033000.0,32593000.0,,,,13165000.0,,533441000.0,,,13165000.0,,,368530000.0,10681000.0,7142000.0,33897000.0,1890843000.0,31432000.0,679764000.0,,1192478000.0,-13000000.0,,,,169000.0,1136069000.0,433000.0,,2712000.0,,1133790000.0,52484000.0,,1081306000.0,1081306000.0,,1094399000.0,-13093000.0,,,,,,,,,,,,,,,,,,,,78825000.0,78567000.0,,,,,,78567000.0,,,86561000.0,,-7994000.0,,,,,258000.0,1160131000.0,1172966000.0,-12835000.0,0.18,0.15,定期报告,未审计,20250425,CNY,合并期末,2024-04-26T23:05:07
20231231,10325454000.0,7355597000.0,16465840000.0,9110243000.0,595935000.0,744846000.0,148911000.0,,,,62594000.0,,1599352000.0,,,62594000.0,,,289223000.0,115148000.0,27139000.0,280466000.0,8089119000.0,113407000.0,3273625000.0,,4661826000.0,40200000.0,,,,61000.0,2236335000.0,5819000.0,,16262000.0,,2225892000.0,-377056000.0,,2602948000.0,2602948000.0,,2567839000.0,35109000.0,9618190000.0,,12186029000.0,,,485316000.0,,140090000.0,,,,,,11560623000.0,,,,,11319623000.0,211433000.0,209287000.0,24449000.0,23728000.0,,721000.0,,184838000.0,,,157121000.0,,27717000.0,,,,,2146000.0,2814381000.0,2777126000.0,37255000.0,0.42,0.37,定期报告,是,20250425,CNY,合并期末,2024-04-26T21:15:05
