报告日,资产,货币资金,其中：现金,其中：存放中央银行款项,存放同业款项,存放联行款项,贵金属,结算备付金,进出口押汇,拆出资金,其中：拆放同业,其中：拆放金融性公司,交易性金融资产,买入返售金融资产,应收票据及应收账款,应收账款,应收票据,应收款项融资,预付账款,应收股利,应收利息,应收租赁款,应收保证金,其他应收款,贴现,发放贷款及垫款总额,减：贷款损失准备,发放贷款及垫款净额,代理证券,委托资金,合同资产,存货净额,待处理抵债资产总额,减：抵债资产减值准备,待处理抵债资产净额,待摊费用,可供出售金融资产,划分为持有待售的资产,长期股权投资,投资子公司,投资性房地产,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,衍生金融资产,其他权益工具投资,应收投资款项,长期应收款,未确认的收益,递延税款贷项,固定资产原值,减：累计折旧,固定资产净值,减：固定资产减值准备,在建工程,固定资产净额,固定资产清理,固定资产合计,融资租赁资产,预付租赁资产款,使用权资产,无形资产,商誉,长期待摊费用,递延税款借项,其他长期资产,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产合计,资产总计,负债,短期借款,拆入资金,向中央银行借款,同业存入及拆入,其中：同业存放款项,联行存放款项,吸收存款及同业存放,吸收存款,应解汇款及临时存款,交易性金融负债,卖出回购金融资产款,应付票据及应付账款,应付票据,应付账款,预收账款,应付职工薪酬,其中：应付工资,其中：应付福利费,应交税金,应付股利,应付利息,应付债券款,应付债券：优先股,应付债券：永续债,应付次级债,应付保证金,应付代理证券款,其他应付款,衍生金融负债,预提费用,汇出汇款,长期借款,合同负债,专项应付款,划分为持有待售的负债,预计负债,长期应付款,长期递延收益,租赁负债,其他负债,货币兑换,一年内到期的长期负债,其他流动负债,流动负债合计,其他长期负债,长期负债合计,负债合计,所有者权益,实收资本净额,其他权益工具,优先股,永续债,资本公积,其他综合收益,库存股,盈余公积,一般风险准备,未分配利润,其中：拟分配现金股利,外币折算差额,其他储备,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,44929449183.12,,,,,,25264955.81,,,,,7725499014.04,106731008.69,51658598.11,51658598.11,,67712145.46,836153944.06,,,,856345.12,1673767124.29,,,,,,,,,,,,,,,953580460.04,,396234539.52,378605764.12,,,,,17750787.4,,,,,,,,,,351725768.8,,351725768.8,,,307326811.72,22120767.64,,14650421.17,119580530.49,2639190093.18,,,,,95941066684.43,,1795136820.22,,,,,,,,,1142394771.27,,2274537070.79,2218915295.5,55621775.29,445002226.06,589713816.04,,,88535165.64,,,,,,,,182966105.64,3290477064.36,,,,,95251.52,,,,,,315258123.11,49764890.31,,,,,,,82542596681.12,,1455555556.0,,,,3862739025.99,18430888.85,44998120.06,727777778.0,873067709.66,6505897164.87,,,,13398470003.31,,13398470003.31,95941066684.43,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T19:23:06
20251231,,41948896710.3,,,,,,24361840.46,,,,,8236575225.87,22336000.0,61356605.29,61356605.29,,43920207.37,605946449.86,,,,848522.8,1576937391.51,,,,,,,,,,,,,,,957792423.81,,399855019.86,424668885.79,,,,,17840787.4,,,,763279.95,484752211.21,140336293.54,344415917.67,,,344415917.67,,344415917.67,,,315612503.13,23050508.83,,6984002.95,67138282.07,1579846232.93,,,,,83005437230.48,,988513068.44,,,,,,,,,981597755.49,,3096253733.58,3062860081.6,33393651.98,284129971.45,647499053.4,,,67216373.44,,,,,,,,137275855.37,4177307977.5,,,,,50786.14,,,,,,313829910.81,33093214.85,,,,,,,69735756003.2,,1455555556.0,,,,3862739025.99,63629082.5,24998624.63,727777778.0,873067709.66,6311910699.76,,,,13269681227.28,,13269681227.28,83005437230.48,定期报告,是,20260424,CNY,合并期末,2026-04-23T19:23:06
20250930,,30413032363.66,,,,,,30598109.42,,,,,8743000797.2,98509082.45,101134247.76,101134247.76,,24868484.83,846798022.2,,,,1577099.74,1205270437.27,,,,,,,,1500430000.24,,,,,,,939175635.7,,403475500.2,205052910.93,,,,,17840787.4,,,,179048696.25,,,,,,344036223.39,,344036223.39,,,27610077.71,22446012.42,,8279280.78,262531650.81,114650417.41,,,,,70715322796.55,,788817737.47,,,,,,,,,1137969612.8,,2536663037.16,2377598142.9,159064894.26,9592.27,584511080.64,,,58516920.46,,,,,,,,140537291.81,2978264195.09,,,,,491064928.02,,,,,,29110043.18,58826684.11,,,,,,,57570215502.28,,1455555556.0,,,,3862739025.99,89279250.89,14998831.76,700281324.48,760172338.41,6292078630.26,,,,13145107294.27,,13145107294.27,70715322796.55,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T18:45:05
20250630,,28170601163.02,,,,,,27187692.64,,,,,8648274338.93,118230016.46,87537779.29,87537779.29,,8555231.23,763255803.56,,,,862468.05,678559665.84,,,,,,,,984325818.76,,,,,,,900320148.21,,291142524.27,,,,,,17840787.4,,,,77479942.84,596818405.67,137701012.1,459117393.57,,,459117393.57,,459117393.57,,,31399250.38,24015575.11,,8669180.84,219166732.79,107143716.53,,,,,62429556131.46,,534445801.49,,,,,,,,,905768126.24,,1723211401.26,1578489756.8,144721644.46,13877.96,505473551.74,,,64290978.69,,,,,,,,342988109.98,2922243589.83,,,,,437285812.19,,,,,,31144260.47,47044693.8,,,,,,,49570083463.45,,1455555556.0,,,,3862739025.99,93361041.88,,700281324.48,760172338.41,5987363381.25,,,,12859472668.01,,12859472668.01,62429556131.46,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T20:39:04
20250331,,25960104340.97,,,,,,26009915.17,,,,,9022095701.0,130042000.08,47627540.69,47627540.69,,18444935.94,785292113.23,,,,866637.96,694374722.28,,,,,,,,1751449823.68,,,,,,,934627139.5,,293810312.31,20761325.98,,,,,18308387.4,,,,102048201.03,,,,,,464466006.46,,464466006.46,,,35295895.1,22888774.78,,5515643.05,266516346.42,114589920.69,,,,,62060775649.85,,687579344.81,,,,,,,,,956874858.3,,1064279142.64,971120619.3,93158523.34,1810863.38,579945435.42,,,96427396.95,,,,,,,,143082017.78,3669114212.94,,,,,663430698.51,,,,,,33092157.7,74795770.51,,,,,,,49248896378.65,,1455555556.0,,,,3862739025.99,104734511.79,,700281324.48,760172338.41,5928396514.53,,,,12811879271.2,,12811879271.2,62060775649.85,定期报告,未审计,20250424,CNY,合并期末,2025-04-23T20:21:04
20241231,,37075301837.27,,,,,,29655623.4,,,,,9354521352.73,,43192569.96,43192569.96,,11311500.0,437979420.09,,,,1081364.36,865945261.32,,,,,,,,945616394.44,,,,,,,925735683.81,,296473194.02,20515736.94,,,,,18658387.4,,,,145578170.04,591587120.84,125750840.07,465836280.77,,,465836280.77,,465836280.77,,,39762790.41,24454682.72,,6259709.99,267436164.67,1063813595.89,,,,,69229398098.57,,560465712.18,,,,,,,,,945423106.71,,924611297.11,888106864.45,36504432.66,288117868.5,650889400.87,,,87926350.65,,,,,,,,161485144.73,3854952357.58,,,,,74318.65,,,617850.0,,,32449446.82,27252992.97,,,,,,,56410640827.4,,1455555556.0,,,,3862739025.99,108533253.77,,700281324.48,760172338.41,5931475772.52,,,,12818757271.17,,12818757271.17,69229398098.57,定期报告,是,20260424,CNY,合并期末,2025-04-23T20:21:04
20240930,,25649896156.45,,,,,,28844088.63,,,,,10840206178.81,3835033.3,193012960.19,193012960.19,,19404350.62,700841554.58,,,,22060622055.43,1339827534.51,,,,,,,,1094446621.56,,,,,,,911213342.25,,299141061.47,20264690.37,,,,,18658387.4,,,,435736919.14,,,,,,89899513.65,,89899513.65,,,46990427.42,22153024.06,,5928201.84,534707279.72,431184276.88,,,,,64887388887.46,,527427323.01,,,,,,,,,1304680959.03,,1577906592.6,1437831009.23,140075583.37,1880862.97,647957109.57,,,97970923.52,,,,,,,,149719495.5,6085725179.47,,,,,735643410.14,,,617850.0,,,34848028.05,76293023.75,,,,,,,52272541132.27,,1455555556.0,,,,3862739025.99,73026974.11,,658536305.46,718427319.39,5846562574.24,,,,12614847755.19,,12614847755.19,64887388887.46,定期报告,未审计,20241030,CNY,合并期末,2024-10-29T18:51:03
20240630,,23856717475.16,,,,,,25081569.45,,,,,10782072710.75,,159341725.68,159341725.68,,17169760.0,797007596.73,,,,1000401.44,1074257729.6,,,,,,,,2008795614.13,,,,,,,896389381.27,,301808928.92,20013643.8,,,,,18658387.4,,,,378293423.7,214568517.07,122232505.13,92336011.94,,,92336011.94,,92336011.94,,,41433007.43,22397151.11,,6518389.25,473589149.69,175019998.17,,,,,59377698469.09,,718232484.08,,,,,,,,,893585751.68,,1080457482.76,1007475364.08,72982118.68,7394375.83,624064599.66,,,85746735.56,,,,,,,,135060392.4,6311409129.14,,,,,627295468.01,,,,,,24781666.41,64692851.99,,,,,,,46780210628.9,,1455555556.0,,,,3862925799.36,94159227.04,,658536305.46,718427319.39,5807883632.94,,,,12597487840.19,,12597487840.19,59377698469.09,定期报告,未审计,20240828,CNY,合并期末,2024-08-27T20:31:03
20240331,,23144948465.75,,,,,,22383865.82,,,,,9826987411.45,387000.78,158662563.17,158662563.17,,21567478.83,885398506.94,,,,17453404258.32,1242523860.15,,,,,,,,2387150150.52,,,,,,,877107560.33,,304476796.37,20761326.0,,,,,18658387.4,,,,301181263.42,,,,,,95004119.57,,95004119.57,,,48552441.95,23092474.93,,8222932.05,443836205.5,158662365.86,,,,,57342648034.16,,659570038.91,,,,,,,,,808228896.86,,815362717.79,724654230.88,90708486.91,1767064.96,647329258.06,,,48815893.06,,,,,,,34218445959.62,125958417.21,6185001459.29,,,,,599433594.44,,,451086.09,,,47408106.2,70869526.85,,,,,,,44869138561.76,,1455555556.0,,,,3862925799.36,81933739.77,,658536305.46,718427319.39,5696130752.42,,,,12473509472.4,,12473509472.4,57342648034.16,定期报告,未审计,20240426,CNY,合并期末,2024-04-25T19:36:04
20231231,,36196310443.3,,,,,,28134920.44,,,,,11052801321.86,110715501.29,168682463.45,168682463.45,,30452555.05,490723594.77,,,,853854.98,1060013018.13,,,,,,,,1144637300.56,,,,,,,863027970.61,,307144663.82,20513008.19,,,,,18658387.4,,,,279651328.67,214808479.72,117080019.01,97728460.71,,,97728460.71,,97728460.71,,,87373963.0,24543794.3,,9113474.61,403195226.71,79922244.82,,,,,70419300597.02,,881872150.03,,,,,,,,,1166655915.13,,1738232557.51,1686908539.73,51324017.78,7274798.7,730816359.57,,,49620625.77,,,,,,,45088828878.9,249806249.55,7112309475.12,,,,,270705583.49,,,450921.89,,,84335616.19,27597879.95,,,,,,,58024338245.59,,1455555556.0,,,,3862422524.51,81853333.36,,658536305.46,718427319.39,5618167312.71,,,,12394962351.43,,12394962351.43,70419300597.02,定期报告,是,20250424,CNY,合并期末,2024-04-25T19:36:04
