报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,1424383501.16,789507516.23,517990361.36,65988869.44,45496136.81,,,,66541517.0,336791980.47,270250463.47,568070808.98,-992940.86,,,-196797564.31,-1105124.54,186469927.72,7457.95,11688962.13,1035921474.44,10789971.89,857293628.8,,83879.32,,,167753994.43,388462026.72,38827.97,,147708.37,,388353146.32,99226605.9,289126540.42,289126540.42,,284498746.94,4627793.48,,,101588169.47,101588169.47,101565520.56,,,101565520.56,,22648.91,,,22632.93,,15.98,,,,,,,390714709.89,386086916.41,4627793.48,0.0637,0.0637,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T19:43:44
20251231,5984624114.13,2417789769.54,1360701635.1,405248181.76,159416230.82,,,,101507981.16,1103571443.96,1002063462.8,2750371773.15,638370.87,,,-316319417.71,-1899334.81,1000172944.44,1113196.74,31887201.62,3715648839.96,45131280.69,2764459832.43,,10206335.05,,,895851391.79,2268975274.17,723270.37,,3313678.62,,2266384865.92,453428891.67,1812955974.25,1812955974.25,,1753652721.0,59303253.25,3717684533.35,,67993030.65,67993030.65,71698105.1,,,71698105.1,,-3705074.45,,,-3498515.92,,-206558.53,,,,,,,1880949004.9,1821645751.65,59303253.25,0.3929,0.3929,定期报告,是,20260402,CNY,合并期末,2026-04-01T21:13:02
20250930,4334608954.84,1698068601.98,980208127.53,283322499.05,101545071.22,,,,25032694.16,786813192.84,761780498.68,2106099140.26,183240.86,,,-252448620.59,-724994.94,733671915.82,534324.47,24375893.68,2641985991.26,32167860.44,1951829784.58,,-582366.81,,,658570713.05,1692622963.58,169310.9,,2394621.09,,1690397653.39,424994023.7,1265403629.69,1265403629.69,,1243466169.24,21937460.45,,,31043179.44,31043179.44,34782898.31,,,34782898.31,,-3739718.87,,,-3533139.76,,-206579.11,,,,,,,1296446809.13,1274509348.68,21937460.45,0.2786,0.2786,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T18:33:10
20250630,2788940312.47,1019431184.44,549050165.16,198848362.07,67360255.26,,,,-6940724.82,523696670.87,530637395.69,1383764871.32,534.64,,,-119995448.87,-308042.43,499977166.31,50101.25,12961205.27,1720300718.3,20053258.58,1250438593.12,,-956024.23,,,450764890.83,1068639594.17,61368.11,,328401.08,,1068372561.2,269697407.61,798675153.59,798675153.59,,784913136.7,13762016.89,3717684533.35,,50538971.09,50538971.09,41388023.66,,,41388023.66,,9150947.43,,,8669623.29,,481324.14,,,,,,,849214124.68,835452107.79,13762016.89,0.1759,0.1759,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T21:03:02
20250331,1216245393.81,475156374.45,293099523.1,54483044.01,28251108.87,,,,13838709.59,267924937.36,254086227.77,739857149.96,-1198.75,,,-276716698.02,-90772.46,256302462.43,36038.26,7862129.6,817267420.09,10981425.66,574521433.85,,-234808.86,,,231999369.44,398977973.72,7871.19,,157075.74,,398828769.17,100409334.78,298419434.39,298419434.39,,291053008.81,7366425.58,,,-5448921.13,-5448921.13,-3590645.57,,,-3590645.57,,-1858275.56,,,-1846131.3,,-12144.26,,,,,,,292970513.26,285604087.68,7366425.58,0.0652,0.0652,定期报告,未审计,20260424,CNY,合并期末,2025-04-23T22:23:07
20241231,6712047091.34,1791249263.27,947231526.46,280361117.92,167511567.8,,,,-113905905.76,1019143259.85,1133049165.61,2201608029.2,3471238.38,,,292326796.69,254945.87,2516771964.23,267853.09,23474144.75,4970766050.15,33710941.75,2501448173.88,,2552118.69,,,2433054815.83,1741281041.19,3808545.04,,2834018.12,,1742255568.11,314168705.28,1428086862.83,1428086862.83,,1403260839.02,24826023.81,3285113100.95,,2661569.02,2661569.02,-861664.67,,,-861664.67,,3523233.69,,,3323045.56,,200188.13,,,,,,,1430748431.85,1405922408.04,24826023.81,0.314,0.314,定期报告,是,20260402,CNY,合并期末,2025-04-23T22:43:07
20240930,4430617170.59,1127355257.92,549473769.26,161617558.56,125890517.52,,,,-145723293.05,718607533.84,864330826.89,1492128753.53,-462568.15,,,116523036.0,-539539.21,1829648651.48,11823.12,11212480.8,3471070980.69,21779556.28,1677546805.25,,-484219.82,,,1772228838.98,959546189.9,2984163.77,,1833126.27,,960697227.4,212839653.36,747857574.04,747857574.04,,728751323.33,19106250.71,,,-8542099.08,-8542099.08,-8247992.71,,,-8247992.71,,-294106.37,,,-284521.17,,-9585.2,,,,,,,739315474.96,720209224.25,19106250.71,0.163,0.163,定期报告,未审计,20251029,CNY,合并期末,2024-10-29T19:28:09
20240630,3329177662.17,745718398.06,378596256.19,84862913.58,79533187.08,,,,-105528522.72,485371629.76,590900152.48,1089300597.87,-308892.47,,,307536805.03,302898.85,1286120940.57,-1923.29,5728467.8,2443696122.99,14817568.22,1159254459.08,,21764664.97,,,1247859430.72,885481539.18,762829.97,,670720.1,,885573649.05,217774417.83,667799231.22,667799231.22,,653598725.73,14200505.49,3285113100.95,,-6473488.75,-6473488.75,-6367001.73,,,-6367001.73,,-106487.02,,,-100615.33,,-5871.69,,,,,,,661325742.47,647125236.98,14200505.49,0.1462,0.1462,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T21:13:21
20240331,1595146414.04,355515005.72,188765237.11,36298991.4,23710759.2,,,,-66104415.44,241980219.88,308084635.32,361926064.04,-154978.47,,,125247178.76,71955.19,812834040.72,-1923.29,5658508.34,1323595207.74,5771423.49,527303759.68,,-4879411.79,,,795399436.36,271551206.3,336519.34,,29109.91,,271858615.73,67760591.88,204098023.85,204098023.85,,196224554.94,7873468.91,,,-1406757.76,-1406757.76,-1325244.75,,,-1325244.75,,-81513.01,,,-81460.64,,-52.37,,,,,,,202691266.09,194817797.18,7873468.91,0.0439,0.0439,定期报告,未审计,20250424,CNY,合并期末,2024-04-23T19:53:24
20231231,6894312207.0,1718512139.28,794398000.92,359946222.71,118342428.83,,,,-252372697.17,1035821993.74,1288194690.91,2024450666.97,8773616.29,,,271587146.81,599305.44,3098486606.71,356531.37,32692507.59,5349642779.06,29924574.88,2281441250.66,,-808429.19,,,3039085382.71,1544669427.94,2038120.63,,14969822.79,,1531737725.78,333903223.33,1197834502.45,1197834502.45,,1165704235.19,32130267.26,2713465751.87,,-20511429.7,-20511429.7,-21421378.86,,,-21421378.86,,909949.16,,,972174.48,,-62225.32,,,,,,,1177323072.75,1145192805.49,32130267.26,0.2608,0.2608,定期报告,是,20250424,CNY,合并期末,2024-04-23T20:39:01
