stock_code,report_year,source,rds_name,rds_value,tushare_label,tushare_value,abs_diff,rel_err_pct,class,color
600887,2020,tushare_vs_rds,[income_statement] 基它收入,676326283.34,[cash_flow] finan_exp,667632738.17,8693545.170000076,1.2854069676351305,large_error,red
600887,2020,tushare_vs_rds,[income_statement] 资产处置收益,-6008330.64,[cash_flow] credit_impa_loss,-11862110.01,5853779.37,97.42771696066315,large_error,red
600887,2020,tushare_vs_rds,[income_statement] 三、营业利润,8558231600.62,[income_statement] operate_profit,8558231600.62,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 营业外收入,48521943.53,[income_statement] non_oper_income,48521943.53,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 减：营业外支出,456904245.59,[income_statement] non_oper_exp,456904245.59,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 四、利润总额,8149849298.56,[income_statement] total_profit,8149849298.56,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 减：所得税,1050910603.15,[income_statement] income_tax,1050910603.15,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 五、净利润,7098938695.41,[income_statement] n_income,7098938695.41,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 持续经营净利润,7098938695.41,[income_statement] n_income,7098938695.41,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 归属于母公司所有者的净利润,7078176787.81,[income_statement] n_income_attr_p,7078176787.81,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 少数股东损益,20761907.6,[income_statement] minority_gain,20761907.6,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] （一）基本每股收益,1.17,[income_statement] basic_eps,1.17,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] （二）稀释每股收益,1.18,[income_statement] diluted_eps,1.18,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 七、其他综合收益,130241336.69,[income_statement] oth_compr_income,130241336.69,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 八、综合收益总额,7229180032.1,[income_statement] t_compr_income,7229180032.1,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 其中：归属于母公司,7208997028.21,[income_statement] compr_inc_attr_p,7208997028.21,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 其中：归属于少数股东,20183003.89,[income_statement] compr_inc_attr_m_s,20183003.89,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 其中：利息费用,494317329.82,[income_statement] fin_exp_int_exp,494317329.82,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 其中：利息收入,551802931.59,[income_statement] fin_exp_int_inc,551802931.59,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[income_statement] 信用减值损失（2019格式）,11862110.01,[cash_flow] incl_dvd_profit_paid_sc_ms,13730651.84,1868541.83,15.75218766665274,large_error,red
600887,2020,tushare_vs_rds,[income_statement] 资产减值损失（2019格式）,-339312411.62,[income_statement] assets_impair_loss,-339312411.62,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 销售商品、提供劳务收到的现金,106024002676.65,[cash_flow] c_fr_sale_sg,106024002676.65,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 收取利息、手续费及佣金的现金,55118407.39,[cash_flow] ifc_cash_incr,55118407.39,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 收到其他与经营活动有关的现金,2015204006.59,[cash_flow] c_fr_oth_operate_a,2015204006.59,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 经营活动现金流入小计,108094325090.63,[cash_flow] c_inf_fr_operate_a,108094325090.63,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 购买商品、接受劳务支付的现金,83537495382.83,[cash_flow] c_paid_goods_s,83537495382.83,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 支付给职工以及为职工支付的现金,9340320414.79,[cash_flow] c_paid_to_for_empl,9340320414.79,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 支付的各项税费,4039541155.37,[cash_flow] c_paid_for_taxes,4039541155.37,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 支付其他与经营活动有关的现金,1325328973.09,[cash_flow] oth_cash_pay_oper_act,1325328973.09,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 经营活动现金流出小计,98242685926.08,[cash_flow] st_cash_out_act,98242685926.08,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 经营活动产生的现金流量净额,9851639164.55,[cash_flow] n_cashflow_act,9851639164.55,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[cash_flow] 收回投资收到的现金,614628653.08,[cash_flow] c_disp_withdrwl_invest,614628653.08,0.0,0.0,exact,green
