stock_code,year,period,statement_type,field_code,field_name,value,display_order
300083,2022,annual,cash_flow,F123N,净利润,334000000.0,85
300083,2022,annual,cash_flow,F134N,存货的减少,596000000.0,96
300083,2022,annual,cash_flow,F135N,经营性应收项目的减少,-835000000.0,97
300083,2022,annual,cash_flow,F136N,经营性应付项目的增加,-124000000.0,98
300083,2021,annual,cash_flow,F123N,净利润,497000000.0,85
300083,2021,annual,cash_flow,F134N,存货的减少,-841000000.0,96
300083,2021,annual,cash_flow,F135N,经营性应收项目的减少,265000000.0,97
300083,2020,annual,cash_flow,F123N,净利润,-698000000.0,85
300083,2020,annual,cash_flow,F124N,资产减值准备,687000000.0,86
300083,2020,annual,cash_flow,F125N,固定资产折旧,167000000.0,87
300083,2020,annual,cash_flow,F134N,存货的减少,-261000000.0,96
300083,2020,annual,cash_flow,F135N,经营性应收项目的减少,-758000000.0,97
300083,2020,annual,cash_flow,F136N,经营性应付项目的增加,851000000.0,98
