stock_code,year,period,statement_type,field_code,field_name,value,display_order
600330,2022,annual,cash_flow,F123N,净利润,674000000.0,85
600330,2022,annual,cash_flow,F125N,固定资产折旧,307000000.0,87
600330,2022,annual,cash_flow,F131N,投资损失,-345000000.0,93
600330,2022,annual,cash_flow,F134N,存货的减少,-127000000.0,96
600330,2022,annual,cash_flow,F135N,经营性应收项目的减少,-713000000.0,97
600330,2022,annual,cash_flow,F136N,经营性应付项目的增加,793000000.0,98
600330,2021,annual,cash_flow,F123N,净利润,421000000.0,85
600330,2021,annual,cash_flow,F125N,固定资产折旧,276000000.0,87
600330,2021,annual,cash_flow,F131N,投资损失,-117000000.0,93
600330,2021,annual,cash_flow,F134N,存货的减少,-107000000.0,96
600330,2021,annual,cash_flow,F135N,经营性应收项目的减少,-677000000.0,97
600330,2021,annual,cash_flow,F136N,经营性应付项目的增加,622000000.0,98
600330,2020,annual,cash_flow,F123N,净利润,386000000.0,85
600330,2020,annual,cash_flow,F125N,固定资产折旧,260000000.0,87
600330,2020,annual,cash_flow,F131N,投资损失,-236000000.0,93
600330,2020,annual,cash_flow,F134N,存货的减少,-233000000.0,96
600330,2020,annual,cash_flow,F135N,经营性应收项目的减少,-508000000.0,97
600330,2020,annual,cash_flow,F136N,经营性应付项目的增加,111000000.00000001,98
