stock_code,year,period,statement_type,field_code,field_name,value,display_order
300422,2022,annual,cash_flow,F123N,净利润,400000000.0,85
300422,2022,annual,cash_flow,F126N,无形资产摊销,-446000000.0,88
300422,2022,annual,cash_flow,F127N,长期待摊费用摊销,104000000.0,89
300422,2022,annual,cash_flow,F129N,固定资产报废损失,131000000.0,91
300422,2022,annual,cash_flow,F133N,递延所得税负债增加,239000000.0,95
300422,2021,annual,cash_flow,F123N,净利润,872000000.0000001,85
300422,2021,annual,cash_flow,F126N,无形资产摊销,-529000000.0,88
300422,2021,annual,cash_flow,F127N,长期待摊费用摊销,413999999.99999994,89
300422,2021,annual,cash_flow,F129N,固定资产报废损失,102000000.0,91
300422,2021,annual,cash_flow,F133N,递延所得税负债增加,248000000.0,95
300422,2021,annual,cash_flow,F135N,经营性应收项目的减少,-130000000.0,97
300422,2020,annual,cash_flow,F123N,净利润,865000000.0,85
300422,2020,annual,cash_flow,F126N,无形资产摊销,192000000.0,88
300422,2020,annual,cash_flow,F127N,长期待摊费用摊销,175000000.0,89
300422,2020,annual,cash_flow,F133N,递延所得税负债增加,199000000.0,95
