stock_code,year,period,statement_type,field_code,field_name,value,display_order
002594,2022,annual,cash_flow,F123N,净利润,49820000000.0,85
002594,2022,annual,cash_flow,F124N,资产减值准备,51182000000.0,86
002594,2022,annual,cash_flow,F127N,长期待摊费用摊销,17713000000.0,89
002594,2022,annual,cash_flow,F128N,处置固定资产损失,1386000000.0,90
002594,2022,annual,cash_flow,F129N,固定资产报废损失,15188999999.999998,91
002594,2022,annual,cash_flow,F130N,公允价值变动损失,5099000000.0,92
002594,2022,annual,cash_flow,F131N,投资损失,876000000.0,93
002594,2022,annual,cash_flow,F133N,递延所得税负债增加,-126000000.0,95
002594,2022,annual,cash_flow,F134N,存货的减少,616000000.0,96
002594,2022,annual,cash_flow,F135N,经营性应收项目的减少,769000000.0,97
002594,2022,annual,cash_flow,F136N,经营性应付项目的增加,-1773999999.9999998,98
002594,2022,annual,cash_flow,F137N,其他,1205000000.0,99
002594,2021,annual,cash_flow,F123N,净利润,13738000000.0,85
002594,2021,annual,cash_flow,F124N,资产减值准备,49820000000.0,86
002594,2021,annual,cash_flow,F127N,长期待摊费用摊销,3967000000.0,89
002594,2021,annual,cash_flow,F128N,处置固定资产损失,857000000.0,90
002594,2021,annual,cash_flow,F129N,固定资产报废损失,11153000000.0,91
002594,2021,annual,cash_flow,F130N,公允价值变动损失,2928000000.0,92
002594,2021,annual,cash_flow,F131N,投资损失,112999999.99999999,93
002594,2021,annual,cash_flow,F134N,存货的减少,1907999999.9999998,96
002594,2021,annual,cash_flow,F136N,经营性应付项目的增加,-144000000.0,98
002594,2021,annual,cash_flow,F137N,其他,143000000.0,99
002594,2020,annual,cash_flow,F123N,净利润,11674000000.0,85
002594,2020,annual,cash_flow,F124N,资产减值准备,13738000000.0,86
002594,2020,annual,cash_flow,F127N,长期待摊费用摊销,6014000000.0,89
002594,2020,annual,cash_flow,F128N,处置固定资产损失,907000000.0,90
002594,2020,annual,cash_flow,F129N,固定资产报废损失,9415000000.0,91
002594,2020,annual,cash_flow,F130N,公允价值变动损失,3073000000.0,92
002594,2020,annual,cash_flow,F131N,投资损失,376000000.0,93
002594,2020,annual,cash_flow,F134N,存货的减少,3124000000.0,96
002594,2020,annual,cash_flow,F136N,经营性应付项目的增加,-393000000.0,98
002594,2020,annual,cash_flow,F137N,其他,429000000.0,99
