stock_code,year,period,statement_type,field_code,field_name,value,display_order
000826,2022,annual,cash_flow,F123N,净利润,844000000.0,85
000826,2022,annual,cash_flow,F124N,资产减值准备,1023000000.0,86
000826,2022,annual,cash_flow,F127N,长期待摊费用摊销,-786000000.0,89
000826,2022,annual,cash_flow,F128N,处置固定资产损失,597000000.0,90
000826,2022,annual,cash_flow,F129N,固定资产报废损失,359000000.0,91
000826,2022,annual,cash_flow,F130N,公允价值变动损失,657000000.0,92
000826,2022,annual,cash_flow,F134N,存货的减少,727000000.0,96
000826,2022,annual,cash_flow,F135N,经营性应收项目的减少,157000000.0,97
000826,2021,annual,cash_flow,F123N,净利润,551000000.0,85
000826,2021,annual,cash_flow,F124N,资产减值准备,844000000.0,86
000826,2021,annual,cash_flow,F127N,长期待摊费用摊销,-4550000000.0,89
000826,2021,annual,cash_flow,F128N,处置固定资产损失,2360000000.0,90
000826,2021,annual,cash_flow,F129N,固定资产报废损失,398000000.0,91
000826,2021,annual,cash_flow,F130N,公允价值变动损失,900000000.0,92
000826,2021,annual,cash_flow,F134N,存货的减少,768000000.0,96
000826,2020,annual,cash_flow,F123N,净利润,2143000000.0,85
000826,2020,annual,cash_flow,F124N,资产减值准备,551000000.0,86
000826,2020,annual,cash_flow,F127N,长期待摊费用摊销,-1439000000.0,89
000826,2020,annual,cash_flow,F128N,处置固定资产损失,1195000000.0,90
000826,2020,annual,cash_flow,F129N,固定资产报废损失,401999999.99999994,91
000826,2020,annual,cash_flow,F130N,公允价值变动损失,610000000.0,92
000826,2020,annual,cash_flow,F134N,存货的减少,759000000.0,96
000826,2020,annual,cash_flow,F135N,经营性应收项目的减少,162000000.0,97
000826,2020,annual,cash_flow,F136N,经营性应付项目的增加,-227000000.0,98
