stock_code,year,period,statement_type,field_code,field_name,value,display_order
301018,2022,annual,cash_flow,F134N,存货的减少,-443000000.0,96
301018,2022,annual,cash_flow,F135N,经营性应收项目的减少,184000000.0,97
301018,2021,annual,cash_flow,F133N,递延所得税负债增加,-187000000.0,95
301018,2021,annual,cash_flow,F134N,存货的减少,-183000000.0,96
301018,2021,annual,cash_flow,F135N,经营性应收项目的减少,215000000.0,97
301018,2020,annual,cash_flow,F133N,递延所得税负债增加,-127000000.0,95
301018,2020,annual,cash_flow,F135N,经营性应收项目的减少,121000000.0,97
301018,2020,annual,cash_flow,F137N,其他,196000000.0,99
