stock_code,year,period,statement_type,field_code,field_name,value,display_order
002029,2022,annual,cash_flow,F123N,净利润,550000000.0,85
002029,2022,annual,cash_flow,F126N,无形资产摊销,193000000.0,88
002029,2022,annual,cash_flow,F128N,处置固定资产损失,161000000.0,90
002029,2022,annual,cash_flow,F130N,公允价值变动损失,114999999.99999999,92
002029,2021,annual,cash_flow,F123N,净利润,589000000.0,85
002029,2021,annual,cash_flow,F126N,无形资产摊销,273000000.0,88
002029,2021,annual,cash_flow,F128N,处置固定资产损失,135000000.0,90
002029,2021,annual,cash_flow,F130N,公允价值变动损失,118000000.0,92
002029,2020,annual,cash_flow,F123N,净利润,417000000.0,85
002029,2020,annual,cash_flow,F126N,无形资产摊销,235000000.0,88
002029,2020,annual,cash_flow,F130N,公允价值变动损失,141000000.0,92
