stock_code,year,period,statement_type,field_code,field_name,value,display_order
000700,2022,annual,cash_flow,F123N,净利润,462000000.0,85
000700,2022,annual,cash_flow,F124N,资产减值准备,982000000.0,86
000700,2022,annual,cash_flow,F127N,长期待摊费用摊销,503000000.0,89
000700,2022,annual,cash_flow,F129N,固定资产报废损失,381000000.0,91
000700,2022,annual,cash_flow,F134N,存货的减少,160000000.0,96
000700,2022,annual,cash_flow,F135N,经营性应收项目的减少,-250000000.0,97
000700,2021,annual,cash_flow,F123N,净利润,562000000.0,85
000700,2021,annual,cash_flow,F124N,资产减值准备,462000000.0,86
000700,2021,annual,cash_flow,F127N,长期待摊费用摊销,-196000000.0,89
000700,2021,annual,cash_flow,F129N,固定资产报废损失,375000000.0,91
000700,2021,annual,cash_flow,F134N,存货的减少,165000000.0,96
000700,2021,annual,cash_flow,F135N,经营性应收项目的减少,200999999.99999997,97
000700,2020,annual,cash_flow,F123N,净利润,519000000.00000006,85
000700,2020,annual,cash_flow,F124N,资产减值准备,562000000.0,86
000700,2020,annual,cash_flow,F129N,固定资产报废损失,357000000.0,91
000700,2020,annual,cash_flow,F134N,存货的减少,159000000.0,96
000700,2020,annual,cash_flow,F135N,经营性应收项目的减少,-221000000.0,97
