stock_code,year,period,statement_type,field_code,field_name,value,display_order
600009,2022,annual,cash_flow,F125N,固定资产折旧,-2790000000.0,87
600009,2022,annual,cash_flow,F127N,长期待摊费用摊销,2614000000.0,89
600009,2022,annual,cash_flow,F128N,处置固定资产损失,121000000.0,90
600009,2022,annual,cash_flow,F132N,递延所得税资产减少,811999999.9999999,94
600009,2022,annual,cash_flow,F133N,递延所得税负债增加,-177000000.0,95
600009,2022,annual,cash_flow,F134N,存货的减少,-1078000000.0,96
600009,2022,annual,cash_flow,F137N,其他,-195000000.0,99
600009,2021,annual,cash_flow,F125N,固定资产折旧,-1341000000.0,87
600009,2021,annual,cash_flow,F127N,长期待摊费用摊销,3004000000.0,89
600009,2021,annual,cash_flow,F132N,递延所得税资产减少,840000000.0,94
600009,2021,annual,cash_flow,F133N,递延所得税负债增加,-778000000.0,95
600009,2021,annual,cash_flow,F134N,存货的减少,-710000000.0,96
600009,2021,annual,cash_flow,F137N,其他,696000000.0,99
600009,2020,annual,cash_flow,F125N,固定资产折旧,-1169000000.0,87
600009,2020,annual,cash_flow,F127N,长期待摊费用摊销,1253000000.0,89
600009,2020,annual,cash_flow,F133N,递延所得税负债增加,-590000000.0,95
600009,2020,annual,cash_flow,F134N,存货的减少,-397000000.0,96
