stock_code,year,period,statement_type,field_code,field_name,value,display_order
003039,2022,annual,cash_flow,F123N,净利润,841000000.0,85
003039,2022,annual,cash_flow,F126N,无形资产摊销,330000000.0,88
003039,2022,annual,cash_flow,F128N,处置固定资产损失,157000000.0,90
003039,2021,annual,cash_flow,F123N,净利润,557000000.0,85
003039,2021,annual,cash_flow,F126N,无形资产摊销,367000000.0,88
003039,2021,annual,cash_flow,F128N,处置固定资产损失,149000000.0,90
003039,2020,annual,cash_flow,F123N,净利润,721000000.0,85
003039,2020,annual,cash_flow,F126N,无形资产摊销,360000000.0,88
003039,2020,annual,cash_flow,F128N,处置固定资产损失,143000000.0,90
