stock_code,year,period,statement_type,field_code,field_name,value,display_order
600319,2022,annual,cash_flow,F123N,净利润,109000000.00000001,85
600319,2022,annual,cash_flow,F135N,经营性应收项目的减少,-111000000.00000001,97
600319,2022,annual,cash_flow,F136N,经营性应付项目的增加,150000000.0,98
600319,2021,annual,cash_flow,F123N,净利润,193000000.0,85
600319,2021,annual,cash_flow,F128N,处置固定资产损失,-250999999.99999997,90
600319,2020,annual,cash_flow,F128N,处置固定资产损失,9400.0,90
600319,2020,annual,cash_flow,F136N,经营性应付项目的增加,-102000000.0,98
