stock_code,year,period,statement_type,field_code,field_name,value,display_order
601778,2022,annual,cash_flow,F123N,净利润,3950000000.0,85
601778,2022,annual,cash_flow,F126N,无形资产摊销,233000000.0,88
601778,2022,annual,cash_flow,F128N,处置固定资产损失,977999999.9999999,90
601778,2022,annual,cash_flow,F133N,递延所得税负债增加,914000000.0,95
601778,2022,annual,cash_flow,F137N,其他,-1255000000.0,99
601778,2021,annual,cash_flow,F123N,净利润,3697000000.0,85
601778,2021,annual,cash_flow,F126N,无形资产摊销,343000000.0,88
601778,2021,annual,cash_flow,F128N,处置固定资产损失,993000000.0,90
601778,2021,annual,cash_flow,F133N,递延所得税负债增加,856000000.0,95
601778,2021,annual,cash_flow,F134N,存货的减少,-135000000.0,96
601778,2020,annual,cash_flow,F123N,净利润,1626000000.0000002,85
601778,2020,annual,cash_flow,F126N,无形资产摊销,486000000.00000006,88
601778,2020,annual,cash_flow,F128N,处置固定资产损失,980000000.0000001,90
601778,2020,annual,cash_flow,F133N,递延所得税负债增加,878999999.9999999,95
601778,2020,annual,cash_flow,F134N,存货的减少,-137000000.0,96
601778,2020,annual,cash_flow,F137N,其他,-376000000.0,99
